Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0286173;3,043297;1,63567;-0,7114894;15,66399;51,40172;3,585239;-1;0;0
0,0550605;3,07109;1,632172;-0,6923279;15,88477;50,70425;3,272171;1,276619;1,276619;0,0337579
0,0696585;3,082693;1,630863;-0,6849864;15,85955;50,57531;3,130321;0,9405965;1,157099;0,04748872
0,07930019;3,082693;1,630863;-0,6849864;15,85955;50,57531;3,130321;0;0,9369773;0,04748872
0,0932304;3,10049;1,629011;-0,6739587;15,75404;50,25642;2,961942;1,502924;1,058992;0,06842475
0,1030316;3,10049;1,629011;-0,6739587;15,75404;50,25642;2,961942;0;0,9195108;0,06842475
0,1137457;3,112638;1,627873;-0,6666712;15,63132;50,11475;2,834929;1,322272;0,9702016;0,08259171
0,1241895;3,112638;1,627873;-0,6666712;15,63132;50,11475;2,834929;0;0,8641813;0,08259171
0,1348579;3,12485;1,626809;-0,6592643;15,40313;49,96075;2,74458;1,338711;0,9118323;0,0968736
0,1465465;3,12485;1,626809;-0,6592643;15,40313;49,96075;2,74458;0;0,8214557;0,0968736
0,1668561;3,143837;1,625968;-0,6476701;15,0984;49,692;2,608248;1,095435;0,8617078;0,1191214
0,1926267;3,15688;1,626068;-0,6394246;14,89981;49,45193;2,517816;0,5987468;0,820389;0,1345515
0,2068692;3,170259;1,626384;-0,630814;14,89297;49,23685;2,405283;1,1171;0,8440965;0,1504618
0,2210149;3,183765;1,626979;-0,6217642;14,42079;49,00727;2,55612;1,14932;0,8665376;0,1667197
0,2320156;3,190718;1,627411;-0,6171705;14,44284;48,91734;2,503063;0,7575748;0,8606444;0,1750536
0,2427714;3,190718;1,627411;-0,6171705;14,44284;48,91734;2,503063;0;0,8174189;0,1750536
0,2531348;3,204797;1,628358;-0,6079582;14,77566;48,83906;2,37613;1,623503;0,8546265;0,1918786
0,2636036;3,204797;1,628358;-0,6079582;14,77566;48,83906;2,37613;0;0,8165523;0,1918786
0,2739204;3,218239;1,62894;-0,5985764;14,12611;48,5176;2,879735;1,588872;0,849034;0,2082707
0,2827207;3,218239;1,62894;-0,5985764;14,12611;48,5176;2,879735;0;0,8196295;0,2082707
0,2936641;3,231397;1,62971;-0,5891225;14,32585;48,28558;2,978116;1,480508;0,8469163;0,2244725
0,3040861;3,231397;1,62971;-0,5891225;14,32585;48,28558;2,978116;0;0,8148744;0,2244725
0,3141506;3,243716;1,630492;-0,579584;14,25238;47,84209;3,078684;1,548017;0,8407163;0,2400525
0,3250551;3,243716;1,630492;-0,579584;14,25238;47,84209;3,078684;0;0,8097905;0,2400525
0,3484742;3,25568;1,631561;-0,5700293;14,16031;47,44393;3,14297;0,6537886;0,7983684;0,2553637
0,3597944;3,271647;1,63331;-0,5555571;13,9044;46,21826;2,954293;1,903677;0,8361498;0,2769137
0,3694927;3,276684;1,633788;-0,5507295;13,8209;45,8438;2,816268;0,7193782;0,8328274;0,2838904
0,3802274;3,276684;1,633788;-0,5507295;13,8209;45,8438;2,816268;0;0,8074011;0,2838904
0,395541;3,286012;1,634321;-0,5408515;13,31342;44,97156;2,908612;0,8872286;0,8107328;0,2974771
0,4063158;3,290557;1,634634;-0,5358236;13,20881;44,75709;2,805585;0,6290131;0,8055488;0,3042546
0,4161643;3,290557;1,634634;-0,5358236;13,20881;44,75709;2,805585;0;0,7850778;0,3042546
0,4313747;3,303095;1,635083;-0,5206262;13,37298;43,28801;2,587594;1,295269;0,8043455;0,3239561
0,4440818;3,303095;1,635083;-0,5206262;13,37298;43,28801;2,587594;0;0,7797443;0,3239561
0,4552986;3,310401;1,635469;-0,5101246;13,43314;42,25032;2,557841;1,140555;0,7892295;0,3367495
0,4654979;3,313694;1,635695;-0,5047885;13,38732;41,68406;2,555272;0,6147639;0,7851565;0,3430197
0,4774317;3,313694;1,635695;-0,5047885;13,38732;41,68406;2,555272;0;0,7642795;0,3430197
0,5024483;3,322851;1,637141;-0,4887806;13,01229;39,81673;2,852933;0,7371981;0,7628497;0,3614618
0,5131263;3,326987;1,637773;-0,4785796;14,21867;38,38433;2,547487;1,030858;0,7687563;0,3724693
