Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,0177113;1,953638;0,05909218;-1,113364;1,284011;268,9996;358,8477;0;0;0;-1;-1;0
0,0286173;2,848619;0,05414967;-0,8912947;0,06143437;233,3344;359,216;0;0;0;-1;-1;0
0,0550605;2,848984;0,05400584;-0,8910962;359,7299;233,2944;359,1702;0;0,01571266;0;-1;-1;0
0,0696585;2,848984;0,05400584;-0,8910962;359,7299;233,2944;359,1702;0;0,0101238;0;-1;-1;0
0,07930019;2,849315;0,05399892;-0,8910698;359,5511;233,2967;358,9097;0;0,01475726;0;-1;-1;0
0,0932304;2,849315;0,05399892;-0,8910698;359,5511;233,2967;358,9097;0;0,01157568;0;-1;-1;0
0,1030316;2,849664;0,05402489;-0,8911892;359,2316;233,3069;359,0853;0;0,01500839;0;-1;-1;0
0,1137457;2,849664;0,05402489;-0,8911892;359,2316;233,3069;359,0853;0;0,01311946;0;-1;-1;0
0,1241895;2,849769;0,05416454;-0,8907093;358,9602;233,1228;358,8671;0;0,01682548;0;-1;-1;0
0,1348579;2,849769;0,05416454;-0,8907093;358,9602;233,1228;358,8671;0;0,01513591;0;-1;-1;0
0,1465465;2,850384;0,05495253;-0,8901067;357,9102;232,9467;358,6587;0;0,02093615;0;-1;-1;0
0,1668561;2,851066;0,0559568;-0,8896277;356,7882;232,8424;358,3485;0;0,02388988;0;-1;-1;0
0,1926267;2,8518;0,05736968;-0,888775;355,3936;232,7057;357,6346;0;0,02699835;0;-1;-1;0
0,2068692;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,03257816;0;-1;-1;0
0,2210149;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,03018291;0;-1;-1;0
0,2320156;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02855048;0;-1;-1;0
0,2427714;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02711654;0;-1;-1;0
0,2531348;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02586488;0;-1;-1;0
0,2636036;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02471258;0;-1;-1;0
0,2739204;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02367324;0;-1;-1;0
0,2827207;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,003635347;0,02285337;0;-1;-1;0
0,2936641;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,02190978;0;-1;-1;0
0,3040861;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,008173052;0,02108086;0;-1;-1;0
0,3141506;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,0203378;0;-1;-1;0
0,3250551;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,009042003;0,01958967;0;-1;-1;0
0,3484742;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01815536;0;-1;-1;0
0,3597944;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,01104061;0,01753478;0;-1;-1;0
0,3694927;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,0170359;0;-1;-1;0
0,3802274;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,02260762;0,01651579;0;-1;-1;0
0,395541;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,01433785;0,0158265;0;-1;-1;0
0,4063158;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,01626199;0,01537501;0;-1;-1;0
0,4161643;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0,04035263;0,01498429;0;-1;-1;0
0,4313747;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,0144184;0;-1;-1;0
0,4440818;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01397741;0;-1;-1;0
0,4552986;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01360997;0;-1;-1;0
0,4654979;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01329223;0;-1;-1;0
0,4774317;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,0129388;0;-1;-1;0
0,5024483;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01225568;0;-1;-1;0
0,5131263;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01198557;0;-1;-1;0
0,5232929;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01173925;0;-1;-1;0
0,5346839;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01147501;0;-1;-1;0
0,544416;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,0112585;0;-1;-1;0
0,5543712;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01104532;0;-1;-1;0
0,5635461;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01085587;0;-1;-1;0
0,5778149;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01057382;0;-1;-1;0
0,5915098;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01031657;0;-1;-1;0
0,6009383;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,01014661;0;-1;-1;0
0,6106977;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,009976489;0;-1;-1;0
0,6198504;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,009822046;0;-1;-1;0
0,6305827;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,009646932;0;-1;-1;0
0,655136;2,852751;0,05922592;-0,8877758;353,5555;232,7377;356,8653;0;0,009268868;0;-1;-1;0
