Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,0177113;1,452019;0,06333807;-1,302802;351,804;260,3764;3,393008;0;0;0;-1;-1;0
0,0286173;3,226586;0,08273613;-0,786057;12,22685;206,8493;356,2314;0;0;0;-1;-1;0
0,0550605;3,272627;0,09264304;-0,7330514;18,48827;206,9874;359,0847;0;2,655098;0;-1;-1;0
0,0696585;3,272627;0,09264304;-0,7330514;18,48827;206,9874;359,0847;0;1,710703;0;-1;-1;0
0,07930019;3,281934;0,08801653;-0,716965;18,62474;209,7677;0,6675462;0;1,75196;0;-1;-1;0
0,0932304;3,281934;0,08801653;-0,716965;18,62474;209,7677;0,6675462;0;1,374248;0;-1;-1;0
0,1030316;3,281403;0,0814512;-0,7079122;15,87718;208,9632;0,1418391;0;1,315106;0;-1;-1;0
0,1137457;3,281403;0,0814512;-0,7079122;15,87718;208,9632;0,1418391;0;1,149589;0;-1;-1;0
0,1241895;3,277558;0,07385364;-0,6985531;11,17921;205,8293;357,1042;0;1,129836;0;-1;-1;0
0,1348579;3,277558;0,07385364;-0,6985531;11,17921;205,8293;357,1042;0;1,016381;0;-1;-1;0
0,1465465;3,274786;0,0614549;-0,683831;5,802618;200,9722;358,2501;0;1,042675;0;-1;-1;0
0,1668561;3,276767;0,05463585;-0,6792369;2,37706;200,4751;358,8747;0;0,9256802;0;-1;-1;0
0,1926267;3,277381;0,05288413;-0,6781723;1,53028;200,5828;358,9568;0;0,7877204;0;-1;-1;0
0,2068692;3,277496;0,05181773;-0,6770232;0,5543827;200,4248;358,3728;0;0,7312592;0;-1;-1;0
0,2210149;3,277242;0,05081533;-0,6764507;0,7721839;200,3574;359,3979;0;0,6807488;0;-1;-1;0
0,2320156;3,277242;0,05081533;-0,6764507;0,7721839;200,3574;359,3979;0;0,6439307;0;-1;-1;0
0,2427714;3,27791;0,05048556;-0,6752073;359,3527;200,2648;357,9037;0;0,6181804;0;-1;-1;0
0,2531348;3,27791;0,05048556;-0,6752073;359,3527;200,2648;357,9037;0;0,5896461;0;-1;-1;0
0,2636036;3,278041;0,04985245;-0,6744149;358,9773;200,1395;357,8868;0;0,5667947;0;-1;-1;0
0,2739204;3,278041;0,04985245;-0,6744149;358,9773;200,1395;357,8868;0;0,5429568;0;-1;-1;0
0,2827207;3,278066;0,04948128;-0,6739888;358,791;200,1241;357,9178;0,5793481;0,5258323;0;-1;-1;0
0,2936641;3,278066;0,04948128;-0,6739888;358,791;200,1241;357,9178;9,220402E-09;0,5041214;0;-1;-1;0
0,3040861;3,278095;0,04924121;-0,6736516;358,5652;200,1283;357,6807;0,4626964;0,4862772;0;-1;-1;0
0,3141506;3,278095;0,04924121;-0,6736516;358,5652;200,1283;357,6807;9,367755E-09;0,4691368;0;-1;-1;0
0,3250551;3,278203;0,04902121;-0,6735778;358,5818;200,0748;357,8323;0,2697276;0,4523222;0;-1;-1;0
0,3484742;3,278396;0,04874093;-0,6736301;358,6119;200,0258;358,0803;0,003328194;0,4198297;0;-1;-1;0
