Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
26,70061;2,450359;0,05133719;3,824921;2,749196;95,65195;359,9247;1,461513;0,5951535;20;0,9171861;-0,9995943;0,9234054
26,98843;2,449672;0,05074264;3,824081;0,5455856;95,98676;358,9193;0,2291157;0,588843;20;0,9171861;-0,9995943;0,9234054
27,01296;2,449053;0,05056615;3,823137;0,3605421;96,72078;359,14;0,1595653;0,5883498;20;0,9171861;-0,9995943;0,9234054
27,02853;2,449;0,050636;3,823137;0,4093369;96,70967;358,9278;0,0004966217;0,5880125;20;0,9171861;-0,9995943;0,9234054
27,04305;2,448955;0,0505776;3,82309;0,3943926;96,67973;358,7948;0,0005348953;0,5876991;20;0,9171861;-0,9995943;0,9234054
27,05703;2,44897;0,05055074;3,822947;0,4015779;96,6121;358,6774;0,0009229798;0,5874006;20;0,9171861;-0,9995943;0,9234054
27,07262;2,44897;0,05055074;3,822947;0,4015779;96,6121;358,6774;0,6580489;0,5870623;20;0,9171861;-0,9995943;0,9234054
27,08609;2,44711;0,05032261;3,823231;0,6788835;96,57374;358,6952;0,01289508;0,5868397;20;0,9171861;-0,9995943;0,9234054
27,09944;2,447149;0,05066837;3,823149;0,3395052;96,64388;358,5766;0,1479906;0,5865538;20;0,9171861;-0,9995943;0,9234054
27,11056;2,447149;0,05066837;3,823149;0,3395052;96,64388;358,5766;0,03770446;0,5863129;20;0,9171861;-0,9995943;0,9234054
27,12259;2,447737;0,0506719;3,8232;0,1839953;96,65453;358,5053;0,05594868;0,5860745;20;0,9171861;-0,9995943;0,9234054
27,13402;2,447737;0,0506719;3,8232;0,1839953;96,65453;358,5053;0,04676384;0,5858275;20;0,9171861;-0,9995943;0,9234054
27,14673;2,448042;0,05058037;3,823263;0,05157151;96,62999;358,5992;0,0710786;0,5855646;20;0,9171861;-0,9995943;0,9234054
27,16859;2,447891;0,0505596;3,823244;359,9796;96,63117;358,5613;0,0006851297;0,5850987;20;0,9171861;-0,9995943;0,9234054
27,18708;2,447679;0,05015444;3,823332;0,1758264;96,5297;358,6161;0,1061148;0,5847091;20;0,9171861;-0,9995943;0,9234054
27,20444;2,447655;0,05050712;3,823261;359,7596;96,60195;358,5526;0,005993194;0,5843384;20;0,9171861;-0,9995943;0,9234054
27,2183;2,44734;0,05051414;3,82308;359,6771;96,47193;358,586;0,005326881;0,5840541;20;0,9171861;-0,9995943;0,9234054
27,22978;2,44734;0,05051414;3,82308;359,6771;96,47193;358,586;0,007472663;0,5838076;20;0,9171861;-0,9995943;0,9234054
27,24573;2,446944;0,050623;3,823166;359,4968;96,46364;358,6187;0,003022257;0,5834807;20;0,9171861;-0,9995943;0,9234054
