Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
16,01256;2,450359;0,05133719;3,824921;2,749196;95,65195;359,9247;0,007505888;0,6063204;13;0,9499083;-0,9467748;0,803381
16,33059;2,449053;0,05056615;3,823137;0,3605421;96,72078;359,14;0,0007376994;0,594638;13;0,9499083;-0,9467748;0,803381
16,35189;2,448961;0,05064944;3,823124;0,4010587;96,70754;358,9213;1,613998;0,5938683;13;0,644962;0,3580436;0,803381
16,36644;2,448961;0,05064944;3,823124;0,4010587;96,70754;358,9213;2,756577E-09;0,59334;14;0,9231998;-0,906952;0,7954713
16,38151;2,447689;0,05055776;3,822948;0,6761242;96,5804;358,6093;0,008346799;0,5928723;14;0,9231998;-0,906952;0,7954713
16,39476;2,447504;0,05076726;3,823177;0,4446353;96,65654;358,5139;0,3554853;0,5924107;14;0,9231998;-0,906952;0,7954713
16,4084;2,447504;0,05076726;3,823177;0,4446353;96,65654;358,5139;2,77249E-09;0,5919179;14;0,9231998;-0,906952;0,7954713
16,41972;2,447149;0,05066837;3,823149;0,3395052;96,64388;358,5766;0,09207331;0,5915309;14;0,9231998;-0,906952;0,7954713
16,43295;2,447229;0,05046729;3,823034;0,3603508;96,48492;359,1158;0,001785061;0,5910627;14;0,9231998;-0,906952;0,7954713
16,44572;2,447229;0,05046729;3,823034;0,3603508;96,48492;359,1158;0,063708;0,5906034;14;0,9231998;-0,906952;0,7954713
16,45837;2,447523;0,05035511;3,823248;0,3145339;96,59588;358,8047;0,06502829;0,5901712;14;0,9231998;-0,906952;0,7954713
16,4707;2,447523;0,05035511;3,823248;0,3145339;96,59588;358,8047;0,03863284;0,5897292;14;0,9231998;-0,906952;0,7954713
16,48075;2,448002;0,05054404;3,823248;0,01438795;96,61903;358,5755;0,1164035;0,589398;14;0,9231998;-0,906952;0,7954713
16,49677;2,447848;0,05053646;3,823221;359,9236;96,61507;358,5919;0,0145507;0,5888349;14;0,9231998;-0,906952;0,7954713
16,51051;2,447848;0,05053646;3,823221;359,9236;96,61507;358,5919;7,650681E-10;0,5883445;14;0,9231998;-0,906952;0,7954713
16,51886;2,447755;0,05045605;3,823265;359,7702;96,60795;358,6873;0,01675387;0,5880528;14;0,9231998;-0,906952;0,7954713
16,53139;2,447655;0,05050712;3,823261;359,7596;96,60195;358,5526;0,0008854906;0,5876129;14;0,9231998;-0,906952;0,7954713
16,54201;2,447655;0,05050712;3,823261;359,7596;96,60195;358,5526;0,01284566;0,5872355;14;0,9231998;-0,906952;0,7954713
16,55091;2,447655;0,05050712;3,823261;359,7596;96,60195;358,5526;0,003346365;0,5869191;14;0,9231998;-0,906952;0,7954713
16,5633;2,446944;0,050623;3,823166;359,4968;96,46364;358,6187;0,005512723;0,5865232;14;0,9231998;-0,906952;0,7954713
16,57425;2,446798;0,05060417;3,823072;359,4149;96,4506;358,5804;0,003020186;0,586146;14;0,9231998;-0,906952;0,7954713
16,59486;2,446393;0,05068502;3,822958;359,151;96,39748;358,5658;0,004750139;0,5854427;14;0,9231998;-0,906952;0,7954713
16,60715;2,446393;0,05068502;3,822958;359,151;96,39748;358,5658;0,01972995;0,5850092;14;0,9231998;-0,906952;0,7954713
16,6173;2,445762;0,05097331;3,823;358,7819;96,32101;358,1694;0,01213835;0,5846895;14;0,9231998;-0,906952;0,7954713
16,63597;2,445086;0,05169041;3,822908;357,7687;96,23335;358,2962;0,01220673;0,5840738;14;0,9231998;-0,906952;0,7954713
16,65344;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,01774986;0,5835031;14;0,9231998;-0,906952;0,7954713
16,66744;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,004148282;0,5830128;14;0,9231998;-0,906952;0,7954713
16,6807;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,0391515;0,5826467;14;0,9231998;-0,906952;0,7954713
16,69402;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,006719393;0,5821814;14;0,9231998;-0,906952;0,7954713
16,71021;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5816168;14;0,5993391;0,3416735;0,7954713
16,7251;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,01117803;0,5810988;14;0,5993391;0,3416735;0,7954713
16,73761;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,002113761;0,5806639;14;0,5993391;0,3416735;0,7954713
16,75048;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5802175;14;0,5993391;0,3416735;0,7954713
16,76241;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,00344411;0,579804;14;0,5993391;0,3416735;0,7954713
16,77444;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,001937211;0,5793881;14;0,5993391;0,3416735;0,7954713
16,78561;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5790022;14;0,5993391;0,3416735;0,7954713
16,7996;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5785195;14;0,5993391;0,3416735;0,7954713
16,82277;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,01199453;0,5777222;14;0,5993391;0,3416735;0,7954713
16,8373;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,003228498;0,5772229;14;0,5993391;0,3416735;0,7954713
16,8504;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,004179242;0,5767738;14;0,5993391;0,3416735;0,7954713
16,86366;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5763201;14;0,5993391;0,3416735;0,7954713
16,87758;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,0140677;0,5758442;14;0,5993391;0,3416735;0,7954713
16,88995;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,01079952;0,5754223;14;0,5993391;0,3416735;0,7954713
16,90211;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,01652883;0,5750079;14;0,5993391;0,3416735;0,7954713
16,91671;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0;0,5745111;14;0,5993391;0,3416735;0,7954713
16,93048;2,44283;0,05452152;3,822674;354,7989;96,09597;357,285;0,03687439;0,5740436;14;0,5993391;0,3416735;0,7954713
