Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
21,65808;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0,5259361;0,5980974;12,94564
21,94579;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,5902516;12,94564
21,96328;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,589781;12,94564
21,97529;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,5894586;12,94564
21,98986;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,5890679;12,94564
22,00318;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,5887111;12,94564
22,0163;3,612434;1,64609;0,3623213;11,15325;351,9817;359,2987;0;0,5883598;12,94564
22,03284;3,701241;1,631712;0,5315807;13,17911;2,65909;0,7346725;-1;0,5965985;13,13678
22,04538;3,701241;1,631712;0,5315807;13,17911;2,65909;0,7346725;0;0,5962592;13,13678
22,06769;3,70979;1,628338;0,5527638;13,41579;4,871067;1,470093;1,023794;0,5966917;13,15962
22,08287;3,711625;1,627458;0,558238;13,50874;5,338324;1,704833;0,3803223;0,5965429;13,1654
22,10012;3,714898;1,625893;0,5688941;13,58469;6,03049;1,744284;0,646167;0,5965816;13,17654
22,11538;3,716475;1,625255;0,5744659;13,72419;6,315423;1,742399;0,3795815;0,5964319;13,18233
22,1274;3,716475;1,625255;0,5744659;13,72419;6,315423;1,742399;0;0,5961075;13,18233
22,13944;3,7212;1,623728;0,5914216;13,67829;7,074147;1,774009;1,461803;0,5965786;13,19994
22,15359;3,722762;1,623487;0,597148;13,57059;7,307506;1,755731;0,4196357;0,5964655;13,20587
22,16444;3,722762;1,623487;0,597148;13,57059;7,307506;1,755731;0;0,5961733;13,20587
22,17451;3,726043;1,623381;0,6090679;13,4736;7,816119;1,573857;1,228087;0,5964604;13,21824
22,19023;3,729628;1,624153;0,6222614;12,99473;8,1949;1,613527;0,8698031;0,5966542;13,23191
22,20968;3,732877;1,625037;0,6353357;12,96328;8,845124;1,484737;0,6924666;0,5967381;13,24538
22,22516;3,732877;1,625037;0,6353357;12,96328;8,845124;1,484737;0;0,5963224;13,24538
22,23545;3,736095;1,626109;0,6487765;13,14584;9,521998;1,428347;1,342348;0,596668;13,2592
22,24682;3,736095;1,626109;0,6487765;13,14584;9,521998;1,428347;0;0,5963629;13,2592
22,26275;3,741224;1,627212;0,668762;13,67709;10,7087;1,53293;1,295074;0,5968633;13,27983
22,28785;3,746706;1,627864;0,6875491;14,08939;12,19884;1,675818;0,7796763;0,5970693;13,2994
22,29944;3,748533;1,628175;0,6934809;14,09097;12,67339;1,667677;0,5355078;0,5970373;13,30561
22,3123;3,750375;1,628437;0,6993062;14,06166;13,1189;1,749065;0,4753845;0,5969672;13,31172
22,32438;3,750375;1,628437;0,6993062;14,06166;13,1189;1,749065;0;0,5966437;13,31172
22,33507;3,753985;1,629112;0,710772;13,88465;14,01965;1,878702;1,125398;0,5968967;13,32374
22,35083;3,757625;1,629513;0,7220887;13,82733;14,80081;2,074291;0,7541801;0,5970077;13,33563
22,3655;3,757625;1,629513;0,7220887;13,82733;14,80081;2,074291;0;0,5966157;13,33563
22,37985;3,762804;1,6294;0,7386294;13,74733;15,86799;2,297064;1,208253;0,597008;13,35296
22,39489;3,764589;1,629336;0,7440909;13,77197;16,18312;2,376923;0,381905;0,5968634;13,35871
22,41029;3,768286;1,629139;0,7547729;13,81509;16,79734;2,604177;0,734283;0,5969579;13,37001
22,43086;3,772047;1,628868;0,765295;14,06207;17,40384;2,780587;0,5431068;0,5969085;13,38118
22,45243;3,775633;1,628894;0,7753451;14,41273;17,91505;2,897575;0,4947855;0,5968103;13,39186
22,46582;3,775633;1,628894;0,7753451;14,41273;17,91505;2,897575;0;0,5964544;13,39186
22,47813;3,78058;1,629423;0,7900146;14,70356;18,28265;2,839901;1,257198;0,5968167;13,40734
22,49263;3,781935;1,629814;0,794687;14,73123;18,30832;2,774167;0,3354435;0,596648;13,4122
22,51185;3,784597;1,630883;0,8040047;14,97283;18,36116;2,629367;0,5041708;0,5965689;13,42189
22,52452;3,784597;1,630883;0,8040047;14,97283;18,36116;2,629367;0;0,5962333;13,42189
22,53566;3,787048;1,632088;0,8132623;14,61482;18,41897;2,511424;0,859603;0,5963635;13,43147
22,55066;3,789176;1,633202;0,8224577;14,54532;18,39721;2,423615;0,6294111;0,5963855;13,44091
22,56412;3,789176;1,633202;0,8224577;14,54532;18,39721;2,423615;0;0,5960295;13,44091
22,57893;3,791897;1,634146;0,8362693;14,58253;18,34843;2,366651;0,9507198;0,5962623;13,45498
22,598;3,793773;1,634146;0,846091;14,41494;18,10689;2,459679;0,5243589;0,5962015;13,46498
22,61674;3,796007;1,633503;0,8556386;14,37355;18,11131;2,605844;0,5230209;0,5961409;13,47479
22,62861;3,796007;1,633503;0,8556386;14,37355;18,11131;2,605844;0;0,5958282;13,47479
22,63895;3,79882;1,632255;0,8650205;14,43002;18,36733;2,727448;0,9465807;0,5959886;13,48458
22,65399;3,800402;1,631535;0,8696453;14,53286;18,51097;2,784139;0,325007;0,5958085;13,48947
22,66582;3,800402;1,631535;0,8696453;14,53286;18,51097;2,784139;0;0,5954975;13,48947
22,67818;3,805892;1,629113;0,8826774;15,00267;19,25733;2,992515;1,144321;0,5957967;13,50361
22,69395;3,80799;1,628228;0,8869617;15,39059;19,47118;2,964183;0,3025169;0,5955928;13,50838
22,70722;3,80799;1,628228;0,8869617;15,39059;19,47118;2,964183;0;0,5952445;13,50838
22,72109;3,815477;1,626603;0,8992135;15,8253;20,18098;3,318697;1,034898;0,5955131;13,52274
22,73361;3,818358;1,626394;0,903774;14,33186;20,72853;3,565622;0,4309086;0,5954224;13,52813
22,74743;3,818358;1,626394;0,903774;14,33186;20,72853;3,565622;0;0,5950604;13,52813
22,76243;3,827842;1,625649;0,9147637;14,38844;22,16502;3,987782;0,9678171;0,5953062;13,54265
22,77928;3,834653;1,625283;0,921195;16,1992;23,13999;4,026442;0,5559214;0,595277;13,55202
22,79622;3,838315;1,625087;0,9246506;16,40501;23,62541;4,097639;0,2972889;0,5950555;13,55705
22,80647;3,838315;1,625087;0,9246506;16,40501;23,62541;4,097639;0;0,5947878;13,55705
22,81627;3,845999;1,624652;0,9315017;16,42914;24,47762;4,270552;1,050525;0,5949837;13,56735
22,82995;3,854072;1,62431;0,9384362;14,88718;25,70315;4,431854;0,7780505;0,5950934;13,57799
22,84016;3,854072;1,62431;0,9384362;14,88718;25,70315;4,431854;0;0,5948272;13,57799
22,8516;3,862965;1,623918;0,9452131;14,83858;26,64494;4,576108;0,9775102;0,5950188;13,58917
22,86295;3,862965;1,623918;0,9452131;14,83858;26,64494;4,576108;0;0,5947233;13,58917
22,87691;3,871521;1,623606;0,9519562;15,77281;27,92765;4,452208;0,7800632;0,5948365;13,60007
22,89098;3,880432;1,623414;0,9584454;15,4292;28,93738;4,537941;0,7835118;0,5949525;13,61109
22,90496;3,880432;1,623414;0,9584454;15,4292;28,93738;4,537941;0;0,5945893;13,61109
22,91857;3,892964;1,623613;0,9680775;15,82958;29,99333;4,232249;1,161592;0,5949261;13,62689
22,93513;3,89696;1,624114;0,9721957;15,574;29,93747;4,299758;0,3465473;0,5947466;13,63263
22,94981;3,904886;1,624953;0,979159;15,85086;30,31515;3,955407;0,7186287;0,594826;13,64318
22,96676;3,904886;1,624953;0,979159;15,85086;30,31515;3,955407;0;0,5943866;13,64318
22,97836;3,916922;1,626704;0,9903439;16,05536;30,61316;3,823667;1,41705;0,5948019;13,65961
22,99242;3,920736;1,627151;0,9941364;15,71607;30,79166;3,786838;0,382574;0,594672;13,66499
23,01187;3,928389;1,628138;1,001419;15,80565;31,04325;3,753506;0,5431361;0,5946285;13,67556
23,03007;3,935601;1,628844;1,008633;15,9146;31,10538;3,77591;0,5606174;0,5946016;13,68576
23,04767;3,935601;1,628844;1,008633;15,9146;31,10538;3,77591;0;0,594147;13,68576
23,06011;3,946145;1,629187;1,018995;15,86218;31,0124;3,752086;1,188375;0,5944678;13,70054
23,07106;3,949498;1,628951;1,022425;15,69708;31,09338;3,619199;0,4379978;0,5943935;13,70534
23,08813;3,949498;1,628951;1,022425;15,69708;31,09338;3,619199;0;0,5939539;13,70534
23,09916;3,959964;1,628015;1,032122;15,75746;31,23943;3,48172;1,29285;0,594288;13,7196
23,11097;3,963349;1,627504;1,035457;15,76095;31,28204;3,374403;0,4025352;0,5941899;13,72436
23,12511;3,963349;1,627504;1,035457;15,76095;31,28204;3,374403;0;0,5938264;13,72436
23,13482;3,969669;1,626271;1,041982;15,5334;31,58513;3,181739;0,935891;0,5939699;13,73344
23,14486;3,969669;1,626271;1,041982;15,5334;31,58513;3,181739;0;0,5937123;13,73344
23,1539;3,975691;1,62507;1,048792;16,07203;31,61706;3,05945;1,005075;0,593873;13,74253
23,16808;3,975691;1,62507;1,048792;16,07203;31,61706;3,05945;0;0,5935095;13,74253
23,17729;3,980564;1,62364;1,055957;16,16912;31,61439;2,814274;0,9399881;0,5936474;13,7512
23,18898;3,980564;1,62364;1,055957;16,16912;31,61439;2,814274;0;0,5933479;13,7512
23,1989;3,986159;1,62198;1,067066;17,6236;30,90643;2,706904;1,254524;0,5936306;13,76363
23,21248;3,987552;1,621665;1,071141;17,35916;30,60597;2,667234;0,3171198;0,5934688;13,76794
23,23435;3,989305;1,621433;1,079286;17,71958;29,59825;2,495331;0,3809232;0,5932686;13,77627
23,24754;3,989305;1,621433;1,079286;17,71958;29,59825;2,495331;0;0,5929317;13,77627
23,25671;3,989959;1,621513;1,087689;17,8985;28,19327;2,179039;0,9190822;0,5930604;13,7847
23,26672;3,989959;1,621513;1,087689;17,8985;28,19327;2,179039;0;0,5928052;13,7847
23,27689;3,988984;1,621832;1,097852;17,96787;25,68308;1,76237;1,004249;0,592985;13,79491
23,28878;3,988984;1,621832;1,097852;17,96787;25,68308;1,76237;0;0,5926819;13,79491
23,29927;3,985758;1,622028;1,112279;17,86033;21,36175;0,7207117;1,410044;0,5930499;13,80969
