Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
21,65808;3,399429;0,05175596;-0,1523495;356,0378;194,1794;358,158;0;0,5806045;12;0,9093125;0,5366778;1,033512
21,94579;3,600371;0,08204106;0,5944862;11,21443;186,4264;359,5306;0,2682423;0,6082508;12;0,9093125;0,5366778;1,033512
21,96328;3,610983;0,08653031;0,6179276;12,55445;185,9083;358,8026;0,1482712;0,6089382;12;0,9093125;0,5366778;1,033512
21,97529;3,615783;0,08831262;0,6280346;13,02991;185,4196;358,6493;0,09508029;0,6091148;12;0,9093125;0,5366778;1,033512
21,98986;3,625126;0,09053568;0,6444893;13,99439;184,3851;357,7694;0,1316281;0,609572;12;0,9093125;0,5366778;1,033512
22,00318;3,625126;0,09053568;0,6444893;13,99439;184,3851;357,7694;0;0,6092028;12;0,9093125;0,5366778;1,033512
22,0163;3,635062;0,09091667;0,656744;14,27814;183,35;356,9121;0,1219748;0,6095564;12;0,9093125;0,5366778;1,033512
22,03284;3,645917;0,08914851;0,665638;13,88079;183,0685;356,3005;0,0861559;0,6097358;12;0,9093125;0,5366778;1,033512
22,04538;3,645917;0,08914851;0,665638;13,88079;183,0685;356,3005;7,524232E-10;0,6093889;12;0,9093125;0,5366778;1,033512
22,06769;3,669658;0,08273908;0,6750221;12,87301;185,1075;355,6901;0,1181985;0,60993;12;0,9093125;0,5366778;1,033512
22,08287;3,675725;0,08057634;0,67589;12,51956;185,9541;355,6947;0,04287712;0,6097881;12;0,9093125;0,5366778;1,033512
22,10012;3,687592;0,07564493;0,6760349;11,91561;187,8647;355,1285;0,07373193;0,6098492;12;0,9093125;0,5366778;1,033512
22,11538;3,693227;0,07294416;0,6753464;11,6229;188,8841;354,8945;0,04066491;0,6096851;12;0,9093125;0,5366778;1,033512
22,1274;3,693227;0,07294416;0,6753464;11,6229;188,8841;354,8945;7,445292E-10;0,6093535;12;0,9093125;0,5366778;1,033512
22,13944;3,710102;0,06520474;0,6744766;9,061384;193,8502;359,1397;0,155154;0,6097856;12;0,9093125;0,5366778;1,033512
22,15359;3,714361;0,06237308;0,6756935;7,917381;195,0461;359,7074;0,03700813;0,6095961;12;0,9093125;0,5366778;1,033512
22,16444;3,714361;0,06237308;0,6756935;7,917381;195,0461;359,7074;6,353813E-09;0,6092975;12;0,9093125;0,5366778;1,033512
22,17451;3,714361;0,06237308;0,6756935;7,917381;195,0461;359,7074;6,426187E-09;0,6090207;12;0,9093125;0,5366778;1,033512
22,19023;3,718088;0,05176599;0,6829891;3,16305;195,6913;359,766;0,08606905;0,6089584;12;0,9093125;0,5366778;1,033512
22,20968;3,719367;0,05063526;0,6831188;2,743841;195,9734;359,8069;0,2689454;0,6084825;12;0,9093125;0,5366778;1,033512
22,22516;3,719367;0,05063526;0,6831188;2,743841;195,9734;359,8069;0,2969088;0,6080586;12;0,9093125;0,5366778;1,033512
22,23545;3,719458;0,05008455;0,6834927;2,582949;195,9962;359,4381;0,1873148;0,6077942;12;0,9093125;0,5366778;1,033512
22,24682;3,719458;0,05008455;0,6834927;2,582949;195,9962;359,4381;0,2675723;0,6074834;12;0,9093125;0,5366778;1,033512
22,26275;3,719361;0,04964441;0,683691;2,533198;196,0245;359,0506;0,006292;0,6070584;12;0,9093125;0,5366778;1,033512
22,28785;3,7192;0,04938866;0,6839428;2,629285;196,0278;358,6971;0,2339615;0,6063877;12;0,9093125;0,5366778;1,033512
22,29944;3,71919;0,04930888;0,6839619;2,635351;196,0327;358,6346;0,1675036;0,6060733;12;0,9093125;0,5366778;1,033512
