Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
21,65808;3,662333;0,0454506;0,2320728;0,8672327;178,8211;0,1324683;0,001975798;0,613855;14;1,090386;-0,9081273;0,7607658
21,94579;3,662437;0,04465909;0,2328167;0,6288046;178,9061;0,9043891;0,003956926;0,6058367;14;1,090386;-0,9081273;0,7607658
21,96328;3,662341;0,04464601;0,2330513;0,4908347;178,9167;1,067057;0,001808108;0,6053653;14;0,9209741;0,7041195;0,7607658
21,97529;3,662508;0,04455719;0,2331619;0,4511103;178,9788;0,9768164;0,001934936;0,6050434;14;0,9209741;0,7041195;0,7607658
21,98986;3,662369;0,04429196;0,2333813;0,5235378;178,9443;1,409249;0,002018755;0,6046542;14;0,9209741;0,7041195;0,7607658
22,00318;3,662369;0,04429196;0,2333813;0,5235378;178,9443;1,409249;2,105846E-10;0,6042879;14;0,9209741;0,7041195;0,7607658
22,0163;3,662135;0,04424439;0,233593;0,2564499;178,8437;1,297207;0,002892511;0,6039418;14;0,9209741;0,7041195;0,7607658
22,03284;3,662355;0,04422746;0,2338123;0,1570024;178,9176;1,382748;0,0026378;0,6035022;14;0,9209741;0,7041195;0,7607658
22,04538;3,662355;0,04422746;0,2338123;0,1570024;178,9176;1,382748;0,001596861;0,603159;14;0,9209741;0,7041195;0,7607658
22,06769;3,662181;0,04449477;0,2343636;359,441;178,8577;1,245871;0,002860214;0,6025749;14;0,9209741;0,7041195;0,7607658
22,08287;3,662356;0,0443332;0,2344761;359,5299;178,8665;1,664453;0,006462504;0,6021699;14;0,9209741;0,7041195;0,7607658
22,10012;3,66258;0,04480582;0,2348175;359,3328;178,9351;2,16322;0,002687228;0,6017181;14;0,9209741;0,7041195;0,7607658
22,11538;3,66265;0,04497791;0,2350502;359,2242;178,962;2,417549;0,001877461;0,6013138;14;0,9209741;0,7041195;0,7607658
22,1274;3,66265;0,04497791;0,2350502;359,2242;178,962;2,417549;2,132413E-10;0,6009867;14;0,9209741;0,7041195;0,7607658
22,13944;3,662967;0,04616721;0,2358208;358,3257;178,9787;3,056664;0,01343536;0,6006973;14;0,9209741;0,7041195;0,7607658
22,15359;3,662969;0,04646309;0,2361221;358,2158;179,0049;3,734137;0,002384978;0,6003271;14;0,9209741;0,7041195;0,7607658
22,16444;3,662969;0,04646309;0,2361221;358,2158;179,0049;3,734137;2,020591E-10;0,6000331;14;0,9209741;0,7041195;0,7607658
22,17451;3,66342;0,04786019;0,2368774;357,1848;178,9934;4,41385;0,01639822;0,5998002;14;0,9209741;0,7041195;0,7607658
22,19023;3,664023;0,04953207;0,2379284;355,9564;178,9545;5,613258;0,01261137;0,5994297;14;0,9209741;0,7041195;0,7607658
22,20968;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,01650657;0,5989942;14;0,9209741;0,7041195;0,7607658
22,22516;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,002883534;0,5985768;14;0,9209741;0,7041195;0,7607658
22,23545;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,003713964;0,5982995;14;0,9209741;0,7041195;0,7607658
22,24682;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,005208012;0,5979936;14;0,9209741;0,7041195;0,7607658
22,26275;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,5975654;14;0,9209741;0,7041195;0,7607658
22,28785;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,004753701;0,596892;14;0,9209741;0,7041195;0,7607658
22,29944;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,003692308;0,5965816;14;0,9209741;0,7041195;0,7607658
22,3123;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,5962377;14;0,9209741;0,7041195;0,7607658
22,32438;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,00568402;0,5959147;14;0,9209741;0,7041195;0,7607658
22,33507;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,003609384;0,5956295;14;0,9209741;0,7041195;0,7607658
22,35083;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,007504357;0,5952092;14;0,9209741;0,7041195;0,7607658
22,3655;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,004087308;0,5948185;14;0,9209741;0,7041195;0,7607658
22,37985;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,594437;14;0,9209741;0,7041195;0,7607658
22,39489;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,02505287;0,5940374;14;0,9209741;0,7041195;0,7607658
22,41029;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,00612438;0,5936291;14;0,9209741;0,7041195;0,7607658
