Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
18,13859;2,192857;1,659859;-1,117527;8,797546;79,03072;359,9686;1,517044;0,5900448;10,69468
18,40799;2,388117;1,646539;-1,121762;9,638946;75,95065;357,9868;0,7249717;0,5920209;10,88999
18,42934;2,402984;1,648031;-1,12075;9,830546;75,44637;357,8043;0,6977963;0,5921435;10,90489
18,44323;2,410181;1,648807;-1,120028;10,01297;75,12782;357,8234;0,5206927;0,5920897;10,91212
18,45909;2,424269;1,650309;-1,118239;10,10449;74,50549;357,8386;0,8956791;0,5923506;10,92633
18,4707;2,431038;1,650851;-1,117183;9,970017;74,19395;357,8506;0,5899629;0,5923491;10,93318
18,48071;2,431038;1,650851;-1,117183;9,970017;74,19395;357,8506;0;0,592028;10,93318
18,48974;2,44447;1,651736;-1,114879;9,797433;73,58433;357,9888;1,509367;0,5924763;10,94681
18,50421;2,44447;1,651736;-1,114879;9,797433;73,58433;357,9888;0;0,5920128;10,94681
18,51422;2,457516;1,651921;-1,112033;10,04023;72,94598;358,0266;1,332925;0,592414;10,96016
18,5231;2,457516;1,651921;-1,112033;10,04023;72,94598;358,0266;0;0,5921298;10,96016
18,53381;2,470469;1,65176;-1,108634;10,1588;72,46308;357,939;1,250806;0,5925106;10,97355
18,54883;2,470469;1,65176;-1,108634;10,1588;72,46308;357,939;0;0,5920303;10,97355
18,56041;2,48979;1,650786;-1,102781;10,50561;71,54319;358,171;1,744036;0,5927493;10,99374
18,57768;2,502535;1,649933;-1,098058;10,81103;70,82722;358,5218;0,7867501;0,5929298;11,00733
18,60023;2,514793;1,64895;-1,092954;11,51637;70,1836;358,6213;0,5888574;0,5929249;11,02061
18,62088;2,526372;1,647814;-1,087119;11,97509;69,60699;358,64;0,6278866;0,5929637;11,03357
18,63748;2,537474;1,647323;-1,081138;12,54339;68,72018;358,8301;0,7599586;0,5931125;11,04618
18,65109;2,542838;1,647218;-1,078064;12,73469;68,26103;358,9546;0,4539763;0,5930108;11,05237
18,66473;2,542838;1,647218;-1,078064;12,73469;68,26103;358,9546;0;0,5925773;11,05237
18,67455;2,553026;1,647205;-1,071957;13,53822;67,38893;359,0974;1,209022;0,5929018;11,06424
18,68643;2,553026;1,647205;-1,071957;13,53822;67,38893;359,0974;0;0,5925247;11,06424
18,69643;2,563066;1,647657;-1,065492;13,48145;66,44662;359,357;1,193844;0,5928466;11,07619
