Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
18,13859;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,01699346;0,5907987;10;0,9076191;0,5497619;1,073868
18,40799;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,001312299;0,5821461;10;0,9076191;0,5497619;1,073868
18,42934;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,0006275225;0,5814711;10;0,9076191;0,5497619;1,073868
18,44323;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;2,107815E-10;0,5810328;10;0,9076191;0,5497619;1,073868
18,45909;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,0008202135;0,5805334;10;0,9076191;0,5497619;1,073868
18,4707;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;2,072768E-10;0,5801681;10;0,9076191;0,5497619;1,073868
18,48071;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,0002739307;0,5798536;10;0,9076191;0,5497619;1,073868
18,48974;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,0009862159;0,5795702;10;0,9076191;0,5497619;1,073868
18,50421;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,001911347;0,5791168;10;0,9076191;0,5497619;1,073868
18,51422;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;2,137487E-10;0,5788033;10;0,9076191;0,5497619;1,073868
18,5231;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;2,137672E-10;0,5785257;10;0,9076191;0,5497619;1,073868
18,53381;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,002161949;0,5781913;10;0,9076191;0,5497619;1,073868
18,54883;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;2,111334E-10;0,5777225;10;0,9076191;0,5497619;1,073868
18,56041;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,002551002;0,577362;10;0,9076191;0,5497619;1,073868
18,57768;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,000268243;0,5768247;10;0,9076191;0,5497619;1,073868
18,60023;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5761249;10;0,9076191;0,5497619;1,073868
18,62088;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,007298262;0,5754855;10;0,9076191;0,5497619;1,073868
18,63748;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5749727;10;0,9076191;0,5497619;1,073868
18,65109;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0,007357459;0,5745527;10;0,9076191;0,5497619;1,073868
18,66473;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5741326;10;0,9076191;0,5497619;1,073868
18,67455;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5738304;10;0,9076191;0,5497619;1,073868
18,68643;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5734653;10;0,9076191;0,5497619;1,073868
18,69643;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,5731584;10;0,9076191;0,5497619;1,073868
18,70936;1,954805;0,05747668;-1,113033;0,1198734;268,7573;358,5836;0;0,572762;10;0,9076191;0,5497619;1,073868
18,71949;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;9,065819;0,594363;10;0,9076191;0,5497619;1,073868
18,73417;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;0;0,5938969;11;1,029605;-1,292897;1,052311
18,74493;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;0;0,5935557;11;1,029605;-1,292897;1,052311
18,75477;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;0;0,593244;11;1,029605;-1,292897;1,052311
18,76929;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;0;0,5927847;11;1,029605;-1,292897;1,052311
18,77896;2,354523;0,08823466;-1,022375;335,9641;255,353;5,627329;0;0,5924793;11;1,029605;-1,292897;1,052311
18,79014;2,527005;0,07012282;-0,994215;351,8061;255,6378;3,994012;3,405852;0,6014341;11;1,029605;-1,292897;1,052311
18,80416;2,527005;0,07012282;-0,994215;351,8061;255,6378;3,994012;0;0,6009853;11;1,029605;-1,292897;1,052311
18,81296;2,576389;0,06929594;-0,9850044;356,1255;255,272;3,190262;1,25667;0,6033763;11;1,029605;-1,292897;1,052311
18,82725;2,576389;0,06929594;-0,9850044;356,1255;255,272;3,190262;0;0,6029178;11;1,029605;-1,292897;1,052311
18,83635;2,624774;0,07132967;-0,9754753;0,16957;254,5286;2,426756;1,276428;0,6052463;11;1,029605;-1,292897;1,052311
18,85519;2,6706;0,07644;-0,965271;3,802739;253,4961;2,092131;0,5944372;0,6071329;11;1,029605;-1,292897;1,052311
18,8726;2,712046;0,08366762;-0,954134;7,734795;251,933;0,6314002;0,5907728;0,6088481;11;1,029605;-1,292897;1,052311
