Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
18,13859;2,254303;0,07185621;-1,212488;6,798651;250,3414;359,925;1,211916;0,6101601;12;0,9916751;-0,9201937;0,7711723
18,40799;2,403242;0,05757335;-1,190483;1,260051;251,881;359,0751;0,3710792;0,6094088;12;0,9916751;-0,9201937;0,7711723
18,42934;2,403322;0,05742877;-1,190355;1,108666;252,0268;359,0171;0,3239847;0,6087103;12;0,9916751;-0,9201937;0,7711723
18,44323;2,403338;0,05715074;-1,190258;0,9195794;251,9972;358,8179;0,002403367;0,6082568;12;0,9916751;-0,9201937;0,7711723
18,45909;2,403498;0,05677852;-1,190184;0,6704142;251,9838;358,6617;0,5510946;0,6077436;12;0,9916751;-0,9201937;0,7711723
18,4707;2,40363;0,05651816;-1,190117;0,5607759;251,97;358,5798;0,002872042;0,6073692;12;0,9916751;-0,9201937;0,7711723
18,48071;2,40363;0,05651816;-1,190117;0,5607759;251,97;358,5798;0,736458;0,60704;12;0,9916751;-0,9201937;0,7711723
18,48974;2,403957;0,05612606;-1,189976;0,4449359;251,9309;358,6272;0,1730442;0,6067626;12;0,9916751;-0,9201937;0,7711723
18,50421;2,403957;0,05612606;-1,189976;0,4449359;251,9309;358,6272;0,3812769;0,6062879;12;0,9916751;-0,9201937;0,7711723
18,51422;2,404275;0,05561418;-1,189638;0,04766469;251,8509;358,3544;0,007913055;0,6059847;12;0,9916751;-0,9201937;0,7711723
18,5231;2,404275;0,05561418;-1,189638;0,04766469;251,8509;358,3544;2,184613E-08;0,6056941;12;0,9916751;-0,9201937;0,7711723
18,53381;2,404565;0,05513931;-1,189302;359,7597;251,7964;358,2392;0,8867912;0,6053679;12;0,9916751;-0,9201937;0,7711723
18,54883;2,404565;0,05513931;-1,189302;359,7597;251,7964;358,2392;2,157697E-08;0,6048772;12;0,9916751;-0,9201937;0,7711723
18,56041;2,40492;0,05453128;-1,188873;359,3263;251,6817;357,9753;0,6039279;0,6045297;12;0,9916751;-0,9201937;0,7711723
18,57768;2,405071;0,05430053;-1,188705;359,1692;251,6337;358,0878;0,1590988;0,6039792;12;0,9916751;-0,9201937;0,7711723
18,60023;2,405405;0,05421494;-1,188354;359,0034;251,8325;358,0927;0,002402531;0,6032726;12;0,9916751;-0,9201937;0,7711723
18,62088;2,405325;0,0539932;-1,188705;359,0019;251,3837;358,0284;0,7120217;0,6026224;12;0,9916751;-0,9201937;0,7711723
