Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
24,40411;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,004456691;0,5742886;18;0,7070509;0,3815397;0,9150711
24,71701;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,0007222535;0,5670141;18;0,7070509;0,3815397;0,9150711
24,74679;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,548511E-10;0,5663313;18;0,7070509;0,3815397;0,9150711
24,76562;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,0008069615;0,5659006;18;0,7070509;0,3815397;0,9150711
24,78083;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,001782854;0,5655529;18;0,7070509;0,3815397;0,9150711
24,79637;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,002562498;0,5651983;18;0,7070509;0,3815397;0,9150711
24,81224;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,002352083;0,5648366;18;0,7070509;0,3815397;0,9150711
24,82817;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,001551358;0,5644739;18;0,7070509;0,3815397;0,9150711
24,8406;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,557848E-10;0,5641913;18;0,7070509;0,3815397;0,9150711
24,85507;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,587728E-10;0,5638626;18;0,7070509;0,3815397;0,9150711
24,87361;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,598601E-10;0,5634421;18;0,7070509;0,3815397;0,9150711
24,89497;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,587417E-10;0,5629584;18;0,7070509;0,3815397;0,9150711
24,91282;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;1,58335E-10;0,5625548;18;0,7070509;0,3815397;0,9150711
24,92943;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,001122514;0,5621797;18;0,7070509;0,3815397;0,9150711
24,94263;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,002859573;0,5618821;18;0,7070509;0,3815397;0,9150711
24,95537;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,002114225;0,5615951;18;0,7070509;0,3815397;0,9150711
24,97068;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,001568154;0,5612504;18;0,7070509;0,3815397;0,9150711
24,98595;3,632959;0,04603944;2,568487;358,0121;160,3257;358,068;0,002611501;0,5609073;18;0,7070509;0,3815397;0,9150711
24,99936;3,349647;0,07670432;3,322474;11,32302;144,5869;358,1976;5,338005;0,5928448;18;0,7070509;0,3815397;0,9150711
25,01206;3,349647;0,07670432;3,322474;11,32302;144,5869;358,1976;0;0,5925436;19;0,904007;-1,006929;0,9235485
25,03074;3,320346;0,0891314;3,363922;15,24544;141,9338;357,6729;0,4954357;0,5941303;19;0,904007;-1,006929;0,9235485
25,05174;3,293503;0,09899837;3,392385;17,80408;136,638;357,0357;0,3500129;0,5951946;19;0,904007;-1,006929;0,9235485
25,06881;3,28606;0,1002059;3,398909;18,4965;134,5106;355,9407;0,1069973;0,595184;19;0,904007;-1,006929;0,9235485
25,08183;3,273685;0,09917251;3,408617;18,44995;130,2979;354,4494;0,2235567;0,5955024;19;0,904007;-1,006929;0,9235485
25,09478;3,273685;0,09917251;3,408617;18,44995;130,2979;354,4494;0;0,5951949;19;0,904007;-1,006929;0,9235485
25,10839;3,265317;0,09535879;3,416008;17,64609;127,6029;354,1444;0,162608;0,5953169;19;0,904007;-1,006929;0,9235485
25,12288;3,260178;0,09013373;3,421444;17,19333;126,667;354,6616;0,118774;0,5952715;19;0,904007;-1,006929;0,9235485
25,13721;3,258521;0,08721798;3,423643;16,83408;126,2763;354,7788;0,05239834;0,5950414;19;0,904007;-1,006929;0,9235485
25,15292;3,258521;0,08721798;3,423643;16,83408;126,2763;354,7788;1,389689E-09;0,5946695;19;0,904007;-1,006929;0,9235485
25,16591;3,255218;0,07549072;3,429441;12,95656;125,9966;357,9171;0,1974062;0,5946276;19;0,904007;-1,006929;0,9235485
25,17918;3,253651;0,07165881;3,432068;11,16568;125,856;359,3346;0,07222129;0,5944356;19;0,904007;-1,006929;0,9235485
25,19667;3,250056;0,06287171;3,437336;7,340995;126,1364;0,1155296;0,1215283;0,5942761;19;0,904007;-1,006929;0,9235485
25,21552;3,250056;0,06287171;3,437336;7,340995;126,1364;0,1155296;0;0,5938316;19;0,904007;-1,006929;0,9235485
25,23184;3,245846;0,05321554;3,443207;3,165783;127,4037;359,8587;0,1419004;0,5937337;19;0,904007;-1,006929;0,9235485
25,24563;3,245869;0,05272076;3,443668;2,845283;127,3155;359,621;0,009402361;0,5934277;19;0,904007;-1,006929;0,9235485
25,25859;3,245656;0,05215309;3,444059;2,637454;127,392;359,358;0,01073619;0,5931405;19;0,904007;-1,006929;0,9235485
25,27189;3,245656;0,05215309;3,444059;2,637454;127,392;359,358;11,67625;0,5928282;19;0,904007;-1,006929;0,9235485
25,28502;3,24494;0,05073692;3,444935;2,242286;127,4542;358,6104;0,02684182;0,5925649;19;0,904007;-1,006929;0,9235485
25,29942;3,244887;0,0504595;3,44525;2,090711;127,4597;358,6421;0,5380474;0,59224;19;0,904007;-1,006929;0,9235485
25,31393;3,244887;0,0504595;3,44525;2,090711;127,4597;358,6421;0,3768991;0,5919004;19;0,904007;-1,006929;0,9235485
25,326;3,244472;0,0495912;3,445805;1,776795;127,4863;358,5652;0,10993;0,5916455;19;0,904007;-1,006929;0,9235485
25,34042;3,24437;0,04934122;3,445906;1,692265;127,4804;358,5107;0,2455245;0,5913143;19;0,904007;-1,006929;0,9235485
25,36903;3,244112;0,04891535;3,446115;1,499217;127,4939;358,4579;0,003654387;0,5906602;19;0,904007;-1,006929;0,9235485
25,39069;3,24395;0,04868103;3,446213;1,403294;127,5135;358,3974;0,1605691;0,5901635;19;0,904007;-1,006929;0,9235485
25,40979;3,243945;0,04852809;3,446396;1,316878;127,5454;358,4673;0,1142154;0,5897268;19;0,904007;-1,006929;0,9235485
25,42228;3,243641;0,04820581;3,446165;1,465694;127,9022;358,4676;0,04888849;0,5894519;19;0,904007;-1,006929;0,9235485
25,43728;3,243493;0,04823019;3,446106;1,364744;127,8232;358,442;0,001990508;0,5891104;19;0,904007;-1,006929;0,9235485
25,45156;3,243493;0,04823019;3,446106;1,364744;127,8232;358,442;0,1932227;0,5887797;19;0,904007;-1,006929;0,9235485
25,46665;3,243653;0,04829435;3,446396;1,143254;127,5112;358,3801;0,06771632;0,5884436;19;0,904007;-1,006929;0,9235485
25,4798;3,243601;0,0482136;3,446316;1,178471;127,6724;358,4323;0,114146;0,5881435;19;0,904007;-1,006929;0,9235485
25,49298;3,243601;0,0482136;3,446316;1,178471;127,6724;358,4323;2,102679E-09;0,5878393;19;0,904007;-1,006929;0,9235485
25,50544;3,243382;0,04815881;3,446255;1,075034;127,6316;358,3972;0,1402046;0,5875609;19;0,904007;-1,006929;0,9235485
25,51912;3,243378;0,0481306;3,446278;1,049025;127,6192;358,402;0,008990547;0,5872465;19;0,904007;-1,006929;0,9235485
25,54329;3,242684;0,04820103;3,44672;0,8920401;126,9783;358,3215;0,009278844;0,5867227;19;0,904007;-1,006929;0,9235485
25,56236;3,242625;0,04794339;3,445393;0,8831607;127,9717;358,1775;0,01298286;0,5863368;19;0,904007;-1,006929;0,9235485
25,5761;3,242391;0,04798424;3,445782;0,845021;128,0303;357,7263;0,02248309;0,5860393;19;0,904007;-1,006929;0,9235485
