Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
24,40411;3,654218;0,06221517;3,08712;10,33314;146,1802;359,2283;0,09358562;0,5944834;15;1,064297;-1,187187;0,8376228
24,71701;3,647043;0,04365095;3,097816;359,967;143,9556;358,7538;0,00613519;0,5874745;15;1,064297;-1,187187;0,8376228
24,74679;3,647141;0,04363693;3,097969;359,9223;143,887;358,8226;0,0005077675;0,5867744;15;0,8421991;0,5044278;0,8376228
24,76562;3,647065;0,04353768;3,097912;359,8145;143,8582;358,7794;3,374423;0,5863319;15;0,8421991;0,5044278;0,8376228
24,78083;3,647062;0,0435267;3,097933;359,8454;143,8676;358,8398;0,3083521;0,5859725;16;1,088643;-1,13745;1,043262
24,79637;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,220071;0,5856054;16;1,088643;-1,13745;1,043262
24,81224;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,1795588;0,5852306;16;1,088643;-1,13745;1,043262
24,82817;3,647253;0,04369131;3,09782;359,5894;143,7015;359,1045;0,2299097;0,5848641;16;1,088643;-1,13745;1,043262
24,8406;3,647255;0,04376898;3,097734;359,5775;143,6796;359,2407;0,2471673;0,5845747;16;1,088643;-1,13745;1,043262
24,85507;3,647255;0,04376898;3,097734;359,5775;143,6796;359,2407;0,1859779;0,5842342;16;1,088643;-1,13745;1,043262
24,87361;3,647269;0,04375914;3,097719;359,5227;143,6668;359,2977;0,2397419;0,5837992;16;1,088643;-1,13745;1,043262
24,89497;3,646989;0,04327426;3,097858;359,6695;143,89;358,8147;0,1106051;0,5833107;16;1,088643;-1,13745;1,043262
24,91282;3,647113;0,04333827;3,098;359,7736;143,8812;358,9492;0,0009458044;0,5829;16;1,088643;-1,13745;1,043262
24,92943;3,647222;0,04346763;3,098225;0,1696519;143,9687;359,5194;0,3013426;0,5825214;16;1,088643;-1,13745;1,043262
24,94263;3,647216;0,04350191;3,098261;0,2882786;144,0515;359,6123;0,1263621;0,5822145;16;1,088643;-1,13745;1,043262
24,95537;3,647216;0,04350191;3,098261;0,2882786;144,0515;359,6123;0,03375692;0,5819171;16;1,088643;-1,13745;1,043262
24,97068;3,647231;0,04337841;3,098156;0,2285555;143,985;359,5605;0,0468234;0,5815642;16;1,088643;-1,13745;1,043262
24,98595;3,647193;0,04330284;3,098158;0,1952241;143,9933;359,535;0,06380828;0,5812102;16;1,088643;-1,13745;1,043262
24,99936;3,647037;0,04308619;3,097881;359,8098;143,9001;359,1823;0,05363316;0,5809109;16;1,088643;-1,13745;1,043262
25,01206;3,647037;0,04308619;3,097881;359,8098;143,9001;359,1823;0,00659895;0,5806158;16;1,088643;-1,13745;1,043262
