Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
13,71861;3,658396;0,06663594;3,0842;12,10508;147,3134;358,4028;0,7513935;0,6526403;9;1,233768;-1,053845;0,9094896
14,01437;3,64721;0,04374125;3,097717;0,06692589;143,9061;358,7261;0,3022127;0,6401061;9;1,233768;-1,053845;0,9094896
14,03389;3,647043;0,04365095;3,097816;359,967;143,9556;358,7538;0,2722008;0,6392289;9;1,233768;-1,053845;0,9094896
14,04953;3,647043;0,04365095;3,097816;359,967;143,9556;358,7538;2,974633E-08;0,6385164;9;1,233768;-1,053845;0,9094896
14,06271;3,647141;0,04363693;3,097969;359,9223;143,887;358,8226;0,5032852;0,6379305;9;1,233768;-1,053845;0,9094896
14,07652;3,647074;0,04354757;3,097895;359,8412;143,8717;358,7701;0,001002252;0,637311;9;1,233768;-1,053845;0,9094896
14,08832;3,647074;0,04354757;3,097895;359,8412;143,8717;358,7701;0,6166;0,6367766;9;1,233768;-1,053845;0,9094896
14,09941;3,647062;0,0435267;3,097933;359,8454;143,8676;358,8398;0,1867347;0,6362782;9;1,233768;-1,053845;0,9094896
14,11548;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,0002001971;0,6355534;9;1,233768;-1,053845;0,9094896
14,12828;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,338759;0,634977;9;1,233768;-1,053845;0,9094896
14,14086;3,647246;0,04369137;3,097805;359,6165;143,6868;359,1399;0,1549345;0,6344278;9;1,233768;-1,053845;0,9094896
14,15423;3,647255;0,04376898;3,097734;359,5775;143,6796;359,2407;0,0008121746;0,6338331;9;1,233768;-1,053845;0,9094896
14,16872;3,647255;0,04376898;3,097734;359,5775;143,6796;359,2407;0,1499464;0,6331842;9;1,233768;-1,053845;0,9094896
14,18548;3,647212;0,0436157;3,097706;359,4926;143,7122;359,1124;0,0009808303;0,6324393;9;1,233768;-1,053845;0,9094896
