Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
7,540885;3,533353;1,62337;2,908839;10,88081;336,1241;7,47189;0,5809281;0,5277041;3,971074
7,872536;3,481587;1,621865;3,143818;15,13569;334,3375;8,471146;0,7254997;0,5360534;4,211687
7,898204;3,474489;1,620616;3,160391;15,83906;334,2144;8,759106;0,7023943;0,5365951;4,229716
7,913539;3,474489;1,620616;3,160391;15,83906;334,2144;8,759106;0;0,5355532;4,229716
7,926321;3,46788;1,618972;3,176492;17,27714;334,2153;8,6157;1,361668;0,5368881;4,24712
7,940732;3,465516;1,618416;3,181726;17,43563;334,2461;8,661026;0,3985218;0,5366365;4,252864
7,953561;3,465516;1,618416;3,181726;17,43563;334,2461;8,661026;0;0,5357692;4,252864
7,969716;3,458241;1,617205;3,197973;17,94899;334,1509;8,78039;1,101963;0,5369191;4,270666
7,982867;3,455609;1,616722;3,203083;18,16605;334,1804;8,787438;0,4370701;0,5367543;4,276413
7,995272;3,455609;1,616722;3,203083;18,16605;334,1804;8,787438;0;0,5359198;4,276413
8,00711;3,447299;1,61536;3,218962;18,50068;334,0036;8,883934;1,513957;0,5373685;4,294335
8,018454;3,444471;1,614931;3,224469;18,48705;333,9185;8,986142;0,5457771;0,5373805;4,300526
8,031878;3,444471;1,614931;3,224469;18,48705;333,9185;8,986142;0;0,5364805;4,300526
8,046325;3,435112;1,613253;3,239932;18,72875;333,6174;8,999121;1,251126;0,5377661;4,3186
8,059492;3,431857;1,612579;3,245178;18,80626;333,5582;9,033052;0,4688635;0,5376533;4,324774
8,072224;3,431857;1,612579;3,245178;18,80626;333,5582;9,033052;0;0,5368036;4,324774
8,085482;3,422058;1,610855;3,261191;18,8323;333,2904;9,037041;1,416055;0,5382482;4,343548
8,099572;3,418675;1,610162;3,266494;18,85618;333,1991;9,019282;0,4463947;0,5380881;4,349838
8,111756;3,418675;1,610162;3,266494;18,85618;333,1991;9,019282;0;0,5372783;4,349838
8,125854;3,408334;1,608073;3,282606;18,94992;333,0317;9,022806;1,358033;0,5387049;4,368982
8,150789;3,401327;1,606716;3,293812;18,78941;332,9596;9,00901;0,5300385;0,5386783;4,382199
8,179778;3,390223;1,604169;3,310406;18,76987;333,1032;8,877268;0,6887617;0,5392113;4,402166
8,203274;3,382388;1,602198;3,32201;18,68501;333,1911;8,899672;0,5959213;0,5393741;4,416167
8,229197;3,369973;1,598704;3,339396;18,65684;333,4871;8,942839;0,8241236;0,5402728;4,437531
8,246469;3,360952;1,595843;3,350812;18,63132;333,5957;9,137637;0,8423801;0,5409067;4,452081
8,265098;3,351694;1,592871;3,362375;18,99991;333,8056;9,189572;0,7951819;0,541481;4,466894
