Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
14,53544;-0,08590178;1,665196;-2,085268;8,907923;53,94607;1,382803;1,437618;0,5604302;8,138602
14,86878;0,106499;1,652432;-1,869287;9,347239;57,0492;0,3354335;0,8677529;0,5673261;8,427853
14,88315;0,1113794;1,653618;-1,863557;9,862677;57,1956;0,05512363;0,5237026;0,5672839;8,43538
14,89426;0,1163906;1,654818;-1,858218;9,670444;57,60349;0,03143656;0,65908;0,5673525;8,442702
14,90458;0,1163906;1,654818;-1,858218;9,670444;57,60349;0,03143656;0;0,5669591;8,442702
14,91803;0,1309895;1,657812;-1,841775;9,604685;58,1806;359,7481;1,635825;0,5679231;8,464691
14,92888;0,1309895;1,657812;-1,841775;9,604685;58,1806;359,7481;0;0,5675098;8,464691
14,93768;0,1358705;1,658492;-1,836424;9,68856;58,45283;359,7168;0,8224269;0,5676602;8,471933
14,94992;0,1456912;1,659103;-1,825442;9,945348;58,84359;359,6398;1,204193;0,5681816;8,486667
14,964;0,1456912;1,659103;-1,825442;9,945348;58,84359;359,6398;0;0,5676466;8,486667
14,97359;0,1554932;1,659043;-1,814552;10,33205;59,09834;359,6113;1,527473;0,5682619;8,501318
14,98502;0,1554932;1,659043;-1,814552;10,33205;59,09834;359,6113;0;0,5678282;8,501318
14,99749;0,1654764;1,658556;-1,804058;10,50507;59,3638;359,7478;1,161405;0,5683223;8,515802
15,00639;0,1654764;1,658556;-1,804058;10,50507;59,3638;359,7478;0;0,5679849;8,515802
15,01593;0,1754396;1,65764;-1,793633;11,32166;59,74072;359,7074;1,511026;0,5685848;8,530223
15,02845;0,1754396;1,65764;-1,793633;11,32166;59,74072;359,7074;0;0,5681108;8,530223
15,04054;0,1898717;1,656081;-1,77877;12,26974;60,21384;359,9058;1,713608;0,5690324;8,55094
15,05652;0,194669;1,655765;-1,77407;12,47724;60,4294;359,9619;0,4201693;0,5688742;8,557655
15,06729;0,194669;1,655765;-1,77407;12,47724;60,4294;359,9619;0;0,5684675;8,557655
15,07588;0,2040773;1,65529;-1,765173;12,73728;60,76839;0,02701088;1,507454;0,569003;8,570604
15,08624;0,2040773;1,65529;-1,765173;12,73728;60,76839;0,02701088;0;0,5686116;8,570604
15,09635;0,2131799;1,655031;-1,75672;12,88208;60,95261;0,1776563;1,2292;0,5690542;8,583027
15,10689;0,2131799;1,655031;-1,75672;12,88208;60,95261;0,1776563;0;0,5686567;8,583027
15,1191;0,2267419;1,655179;-1,744734;13,0697;61,4197;0,2278455;1,48273;0,5693954;8,601127
15,1295;0,2267419;1,655179;-1,744734;13,0697;61,4197;0,2278455;0;0,5690038;8,601127
15,14789;0,2402241;1,655372;-1,733144;13,37716;61,7506;0,1150935;0,9666762;0,569487;8,618905
15,15991;0,2446559;1,655309;-1,729421;13,30919;61,72633;0,187875;0,4813512;0,569417;8,624693
15,17224;0,2494031;1,655504;-1,725459;13,38235;61,74238;0,2379;0,5017735;0,569362;8,630877
15,18252;0,2494031;1,655504;-1,725459;13,38235;61,74238;0,2379;0;0,5689761;8,630877
15,19643;0,2631681;1,655009;-1,714675;13,07147;62,10705;0,206917;1,25652;0,5696062;8,648362
15,21122;0,2682598;1,654173;-1,711815;14,38817;62,43364;0,4780224;0,3949516;0,5694363;8,654202
15,22038;0,2682598;1,654173;-1,711815;14,38817;62,43364;0,4780224;0;0,5690932;8,654202
15,23239;0,2776986;1,654084;-1,704071;13,32118;62,45063;359,9184;1,016875;0,5694464;8,666411
15,25743;0,2925529;1,652486;-1,693858;13,26414;62,66457;0,0456157;0,720053;0,5696938;8,684438
15,27182;0,2975543;1,651797;-1,690566;13,13428;62,7573;0,06006855;0,4158858;0,5695487;8,690426
15,28423;0,2975543;1,651797;-1,690566;13,13428;62,7573;0,06006855;0;0,5690861;8,690426
