Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
14,53544;-0,6008229;0,06364562;-2,454481;357,1624;235,5292;357,1718;0;0,5261081;8;0,8821834;0,5318612;0,8391989
14,86878;0,07838754;0,06245255;-1,778856;2,739716;237,2428;358,2628;0,3033954;0,5787925;8;0,8821834;0,5318612;0,8391989
14,88315;0,0783859;0,06234163;-1,7789;2,724197;237,2426;358,327;0,0008674564;0,5782359;8;0,8821834;0,5318612;0,8391989
14,89426;0,07838432;0,06222522;-1,778906;2,706275;237,235;358,2882;0,001094944;0,5778046;8;0,8821834;0,5318612;0,8391989
14,90458;0,07838432;0,06222522;-1,778906;2,706275;237,235;358,2882;3,838071E-09;0,577404;8;0,8821834;0,5318612;0,8391989
14,91803;0,07839472;0,06195872;-1,778763;2,655868;237,2306;358,1326;0,002327011;0,5768929;8;0,8821834;0,5318612;0,8391989
14,92888;0,07839472;0,06195872;-1,778763;2,655868;237,2306;358,1326;3,77957E-09;0,5764731;8;0,8821834;0,5318612;0,8391989
14,93768;0,0784219;0,06188137;-1,778708;2,662644;237,2296;358,0199;0,0011647;0,5761371;8;0,8821834;0,5318612;0,8391989
14,94992;0,0785895;0,06160295;-1,778721;2,517953;237,2447;358,04;0,002744697;0,5756764;8;0,8821834;0,5318612;0,8391989
14,964;0,0785895;0,06160295;-1,778721;2,517953;237,2447;358,04;3,718493E-09;0,5751343;8;0,8821834;0,5318612;0,8391989
14,97359;0,07863624;0,06137547;-1,778631;2,403725;237,2862;358,066;0,002677839;0,5747722;8;0,8821834;0,5318612;0,8391989
14,98502;0,07863624;0,06137547;-1,778631;2,403725;237,2862;358,066;3,75481E-09;0,5743336;8;0,8821834;0,5318612;0,8391989
14,99749;0,07865901;0,06131082;-1,778553;2,363372;237,2618;357,9908;0,000863609;0,573861;8;0,8821834;0,5318612;0,8391989
15,00639;0,07865901;0,06131082;-1,778553;2,363372;237,2618;357,9908;3,744665E-09;0,5735203;8;0,8821834;0,5318612;0,8391989
15,01593;0,07869147;0,06119451;-1,778551;2,29936;237,2448;358,0257;0,001315047;0,5731577;8;0,8821834;0,5318612;0,8391989
15,02845;0,07869147;0,06119451;-1,778551;2,29936;237,2448;358,0257;3,748397E-09;0,5726799;8;0,8821834;0,5318612;0,8391989
15,04054;0,07890093;0,06098652;-1,778522;2,139451;237,2679;358,1228;0,002543472;0,5722332;8;0,8821834;0,5318612;0,8391989
15,05652;0,07899725;0,0608625;-1,778522;2,157073;237,16;358,1961;0,001007024;0,5716316;8;0,8821834;0,5318612;0,8391989
15,06729;0,07899725;0,0608625;-1,778522;2,157073;237,16;358,1961;3,759159E-09;0,5712229;8;0,8821834;0,5318612;0,8391989
15,07588;0,07899581;0,06078555;-1,778488;2,074127;237,2044;358,1794;0,295171;0,5708994;8;0,8821834;0,5318612;0,8391989
15,08624;0,07899581;0,06078555;-1,778488;2,074127;237,2044;358,1794;0,002120171;0,5705068;8;0,8821834;0,5318612;0,8391989
15,09635;0,07901816;0,06080081;-1,778465;2,02984;237,2621;358,0665;0,003264423;0,5701267;8;0,8821834;0,5318612;0,8391989
15,10689;0,07901816;0,06080081;-1,778465;2,02984;237,2621;358,0665;1,216642E-10;0,5697284;8;0,8821834;0,5318612;0,8391989
15,1191;0,07899412;0,06069112;-1,778507;1,931595;237,2691;358,0795;0,004656116;0,5692711;8;0,8821834;0,5318612;0,8391989
15,1295;0,07899412;0,06069112;-1,778507;1,931595;237,2691;358,0795;1,223336E-10;0,5688797;8;0,8821834;0,5318612;0,8391989
15,14789;0,07915759;0,06064289;-1,778419;1,776686;237,2953;358,0701;0,00218054;0,5682006;8;0,8821834;0,5318612;0,8391989
15,15991;0,07921838;0,06060319;-1,778419;1,74942;237,2565;358,095;0,005328894;0,5677536;8;0,8821834;0,5318612;0,8391989
15,17224;0,07925448;0,06057425;-1,778391;1,697292;237,2521;358,0535;0,001103102;0,567295;8;0,8821834;0,5318612;0,8391989
15,18252;0,07925448;0,06057425;-1,778391;1,697292;237,2521;358,0535;0,006597897;0,5669105;8;0,8821834;0,5318612;0,8391989
15,19643;0,07950044;0,0604038;-1,778435;1,610822;237,1727;358,0661;0,005418429;0,5664074;8;0,8821834;0,5318612;0,8391989
15,21122;0,07944867;0,06034849;-1,778461;1,598664;237,1296;357,9966;0,002402321;0,5658601;8;0,8821834;0,5318612;0,8391989
15,22038;0,07944867;0,06034849;-1,778461;1,598664;237,1296;357,9966;2,092376E-10;0,5655192;8;0,8821834;0,5318612;0,8391989
15,23239;0,07960083;0,06018461;-1,778215;1,49796;237,0363;358,0646;0,005496202;0,565092;8;0,8821834;0,5318612;0,8391989
15,25743;0,07983291;0,06013476;-1,778677;1,474054;237,1843;357,8729;0,004769741;0,5641978;8;0,8821834;0,5318612;0,8391989
15,27182;0,08070698;0,05970409;-1,778168;1,108366;237,1618;358,6967;0,01277564;0,5637318;8;0,8821834;0,5318612;0,8391989
15,28423;0,08070698;0,05970409;-1,778168;1,108366;237,1618;358,6967;0,002239689;0,5632739;8;0,8821834;0,5318612;0,8391989
15,2927;0,07981546;0,06014258;-1,778587;1,37376;237,1178;357,8333;0,02993641;0,563026;8;0,8821834;0,5318612;0,8391989
15,31694;0,07989148;0,05994372;-1,778618;1,271662;237,0794;357,7783;0,001391538;0,5621396;8;0,8821834;0,5318612;0,8391989
15,32848;0,07989148;0,05994372;-1,778618;1,271662;237,0794;357,7783;1,249351E-09;0,5617161;8;0,8821834;0,5318612;0,8391989
15,33762;0,08022526;0,05976253;-1,778316;0,9597408;237,0258;358,0199;0,01121236;0,5614104;8;0,8821834;0,5318612;0,8391989
15,34932;0,08022526;0,05976253;-1,778316;0,9597408;237,0258;358,0199;1,227195E-09;0,5609821;8;0,8821834;0,5318612;0,8391989
15,35822;0,0804547;0,0596674;-1,778227;0,7324051;236,9947;357,9974;0,006831632;0,5606726;8;0,8821834;0,5318612;0,8391989
15,37619;0,08063169;0,05963198;-1,778183;0,5796271;236,9929;357,9892;0,002234112;0,5600289;8;0,8821834;0,5318612;0,8391989
15,39105;0,08101101;0,05948918;-1,778114;0,2790169;237,0048;357,9268;0,0038346;0,5595128;8;0,8821834;0,5318612;0,8391989
15,40323;0,08101101;0,05948918;-1,778114;0,2790169;237,0048;357,9268;0,001313491;0,5590697;8;0,8821834;0,5318612;0,8391989
15,41267;0,08135104;0,05952273;-1,778179;0,02446947;237,0493;357,5768;0,007666511;0,5587497;8;0,8821834;0,5318612;0,8391989
15,4245;0,08135104;0,05952273;-1,778179;0,02446947;237,0493;357,5768;9,172492E-10;0,5583206;8;0,8821834;0,5318612;0,8391989
15,43778;0,08198229;0,05957505;-1,77759;359,3896;236,936;357,5432;0,01271381;0,5578958;8;0,8821834;0,5318612;0,8391989
15,4508;0,08213723;0,05970314;-1,777426;359,158;236,8782;357,4438;0,005478524;0,55744;8;0,8821834;0,5318612;0,8391989
15,46125;0,08213723;0,05970314;-1,777426;359,158;236,8782;357,4438;1,308784E-09;0,557063;8;0,8821834;0,5318612;0,8391989
15,47076;0,08265732;0,06006452;-1,776913;358,412;236,8363;357,2541;0,01654159;0,5567676;8;0,8821834;0,5318612;0,8391989
15,48369;0,08265732;0,06006452;-1,776913;358,412;236,8363;357,2541;0,00458352;0,556302;8;0,8821834;0,5318612;0,8391989
15,49199;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,03880912;0,5560653;8;0,8821834;0,5318612;0,8391989
15,50781;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0;0,5554973;8;0,8821834;0,5318612;0,8391989
15,51927;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,03008096;0,5550869;8;0,8821834;0,5318612;0,8391989
15,53003;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,002077277;0,554702;8;0,8821834;0,5318612;0,8391989
15,54132;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0;0,5542986;8;0,8821834;0,5318612;0,8391989
15,55285;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,01313132;0,5538875;8;0,8821834;0,5318612;0,8391989
15,56744;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0;0,5533678;8;0,8821834;0,5318612;0,8391989
15,57704;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,007236814;0,5530264;8;0,8821834;0,5318612;0,8391989
15,58601;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,002521451;0,5527081;8;0,8821834;0,5318612;0,8391989
15,59706;0,0832756;0,06110118;-1,776192;357,1894;236,9307;356,957;0,006959833;0,552316;8;0,8821834;0,5318612;0,8391989
