Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
14,53544;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,002729348;0,5685124;9;1,117979;-0,9898663;0,7610475
14,86878;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,002349653;0,5557558;9;1,117979;-0,9898663;0,7610475
14,88315;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5552186;9;0,8873723;0,7158703;0,7610475
14,89426;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,002350672;0,5548041;9;0,8873723;0,7158703;0,7610475
14,90458;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5544195;9;0,8873723;0,7158703;0,7610475
14,91803;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,001859879;0,5539194;9;0,8873723;0,7158703;0,7610475
14,92888;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5535164;9;0,8873723;0,7158703;0,7610475
14,93768;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,005175802;0,5531898;9;0,8873723;0,7158703;0,7610475
14,94992;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5527366;9;0,8873723;0,7158703;0,7610475
14,964;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,001563202;0,5522161;9;0,8873723;0,7158703;0,7610475
14,97359;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,0009132882;0,551862;9;0,8873723;0,7158703;0,7610475
14,98502;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5514408;9;0,8873723;0,7158703;0,7610475
14,99749;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,00398198;0,5509819;9;0,8873723;0,7158703;0,7610475
15,00639;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5506548;9;0,8873723;0,7158703;0,7610475
15,01593;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,002312931;0,5503045;9;0,8873723;0,7158703;0,7610475
15,02845;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5498458;9;0,8873723;0,7158703;0,7610475
15,04054;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,001654494;0,5494034;9;0,8873723;0,7158703;0,7610475
15,05652;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5488197;9;0,8873723;0,7158703;0,7610475
15,06729;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0,001035877;0,5484273;9;0,8873723;0,7158703;0,7610475
15,07588;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5481145;9;0,8873723;0,7158703;0,7610475
15,08624;-0,2080161;0,05611872;-2,251869;359,0234;222,3414;357,9702;0;0,5477375;9;0,8873723;0,7158703;0,7610475
15,09635;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;8,727862;0,5695116;9;0,8873723;0,7158703;0,7610475
15,10689;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5691137;10;1,024781;-0,9653515;0,78169
15,1191;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5686538;10;1,024781;-0,9653515;0,78169
15,1295;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5682627;10;1,024781;-0,9653515;0,78169
15,14789;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5675721;10;1,024781;-0,9653515;0,78169
15,15991;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5671216;10;1,024781;-0,9653515;0,78169
15,17224;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5666605;10;1,024781;-0,9653515;0,78169
15,18252;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5662764;10;1,024781;-0,9653515;0,78169
15,19643;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5657574;10;1,024781;-0,9653515;0,78169
15,21122;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5652069;10;1,024781;-0,9653515;0,78169
15,22038;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5648664;10;1,024781;-0,9653515;0,78169
15,23239;0,03632012;0,1115865;-2,02422;329,8589;215,0791;6,709065;0;0,5644208;10;1,024781;-0,9653515;0,78169
15,25743;0,3146033;0,07106808;-1,728079;4,782789;214,9978;2,43039;3,752942;0,5901517;10;1,024781;-0,9653515;0,78169
15,27182;0,3295153;0,07241089;-1,71011;7,026206;214,8321;1,983886;0,3708104;0,5911252;10;1,024781;-0,9653515;0,78169
15,28423;0,3295153;0,07241089;-1,71011;7,026206;214,8321;1,983886;6,161839E-08;0,5906451;10;1,024781;-0,9653515;0,78169
15,2927;0,3578685;0,07789999;-1,677826;11,76491;215,0581;3,544585;1,202341;0,5931296;10;1,024781;-0,9653515;0,78169
15,31694;0,3849716;0,08337901;-1,649235;15,06507;215,9675;3,869019;0,3651977;0,5947645;10;1,024781;-0,9653515;0,78169
15,32848;0,3849716;0,08337901;-1,649235;15,06507;215,9675;3,869019;8,45134E-08;0,5943165;10;1,024781;-0,9653515;0,78169
15,33762;0,4231613;0,09181119;-1,618259;19,91772;220,9518;6,587899;6,19967;0,5971707;10;1,024781;-0,9653515;0,78169
15,34932;0,4231613;0,09181119;-1,618259;19,91772;220,9518;6,587899;1,055356E-07;0,5967151;10;1,024781;-0,9653515;0,78169
15,35822;0,4443606;0,09584034;-1,604862;22,13699;225,2708;7,578958;0,6307328;0,5980032;10;1,024781;-0,9653515;0,78169
15,37619;0,4521865;0,09633698;-1,600111;22,43698;227,5887;7,57874;0,1102757;0,5978998;10;1,024781;-0,9653515;0,78169
15,39105;0,465025;0,09456303;-1,592829;21,60874;232,7433;8,200179;0,2125547;0,5982819;10;1,024781;-0,9653515;0,78169
15,40323;0,465025;0,09456303;-1,592829;21,60874;232,7433;8,200179;1,180685E-07;0,5978081;10;1,024781;-0,9653515;0,78169
15,41267;0,4729519;0,0897795;-1,588457;20,23634;237,6281;9,662384;0,2386051;0,5980298;10;1,024781;-0,9653515;0,78169
15,4245;0,4729519;0,0897795;-1,588457;20,23634;237,6281;9,662384;1,188664E-07;0,5975705;10;1,024781;-0,9653515;0,78169
