Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
8,113834;3,662053;0,04532472;0,2320747;0,8414146;178,72;0,1579859;0,01071401;0,7343389;6;1,278872;-0,8584044;0,5693948
8,41787;3,662594;0,04469083;0,2329082;0,6087239;178,9865;0,9581288;0,0003981331;0,7078896;6;1,278872;-0,8584044;0,5693948
8,437604;3,662508;0,04455719;0,2331619;0,4511103;178,9788;0,9768164;0,001820051;0,706263;6;0,8830202;0,6375988;0,5693948
8,453403;3,662369;0,04429196;0,2333813;0,5235378;178,9443;1,409249;0,002350441;0,7049716;6;0,8830202;0,6375988;0,5693948
8,463819;3,662369;0,04429196;0,2333813;0,5235378;178,9443;1,409249;0,002244162;0,7041026;6;0,8830202;0,6375988;0,5693948
8,474332;3,662135;0,04424439;0,233593;0,2564499;178,8437;1,297207;0,003044175;0,703265;6;0,8830202;0,6375988;0,5693948
8,485888;3,662135;0,04424439;0,233593;0,2564499;178,8437;1,297207;0,002658302;0,7023057;6;0,8830202;0,6375988;0,5693948
8,497372;3,662355;0,04422746;0,2338123;0,1570024;178,9176;1,382748;0,003194329;0,7013916;6;0,8830202;0,6375988;0,5693948
8,509129;3,662355;0,04422746;0,2338123;0,1570024;178,9176;1,382748;2,633908E-10;0,7004209;6;0,8830202;0,6375988;0,5693948
8,519018;3,662366;0,04424349;0,2340412;0,004757862;178,9195;1,460694;0,001936056;0,6996334;6;0,8830202;0,6375988;0,5693948
8,531974;3,662181;0,04449477;0,2343636;359,441;178,8577;1,245871;0,003460893;0,6986129;6;0,8830202;0,6375988;0,5693948
8,545461;3,662181;0,04449477;0,2343636;359,441;178,8577;1,245871;0,004765528;0,6975085;6;0,8830202;0,6375988;0,5693948
8,554923;3,662438;0,04447513;0,2346363;359,4869;178,8891;1,925967;0,003935953;0,6967795;6;0,8830202;0,6375988;0,5693948
8,565373;3,662438;0,04447513;0,2346363;359,4869;178,8891;1,925967;0,001090228;0,695928;6;0,8830202;0,6375988;0,5693948
8,578091;3,66265;0,04497791;0,2350502;359,2242;178,962;2,417549;0,006074015;0,6949489;6;0,8830202;0,6375988;0,5693948
8,595141;3,662856;0,0457604;0,2355232;358,6162;178,9621;2,717202;0,004313011;0,6936281;6;0,8830202;0,6375988;0,5693948
8,608279;3,662856;0,0457604;0,2355232;358,6162;178,9621;2,717202;3,893359E-10;0,6925678;6;0,8830202;0,6375988;0,5693948
8,616316;3,662969;0,04646309;0,2361221;358,2158;179,0049;3,734137;0,01440625;0,6919916;6;0,8830202;0,6375988;0,5693948
8,62722;3,662969;0,04646309;0,2361221;358,2158;179,0049;3,734137;0,002058694;0,6911155;6;0,8830202;0,6375988;0,5693948
8,63718;3,66342;0,04786019;0,2368774;357,1848;178,9934;4,41385;0,01760412;0,6904192;6;0,8830202;0,6375988;0,5693948
8,650196;3,66342;0,04786019;0,2368774;357,1848;178,9934;4,41385;0,003627538;0,6893786;6;0,8830202;0,6375988;0,5693948
8,660267;3,664023;0,04953207;0,2379284;355,9564;178,9545;5,613258;0,05369627;0,6887158;6;0,8830202;0,6375988;0,5693948
8,673303;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,06153982;0,6879094;6;0,8830202;0,6375988;0,5693948
8,683088;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,00770578;0,6871328;6;0,8830202;0,6375988;0,5693948
8,694664;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6862165;6;0,8830202;0,6375988;0,5693948
8,706398;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,006830172;0,6852902;6;0,8830202;0,6375988;0,5693948
8,719175;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6842843;6;0,8830202;0,6375988;0,5693948
8,731421;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,005805454;0,683323;6;0,8830202;0,6375988;0,5693948
8,745407;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,008499093;0,6822284;6;0,8830202;0,6375988;0,5693948
8,757625;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6812751;6;0,8830202;0,6375988;0,5693948
8,770285;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,009800439;0,6802901;6;0,8830202;0,6375988;0,5693948
8,780495;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6794978;6;0,8830202;0,6375988;0,5693948
8,79601;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,01297342;0,6782973;6;0,8830202;0,6375988;0,5693948
8,805739;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,01341644;0,6775466;6;0,8830202;0,6375988;0,5693948
8,824663;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6760914;6;0,8830202;0,6375988;0,5693948
8,843969;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,02728157;0,6746131;6;0,8830202;0,6375988;0,5693948
8,87104;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6725512;6;0,8830202;0,6375988;0,5693948
8,890519;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,03497641;0,6710752;6;0,8830202;0,6375988;0,5693948
8,903347;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6701068;6;0,8830202;0,6375988;0,5693948
8,91617;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,04282772;0,6691415;6;0,8830202;0,6375988;0,5693948
8,930944;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0,04999568;0,6680328;6;0,8830202;0,6375988;0,5693948
8,943478;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6670952;6;0,8830202;0,6375988;0,5693948
8,954673;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6662599;6;0,8830202;0,6375988;0,5693948
8,966672;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6653669;6;0,8830202;0,6375988;0,5693948
8,97971;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6643993;6;0,8830202;0,6375988;0,5693948
8,994866;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,663278;6;0,8830202;0,6375988;0,5693948
9,008345;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,662284;6;0,8830202;0,6375988;0,5693948
9,020392;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6613981;6;0,8830202;0,6375988;0,5693948
9,036057;3,665059;0,0520024;0,2396336;353,8574;179,0185;6,72024;0;0,6602497;6;0,8830202;0,6375988;0,5693948
