Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
30,93212;-0,06249782;1,646451;4,303475;11,41471;295,8465;3,285311;0,7551504;0,591216;18,27863
31,22716;-0,2059852;1,635277;4,429797;13,38886;313,0844;3,700478;0,6479266;0,5917522;18,4698
31,25028;-0,214796;1,633738;4,440444;13,24337;313,7195;3,535242;0,5977471;0,5917566;18,48362
31,26559;-0,2237592;1,631543;4,451469;13,03718;314,3299;3,425112;0,9282866;0,5919214;18,49783
31,28026;-0,228201;1,630234;4,457128;13,11969;314,6429;3,374158;0,4903858;0,5918738;18,50503
31,29215;-0,228201;1,630234;4,457128;13,11969;314,6429;3,374158;0;0,5916489;18,50503
31,30653;-0,2412362;1,625771;4,474303;13,72537;315,4896;3,208021;1,49947;0,592066;18,52659
31,31875;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;0,5962079;0,5920677;18,53388
31,33162;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;0;0,5918244;18,53388
31,34241;-0,2579421;1,619607;4,498109;13,69337;316,3427;3,338832;2,021731;0,5923164;18,55568
31,35706;-0,2618406;1,618005;4,504422;13,90352;316,6754;3,436723;0,5062184;0,5922762;18,5631
31,36937;-0,2618406;1,618005;4,504422;13,90352;316,6754;3,436723;0;0,5920436;18,5631
31,38327;-0,2735684;1,614714;4,522946;13,86071;316,8936;3,047293;1,577465;0,5924803;18,58502
31,40257;-0,2813644;1,613788;4,5358;13,7005;316,9998;2,847578;0,7789745;0,592595;18,60005
31,42103;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0,4135557;0,5924897;18,60769
31,43314;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0;0,5922613;18,60769
31,44582;-0,2974442;1,614565;4,562354;13,71422;316,9627;2,280754;1,845594;0,5927671;18,6311
31,45848;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0,6036278;0,5927715;18,63874
31,46992;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0;0,5925558;18,63874
31,4812;-0,3090556;1,616939;4,582253;13,75941;316,8338;1,627597;1,366069;0,5928329;18,65413
31,49526;-0,3090556;1,616939;4,582253;13,75941;316,8338;1,627597;0;0,5925682;18,65413
31,50569;-0,3199549;1,619878;4,601476;13,97027;316,8977;1,158964;2,118752;0,5930735;18,67623
31,5185;-0,3234969;1,62101;4,607577;14,01174;316,8632;0,9539217;0,5504055;0,5930562;18,68329
31,53527;-0,3234969;1,62101;4,607577;14,01174;316,8632;0,9539217;0;0,5927408;18,68329
31,55287;-0,3373117;1,625388;4,630902;13,83271;316,642;0,1310212;1,540202;0,5932695;18,7104
31,56966;-0,3405381;1,626683;4,636344;13,5651;316,6166;359,8837;0,3767576;0,5931543;18,71672
31,58259;-0,347335;1,628546;4,647371;13,34908;316,7614;359,5976;1,001699;0,5933217;18,72968
31,5939;-0,347335;1,628546;4,647371;13,34908;316,7614;359,5976;0;0,5931092;18,72968
31,60666;-0,3543244;1,630179;4,658274;13,14037;316,8888;359,4553;1,015214;0,5932797;18,74263
31,62208;-0,3612314;1,631367;4,669027;13,23094;317,0796;359,3255;0,8288935;0,5933946;18,75541
31,63433;-0,3612314;1,631367;4,669027;13,23094;317,0796;359,3255;0;0,5931647;18,75541
31,64569;-0,3682256;1,63239;4,679669;13,52841;317,3369;359,1759;1,121713;0,5933543;18,76814
31,6623;-0,3752274;1,632999;4,690215;13,98142;317,6797;359,2003;0,7618128;0,5934428;18,7808
31,67359;-0,3752274;1,632999;4,690215;13,98142;317,6797;359,2003;0;0,5932313;18,7808
31,6846;-0,3818139;1,633842;4,700504;14,25348;318,0318;359,2512;1,109458;0,5934108;18,79302
31,69856;-0,3852059;1,634511;4,705414;14,2241;318,0464;359,2071;0,4274596;0,5933377;18,79899
31,71937;-0,3915469;1,635602;4,715472;14,43713;318,3892;359,2434;0,5714306;0,5933233;18,81088
31,73668;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0,6775351;0,5933692;18,82261
