Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
30,93212;-0,02215851;0,05655019;4,157403;1,721553;118,3256;359,2074;0,3594939;0,5975885;23;0,8700551;-0,9680216;0,9020828
31,22716;-0,02364942;0,05502236;4,158838;0,3049443;118,3298;359,4831;0,2439317;0,5920058;23;0,8700551;-0,9680216;0,9020828
31,25028;-0,02375598;0,05496072;4,158908;0,1655265;118,3364;359,5403;0,1321255;0,5915717;23;0,8700551;-0,9680216;0,9020828
31,26559;-0,02382683;0,05487857;4,158886;0,1043006;118,3879;359,3774;0,1587686;0,5912843;23;0,8700551;-0,9680216;0,9020828
31,28026;-0,02405485;0,05481423;4,158861;0,05053343;118,4995;359,4065;0,1673084;0,5910142;23;0,8700551;-0,9680216;0,9020828
31,29215;-0,02405485;0,05481423;4,158861;0,05053343;118,4995;359,4065;0,04944872;0,5907896;23;0,8700551;-0,9680216;0,9020828
31,30653;-0,02396598;0,05491273;4,15938;359,7191;118,1621;359,1762;0,003396178;0,5905349;23;0,8700551;-0,9680216;0,9020828
31,31875;-0,02382611;0,0548619;4,159391;359,6648;118,0817;358,8316;0,08274551;0,5903088;23;0,8700551;-0,9680216;0,9020828
31,33162;-0,02382611;0,0548619;4,159391;359,6648;118,0817;358,8316;0,04964773;0,5900661;23;0,8700551;-0,9680216;0,9020828
31,34241;-0,02430297;0,05515635;4,159534;359,1578;118,1097;358,5369;0,01274577;0,589879;23;0,8700551;-0,9680216;0,9020828
31,35706;-0,02453724;0,05535572;4,159525;358,8372;118,1328;358,4398;0,04596945;0,5896106;23;0,8700551;-0,9680216;0,9020828
31,36937;-0,02453724;0,05535572;4,159525;358,8372;118,1328;358,4398;0,01459023;0,5893791;23;0,8700551;-0,9680216;0,9020828
31,38327;-0,02555798;0,05665192;4,159679;357,5027;118,0992;357,7865;0,02202052;0,5891509;23;0,8700551;-0,9680216;0,9020828
31,40257;-0,02662028;0,05815743;4,160037;356,0677;118,0959;357,1226;0,01080211;0,5888244;23;0,8700551;-0,9680216;0,9020828
31,42103;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,006631324;0,5885025;23;0,8700551;-0,9680216;0,9020828
31,43314;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,006353324;0,5882757;23;0,8700551;-0,9680216;0,9020828
31,44582;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,003623255;0,5880383;23;0,8700551;-0,9680216;0,9020828
31,45848;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,00252528;0,5878015;23;0,8700551;-0,9680216;0,9020828
31,46992;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,003279583;0,5875877;23;0,8700551;-0,9680216;0,9020828
31,4812;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,0008821343;0,5873772;23;0,8700551;-0,9680216;0,9020828
31,49526;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,001267481;0,5871149;23;0,7266302;0,435468;0,9020828
31,50569;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,001572661;0,5869204;23;0,7266302;0,435468;0,9020828
31,5185;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,003567548;0,5866817;23;0,7266302;0,435468;0,9020828
31,53527;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5863696;23;0,7266302;0,435468;0,9020828
31,55287;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,007936343;0,5860423;23;0,7266302;0,435468;0,9020828
31,56966;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,002577672;0,5857305;23;0,7266302;0,435468;0,9020828
31,58259;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5854905;23;0,7266302;0,435468;0,9020828
