Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
30,93212;0,3382831;0,05654715;4,228285;355,7885;88,17148;3,626657;0,000878965;0,5905738;20;0,8048493;0,5108196;0,9623388
31,22716;-0,1746311;0,0714331;4,450994;4,391637;114,2833;4,304812;0,1656586;0,6029066;20;0,8048493;0,5108196;0,9623388
31,25028;-0,2149688;0,07563546;4,480711;9,172334;115,4703;3,722661;0,1872108;0,6040643;20;0,8048493;0,5108196;0,9623388
31,26559;-0,2511504;0,08211649;4,51068;13,27266;116,0824;2,63505;0,2664607;0,6052718;20;0,8048493;0,5108196;0,9623388
31,28026;-0,2663897;0,08604871;4,525727;15,06823;116,592;1,885559;0,1357543;0,6056728;20;0,8048493;0,5108196;0,9623388
31,29215;-0,2663897;0,08604871;4,525727;15,06823;116,592;1,885559;0,000772749;0,6054426;20;0,8048493;0,5108196;0,9623388
31,30653;-0,3003239;0,09747548;4,567808;20,22158;118,5506;0,250522;0,3504246;0,6068919;20;0,8048493;0,5108196;0,9623388
31,31875;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;0,0981755;0,6070758;20;0,8048493;0,5108196;0,9623388
31,33162;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;0,0007485303;0,6068263;20;0,8048493;0,5108196;0,9623388
31,34241;-0,3184513;0,09560866;4,59868;20,99616;126,8773;0,7285522;0,2008575;0,6073405;20;0,8048493;0,5108196;0,9623388
31,35706;-0,3202636;0,09033062;4,601391;18,70258;128,1204;0,2033918;0,04056261;0,6071604;20;0,8048493;0,5108196;0,9623388
31,36937;-0,3202636;0,09033062;4,601391;18,70258;128,1204;0,2033918;0,001888419;0,6069221;20;0,8048493;0,5108196;0,9623388
31,38327;-0,3246075;0,0765259;4,607742;12,51475;130,0648;359,2421;0,1135387;0,6068984;20;0,8048493;0,5108196;0,9623388
31,40257;-0,3295286;0,06723965;4,612585;7,857058;130,2259;359,8587;0,06157545;0,6067452;20;0,8048493;0,5108196;0,9623388
31,42103;-0,3315851;0,06389473;4,614265;6,630983;129,9886;0,7495348;0,02218515;0,6064731;20;0,8048493;0,5108196;0,9623388
31,43314;-0,3315851;0,06389473;4,614265;6,630983;129,9886;0,7495348;0,01923132;0,6062394;20;0,8048493;0,5108196;0,9623388
31,44582;-0,3350857;0,0599741;4,615595;3,96415;129,3731;0,1405007;0,04104247;0,6061139;20;0,8048493;0,5108196;0,9623388
31,45848;-0,3354641;0,05935775;4,615822;3,090569;129,2853;359,3913;0,005789944;0,6058838;20;0,8048493;0,5108196;0,9623388
31,46992;-0,3354641;0,05935775;4,615822;3,090569;129,2853;359,3913;2,086735E-08;0,6056634;20;0,8048493;0,5108196;0,9623388
31,4812;-0,3369481;0,0579223;4,616467;2,246685;129,0298;359,2799;0,1781408;0,6054979;20;0,8048493;0,5108196;0,9623388
31,49526;-0,3369481;0,0579223;4,616467;2,246685;129,0298;359,2799;0,4506288;0,6052275;20;0,8048493;0,5108196;0,9623388
31,50569;-0,3383788;0,05653371;4,616697;1,269777;128,754;358,8127;0,6530398;0,605073;20;0,8048493;0,5108196;0,9623388
31,5185;-0,338577;0,05620247;4,616735;1,044134;128,7116;358,6429;0,3243553;0,6048333;20;0,8048493;0,5108196;0,9623388
31,53527;-0,338577;0,05620247;4,616735;1,044134;128,7116;358,6429;4,614305E-08;0,6045116;20;0,8048493;0,5108196;0,9623388
31,55287;-0,3390628;0,0554953;4,616957;0,6241874;128,6999;358,4653;0,8150677;0,6041911;20;0,8048493;0,5108196;0,9623388
31,56966;-0,3391159;0,05537887;4,617025;0,6422191;128,6794;358,5609;0,2300778;0,6038724;21;0,9869581;-1,063642;0,9486068
31,58259;-0,3391735;0,05522146;4,617059;0,5666225;128,6388;358,5546;0,002782399;0,6036271;21;0,9869581;-1,063642;0,9486068
31,5939;-0,3391735;0,05522146;4,617059;0,5666225;128,6388;358,5546;0,452379;0,6034109;21;0,9869581;-1,063642;0,9486068
31,60666;-0,3392323;0,05511084;4,617131;0,5345752;128,6345;358,5929;0,08663636;0,6031702;21;0,9869581;-1,063642;0,9486068
31,62208;-0,3391848;0,05506375;4,617156;0,4956159;128,6509;358,5924;0,0009698469;0,6028777;21;0,9869581;-1,063642;0,9486068
31,63433;-0,3391848;0,05506375;4,617156;0,4956159;128,6509;358,5924;0,2384544;0,602644;21;0,9869581;-1,063642;0,9486068
31,64569;-0,3391486;0,05503295;4,617221;0,4823108;128,6717;358,6121;0,1262448;0,6024301;21;0,9869581;-1,063642;0,9486068
31,6623;-0,3391352;0,0549899;4,617289;0,5075823;128,6857;358,6903;0,04881237;0,6021159;21;0,9869581;-1,063642;0,9486068
31,67359;-0,3391352;0,0549899;4,617289;0,5075823;128,6857;358,6903;4,144365E-09;0,6019014;21;0,9869581;-1,063642;0,9486068
31,6846;-0,3391157;0,05497192;4,617332;0,5150955;128,7633;358,7295;0,0942204;0,6016936;21;0,9869581;-1,063642;0,9486068
31,69856;-0,3390934;0,0549892;4,617325;0,5188112;128,7565;358,732;0,01359015;0,6014292;21;0,9869581;-1,063642;0,9486068
31,71937;-0,3389482;0,05495271;4,617373;0,5139754;128,6806;358,7117;0,001608207;0,6010392;21;0,9869581;-1,063642;0,9486068
31,73668;-0,3390462;0,05495995;4,617376;0,5286466;128,8596;358,7599;0,03921263;0,6007143;21;0,9869581;-1,063642;0,9486068
31,74911;-0,3390462;0,05495995;4,617376;0,5286466;128,8596;358,7599;9,478004E-10;0,6004789;21;0,9869581;-1,063642;0,9486068
31,7588;-0,3391123;0,05511599;4,61751;0,5007247;128,865;358,8639;0,04180961;0,6003004;21;0,9869581;-1,063642;0,9486068
31,77387;-0,3391123;0,05511599;4,61751;0,5007247;128,865;358,8639;0,006268858;0,6000155;21;0,9869581;-1,063642;0,9486068
31,78665;-0,338912;0,05514863;4,617517;0,51403;128,8107;358,9131;0,003293513;0,5997804;21;0,9869581;-1,063642;0,9486068
31,80194;-0,3388361;0,05520666;4,617451;0,5331818;128,8241;358,9274;0,01193243;0,5994952;21;0,9869581;-1,063642;0,9486068
31,81386;-0,3388361;0,05520666;4,617451;0,5331818;128,8241;358,9274;0,001840971;0,5992704;21;0,9869581;-1,063642;0,9486068
31,82616;-0,3386907;0,05522696;4,617435;0,5214887;128,6345;358,9138;0,004699471;0,5990433;21;0,9869581;-1,063642;0,9486068
31,84014;-0,3387221;0,05518463;4,617394;0,5444654;128,7638;358,9297;0,001021289;0,5987818;21;0,9869581;-1,063642;0,9486068
31,85077;-0,3387221;0,05518463;4,617394;0,5444654;128,7638;358,9297;0,002454019;0,5985819;21;0,9869581;-1,063642;0,9486068
