Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
16,54214;-0,04511834;1,64588;4,294498;11,24289;293,7909;3,245641;0,4243824;0,594071;9,81916
16,83779;-0,1970744;1,636814;4,419229;13,19799;312,1058;3,643759;0,664947;0,5953166;10,01575
16,85484;-0,2059852;1,635277;4,429797;13,38886;313,0844;3,700478;0,8108592;0,5955347;10,02958
16,86957;-0,2104418;1,63472;4,434952;13,11988;313,2884;3,525351;0,4624864;0,5954185;10,03639
16,88025;-0,2104418;1,63472;4,434952;13,11988;313,2884;3,525351;0;0,5950416;10,03639
16,89168;-0,2193385;1,632741;4,445879;13,07398;313,9719;3,463443;1,231869;0,5954732;10,05048
16,90209;-0,2237592;1,631543;4,451469;13,03718;314,3299;3,425112;0,6850365;0,5955284;10,05761
16,91305;-0,2237592;1,631543;4,451469;13,03718;314,3299;3,425112;0;0,5951422;10,05761
16,92188;-0,2325387;1,628795;4,462812;13,1439;314,9531;3,375606;1,623194;0,5956795;10,07195
16,93568;-0,2325387;1,628795;4,462812;13,1439;314,9531;3,375606;0;0,5951937;10,07195
16,94647;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;2,011819;0,5960961;10,09365
16,95998;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;0;0,5956208;10,09365
16,96993;-0,2539271;1,620947;4,492269;13,80061;316,346;3,385195;1,479167;0,5961388;10,10836
16,98126;-0,2579421;1,619607;4,498109;13,69337;316,3427;3,338832;0,6254796;0,5961584;10,11545
16,99642;-0,2579421;1,619607;4,498109;13,69337;316,3427;3,338832;0;0,5956263;10,11545
17,00895;-0,2697835;1,615686;4,516645;13,74277;316,7493;3,187503;1,75522;0,5964813;10,13744
17,02025;-0,2697835;1,615686;4,516645;13,74277;316,7493;3,187503;0;0,5960851;10,13744
17,03382;-0,2813644;1,613788;4,5358;13,7005;316,9998;2,847578;1,648481;0,5969247;10,15983
17,04436;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0,724546;0,5970036;10,16746
17,05367;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0;0,5966774;10,16746
17,07684;-0,2974442;1,614565;4,562354;13,71422;316,9627;2,280754;1,010306;0,597239;10,19087
17,08769;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0,7047102;0,5973073;10,19851
17,09832;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0;0,5969357;10,19851
17,1132;-0,3090556;1,616939;4,582253;13,75941;316,8338;1,627597;1,034794;0,5973167;10,21391
17,13347;-0,3164434;1,618848;4,595175;14,02439;316,8977;1,218304;0,7342716;0,5974789;10,2288
17,14394;-0,3234969;1,62101;4,607577;14,01174;316,8632;0,9539217;1,362493;0,5979465;10,24306
17,16809;-0,3304169;1,623311;4,619425;14,1045;316,6283;0,4691423;0,568101;0,5979046;10,25678
17,19049;-0,3373117;1,625388;4,630902;13,83271;316,642;0,1310212;0,597751;0,5979043;10,27017
17,21717;-0,347335;1,628546;4,647371;13,34908;316,7614;359,5976;0,7226826;0,5980978;10,28945
17,27039;-0,3647459;1,631925;4,674407;13,40915;317,2227;359,2491;0,6042532;0,5981168;10,32161
17,28088;-0,3647459;1,631925;4,674407;13,40915;317,2227;359,2491;0;0,5977534;10,32161
17,29073;-0,3716772;1,632789;4,684919;13,56573;317,4997;359,1869;1,278702;0,5981416;10,3342
17,30404;-0,3785403;1,633587;4,695277;13,97576;317,7757;359,1494;0,9328679;0,5983993;10,34663
17,32617;-0,3852059;1,634511;4,705414;14,2241;318,0464;359,2071;0,5484068;0,5983354;10,35876
17,36347;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0,6331183;0,5984102;10,38238
17,37417;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0;0,5980413;10,38238
17,38448;-0,403225;1,638322;4,735703;14,81844;319,1477;359,2263;1,128366;0,5983561;10,39401
17,39372;-0,403225;1,638322;4,735703;14,81844;319,1477;359,2263;0;0,5980382;10,39401
17,40276;-0,4088449;1,639401;4,746034;15,13339;319,6488;359,3003;1,300258;0,5984035;10,40577
17,41841;-0,4088449;1,639401;4,746034;15,13339;319,6488;359,3003;0;0,5978656;10,40577
17,42905;-0,4141228;1,640658;4,756701;14,74213;320,2595;359,5005;1,118257;0,5981836;10,41767
17,45795;-0,4226599;1,642073;4,772617;14,58638;320,6927;359,361;0,6249003;0,5982279;10,43573
17,48451;-0,4312869;1,64251;4,788978;14,342;321,1254;359,4474;0,6962885;0,5983769;10,45423
17,50801;-0,4374237;1,64228;4,800131;14,39016;321,3615;359,386;0,5418971;0,5983011;10,46696
17,52138;-0,4406497;1,641968;4,805748;14,58392;321,4719;359,3086;0,4842294;0,598214;10,47343
17,53815;-0,4406497;1,641968;4,805748;14,58392;321,4719;359,3086;0;0,5976415;10,47343
17,54865;-0,4504352;1,640567;4,822803;14,8168;321,7227;359,2012;1,873385;0,5984051;10,4931
17,56862;-0,4574822;1,638991;4,834291;14,84639;321,6693;358,9756;0,6746986;0,5984918;10,50657
17,57983;-0,4574822;1,638991;4,834291;14,84639;321,6693;358,9756;0;0,59811;10,50657
17,58994;-0,4645612;1,637279;4,845841;15,03592;321,6834;358,7517;1,340288;0,5985367;10,52012
17,59995;-0,4645612;1,637279;4,845841;15,03592;321,6834;358,7517;0;0,5981961;10,52012
17,61074;-0,471663;1,635598;4,857545;15,29789;321,8317;358,6243;1,268828;0,5986074;10,53381
17,62365;-0,4753749;1,634645;4,863417;15,22333;321,8171;358,4937;0,5381275;0,5985631;10,54076
17,63811;-0,4753749;1,634645;4,863417;15,22333;321,8171;358,4937;0;0,5980717;10,54076
17,65366;-0,4862232;1,631858;4,881642;15,7921;322,4363;358,5616;1,364376;0,598747;10,56197
17,6662;-0,4951597;1,63083;4,893614;14,1964;322,5543;358,3515;1,191302;0,5991679;10,57691
17,67602;-0,4951597;1,63083;4,893614;14,1964;322,5543;358,3515;0;0,5988349;10,57691
17,68548;-0,5034283;1,629015;4,905381;15,18629;322,6217;358,179;1,51983;0,5993281;10,59129
17,69657;-0,5034283;1,629015;4,905381;15,18629;322,6217;358,179;0;0,5989523;10,59129
17,70924;-0,5127494;1,627415;4,917945;14,22831;322,8428;358,3285;1,234694;0,5994075;10,60693
17,72006;-0,5127494;1,627415;4,917945;14,22831;322,8428;358,3285;0;0,599041;10,60693
17,73488;-0,527111;1,624844;4,936215;14,19979;323,1293;358,3812;1,568475;0,5998515;10,63017
17,76535;-0,5420299;1,622633;4,955102;14,29615;323,2513;358,4134;0,7898121;0,6001776;10,65424
17,77578;-0,5420299;1,622633;4,955102;14,29615;323,2513;358,4134;0;0,5998252;10,65424
17,78479;-0,5525336;1,621883;4,96828;14,42926;323,5901;358,1788;1,870328;0,6004694;10,67109
17,79802;-0,5525336;1,621883;4,96828;14,42926;323,5901;358,1788;0;0,6000227;10,67109
17,80897;-0,5634593;1,621422;4,981717;14,32077;323,807;358,1036;1,581554;0,6006266;10,68841
17,81771;-0,5634593;1,621422;4,981717;14,32077;323,807;358,1036;0;0,6003318;10,68841
