Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
16,54214;0,3371211;0,05802681;4,228882;354,5036;88,39093;4,358607;0,004219525;0,593468;11;0,8486376;0,5680391;0,8276094
16,83779;-0,1314923;0,07024674;4,422268;0,05315595;112,772;5,277185;0,1859243;0,6131711;11;0,8486376;0,5680391;0,8276094
16,85484;-0,1746311;0,0714331;4,450994;4,391637;114,2833;4,304812;0,3218141;0,6156278;11;0,8486376;0,5680391;0,8276094
16,86957;-0,1954785;0,07326395;4,465769;6,882826;114,9177;4,174246;0,1853592;0,6166056;11;0,8486376;0,5680391;0,8276094
16,88025;-0,1954785;0,07326395;4,465769;6,882826;114,9177;4,174246;0;0,6162153;11;0,8486376;0,5680391;0,8276094
16,89168;-0,2339121;0,07847951;4,49576;11,29994;115,8083;3,331127;0,4615653;0,6186861;11;0,8486376;0,5680391;0,8276094
16,90209;-0,2511504;0,08211649;4,51068;13,27266;116,0824;2,63505;0,2393844;0,619655;11;0,8486376;0,5680391;0,8276094
16,91305;-0,2511504;0,08211649;4,51068;13,27266;116,0824;2,63505;0,002907544;0,6192532;11;0,8486376;0,5680391;0,8276094
16,92188;-0,2797248;0,09007823;4,540562;17,01612;117,0327;1,564267;0,5138074;0,6213747;11;0,8486376;0,5680391;0,8276094
16,93568;-0,2797248;0,09007823;4,540562;17,01612;117,0327;1,564267;0;0,620868;11;0,8486376;0,5680391;0,8276094
16,94647;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;0,4871318;0,6232665;11;0,8486376;0,5680391;0,8276094
16,95998;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;0,005731163;0,6227695;11;0,8486376;0,5680391;0,8276094
16,96993;-0,3157847;0,09876916;4,593961;22,35643;124,8033;0,3881901;0,1905193;0,6234204;11;0,8486376;0,5680391;0,8276094
16,98126;-0,3184513;0,09560866;4,59868;20,99616;126,8773;0,7285522;0,06514436;0,6233235;11;0,8486376;0,5680391;0,8276094
16,99642;-0,3184513;0,09560866;4,59868;20,99616;126,8773;0,7285522;1,611952E-09;0,6227671;11;0,8486376;0,5680391;0,8276094
17,00895;-0,322366;0,08077931;4,605431;14,41344;129,6665;358,9129;0,174913;0,622767;11;0,8486376;0,5680391;0,8276094
17,02025;-0,322366;0,08077931;4,605431;14,41344;129,6665;358,9129;3,238614E-09;0,6223533;11;0,8486376;0,5680391;0,8276094
17,03382;-0,3295286;0,06723965;4,612585;7,857058;130,2259;359,8587;0,1340919;0,6224516;11;0,8486376;0,5680391;0,8276094
17,04436;-0,3315851;0,06389473;4,614265;6,630983;129,9886;0,7495348;0,04358785;0,6222225;11;0,8486376;0,5680391;0,8276094
