Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
27,2516;3,534149;1,623722;2,901299;10,98433;336,2073;7,450195;0,9385095;0,5770912;15,71894
27,53525;3,496123;1,62491;3,108537;13,07778;334,5575;7,997651;0,7428119;0,5787992;15,92964
27,55267;3,491247;1,623629;3,120609;13,53568;334,4001;8,303123;0,7473345;0,5789058;15,94266
27,56594;3,491247;1,623629;3,120609;13,53568;334,4001;8,303123;0;0,578627;15,94266
27,57916;3,484019;1,622326;3,138151;14,90901;334,4173;8,332957;1,435792;0,5790378;15,96163
27,59055;3,481587;1,621865;3,143818;15,13569;334,3375;8,471146;0,5414494;0,5790223;15,9678
27,60036;3,481587;1,621865;3,143818;15,13569;334,3375;8,471146;0;0,5788164;15,9678
27,61216;3,476819;1,621089;3,154868;15,68093;334,2566;8,618515;1,019341;0,5790049;15,97983
27,62237;3,476819;1,621089;3,154868;15,68093;334,2566;8,618515;0;0,5787908;15,97983
27,63253;3,472061;1,619673;3,165257;16,52435;334,2635;8,66925;1,123998;0,5789915;15,99126
27,64253;3,472061;1,619673;3,165257;16,52435;334,2635;8,66925;0;0,5787821;15,99126
27,65328;3,46788;1,618972;3,176492;17,27714;334,2153;8,6157;1,11553;0,5789908;16,00324
27,66484;3,46788;1,618972;3,176492;17,27714;334,2153;8,6157;0;0,5787486;16,00324
27,67398;3,463091;1,618012;3,187183;17,4402;334,1333;8,812057;1,281192;0,5789809;16,01496
27,68602;3,463091;1,618012;3,187183;17,4402;334,1333;8,812057;0;0,5787291;16,01496
27,70314;3,455609;1,616722;3,203083;18,16605;334,1804;8,787438;1,026191;0,5790058;16,03253
27,71833;3,450151;1,615788;3,213689;18,44019;334,1045;8,815633;0,7853369;0,579119;16,04446
27,73102;3,447299;1,61536;3,218962;18,50068;334,0036;8,883934;0,4721763;0,57907;16,05046
27,74665;3,447299;1,61536;3,218962;18,50068;334,0036;8,883934;0;0,5787438;16,05046
27,75776;3,438212;1,613695;3,234601;18,62531;333,7373;9,083377;1,62716;0,5791638;16,06854
27,77073;3,435112;1,613253;3,239932;18,72875;333,6174;8,999121;0,4757993;0,5791155;16,07471
27,78266;3,435112;1,613253;3,239932;18,72875;333,6174;8,999121;0;0,5788667;16,07471
27,79285;3,428732;1,612192;3,250779;18,77137;333,4307;9,061439;1,235125;0,5791073;16,08729
27,80178;3,428732;1,612192;3,250779;18,77137;333,4307;9,061439;0;0,5789213;16,08729
27,81544;3,422058;1,610855;3,261191;18,8323;333,2904;9,037041;0,905349;0,5790817;16,09966
27,83058;3,415298;1,609569;3,27189;18,90278;333,1435;9,010267;0,8359956;0,5792214;16,11232
27,84092;3,415298;1,609569;3,27189;18,90278;333,1435;9,010267;0;0,5790061;16,11232
27,8574;3,4049;1,607451;3,28832;18,88492;332,9635;9,016057;1,180127;0,5793618;16,13176
27,87074;3,401327;1,606716;3,293812;18,78941;332,9596;9,00901;0,4908731;0,5793194;16,13831
27,88156;3,401327;1,606716;3,293812;18,78941;332,9596;9,00901;0;0,5790945;16,13831
27,89137;3,393916;1,604966;3,304847;18,66747;332,9868;9,050182;1,356117;0,5793677;16,1516
27,90284;3,393916;1,604966;3,304847;18,66747;332,9868;9,050182;0;0,5791294;16,1516
27,91245;3,386313;1,603127;3,316058;18,7837;333,1498;8,81678;1,40941;0,5794154;16,16515
27,92548;3,386313;1,603127;3,316058;18,7837;333,1498;8,81678;0;0,5791448;16,16515
27,93523;3,378382;1,601143;3,327872;18,58265;333,2995;8,897103;1,459929;0,5794523;16,17938
27,94806;3,378382;1,601143;3,327872;18,58265;333,2995;8,897103;0;0,5791861;16,17938
27,95773;3,365466;1,597118;3,34492;18,84301;333,5961;8,98035;2,212208;0,5797511;16,20077
27,97258;3,360952;1,595843;3,350812;18,63132;333,5957;9,137637;0,4998336;0,5797086;16,20819
27,98662;3,360952;1,595843;3,350812;18,63132;333,5957;9,137637;0;0,5794176;16,20819
27,9977;3,346904;1,591415;3,368079;19,04291;333,8489;9,283529;2,010157;0,5799838;16,23045
28,01632;3,342031;1,590181;3,373768;19,01078;333,8617;9,31268;0,4022368;0,5798656;16,23794
28,03761;3,326864;1,587299;3,39114;18,88062;333,8612;9,247356;1,082837;0,5802478;16,261
28,04891;3,326864;1,587299;3,39114;18,88062;333,8612;9,247356;0;0,5800142;16,261
28,05916;3,316096;1,586305;3,402954;18,71673;333,827;9,132689;1,559213;0,5803721;16,27699
28,07122;3,310554;1,586015;3,409046;18,56781;333,8223;9,107718;0,6827818;0,5804161;16,28522
28,08182;3,310554;1,586015;3,409046;18,56781;333,8223;9,107718;0;0,5801969;16,28522
28,09401;3,299176;1,585495;3,421371;18,53988;333,8454;9,15034;1,376463;0,5805424;16,302
28,10791;3,299176;1,585495;3,421371;18,53988;333,8454;9,15034;0;0,5802552;16,302
28,12801;3,276052;1,584736;3,446242;19,09764;334,3706;9,51988;1,689589;0,5810483;16,33596
28,13853;3,270315;1,584669;3,45238;19,14446;334,4954;9,765249;0,7982246;0,5811296;16,34436
28,15286;3,264863;1,584783;3,458693;19,57444;334,7816;9,743993;0,5822844;0,5811302;16,3527
28,16468;3,264863;1,584783;3,458693;19,57444;334,7816;9,743993;0;0,5808862;16,3527
28,17397;3,254332;1,585613;3,470934;19,82246;335,229;9,794126;1,738024;0,581268;16,36885
28,19125;3,244332;1,586912;3,482852;20,01102;335,7211;9,684816;0,9001009;0,5814636;16,38441
28,20486;3,244332;1,586912;3,482852;20,01102;335,7211;9,684816;0;0,5811829;16,38441
28,21476;3,234645;1,58827;3,494268;19,88153;336,1017;9,718695;1,512161;0,5815098;16,39938
28,23142;3,22491;1,589562;3,505214;19,56302;336,2257;9,823466;0,8794555;0,5816856;16,41403
28,24091;3,22491;1,589562;3,505214;19,56302;336,2257;9,823466;0;0,58149;16,41403
28,25102;3,215158;1,59061;3,516016;19,39371;336,3768;9,869476;1,43962;0,5817972;16,42858
28,26537;3,215158;1,59061;3,516016;19,39371;336,3768;9,869476;0;0,5815017;16,42858
28,27519;3,205322;1,591248;3,52674;19,52018;336,4889;9,899529;1,481663;0,5818145;16,44313
28,28715;3,205322;1,591248;3,52674;19,52018;336,4889;9,899529;0;0,5815685;16,44313
28,29805;3,191028;1,591983;3,542722;19,64812;336,6824;10,04316;1,967023;0,5821024;16,46457
28,31432;3,186443;1,592195;3,548149;20,10435;336,9153;9,935893;0,4367094;0,5820189;16,47168
28,32743;3,186443;1,592195;3,548149;20,10435;336,9153;9,935893;0;0,5817493;16,47168
28,3378;3,173437;1,592811;3,563791;20,7238;337,4172;9,959279;1,961985;0,5822545;16,49202
28,35102;3,169303;1,59311;3,568856;20,93015;337,5742;9,959965;0,4947323;0,5822136;16,49856
28,36145;3,169303;1,59311;3,568856;20,93015;337,5742;9,959965;0;0,5819994;16,49856
28,37099;3,161085;1,593713;3,578458;20,6756;337,7081;10,30125;1,325242;0,5822493;16,5112
28,38431;3,161085;1,593713;3,578458;20,6756;337,7081;10,30125;0;0,581976;16,5112
28,39711;3,149114;1,595152;3,592605;20,85365;337,9856;10,32606;1,447548;0,5823664;16,52973
28,40868;3,149114;1,595152;3,592605;20,85365;337,9856;10,32606;0;0,5821291;16,52973
28,41939;3,141131;1,596368;3,601878;21,46457;338,2595;9,949281;1,142735;0,5823404;16,54197
28,43051;3,136976;1,596951;3,6062;21,51052;338,203;9,875542;0,5389351;0,5823235;16,54796
28,44071;3,136976;1,596951;3,6062;21,51052;338,203;9,875542;0;0,5821146;16,54796
28,45278;3,128348;1,598125;3,614585;21,36255;337,9927;9,768636;0,9961035;0,5822904;16,55999
28,46531;3,128348;1,598125;3,614585;21,36255;337,9927;9,768636;0;0,5820341;16,55999
28,48067;3,11423;1,599453;3,626281;20,83521;337,1073;9,78522;1,193015;0,5823639;16,57833
28,4921;3,109416;1,599895;3,630242;20,8253;336,8176;9,664543;0,545594;0,5823492;16,58456
28,51476;3,099434;1,600589;3,638;20,65123;336,1527;9,576625;0,5580215;0,5823299;16,5972
28,52457;3,099434;1,600589;3,638;20,65123;336,1527;9,576625;0;0,5821295;16,5972
28,53421;3,089102;1,600886;3,6457;20,85789;335,3406;9,283718;1,336495;0,5823845;16,61009
28,54665;3,089102;1,600886;3,6457;20,85789;335,3406;9,283718;0;0,5821307;16,61009
28,55772;3,07347;1,600962;3,657559;21,28764;334,1487;8,731295;1,771784;0,5825922;16,62971
28,56871;3,07347;1,600962;3,657559;21,28764;334,1487;8,731295;0;0,5823679;16,62971
28,58065;3,062735;1,600601;3,665266;21,35777;333,1367;8,492373;1,106942;0,5825871;16,64292
28,59159;3,057413;1,60044;3,669131;21,40064;332,6007;8,30744;0,6011785;0,5825942;16,6495
28,60535;3,057413;1,60044;3,669131;21,40064;332,6007;8,30744;0;0,5823138;16,6495
28,6155;3,046735;1,600067;3,6769;21,32772;331,44;7,930056;1,301716;0,582569;16,66271
28,63258;3,046735;1,600067;3,6769;21,32772;331,44;7,930056;0;0,5822212;16,66271
28,64505;3,046735;1,600067;3,6769;21,32772;331,44;7,930056;0;0,5819677;16,66271
28,65398;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;3,032743;0,5827318;16,68979
28,66859;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5824347;16,68979
28,6812;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5821786;16,68979
28,6927;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5819451;16,68979
28,70452;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5817054;16,68979
28,71539;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5814852;16,68979
28,72578;3,025061;1,598737;3,693141;22,15341;328,9027;6,901759;0;0,5812745;16,68979
28,73551;2,982285;1,598434;3,722437;21,33163;322,2679;4,910515;5,328845;0,5828827;16,74163
28,74962;2,982285;1,598434;3,722437;21,33163;322,2679;4,910515;0;0,5825967;16,74163
28,76199;2,982285;1,598434;3,722437;21,33163;322,2679;4,910515;0;0,582346;16,74163
28,77117;2,959796;1,600892;3,734609;20,29683;318,4389;3,864537;2,784476;0,5830492;16,76721
28,78689;2,959796;1,600892;3,734609;20,29683;318,4389;3,864537;0;0,5827307;16,76721
28,79874;2,942837;1,604655;3,744516;19,0239;315,0009;3,567997;1,657101;0,5831731;16,78685
28,80976;2,937111;1,606432;3,74784;19,0987;313,7911;3,24045;0,600489;0,5831797;16,79347
28,8208;2,937111;1,606432;3,74784;19,0987;313,7911;3,24045;0;0,5829562;16,79347
28,83168;2,92582;1,610358;3,75392;18,89825;311,3556;2,779249;1,179271;0,5831812;16,80629
28,84534;2,92582;1,610358;3,75392;18,89825;311,3556;2,779249;0;0,5829048;16,80629
28,85475;2,914728;1,61488;3,759531;18,21991;309,1656;2,367142;1,322262;0,5831457;16,81872
28,86864;2,914728;1,61488;3,759531;18,21991;309,1656;2,367142;0;0,582865;16,81872
28,88175;2,899111;1,621973;3,767226;17,58426;305,7583;1,024655;1,327686;0,5832033;16,83613
28,89949;2,888849;1,626749;3,771698;16,52143;303,6514;0,58908;0,6309161;0,5832326;16,84732
28,90984;2,883885;1,628942;3,773793;15,83931;302,6674;0,4253754;0,5210078;0,5832104;16,85271
28,92586;2,883885;1,628942;3,773793;15,83931;302,6674;0,4253754;0;0,5828872;16,85271
28,93869;2,868666;1,635153;3,779288;14,92133;299,5411;359,5057;1,260685;0,583188;16,86889
28,94927;2,868666;1,635153;3,779288;14,92133;299,5411;359,5057;0;0,5829747;16,86889
28,95998;2,858477;1,63862;3,782635;14,18829;297,4716;359,1846;1,001557;0,5831296;16,87962
28,97199;2,853343;1,640207;3,784401;13,68373;296,6476;359,0608;0,4522093;0,5830753;16,88505
28,98214;2,853343;1,640207;3,784401;13,68373;296,6476;359,0608;0;0,5828708;16,88505
28,99278;2,843014;1,643436;3,787657;12,60986;294,827;358,9709;1,017872;0,5830306;16,89588
29,00596;2,843014;1,643436;3,787657;12,60986;294,827;358,9709;0;0,5827656;16,89588
29,01742;2,827067;1,647105;3,791672;11,75767;292,3323;358,793;1,43559;0,5831024;16,91232
29,0303;2,827067;1,647105;3,791672;11,75767;292,3323;358,793;0;0,5828434;16,91232
29,04869;2,827067;1,647105;3,791672;11,75767;292,3323;358,793;0;0,5824744;16,91232
29,06287;2,805986;1,651111;3,798049;10,02862;288,9034;359,7258;1,553264;0,5829482;16,93435
29,07686;2,800552;1,65186;3,798807;10,04646;288,0788;359,7299;0,3922007;0,5828564;16,93983
29,10028;2,784769;1,653903;3,802279;9,730879;286,1913;359,851;0,6899108;0,5829427;16,956
29,11846;2,774026;1,654965;3,804224;9,701946;284,9142;359,927;0,6005197;0,5829536;16,96691
29,13896;2,763144;1,655742;3,805991;9,232412;283,7283;359,8348;0,5377675;0,5829218;16,97794
29,15743;2,757768;1,656086;3,806865;9,292299;283,1019;359,846;0,2949927;0,5827394;16,98339
29,1684;2,757768;1,656086;3,806865;9,292299;283,1019;359,846;0;0,5825202;16,98339
29,17886;2,741748;1,657271;3,81034;8,934341;281,5493;0,0009761814;1,566297;0,5828732;16,99978
29,19926;2,731059;1,657768;3,812846;8,528575;280,6532;0,09673249;0,5381192;0,5828419;17,01076
29,21201;2,72562;1,657946;3,81401;8,425029;280,2016;0,1640788;0,4362355;0,5827779;17,01632
29,22304;2,72562;1,657946;3,81401;8,425029;280,2016;0,1640788;0;0,5825579;17,01632
29,23437;2,714398;1,657832;3,815929;8,170509;279,2925;0,09151389;1,004746;0,5827215;17,0277
29,25154;2,702965;1,65755;3,817784;7,962214;278,3563;0,1428777;0,6748977;0,5827757;17,03929
29,2657;2,702965;1,65755;3,817784;7,962214;278,3563;0,1428777;0;0,5824935;17,03929
29,27545;2,691525;1,656923;3,819842;7,521667;277,5426;0,2020548;1,192293;0,5826966;17,05091
29,28595;2,691525;1,656923;3,819842;7,521667;277,5426;0,2020548;0;0,5824876;17,05091
29,30956;2,667729;1,654407;3,822921;7,271245;275,9916;0,04668067;1,016172;0,5828372;17,0749
29,31985;2,661849;1,653708;3,823902;6,856627;275,7334;0,2490455;0,5793121;0,5828359;17,08086
29,3321;2,65577;1,652821;3,824545;7,05533;275,3525;0,1283157;0,4992065;0,582801;17,08698
29,34278;2,65577;1,652821;3,824545;7,05533;275,3525;0,1283157;0;0,5825888;17,08698
29,35295;2,643409;1,651044;3,825816;6,881188;274,7082;359,934;1,221117;0,5828103;17,0994
29,37043;2,63102;1,649076;3,827488;6,547464;274,4121;359,9066;0,7151442;0,5828891;17,1119
29,38105;2,63102;1,649076;3,827488;6,547464;274,4121;359,9066;0;0,5826783;17,1119
29,39054;2,618147;1,646831;3,828357;6,794855;274,0102;359,6313;1,359469;0,5829292;17,12481
29,40498;2,618147;1,646831;3,828357;6,794855;274,0102;359,6313;0;0,5826429;17,12481
29,41478;2,605088;1,644446;3,82923;6,796794;273,8038;359,7617;1,336014;0,582894;17,1379
29,42533;2,605088;1,644446;3,82923;6,796794;273,8038;359,7617;0;0,5826847;17,1379
29,43439;2,591787;1,642031;3,829615;6,813023;273,5771;359,8329;1,468799;0,5829576;17,1512
29,44604;2,591787;1,642031;3,829615;6,813023;273,5771;359,8329;0;0,5827268;17,1512
29,45529;2,578063;1,64013;3,82989;6,760566;273,4533;359,8968;1,484749;0,5830101;17,16493
29,46971;2,564174;1,638932;3,830402;6,910148;273,4734;359,9808;0,9638318;0,5831965;17,17883
29,48012;2,564174;1,638932;3,830402;6,910148;273,4734;359,9808;0;0,5829905;17,17883
29,48955;2,564174;1,638932;3,830402;6,910148;273,4734;359,9808;0;0,5828039;17,17883
29,50227;2,54302;1,638631;3,831389;6,854304;273,8319;0,2477625;1,665106;0,5832707;17,20001
29,51495;2,535706;1,639032;3,831792;6,778079;273,9901;0,3201887;0,5778068;0,5832684;17,20733
29,52509;2,535706;1,639032;3,831792;6,778079;273,9901;0,3201887;0;0,583068;17,20733
29,53618;2,520977;1,640061;3,832297;7,080164;274,1944;0,4839774;1,328311;0,5833481;17,22207
29,54911;2,520977;1,640061;3,832297;7,080164;274,1944;0,4839774;0;0,5830928;17,22207
27,36407;3,53493;1,624203;2,893903;11,08525;336,2973;7,46853;0,5569829;0,574913;15,72361
27,37691;3,53493;1,624203;2,893903;11,08525;336,2973;7,46853;0;0,5746433;15,72361
27,38747;3,532484;1,623192;2,916485;10,92592;336,0852;7,457191;2,150783;0,5752515;15,74632
27,39902;3,532484;1,623192;2,916485;10,92592;336,0852;7,457191;0;0,5750089;15,74632
27,40947;3,530647;1,622929;2,931886;10,73926;335,9151;7,585079;1,483843;0,5753556;15,76183
27,42022;3,530647;1,622929;2,931886;10,73926;335,9151;7,585079;0;0,57513;15,76183
27,43013;3,528781;1,623422;2,947884;10,71713;335,7601;7,673079;1,625483;0,5755096;15,77794
27,45228;3,52682;1,624298;2,96418;10,68732;335,6432;7,793837;0,7410429;0,5756432;15,79435
27,46257;3,52682;1,624298;2,96418;10,68732;335,6432;7,793837;0;0,5754274;15,79435
27,47292;3,524883;1,625251;2,980444;10,78437;335,5581;7,834025;1,582884;0,575807;15,81073
27,48533;3,523938;1,625729;2,988544;11,05075;335,5299;7,746954;0,6568879;0,5758436;15,81889
27,49737;3,523938;1,625729;2,988544;11,05075;335,5299;7,746954;0;0,5755914;15,81889
27,50741;3,520979;1,627182;3,012359;11,35065;335,5232;7,724771;2,389698;0,5762541;15,84288
27,52527;3,519878;1,627575;3,020027;11,43734;335,4816;7,696876;0,4338224;0,5761616;15,85063
27,53811;3,519878;1,627575;3,020027;11,43734;335,4816;7,696876;0;0,5758929;15,85063
