Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
27,2516;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,01559161;0,567823;16;0,7991474;0,496837;1,060722
27,53525;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5619708;16;0,7991474;0,496837;1,060722
27,55267;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,006743106;0,5616153;16;0,7991474;0,496837;1,060722
27,56594;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5613448;16;0,7991474;0,496837;1,060722
27,57916;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5610757;16;0,7991474;0,496837;1,060722
27,59055;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,01784597;0,560844;16;0,7991474;0,496837;1,060722
27,60036;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5606446;16;0,7991474;0,496837;1,060722
27,61216;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,03392959;0,5604047;16;0,7991474;0,496837;1,060722
27,62237;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5601976;16;0,7991474;0,496837;1,060722
27,63253;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,009609665;0,5599914;16;0,7991474;0,496837;1,060722
27,64253;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5597888;16;0,7991474;0,496837;1,060722
27,65328;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,00339901;0,5595711;16;0,7991474;0,496837;1,060722
27,66484;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,003788429;0,5593372;16;0,7991474;0,496837;1,060722
27,67398;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,00349518;0,5591523;16;0,7991474;0,496837;1,060722
27,68602;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5589091;16;0,7991474;0,496837;1,060722
27,70314;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,007048205;0,5585635;16;0,7991474;0,496837;1,060722
27,71833;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5582573;16;0,7991474;0,496837;1,060722
27,73102;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,003019609;0,5580016;16;0,7991474;0,496837;1,060722
27,74665;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0,005045724;0,5576872;16;0,7991474;0,496837;1,060722
27,75776;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5574638;16;0,7991474;0,496837;1,060722
27,77073;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5572035;16;0,7991474;0,496837;1,060722
27,78266;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,556964;16;0,7991474;0,496837;1,060722
27,79285;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5567598;16;0,7991474;0,496837;1,060722
27,80178;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5565808;16;0,7991474;0,496837;1,060722
27,81544;3,633142;0,04562483;2,568148;358,4718;160,3898;358,2496;0;0,5563074;16;0,7991474;0,496837;1,060722
27,83058;3,368783;0,06932414;3,287764;8,045382;145,4737;359,0029;12,22473;0,5835644;16;0,7991474;0,496837;1,060722
27,84092;3,368783;0,06932414;3,287764;8,045382;145,4737;359,0029;0;0,5833475;17;1,013855;-1,228305;1,065306
27,8574;3,339946;0,08100269;3,337824;12,6748;143,8853;358,0578;0,8456109;0,5850771;17;1,013855;-1,228305;1,065306
27,87074;3,329952;0,0849931;3,351593;14,11239;143,246;357,765;0,3053459;0,5854076;17;1,013855;-1,228305;1,065306
27,88156;3,329952;0,0849931;3,351593;14,11239;143,246;357,765;0;0,5851803;17;1,013855;-1,228305;1,065306
27,89137;3,311044;0,09338658;3,375101;15,98392;140,2076;357,5393;0,7456046;0,5860567;17;1,013855;-1,228305;1,065306
27,90284;3,311044;0,09338658;3,375101;15,98392;140,2076;357,5393;0;0,5858156;17;1,013855;-1,228305;1,065306
27,91245;3,293503;0,09899837;3,392385;17,80408;136,638;357,0357;0,6123601;0,5864965;17;1,013855;-1,228305;1,065306
27,92548;3,293503;0,09899837;3,392385;17,80408;136,638;357,0357;0;0,5862226;17;1,013855;-1,228305;1,065306
27,93523;3,279282;0,09998993;3,403946;18,58494;132,2768;355,2387;0,4507656;0,5866744;17;1,013855;-1,228305;1,065306
27,94806;3,279282;0,09998993;3,403946;18,58494;132,2768;355,2387;0;0,5864049;17;1,013855;-1,228305;1,065306
27,95773;3,265317;0,09535879;3,416008;17,64609;127,6029;354,1444;0,4821218;0,5868624;17;1,013855;-1,228305;1,065306
27,97258;3,262573;0,09305381;3,419132;17,25092;126,9001;354,4787;0,07874329;0,5866994;17;1,013855;-1,228305;1,065306
27,98662;3,262573;0,09305381;3,419132;17,25092;126,9001;354,4787;1,576727E-08;0,5864049;17;1,013855;-1,228305;1,065306
27,9977;3,257544;0,08403177;3,42552;15,86259;126,2256;355,8051;0,2684354;0,5864633;17;1,013855;-1,228305;1,065306
28,01632;3,256597;0,07971273;3,427376;14,51472;126,2075;356,7435;0,06123329;0,5861477;17;1,013855;-1,228305;1,065306
28,03761;3,251901;0,06733896;3,434767;9,242986;125,8239;359,883;0,1615519;0,5860147;17;1,013855;-1,228305;1,065306
28,04891;3,251901;0,06733896;3,434767;9,242986;125,8239;359,883;1,894966E-08;0,5857788;17;1,013855;-1,228305;1,065306
28,05916;3,248482;0,05922363;3,439585;5,753414;126,4889;0,1362935;11,42814;0,5857753;17;1,013855;-1,228305;1,065306
28,07122;3,247435;0,05639948;3,441162;4,446252;126,8107;0,2535813;0,06505387;0,5855909;17;1,013855;-1,228305;1,065306
28,08182;3,247435;0,05639948;3,441162;4,446252;126,8107;0,2535813;0,8250162;0,5853698;17;1,013855;-1,228305;1,065306
28,09401;3,245846;0,05321554;3,443207;3,165783;127,4037;359,8587;0,281985;0,5852079;17;1,013855;-1,228305;1,065306
28,10791;3,245846;0,05321554;3,443207;3,165783;127,4037;359,8587;1,480959E-08;0,5849184;17;1,013855;-1,228305;1,065306
28,12801;3,245129;0,0511228;3,444674;2,33127;127,4337;358,7974;0,709961;0,5845583;17;1,013855;-1,228305;1,065306
28,13853;3,24494;0,05073692;3,444935;2,242286;127,4542;358,6104;0,01074636;0,584351;17;1,013855;-1,228305;1,065306
28,15286;3,244887;0,0504595;3,44525;2,090711;127,4597;358,6421;0,5811401;0,5840648;17;1,013855;-1,228305;1,065306
28,16468;3,244887;0,0504595;3,44525;2,090711;127,4597;358,6421;1,418246E-08;0,5838196;17;1,013855;-1,228305;1,065306
28,17397;3,244519;0,04977272;3,445616;1,931786;127,6461;358,6559;0,4098763;0,5836454;17;1,013855;-1,228305;1,065306
28,19125;3,24437;0,04934122;3,445906;1,692265;127,4804;358,5107;0,00678931;0,583299;17;1,013855;-1,228305;1,065306
28,20486;3,24437;0,04934122;3,445906;1,692265;127,4804;358,5107;0,4256156;0,5830174;17;1,013855;-1,228305;1,065306
28,21476;3,244181;0,04899628;3,446045;1,559267;127,4973;358,4898;0,06132399;0,582821;17;1,013855;-1,228305;1,065306
28,23142;3,243936;0,04873157;3,446064;1,510691;127,6126;358,448;0,004655593;0,5824857;17;1,013855;-1,228305;1,065306
28,24091;3,243936;0,04873157;3,446064;1,510691;127,6126;358,448;0,2395986;0,5822898;17;1,013855;-1,228305;1,065306
28,25102;3,243939;0,04859809;3,44627;1,374497;127,524;358,4012;0,05224902;0,5820886;17;1,013855;-1,228305;1,065306
28,26537;3,243939;0,04859809;3,44627;1,374497;127,524;358,4012;0,1587706;0,581793;17;1,013855;-1,228305;1,065306
28,27519;3,243929;0,04850166;3,446424;1,288191;127,5504;358,4967;0,004341368;0,5815963;17;1,013855;-1,228305;1,065306
28,28715;3,243929;0,04850166;3,446424;1,288191;127,5504;358,4967;0,2283641;0,5813504;17;1,013855;-1,228305;1,065306
28,29805;3,243713;0,04833911;3,446358;1,206584;127,5437;358,4185;0,06206659;0,5811344;17;1,013855;-1,228305;1,065306
28,31432;3,243667;0,0483055;3,446379;1,189399;127,5365;358,3975;0,000847903;0,5808021;17;1,013855;-1,228305;1,065306
28,32743;3,243667;0,0483055;3,446379;1,189399;127,5365;358,3975;0,07619563;0,580533;17;1,013855;-1,228305;1,065306
28,3378;3,243454;0,04819666;3,446251;1,157871;127,6488;358,3828;0,005971113;0,5803293;17;1,013855;-1,228305;1,065306
28,35102;3,243401;0,04817824;3,446234;1,111535;127,6469;358,4164;0,02985598;0,5800606;17;1,013855;-1,228305;1,065306
28,36145;3,243401;0,04817824;3,446234;1,111535;127,6469;358,4164;0,01137819;0,5798472;17;1,013855;-1,228305;1,065306
28,37099;3,243378;0,0481306;3,446278;1,049025;127,6192;358,402;0,005394404;0,5796539;17;1,013855;-1,228305;1,065306
28,38431;3,243378;0,0481306;3,446278;1,049025;127,6192;358,402;1,117762E-10;0,5793818;17;1,013855;-1,228305;1,065306
28,39711;3,242684;0,04820103;3,44672;0,8920401;126,9783;358,3215;0,01934094;0,5791494;17;1,013855;-1,228305;1,065306
28,40868;3,242684;0,04820103;3,44672;0,8920401;126,9783;358,3215;0,007405688;0,5789135;17;1,013855;-1,228305;1,065306
28,41939;3,242625;0,04794339;3,445393;0,8831607;127,9717;358,1775;0,03079472;0,578742;17;1,013855;-1,228305;1,065306
28,43051;3,242391;0,04798424;3,445782;0,845021;128,0303;357,7263;0,01079902;0,5785314;17;1,013855;-1,228305;1,065306
28,44071;3,242391;0,04798424;3,445782;0,845021;128,0303;357,7263;0,005333469;0,578324;17;1,013855;-1,228305;1,065306
28,45278;3,242391;0,04798424;3,445782;0,845021;128,0303;357,7263;9,422131E-10;0,5780783;17;1,013855;-1,228305;1,065306
28,46531;3,242391;0,04798424;3,445782;0,845021;128,0303;357,7263;0,006012222;0,5778239;17;1,013855;-1,228305;1,065306
28,48067;3,242499;0,04789201;3,446321;1,079706;128,0389;358,408;0,008786649;0,5775313;17;1,013855;-1,228305;1,065306
28,4921;3,24259;0,04783851;3,446424;1,106344;128,0448;358,2473;0,003007487;0,5773044;17;1,013855;-1,228305;1,065306
28,51476;3,243572;0,04765941;3,44595;0,5646827;127,9127;359,492;0,01131365;0,5768838;17;0,8086798;0,4944686;1,065306
28,52457;3,243572;0,04765941;3,44595;0,5646827;127,9127;359,492;0,005986675;0,5766853;17;0,8086798;0,4944686;1,065306
28,53421;3,243747;0,0475769;3,445814;0,5712943;127,8589;359,3333;0,006296759;0,5764981;17;0,8086798;0,4944686;1,065306
28,54665;3,243747;0,0475769;3,445814;0,5712943;127,8589;359,3333;9,182339E-10;0,5762468;17;0,8086798;0,4944686;1,065306
28,55772;3,2433;0,04775095;3,445761;0,7413114;127,7476;358,9239;0,008118181;0,576039;17;0,8086798;0,4944686;1,065306
28,56871;3,2433;0,04775095;3,445761;0,7413114;127,7476;358,9239;0,001066873;0,5758173;17;0,8086798;0,4944686;1,065306
28,58065;3,242629;0,04778275;3,445877;0,7634957;127,6284;358,7212;0,01382172;0,5756005;17;0,8086798;0,4944686;1,065306
28,59159;3,242653;0,04780672;3,445915;0,7063954;127,6383;358,8478;0,002080822;0,5753818;17;0,8086798;0,4944686;1,065306
28,60535;3,242653;0,04780672;3,445915;0,7063954;127,6383;358,8478;1,014696E-09;0,5751048;17;0,8086798;0,4944686;1,065306
28,6155;3,242527;0,04772709;3,445889;0,6901942;127,6317;358,6603;0,01381262;0,5749053;17;0,8086798;0,4944686;1,065306
28,63258;3,242454;0,04769735;3,445915;0,6295149;127,6429;358,6779;0,001145829;0,5745649;17;0,8086798;0,4944686;1,065306
28,64505;3,242454;0,04769735;3,445915;0,6295149;127,6429;358,6779;0,02972123;0,5743147;17;0,8086798;0,4944686;1,065306
28,65398;3,242674;0,04780255;3,446159;0,5185379;127,7075;358,4538;0,01114341;0,574147;17;0,8086798;0,4944686;1,065306
28,66859;3,242674;0,04780255;3,446159;0,5185379;127,7075;358,4538;4,346537E-10;0,5738543;17;0,8086798;0,4944686;1,065306
28,6812;3,243834;0,04800924;3,447647;0,07924756;126,3562;358,1082;0,03477838;0,5736678;17;0,8086798;0,4944686;1,065306
28,6927;3,242846;0,04816892;3,446611;359,8703;127,3415;358,3797;0,02899145;0,5734876;17;0,8086798;0,4944686;1,065306
28,70452;3,242846;0,04816892;3,446611;359,8703;127,3415;358,3797;0,008435641;0,5732514;17;0,8086798;0,4944686;1,065306
28,71539;3,242623;0,04805995;3,446793;359,7752;127,2831;358,4988;0,007092886;0,5730444;17;0,8086798;0,4944686;1,065306
28,72578;3,242623;0,04805995;3,446793;359,7752;127,2831;358,4988;0,01159825;0,5728368;17;0,8086798;0,4944686;1,065306
28,73551;3,241859;0,04816769;3,446478;359,5107;127,6555;358,4664;0,02156685;0,5726715;17;0,8086798;0,4944686;1,065306
28,74962;3,242066;0,04860698;3,447306;358,8674;127,1957;358,1849;0,02047713;0,5724201;17;0,8086798;0,4944686;1,065306
28,76199;3,242066;0,04860698;3,447306;358,8674;127,1957;358,1849;9,086314E-10;0,5721738;17;0,8086798;0,4944686;1,065306
28,77117;3,241164;0,04925595;3,447832;358,0546;127,0488;358,0503;0,02501883;0,5720274;17;0,8086798;0,4944686;1,065306
28,78689;3,241164;0,04925595;3,447832;358,0546;127,0488;358,0503;9,031257E-10;0,5717149;17;0,8086798;0,4944686;1,065306
28,79874;3,239803;0,04977602;3,448845;357,3024;126,4742;357,8391;0,02518118;0,5715385;17;0,8086798;0,4944686;1,065306
28,80976;3,239637;0,0500025;3,449842;357,0074;125,955;357,6263;0,02196089;0,5713547;17;0,8086798;0,4944686;1,065306
28,8208;3,239637;0,0500025;3,449842;357,0074;125,955;357,6263;1,92866E-09;0,5711358;17;0,8086798;0,4944686;1,065306
28,83168;3,239465;0,04927847;3,452419;357,1555;124,1866;357,9816;0,06057557;0,5710099;17;0,8086798;0,4944686;1,065306
28,84534;3,239465;0,04927847;3,452419;357,1555;124,1866;357,9816;0,001173878;0,5707393;17;0,8086798;0,4944686;1,065306
28,85475;3,238752;0,04941442;3,453314;356,584;123,3961;358,6366;0,03064672;0,5705929;17;0,8086798;0,4944686;1,065306
28,86864;3,238752;0,04941442;3,453314;356,584;123,3961;358,6366;0,00961085;0,5703182;17;0,8086798;0,4944686;1,065306
28,88175;3,236778;0,04875012;3,456676;355,905;121,2416;1,168389;0,07356674;0,5701942;17;0,8086798;0,4944686;1,065306
28,89949;3,232055;0,05304078;3,459282;351,7617;121,1098;2,722968;0,1020648;0,5700307;17;0,8086798;0,4944686;1,065306
28,90984;3,228937;0,0571057;3,462471;348,3255;120,1279;3,078001;0,1435481;0,569981;17;0,8086798;0,4944686;1,065306
28,92586;3,228937;0,0571057;3,462471;348,3255;120,1279;3,078001;0;0,5696652;17;0,8086798;0,4944686;1,065306
28,93869;3,212093;0,0713511;3,471062;337,4574;119,5202;4,66815;0,4342426;0,5700661;17;0,8086798;0,4944686;1,065306
28,94927;3,212093;0,0713511;3,471062;337,4574;119,5202;4,66815;0;0,5698576;17;0,8086798;0,4944686;1,065306
28,95998;3,195354;0,07950115;3,479151;333,1904;116,4447;5,577631;0,4364614;0,5702891;17;0,8086798;0,4944686;1,065306
28,97199;3,184156;0,08568212;3,48171;330,5993;116,2362;6,876517;0,252538;0,5704492;17;0,8086798;0,4944686;1,065306
28,98214;3,184156;0,08568212;3,48171;330,5993;116,2362;6,876517;3,560231E-09;0,5702493;17;0,8086798;0,4944686;1,065306
28,99278;3,161546;0,09357625;3,489977;330,1119;112,9845;8,914673;0,5424139;0,5708706;17;0,8086798;0,4944686;1,065306
29,00596;3,161546;0,09357625;3,489977;330,1119;112,9845;8,914673;0;0,5706112;17;0,8086798;0,4944686;1,065306
29,01742;3,121631;0,1006023;3,508011;331,1252;105,9416;12,49899;0,8982859;0,5718958;17;0,8086798;0,4944686;1,065306
29,0303;3,107531;0,1015494;3,514675;331,8102;104,4289;13,57196;0,2787171;0,5721794;18;1,025368;-1,200636;1,060468
29,04869;3,107531;0,1015494;3,514675;331,8102;104,4289;13,57196;2,777376E-08;0,571817;18;1,025368;-1,200636;1,060468
29,06287;3,061669;0,1021219;3,538923;333,2035;101,8007;14,27019;0,8125388;0,5733238;18;1,025368;-1,200636;1,060468
29,07686;3,046304;0,09964369;3,54755;335,0132;102,1196;14,54766;0,2882513;0,5736541;18;1,025368;-1,200636;1,060468
29,10028;2,995161;0,09265963;3,578743;338,2335;102,5125;13,69761;0,5367697;0,5752516;18;1,025368;-1,200636;1,060468
29,11846;2,957858;0,08570837;3,601107;342,1195;103,3019;12,06636;0,5104681;0,5763867;18;1,025368;-1,200636;1,060468
29,13896;2,918253;0,08120949;3,624352;342,7591;103,3868;9,989495;0,4094877;0,5775576;18;1,025368;-1,200636;1,060468
29,15743;2,896361;0,07398227;3,636169;349,5183;103,7114;10,77942;0,2459821;0,5780454;18;1,025368;-1,200636;1,060468
29,1684;2,896361;0,07398227;3,636169;349,5183;103,7114;10,77942;0,1205556;0,5778279;18;1,025368;-1,200636;1,060468
29,17886;2,896361;0,07398227;3,636169;349,5183;103,7114;10,77942;5,504676E-08;0,5776205;18;1,025368;-1,200636;1,060468
29,19926;2,896361;0,07398227;3,636169;349,5183;103,7114;10,77942;0,3748567;0,5772167;18;1,025368;-1,200636;1,060468
29,21201;2,759475;0,06400636;3,702589;358,209;104,8673;5,713089;2,431015;0,5821756;18;1,025368;-1,200636;1,060468
29,22304;2,759475;0,06400636;3,702589;358,209;104,8673;5,713089;0,3845701;0,5819557;18;1,025368;-1,200636;1,060468
29,23437;2,713569;0,06246539;3,724682;2,950741;103,2319;4,147062;0,7344288;0,5834735;18;1,025368;-1,200636;1,060468
29,25154;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;0,5744451;0,5848266;18;1,025368;-1,200636;1,060468
29,2657;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;0,4665716;0,5845434;18;1,025368;-1,200636;1,060468
29,27545;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;1,464371E-09;0,5843487;18;1,025368;-1,200636;1,060468
29,28595;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;0,7683449;0,584139;18;1,025368;-1,200636;1,060468
29,30956;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;0,2305817;0,5836682;18;1,025368;-1,200636;1,060468
29,31985;2,668097;0,06426436;3,744431;7,137402;102,6453;2,826759;1,429529E-09;0,5834633;18;1,025368;-1,200636;1,060468
29,3321;2,507473;0,09119842;3,789856;23,80028;100,0418;0,8408139;2,021512;0,588913;18;1,025368;-1,200636;1,060468
29,34278;2,507473;0,09119842;3,789856;23,80028;100,0418;0,8408139;0,2524905;0,5886986;18;1,025368;-1,200636;1,060468
29,35295;2,507473;0,09119842;3,789856;23,80028;100,0418;0,8408139;0,5180447;0,5884944;18;1,025368;-1,200636;1,060468
29,37043;2,473691;0,09511647;3,795809;27,28911;92,02117;357,392;0,2228127;0,5893125;18;1,025368;-1,200636;1,060468
29,38105;2,473691;0,09511647;3,795809;27,28911;92,02117;357,392;0,4761044;0,5890993;18;1,025368;-1,200636;1,060468
29,39054;2,468808;0,08728245;3,797766;24,44103;88,32358;354,7774;0,2008282;0,5890881;18;1,025368;-1,200636;1,060468
29,40498;2,468808;0,08728245;3,797766;24,44103;88,32358;354,7774;0;0,5887988;18;1,025368;-1,200636;1,060468
29,41478;2,467402;0,077604;3,801701;21,61;89,22594;355,9513;0,2426545;0,5887448;18;1,025368;-1,200636;1,060468
29,42533;2,467402;0,077604;3,801701;21,61;89,22594;355,9513;0;0,5885334;18;1,025368;-1,200636;1,060468
29,43439;2,466388;0,06948909;3,807701;19,51234;92,76762;359,5547;2,730913;0,588559;18;1,025368;-1,200636;1,060468
29,44604;2,466388;0,06948909;3,807701;19,51234;92,76762;359,5547;0;0,5883261;18;1,025368;-1,200636;1,060468
29,45529;2,461877;0,06413148;3,8167;14,39735;93,85408;0,9765985;0,889948;0,5884833;18;1,025368;-1,200636;1,060468
29,46971;2,454479;0,05312003;3,823284;11,13751;93,8994;1,408265;0,5685632;0,5885314;18;1,025368;-1,200636;1,060468
29,48012;2,454479;0,05312003;3,823284;11,13751;93,8994;1,408265;7,243213E-09;0,5883234;18;1,025368;-1,200636;1,060468
29,48955;2,454479;0,05312003;3,823284;11,13751;93,8994;1,408265;7,396268E-09;0,5881352;18;1,025368;-1,200636;1,060468
29,50227;2,452103;0,05127332;3,823719;5,576348;94,71454;0,6298155;0,05854833;0,5879634;18;1,025368;-1,200636;1,060468
29,51495;2,451839;0,05148476;3,824291;4,482151;95,11594;0,5590272;0,01272236;0,5877321;18;1,025368;-1,200636;1,060468
29,52509;2,451839;0,05148476;3,824291;4,482151;95,11594;0,5590272;7,697033E-09;0,5875301;18;1,025368;-1,200636;1,060468
29,53618;2,450629;0,05122186;3,825367;3,408473;94,97878;0,2513138;3,513744;0,5873642;18;1,025368;-1,200636;1,060468
29,54911;2,450629;0,05122186;3,825367;3,408473;94,97878;0,2513138;7,629514E-09;0,5871072;18;1,025368;-1,200636;1,060468
27,36407;3,633334;0,04523598;2,567894;358,8997;160,4627;358,3177;0,003115045;0,5663689;20;0,7366921;0,4726256;0,8396456
27,37691;3,633334;0,04523598;2,567894;358,8997;160,4627;358,3177;0,00386538;0,5661033;20;0,7366921;0,4726256;0,8396456
27,38747;3,632704;0,04656114;2,568848;357,383;160,2146;357,9735;0,03861655;0,5659267;20;0,7366921;0,4726256;0,8396456
27,39902;3,632704;0,04656114;2,568848;357,383;160,2146;357,9735;0;0,565688;20;0,7366921;0,4726256;0,8396456
27,40947;3,632295;0,04791999;2,56987;355,9025;159,9212;357,4023;0,04051076;0,5655124;20;0,7366921;0,4726256;0,8396456
27,42022;3,632295;0,04791999;2,56987;355,9025;159,9212;357,4023;0;0,5652906;20;0,7366921;0,4726256;0,8396456
27,43013;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0,07039237;0,5651393;20;0,7366921;0,4726256;0,8396456
27,45228;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0;0,5646831;20;0,7366921;0,4726256;0,8396456
27,46257;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0;0,5644714;20;0,7366921;0,4726256;0,8396456
27,47292;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0,06719257;0,5642586;20;0,7366921;0,4726256;0,8396456
27,48533;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0;0,5640036;20;0,7366921;0,4726256;0,8396456
27,49737;3,631652;0,04990896;2,571175;354,0714;159,6612;356,5658;0,005405187;0,5637566;20;0,7366921;0,4726256;0,8396456
27,50741;3,635732;0,04587116;2,578045;355,8447;153,3736;1,142653;0,2074388;0,5638413;20;0,7366921;0,4726256;0,8396456
27,52527;3,635732;0,04587116;2,578045;355,8447;153,3736;1,142653;0,002734323;0,5634754;20;0,7366921;0,4726256;0,8396456
27,53811;3,635732;0,04587116;2,578045;355,8447;153,3736;1,142653;0;0,5632125;20;0,7366921;0,4726256;0,8396456
27,54799;3,633433;0,05536982;2,590467;347,1656;150,1652;4,243259;0,3752957;0,5634691;20;0,7366921;0,4726256;0,8396456
27,55798;3,633433;0,05536982;2,590467;347,1656;150,1652;4,243259;0;0,5632648;20;0,7366921;0,4726256;0,8396456
27,5711;3,629385;0,06534433;2,601423;339,3516;149,6244;6,460475;0,2729379;0,5634204;20;0,7366921;0,4726256;0,8396456
27,58359;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,1780715;0,563446;20;0,7366921;0,4726256;0,8396456
27,61027;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5629013;20;0,7366921;0,4726256;0,8396456
27,64244;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,0346612;0,5622458;20;0,7366921;0,4726256;0,8396456
27,6535;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5620208;20;0,7366921;0,4726256;0,8396456
27,66535;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,03490503;0,5617801;20;0,7366921;0,4726256;0,8396456
27,67513;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5615813;20;0,7366921;0,4726256;0,8396456
27,68619;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,05193269;0,561357;20;0,7366921;0,4726256;0,8396456
27,69907;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5610958;20;0,7366921;0,4726256;0,8396456
27,70989;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5608765;20;0,7366921;0,4726256;0,8396456
27,7394;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5602797;20;0,7366921;0,4726256;0,8396456
27,76615;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5597396;20;0,7366921;0,4726256;0,8396456
27,78503;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5593589;20;0,7366921;0,4726256;0,8396456
27,80731;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,1597694;0,5589106;20;0,7366921;0,4726256;0,8396456
27,82012;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,558653;20;0,7366921;0,4726256;0,8396456
27,83097;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,5584353;20;0,7366921;0,4726256;0,8396456
27,84149;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0,2926118;0,558224;20;0,7366921;0,4726256;0,8396456
27,85446;3,625936;0,07091732;2,608356;335,0495;149,6109;7,813453;0;0,557964;20;0,7366921;0,4726256;0,8396456
