Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
27,2516;3,658396;0,06663594;3,0842;12,10508;147,3134;358,4028;0,6663409;0,5977188;17;1,108337;-0,9887177;0,878286
27,53525;3,64741;0,04394472;3,097656;0,1842684;143,9059;358,8176;0,01117668;0,5921897;17;1,108337;-0,9887177;0,878286
27,55267;3,64721;0,04374125;3,097717;0,06692589;143,9061;358,7261;0,6280342;0,5918227;17;0,9122036;0,6731413;0,878286
27,56594;3,64721;0,04374125;3,097717;0,06692589;143,9061;358,7261;1,527675E-09;0,5915376;17;0,9122036;0,6731413;0,878286
27,57916;3,64714;0,04361158;3,097832;359,9308;143,8595;358,7507;0,8001956;0,5912589;17;0,9122036;0,6731413;0,878286
27,59055;3,647067;0,04349281;3,097813;359,9305;143,8828;358,6631;0,1597782;0,5910175;18;1,127369;-0,9519866;0,8785067
27,60036;3,647067;0,04349281;3,097813;359,9305;143,8828;358,6631;1,539887E-09;0,5908073;18;1,127369;-0,9519866;0,8785067
27,61216;3,647074;0,04354757;3,097895;359,8412;143,8717;358,7701;0,5821719;0,5905576;18;1,127369;-0,9519866;0,8785067
27,62237;3,647074;0,04354757;3,097895;359,8412;143,8717;358,7701;1,543813E-09;0,5903393;18;1,127369;-0,9519866;0,8785067
27,63253;3,647062;0,0435267;3,097933;359,8454;143,8676;358,8398;0,383336;0,5901234;18;1,127369;-0,9519866;0,8785067
27,64253;3,647062;0,0435267;3,097933;359,8454;143,8676;358,8398;1,543521E-09;0,5899099;18;1,127369;-0,9519866;0,8785067
27,65328;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,1504818;0,5896809;18;1,127369;-0,9519866;0,8785067
27,66484;3,647057;0,04349603;3,097937;359,81;143,8652;358,8443;0,1091109;0,5894343;18;1,127369;-0,9519866;0,8785067
27,67398;3,647246;0,04369137;3,097805;359,6165;143,6868;359,1399;0,05843374;0,5892478;18;1,127369;-0,9519866;0,8785067
27,68602;3,647246;0,04369137;3,097805;359,6165;143,6868;359,1399;1,47807E-09;0,5889915;18;1,127369;-0,9519866;0,8785067
27,70314;3,647252;0,04374894;3,0977;359,5523;143,6587;359,2375;0,1157023;0,5886311;18;1,127369;-0,9519866;0,8785067
27,71833;3,647212;0,0436157;3,097706;359,4926;143,7122;359,1124;0,001001399;0,5883098;18;1,127369;-0,9519866;0,8785067
27,73102;3,647269;0,04375914;3,097719;359,5227;143,6668;359,2977;0,08224938;0,5880425;18;1,127369;-0,9519866;0,8785067
27,74665;3,647269;0,04375914;3,097719;359,5227;143,6668;359,2977;0,0809055;0,5877112;18;1,127369;-0,9519866;0,8785067
27,75776;3,64707;0,04330654;3,097929;359,7411;143,8658;358,9046;0,005799254;0,5874862;18;1,127369;-0,9519866;0,8785067
27,77073;3,647113;0,04333827;3,098;359,7736;143,8812;358,9492;0,00484443;0,5872148;18;1,127369;-0,9519866;0,8785067
27,78266;3,647113;0,04333827;3,098;359,7736;143,8812;358,9492;5,680372E-10;0,5869625;18;1,127369;-0,9519866;0,8785067
27,79285;3,647238;0,04349903;3,098223;0,1843778;143,9782;359,5268;0,008265456;0,5867564;18;1,127369;-0,9519866;0,8785067
27,80178;3,647238;0,04349903;3,098223;0,1843778;143,9782;359,5268;0,00308497;0,5865679;18;1,127369;-0,9519866;0,8785067
27,81544;3,647253;0,04343318;3,098219;0,1451725;143,9841;359,4789;0,001222456;0,5862802;18;1,127369;-0,9519866;0,8785067
27,83058;3,647215;0,04335913;3,098146;0,235331;143,9947;359,5645;0,003724129;0,5859641;18;1,127369;-0,9519866;0,8785067
27,84092;3,647215;0,04335913;3,098146;0,235331;143,9947;359,5645;0;0,5857462;18;1,127369;-0,9519866;0,8785067
27,8574;3,646976;0,04299985;3,097826;359,716;143,8738;359,0832;0,007857901;0,5854139;18;1,127369;-0,9519866;0,8785067
27,87074;3,646948;0,04299059;3,097864;359,6821;143,8896;359,0835;0,0008487292;0,5851352;18;1,127369;-0,9519866;0,8785067
27,88156;3,646948;0,04299059;3,097864;359,6821;143,8896;359,0835;0,0006788996;0,584908;18;1,127369;-0,9519866;0,8785067
27,89137;3,646823;0,04285302;3,097902;359,4053;143,8584;358,8798;0,004509619;0,584707;18;1,127369;-0,9519866;0,8785067
27,90284;3,646823;0,04285302;3,097902;359,4053;143,8584;358,8798;0,007718176;0,5844665;18;1,127369;-0,9519866;0,8785067
27,91245;3,646761;0,04289697;3,098043;359,3633;143,9045;358,8708;0,003888639;0,5842707;18;1,127369;-0,9519866;0,8785067
27,92548;3,646761;0,04289697;3,098043;359,3633;143,9045;358,8708;0,00162319;0,5839978;18;0,8615565;0,6426323;0,8785067
27,93523;3,646608;0,04281983;3,098177;359,189;143,9373;358,8278;0,004478365;0,5838013;18;0,8615565;0,6426323;0,8785067
27,94806;3,646608;0,04281983;3,098177;359,189;143,9373;358,8278;0,00294949;0,5835332;18;0,8615565;0,6426323;0,8785067
27,95773;3,646287;0,04275846;3,098402;358,9657;144,0208;358,8405;0,01005402;0,5833453;18;0,8615565;0,6426323;0,8785067
27,97258;3,646219;0,04276821;3,098526;358,9298;144,0327;358,9007;0,01099773;0,5830405;18;0,8615565;0,6426323;0,8785067
27,98662;3,646219;0,04276821;3,098526;358,9298;144,0327;358,9007;0,00165482;0,5827478;18;0,8615565;0,6426323;0,8785067
27,9977;3,645779;0,04279962;3,098839;358,6391;144,1572;358,8896;0,01194196;0,5825365;18;0,8615565;0,6426323;0,8785067
28,01632;3,645613;0,04282654;3,098923;358,5705;144,1987;358,9182;0,007360581;0,5821558;18;0,8615565;0,6426323;0,8785067
28,03761;3,645034;0,0433048;3,099514;357,8111;144,2739;359,1519;0,01018567;0,5817429;18;0,8615565;0,6426323;0,8785067
28,04891;3,645034;0,0433048;3,099514;357,8111;144,2739;359,1519;0,001112444;0,5815086;18;0,8615565;0,6426323;0,8785067
28,05916;3,644561;0,04443032;3,100445;356,7856;144,4078;359,7046;0,03546212;0,5813333;18;0,8615565;0,6426323;0,8785067
28,07122;3,644289;0,04528953;3,101055;356,0763;144,4654;0,06840097;0,02082299;0,5811071;18;0,8615565;0,6426323;0,8785067
28,08182;3,644289;0,04528953;3,101055;356,0763;144,4654;0,06840097;0,007521188;0,5808877;18;0,8615565;0,6426323;0,8785067
28,09401;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,05371539;0,580698;18;0,8615565;0,6426323;0,8785067
28,10791;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5804107;18;0,8615565;0,6426323;0,8785067
28,12801;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,004356745;0,5799958;18;0,8615565;0,6426323;0,8785067
28,13853;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5797787;18;0,8615565;0,6426323;0,8785067
28,15286;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,003708924;0,5794835;18;0,8615565;0,6426323;0,8785067
28,16468;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5792402;18;0,8615565;0,6426323;0,8785067
28,17397;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,004987853;0,5790491;18;0,8615565;0,6426323;0,8785067
28,19125;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5786939;18;0,8615565;0,6426323;0,8785067
28,20486;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,00887566;0,5784146;18;0,8615565;0,6426323;0,8785067
28,21476;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,002066436;0,5782115;18;0,8615565;0,6426323;0,8785067
28,23142;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5778702;18;0,8615565;0,6426323;0,8785067
28,24091;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,01065908;0,5776759;18;0,8615565;0,6426323;0,8785067
28,25102;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,002218039;0,5774691;18;0,8615565;0,6426323;0,8785067
28,26537;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,01001031;0,5771757;18;0,8615565;0,6426323;0,8785067
28,27519;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5769752;18;0,8615565;0,6426323;0,8785067
28,28715;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,03492773;0,5767312;18;0,8615565;0,6426323;0,8785067
28,29805;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0,02097561;0,5765089;18;0,8615565;0,6426323;0,8785067
28,31432;3,643644;0,04748211;3,102684;354,3261;144,6605;1,082876;0;0,5761775;18;0,8615565;0,6426323;0,8785067
