Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
8,328708;-1,574442;1,664294;-4,724404;7,217587;17,28931;0,1029345;1,001239;0,5878656;4,887609
8,602903;-1,523672;1,683386;-4,553039;6,06181;15,21128;1,114841;0,6518261;0,5899076;5,066337
8,621497;-1,520228;1,683782;-4,541891;6,273928;14,92052;1,018972;0,6275008;0,5899888;5,078005
8,637449;-1,517438;1,68431;-4,53083;6,374551;14,83499;1,076756;0,7150917;0,5902203;5,089412
8,649518;-1,515855;1,684611;-4,525308;6,29972;14,67421;1,024518;0,476027;0,5900607;5,095157
8,662254;-1,515855;1,684611;-4,525308;6,29972;14,67421;1,024518;0;0,5891916;5,095157
8,67445;-1,512683;1,684894;-4,514372;6,12402;14,38665;1,10547;0,933663;0,5896767;5,106544
8,685719;-1,510923;1,684988;-4,508847;6,003481;14,3225;1,27311;0,5145577;0,5895791;5,112342
8,702374;-1,510923;1,684988;-4,508847;6,003481;14,3225;1,27311;0;0,5884489;5,112342
8,715672;-1,506281;1,684763;-4,49192;6,248356;14,12891;1,310539;1,319935;0,5895668;5,129894
8,731008;-1,502641;1,684266;-4,48058;6,046782;14,04407;1,620356;0,7765698;0,5898958;5,141804
8,745682;-1,500866;1,683814;-4,474589;6,384578;13,95922;1,589539;0,4258186;0,5896201;5,148052
8,758819;-1,500866;1,683814;-4,474589;6,384578;13,95922;1,589539;0;0,5887342;5,148052
8,777172;-1,494884;1,682225;-4,456938;6,464792;13,83007;1,690926;1,015429;0,589628;5,166689
8,791121;-1,490591;1,68083;-4,444676;6,736387;13,65805;1,580059;0,9313499;0,5901711;5,179681
8,803297;-1,488341;1,680071;-4,438581;6,851024;13,7228;1,677703;0,5336102;0,5900927;5,186178
8,817697;-1,488341;1,680071;-4,438581;6,851024;13,7228;1,677703;0;0,5891275;5,186178
8,830833;-1,481201;1,677659;-4,420023;7,409406;13,63762;1,788489;1,513647;0,5905051;5,206062
