Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
8,328708;-1,566363;0,07378151;-4,661114;2,028939;201,627;0,07047754;0,02286232;0,6029862;5;1,880782;-1,393599;0,7301328
8,602903;-1,564297;0,07055058;-4,659374;0,425101;201,6968;0,02233837;0,001690937;0,5840495;5;1,880782;-1,393599;0,7301328
8,621497;-1,564306;0,07051201;-4,659454;0,3934089;201,7428;359,7574;0,0005185956;0,5827971;5;0,9069972;0,4635408;0,7301328
8,637449;-1,564326;0,07043778;-4,659386;0,2371615;201,7164;359,9142;4,417955;0,5817272;5;0,9069972;0,4635408;0,7301328
8,649518;-1,564055;0,07029837;-4,659311;0,2612311;201,5773;359,9706;0,002886737;0,5809467;6;1,575004;-1,219957;0,8358607
8,662254;-1,564055;0,07029837;-4,659311;0,2612311;201,5773;359,9706;0,09918739;0,5800911;6;1,575004;-1,219957;0,8358607
8,67445;-1,564488;0,07039301;-4,659193;0,04468674;201,7608;359,7905;0,004106986;0,5793259;6;1,575004;-1,219957;0,8358607
8,685719;-1,564471;0,07032587;-4,65922;0,06099723;201,7401;359,7807;0,000719537;0,5785767;6;1,575004;-1,219957;0,8358607
8,702374;-1,564471;0,07032587;-4,65922;0,06099723;201,7401;359,7807;8,93721E-10;0,5774675;6;1,575004;-1,219957;0,8358607
8,715672;-1,564035;0,07023226;-4,658394;0,2586902;201,7966;359,4365;0,007689121;0,5766923;6;1,575004;-1,219957;0,8358607
8,731008;-1,563997;0,07034584;-4,6584;0,2905189;201,6965;359,188;0,2791137;0,5756821;6;1,575004;-1,219957;0,8358607
8,745682;-1,564282;0,0703619;-4,658621;0,2444835;201,6638;359,1982;0,002664695;0,574756;6;1,575004;-1,219957;0,8358607
8,758819;-1,564282;0,0703619;-4,658621;0,2444835;201,6638;359,1982;0,155262;0,5738925;6;1,575004;-1,219957;0,8358607
8,777172;-1,56451;0,07042828;-4,658684;0,2260146;201,6596;359,53;0,001406368;0,5727174;6;1,575004;-1,219957;0,8358607
8,791121;-1,564414;0,07023291;-4,659006;0,0651773;201,6831;359,6687;0,002914502;0,5718455;6;1,575004;-1,219957;0,8358607
8,803297;-1,56443;0,0701815;-4,658714;0,04348462;201,6561;359,6256;0,09557614;0,5710865;6;1,575004;-1,219957;0,8358607
8,817697;-1,56443;0,0701815;-4,658714;0,04348462;201,6561;359,6256;9,25214E-10;0,5701524;6;1,575004;-1,219957;0,8358607
8,830833;-1,564401;0,07015377;-4,658482;359,9013;201,5971;359,6329;0,03557617;0,5693294;6;1,575004;-1,219957;0,8358607
8,841358;-1,564401;0,07015377;-4,658482;359,9013;201,5971;359,6329;0,01044321;0,5686506;6;1,575004;-1,219957;0,8358607
8,850155;-1,56436;0,07019093;-4,658394;359,7971;201,592;359,5518;0,001774176;0,5680954;6;1,575004;-1,219957;0,8358607
8,860968;-1,56436;0,07019093;-4,658394;359,7971;201,592;359,5518;0,001035152;0,5674011;6;1,575004;-1,219957;0,8358607
8,872846;-1,56433;0,0701436;-4,65831;359,681;201,5522;359,6253;0,00103347;0,5666503;6;1,575004;-1,219957;0,8358607
8,883853;-1,564294;0,07016242;-4,658205;359,6324;201,5698;359,6206;0,005306046;0,5659596;6;1,575004;-1,219957;0,8358607
8,895762;-1,564294;0,07016242;-4,658205;359,6324;201,5698;359,6206;5,681951E-10;0,5652007;6;1,575004;-1,219957;0,8358607
8,905313;-1,564281;0,07018301;-4,658081;359,5307;201,54;359,6167;0,00853316;0,5646075;6;1,575004;-1,219957;0,8358607
8,915825;-1,564281;0,07018301;-4,658081;359,5307;201,54;359,6167;0,001514243;0,5639408;6;1,575004;-1,219957;0,8358607
8,928976;-1,564097;0,07007747;-4,65781;359,2391;201,5103;359,6912;0,005978389;0,5631455;6;1,575004;-1,219957;0,8358607
8,93933;-1,564097;0,07007747;-4,65781;359,2391;201,5103;359,6912;0,01655149;0,5624922;6;1,575004;-1,219957;0,8358607
8,949121;-1,563995;0,07036184;-4,657581;359,0133;201,4694;359,4882;0,007869977;0,5619038;6;1,575004;-1,219957;0,8358607
8,961995;-1,563995;0,07036184;-4,657581;359,0133;201,4694;359,4882;0,005927177;0,5610953;6;1,575004;-1,219957;0,8358607
8,971419;-1,563959;0,07079319;-4,657175;358,4653;201,41;359,3259;0,01550686;0,5605505;6;0,7561474;0,4065124;0,8358607
8,983232;-1,563959;0,07079319;-4,657175;358,4653;201,41;359,3259;0,00331292;0,5598122;6;0,7561474;0,4065124;0,8358607
8,994213;-1,563914;0,07153079;-4,656679;357,7633;201,3782;358,8995;0,02716326;0,559183;6;0,7561474;0,4065124;0,8358607
9,007549;-1,56402;0,07236483;-4,655926;356,8135;201,3234;358,6319;0,01913331;0,5584384;6;0,7561474;0,4065124;0,8358607
9,028492;-1,564056;0,07370438;-4,654961;355,511;201,2602;358,1781;0,01945677;0,5572481;6;0,7561474;0,4065124;0,8358607
9,042739;-1,564056;0,07370438;-4,654961;355,511;201,2602;358,1781;0,004438283;0,5563687;6;0,7561474;0,4065124;0,8358607
9,053436;-1,563822;0,07548396;-4,653648;353,707;201,0151;357,9587;0,05187894;0,5558577;6;0,7561474;0,4065124;0,8358607
9,064185;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,03066573;0,5552931;6;0,7561474;0,4065124;0,8358607
9,075379;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,554607;6;0,7561474;0,4065124;0,8358607
9,091963;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,002040523;0,5535939;6;0,7561474;0,4065124;0,8358607
9,105454;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,002442176;0,5527723;6;0,7561474;0,4065124;0,8358607
9,128729;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5513607;6;0,7561474;0,4065124;0,8358607
9,140545;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,003000854;0,5506468;6;0,7561474;0,4065124;0,8358607
9,148787;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5501499;6;0,7561474;0,4065124;0,8358607
9,160933;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,00593317;0,5494194;6;0,7561474;0,4065124;0,8358607
9,171035;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5488132;6;0,7561474;0,4065124;0,8358607
9,181688;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,008869703;0,5481755;6;0,7561474;0,4065124;0,8358607
9,191216;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5476063;6;0,7561474;0,4065124;0,8358607
9,211074;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,01405364;0,5464239;6;0,7561474;0,4065124;0,8358607
9,221089;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5458294;6;0,7561474;0,4065124;0,8358607
9,230519;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,01821101;0,5452709;6;0,7561474;0,4065124;0,8358607
9,242421;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,0189425;0,5445676;6;0,7561474;0,4065124;0,8358607
9,250432;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,01803976;0,5440953;6;0,7561474;0,4065124;0,8358607
