Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
8,328708;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0;0,5731266;5;0,9220153;0,6117494;0,7778023
8,602903;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,002360716;0,5548287;5;0,9220153;0,6117494;0,7778023
8,621497;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,001548023;0,5536301;5;0,9220153;0,6117494;0,7778023
8,637449;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,001811863;0,5526059;5;0,9220153;0,6117494;0,7778023
8,649518;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0;0,5518335;5;0,9220153;0,6117494;0,7778023
8,662254;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,001482055;0,5510208;5;0,9220153;0,6117494;0,7778023
8,67445;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0;0,5502448;5;0,9220153;0,6117494;0,7778023
8,685719;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,001773533;0,5495297;5;0,9220153;0,6117494;0,7778023
8,702374;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0,002650402;0,5484762;5;0,9220153;0,6117494;0,7778023
8,715672;-1,710044;0,07427526;-5,174374;353,4884;213,3862;1,826301;0;0,547638;5;0,9220153;0,6117494;0,7778023
8,731008;-1,391657;0,08683498;-4,649353;348,3206;187,4895;359,6225;4,341084;0,6171178;5;0,9220153;0,6117494;0,7778023
8,745682;-1,391657;0,08683498;-4,649353;348,3206;187,4895;359,6225;0;0,6160807;6;1,676617;-1,112043;0,7650938
8,758819;-1,391657;0,08683498;-4,649353;348,3206;187,4895;359,6225;0,01685807;0,6151551;6;1,676617;-1,112043;0,7650938
8,777172;-1,362114;0,08041785;-4,555904;355,588;184,4435;358,1265;0,562413;0,6250513;6;1,676617;-1,112043;0,7650938
8,791121;-1,349957;0,07962162;-4,509464;359,0675;182,5564;357,6197;0,3509944;0,6295276;6;1,676617;-1,112043;0,7650938
8,803297;-1,345023;0,0799263;-4,486328;0,7239081;181,5381;357,5254;0,1986073;0,6313471;6;1,676617;-1,112043;0,7650938
8,817697;-1,345023;0,0799263;-4,486328;0,7239081;181,5381;357,5254;1,167076E-09;0,6303144;6;1,676617;-1,112043;0,7650938
8,830833;-1,331705;0,08419474;-4,420134;5,432312;178,7077;356,9928;0,5177288;0,6370339;6;1,676617;-1,112043;0,7650938
8,841358;-1,331705;0,08419474;-4,420134;5,432312;178,7077;356,9928;0;0,6362743;6;1,676617;-1,112043;0,7650938
8,850155;-1,323524;0,08850391;-4,379759;8,618158;177,1307;357,6243;0,5016627;0,6403033;6;1,676617;-1,112043;0,7650938
8,860968;-1,323524;0,08850391;-4,379759;8,618158;177,1307;357,6243;0;0,6395206;6;1,676617;-1,112043;0,7650938
8,872846;-1,315627;0,09299694;-4,343103;11,40452;176,0355;358,8114;0,7026854;0,6428961;6;1,676617;-1,112043;0,7650938
8,883853;-1,311844;0,09539554;-4,326683;12,29944;175,8479;358,7772;0,3486959;0,643998;6;1,676617;-1,112043;0,7650938
8,895762;-1,311844;0,09539554;-4,326683;12,29944;175,8479;358,7772;0;0,6431345;6;1,676617;-1,112043;0,7650938
8,905313;-1,304747;0,1001532;-4,298409;14,4194;176,6871;359,2806;0,7067959;0,6457224;6;1,676617;-1,112043;0,7650938
8,915825;-1,304747;0,1001532;-4,298409;14,4194;176,6871;359,2806;0;0,6449599;6;1,676617;-1,112043;0,7650938
8,928976;-1,297084;0,1045541;-4,269344;18,51751;180,5056;2,061696;0,5274666;0,6473802;6;1,676617;-1,112043;0,7650938
8,93933;-1,297084;0,1045541;-4,269344;18,51751;180,5056;2,061696;0;0,6466291;6;1,676617;-1,112043;0,7650938
8,949121;-1,294606;0,1031863;-4,258446;19,18607;183,5039;3,114556;9,271633;0,6471715;6;1,676617;-1,112043;0,7650938
8,961995;-1,294606;0,1031863;-4,258446;19,18607;183,5039;3,114556;0;0,6462403;6;1,676617;-1,112043;0,7650938
8,971419;-1,295506;0,09827258;-4,251408;17,71994;184,7551;3,299873;0,2254335;0,6463525;6;1,676617;-1,112043;0,7650938
8,983232;-1,295506;0,09827258;-4,251408;17,71994;184,7551;3,299873;1,324853;0,6455012;6;1,676617;-1,112043;0,7650938
8,994213;-1,298808;0,09180149;-4,246826;14,04562;184,0884;0,5066262;0,814904;0,6453407;6;1,676617;-1,112043;0,7650938
9,007549;-1,301641;0,08537968;-4,241188;11,11869;183,0026;0,1950055;0,4310949;0,6450853;6;1,676617;-1,112043;0,7650938
9,028492;-1,301406;0,07677092;-4,234945;7,382824;182,3467;1,632706;0,1253207;0,6442796;6;1,676617;-1,112043;0,7650938
9,042739;-1,301406;0,07677092;-4,234945;7,382824;182,3467;1,632706;1,271672;0,6432629;6;1,676617;-1,112043;0,7650938
9,053436;-1,299347;0,07071773;-4,231359;4,378143;182,5241;2,295644;0,1710408;0,6429591;6;1,676617;-1,112043;0,7650938
9,064185;-1,299438;0,06963399;-4,230499;3,490081;182,4207;1,771331;1,157863;0,6422909;6;1,676617;-1,112043;0,7650938
9,075379;-1,299438;0,06963399;-4,230499;3,490081;182,4207;1,771331;3,675585E-09;0,6414974;6;1,676617;-1,112043;0,7650938
9,091963;-1,300335;0,06782208;-4,229143;1,851791;181,9956;0,5208055;0,7520626;0,6405046;6;1,676617;-1,112043;0,7650938
9,105454;-1,300458;0,0674687;-4,228836;1,653442;181,9181;0,5230459;0,3655757;0,6395904;6;1,676617;-1,112043;0,7650938
9,128729;-1,300562;0,06681135;-4,22827;1,274285;181,8296;0,448105;0,008519067;0,6380204;6;1,676617;-1,112043;0,7650938
9,140545;-1,300562;0,06681135;-4,22827;1,274285;181,8296;0,448105;0,7018063;0,6371943;6;1,676617;-1,112043;0,7650938
9,148787;-1,300596;0,06643863;-4,228102;1,045419;181,7526;0,2880054;0,01136007;0,636638;6;1,676617;-1,112043;0,7650938
9,160933;-1,300596;0,06643863;-4,228102;1,045419;181,7526;0,2880054;0,523477;0,6357927;6;1,676617;-1,112043;0,7650938
9,171035;-1,300573;0,06620872;-4,228077;0,760518;181,7283;359,9929;0,005281684;0,6350949;6;1,676617;-1,112043;0,7650938
9,181688;-1,300573;0,06620872;-4,228077;0,760518;181,7283;359,9929;0,2635899;0,6343569;6;1,676617;-1,112043;0,7650938
9,191216;-1,300632;0,06598621;-4,227898;0,7161765;181,6903;0,02485187;0,007031943;0,6337188;6;1,676617;-1,112043;0,7650938
9,211074;-1,300685;0,06580349;-4,227734;0,7540702;181,651;0,2196489;0,2015761;0,6323692;6;1,676617;-1,112043;0,7650938
9,221089;-1,300685;0,06580349;-4,227734;0,7540702;181,651;0,2196489;4,165322E-09;0,6316813;6;1,676617;-1,112043;0,7650938
9,230519;-1,300703;0,06569955;-4,227602;0,8058704;181,6127;0,4041733;0,1720625;0,6310493;6;1,676617;-1,112043;0,7650938
9,242421;-1,300703;0,06569955;-4,227602;0,8058704;181,6127;0,4041733;0,1510543;0,6302354;6;1,676617;-1,112043;0,7650938
9,250432;-1,300676;0,0655321;-4,227455;0,769725;181,551;0,5947083;0,1098492;0,629705;6;1,676617;-1,112043;0,7650938
