Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
33,7711;-0,05088878;1,646209;4,297441;11,32589;294,4389;3,255531;1,377819;0,5884089;19,86334
34,08195;-0,2059852;1,635277;4,429797;13,38886;313,0844;3,700478;0,6559049;0,5890248;20,06723
34,09724;-0,214796;1,633738;4,440444;13,24337;313,7195;3,535242;0,9039285;0,589166;20,08105
34,1093;-0,214796;1,633738;4,440444;13,24337;313,7195;3,535242;0;0,5889577;20,08105
34,12185;-0,2237592;1,631543;4,451469;13,03718;314,3299;3,425112;1,131799;0,5891576;20,09526
34,13617;-0,228201;1,630234;4,457128;13,11969;314,6429;3,374158;0,5023385;0,5891212;20,10246
34,14851;-0,228201;1,630234;4,457128;13,11969;314,6429;3,374158;0;0,5889083;20,10246
34,15944;-0,2412362;1,625771;4,474303;13,72537;315,4896;3,208021;1,972174;0,5893512;20,12402
34,16986;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;0,6999437;0,5893849;20,13131
34,18263;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;0;0,5891646;20,13131
34,19662;-0,2539271;1,620947;4,492269;13,80061;316,346;3,385195;1,051104;0,5893537;20,14602
34,20656;-0,2539271;1,620947;4,492269;13,80061;316,346;3,385195;0;0,5891824;20,14602
34,21835;-0,2659124;1,616859;4,510373;13,81216;316,6202;3,197776;1,84258;0,5896141;20,16773
34,23033;-0,2697835;1,615686;4,516645;13,74277;316,7493;3,187503;0,6151171;0,589623;20,1751
34,24149;-0,2697835;1,615686;4,516645;13,74277;316,7493;3,187503;0;0,5894307;20,1751
34,25745;-0,2813644;1,613788;4,5358;13,7005;316,9998;2,847578;1,402765;0,5898097;20,19748
34,27006;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0,6055056;0,5898155;20,20512
34,28526;-0,2853008;1,613672;4,542341;13,68958;317,0129;2,721411;0;0,5895538;20,20512
34,29694;-0,2974442;1,614565;4,562354;13,71422;316,9627;2,280754;2,005425;0,5900359;20,22853
34,31108;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0,5400752;0,5900152;20,23617
34,32644;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0;0,5897512;20,23617
34,33778;-0,3127598;1,617817;4,5888;13,84601;316,8517;1,424576;2,021702;0,5902242;20,25909
34,34797;-0,3127598;1,617817;4,5888;13,84601;316,8517;1,424576;0;0,5900489;20,25909
34,35762;-0,3199549;1,619878;4,601476;13,97027;316,8977;1,158964;1,51142;0,5903077;20,27366
34,36801;-0,3199549;1,619878;4,601476;13,97027;316,8977;1,158964;0;0,590129;20,27366
34,37761;-0,3270223;1,622136;4,613531;14,00182;316,7462;0,7152746;1,455994;0,5903709;20,28764
34,39021;-0,3304169;1,623311;4,619425;14,1045;316,6283;0,4691423;0,5396623;0,5903523;20,29444
34,40381;-0,3304169;1,623311;4,619425;14,1045;316,6283;0,4691423;0;0,5901188;20,29444
34,42057;-0,3405381;1,626683;4,636344;13,5651;316,6166;359,8837;1,176722;0,5904045;20,31416
34,43555;-0,3438397;1,627445;4,642065;13,53401;316,7343;359,7877;0,4406891;0,5903392;20,32076
34,44673;-0,3438397;1,627445;4,642065;13,53401;316,7343;359,7877;0;0,5901477;20,32076
34,45728;-0,3543244;1,630179;4,658274;13,14037;316,8888;359,4553;1,829559;0,5905274;20,34007
34,46877;-0,3543244;1,630179;4,658274;13,14037;316,8888;359,4553;0;0,5903305;20,34007
34,47802;-0,3612314;1,631367;4,669027;13,23094;317,0796;359,3255;1,381603;0,5905429;20,35285
34,4883;-0,3612314;1,631367;4,669027;13,23094;317,0796;359,3255;0;0,5903667;20,35285
34,49869;-0,3682256;1,63239;4,679669;13,52841;317,3369;359,1759;1,226384;0,5905582;20,36558
34,51075;-0,3716772;1,632789;4,684919;13,56573;317,4997;359,1869;0,5209221;0,5905338;20,37186
34,52152;-0,3716772;1,632789;4,684919;13,56573;317,4997;359,1869;0;0,5903495;20,37186
34,5327;-0,3785403;1,633587;4,695277;13,97576;317,7757;359,1494;1,110883;0,5905182;20,38429
34,54625;-0,3785403;1,633587;4,695277;13,97576;317,7757;359,1494;0;0,5902865;20,38429
34,55736;-0,388472;1,63504;4,710437;14,38073;318,1711;359,2297;1,631561;0,5906214;20,40241
34,57037;-0,3915469;1,635602;4,715472;14,43713;318,3892;359,2434;0,4535328;0,5905697;20,40831
34,58535;-0,3915469;1,635602;4,715472;14,43713;318,3892;359,2434;0;0,5903139;20,40831
34,59718;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0,9908651;0,5904509;20,42004
34,60788;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0;0,5902684;20,42004
34,61986;-0,4060255;1,639016;4,741004;14,44726;319,5015;359,3418;1,471093;0,5905734;20,43766
34,63303;-0,4088449;1,639401;4,746034;15,13339;319,6488;359,3003;0,437613;0,5905151;20,44343
34,64645;-0,4088449;1,639401;4,746034;15,13339;319,6488;359,3003;0;0,5902865;20,44343
34,65808;-0,4170801;1,641271;4,761941;14,51141;320,291;359,4009;1,540072;0,5906053;20,46134
34,67245;-0,4198374;1,641705;4,767238;14,56485;320,5235;359,4079;0,4153273;0,5905326;20,46731
34,68511;-0,4198374;1,641705;4,767238;14,56485;320,5235;359,4079;0;0,590317;20,46731
34,69999;-0,4283184;1,64244;4,783424;14,28681;320,9858;359,5003;1,228567;0,5905907;20,48559
34,72247;-0,4343333;1,642434;4,79457;14,38951;321,2659;359,3866;0,563237;0,590573;20,49825
34,74003;-0,4406497;1,641968;4,805748;14,58392;321,4719;359,3086;0,7313124;0,5906441;20,51109
34,75533;-0,4438227;1,641626;4,811512;14,48007;321,5626;359,2769;0,4300481;0,5905734;20,51767
34,76715;-0,4438227;1,641626;4,811512;14,48007;321,5626;359,2769;0;0,5903725;20,51767
34,78149;-0,4539895;1,639799;4,828548;14,79071;321,6501;359,0759;1,383559;0,5906996;20,53751
34,79446;-0,4574822;1,638991;4,834291;14,84639;321,6693;358,9756;0,5184019;0,5906727;20,54423
34,80724;-0,4574822;1,638991;4,834291;14,84639;321,6693;358,9756;0;0,5904557;20,54423
34,81878;-0,4680061;1,636456;4,851645;15,23415;321,7874;358,6875;1,758225;0,590843;20,56453
34,8451;-0,4753749;1,634645;4,863417;15,22333;321,8171;358,4937;0,5277023;0,5907953;20,57842
34,85664;-0,4791394;1,633795;4,869351;15,26604;321,9002;358,4039;0,6092033;0,5908014;20,58544
34,8737;-0,4862232;1,631858;4,881642;15,7921;322,4363;358,5616;0,8311826;0,590919;20,59963
34,89127;-0,4951597;1,63083;4,893614;14,1964;322,5543;358,3515;0,8504677;0,5910498;20,61457
34,91763;-0,5078493;1,628152;4,911429;15,29519;322,7056;358,1704;0,8298936;0,5912301;20,63644
34,92925;-0,5078493;1,628152;4,911429;15,29519;322,7056;358,1704;0;0,5910333;20,63644
34,93866;-0,517368;1,626565;4,923936;14,25932;323,0509;358,3599;1,670743;0,5913241;20,65216
34,95228;-0,5221771;1,625656;4,930085;14,24632;323,0635;358,3923;0,5730693;0,591317;20,65996
34,96695;-0,5221771;1,625656;4,930085;14,24632;323,0635;358,3923;0;0,5910687;20,65996
34,97817;-0,5370056;1,623327;4,948682;14,27533;323,2494;358,3788;2,120769;0,5915594;20,68375
34,99164;-0,5420299;1,622633;4,955102;14,29615;323,2513;358,4134;0,6052385;0,5915647;20,6919
35,00285;-0,5420299;1,622633;4,955102;14,29615;323,2513;358,4134;0;0,5913752;20,6919
35,01398;-0,5525336;1,621883;4,96828;14,42926;323,5901;358,1788;1,513953;0,5916685;20,70875
35,02888;-0,5525336;1,621883;4,96828;14,42926;323,5901;358,1788;0;0,5914168;20,70875
35,04072;-0,5692061;1,621249;4,988511;14,29689;323,9056;358,124;2,213965;0,5919653;20,73497
35,05459;-0,5750421;1,621118;4,995317;14,30653;323,9785;358,1158;0,6462285;0,5919867;20,74393
35,07652;-0,5931586;1,621548;5,01609;14,57728;324,1053;358,0878;1,257045;0,5924026;20,7715
35,09003;-0,5993003;1,62192;5,023116;14,71714;324,1646;358,1114;0,6908361;0,5924405;20,78083
35,10433;-0,5993003;1,62192;5,023116;14,71714;324,1646;358,1114;0;0,5921991;20,78083
35,11629;-0,6174227;1,62362;5,044261;14,75894;324,225;358,4918;2,327951;0,5927907;20,80868
35,12798;-0,6174227;1,62362;5,044261;14,75894;324,225;358,4918;0;0,5925934;20,80868
35,13872;-0,6287273;1,625137;5,058132;15,00562;324,4966;358,5046;1,665132;0,5929215;20,82657
35,15242;-0,6337823;1,625675;5,064652;15,3907;324,8497;358,3114;0,6021323;0,5929251;20,83482
35,16372;-0,6337823;1,625675;5,064652;15,3907;324,8497;358,3114;0;0,5927345;20,83482
35,17322;-0,6438871;1,627173;5,078352;15,43573;325,372;358,3679;1,792883;0,5930586;20,85184
35,19003;-0,6537874;1,628637;5,092422;16,38917;326,1275;357,9237;1,023338;0,5932643;20,86905
35,20304;-0,6537874;1,628637;5,092422;16,38917;326,1275;357,9237;0;0,5930448;20,86905
35,21337;-0,6628245;1,629246;5,106255;16,51525;326,8099;358,121;1,600745;0,5933403;20,88557
35,23582;-0,6714142;1,629312;5,120223;16,66563;327,5477;358,3349;0,7301639;0,5934276;20,90197
35,247;-0,6714142;1,629312;5,120223;16,66563;327,5477;358,3349;0;0,5932393;20,90197
35,25819;-0,6836861;1,629098;5,141859;16,82204;328,5524;358,8824;2,223177;0,5937567;20,92684
35,27732;-0,6901839;1,628387;5,155637;17,8634;329,599;358,7234;0,7963081;0,5938666;20,94208
35,28832;-0,6901839;1,628387;5,155637;17,8634;329,599;358,7234;0;0,5936814;20,94208
35,29939;-0,6968918;1,628156;5,169819;18,38683;330,3065;358,8299;1,418111;0,5939399;20,95777
35,31492;-0,7000042;1,628094;5,176898;18,61668;330,6821;358,8963;0,497743;0,5938976;20,9655
35,32869;-0,7000042;1,628094;5,176898;18,61668;330,6821;358,8963;0;0,5936661;20,9655
35,33878;-0,708586;1,62848;5,197855;19,88171;331,7169;358,6455;2,244389;0,5941375;20,98815
35,35501;-0,7112455;1,62865;5,204775;19,96259;332,0772;358,6833;0,4566424;0,5940744;20,99556
35,3704;-0,7165155;1,629121;5,218587;20,12165;332,8423;358,7462;0,9606729;0,5942339;21,01034
35,3833;-0,7165155;1,629121;5,218587;20,12165;332,8423;358,7462;0;0,5940173;21,01034
35,39641;-0,7242443;1,629408;5,239248;20,22514;333,9361;358,9437;1,682478;0,5944207;21,0324
35,40768;-0,7242443;1,629408;5,239248;20,22514;333,9361;358,9437;0;0,5942312;21,0324
35,42002;-0,7294053;1,629329;5,253211;20,13831;334,6758;359,1112;1,206308;0,5944446;21,04729
35,43283;-0,7320127;1,629185;5,260265;20,13094;334,9818;359,1607;0,5873919;0,5944421;21,05481
35,45126;-0,7372509;1,628537;5,27458;20,05834;335,6327;359,3262;0,8271765;0,5945631;21,07005
35,46161;-0,7372509;1,628537;5,27458;20,05834;335,6327;359,3262;0;0,5943894;21,07005
35,47138;-0,7427403;1,627401;5,289287;19,94089;336,2739;359,5017;1,607397;0,5946684;21,08575
35,4873;-0,7427403;1,627401;5,289287;19,94089;336,2739;359,5017;0;0,5944014;21,08575
35,49769;-0,7481484;1,625657;5,304411;20,05712;336,8593;359,5982;1,546308;0,5946801;21,10181
35,50792;-0,7481484;1,625657;5,304411;20,05712;336,8593;359,5982;0;0,5945086;21,10181
35,52142;-0,7565885;1,621621;5,327522;20,35213;337,7333;359,5635;1,82299;0,5949755;21,12642
35,53532;-0,7590264;1,619599;5,335371;21,87318;337,8562;359,9762;0,591238;0,5949741;21,13463
35,5518;-0,7657067;1,616684;5,351167;20,27128;338,1985;-0,005007621;1,040754;0,5951808;21,15178
35,5646;-0,7657067;1,616684;5,351167;20,27128;338,1985;-0,005007621;0;0,5949665;21,15178
35,57407;-0,7717995;1,612979;5,367081;20,3833;338,3932;0,1475765;1,799732;0,5952873;21,16883
35,58695;-0,7717995;1,612979;5,367081;20,3833;338,3932;0,1475765;0;0,5950717;21,16883
35,59924;-0,7806777;1,607615;5,391177;20,5764;338,4359;0,3227571;2,089342;0,5955878;21,19451
35,61239;-0,7833939;1,605957;5,399299;20,64347;338,4102;0,3106548;0,6512668;0,5956084;21,20307
35,63774;-0,7903587;1,601407;5,424465;20,52845;338,5293;0,3002458;1,029959;0,5959175;21,22918
35,65041;-0,7923694;1,60013;5,433094;20,5046;338,6378;0,2157961;0,6996161;0,5959543;21,23804
35,66252;-0,7923694;1,60013;5,433094;20,5046;338,6378;0,2157961;0;0,5957518;21,23804
35,67745;-0,7982057;1,597811;5,459723;20,35409;338,9261;0,09654168;1,826271;0,5962668;21,2653
35,71421;-0,8046267;1,598088;5,48705;20,26369;338,8218;359,8768;0,7635903;0,5964391;21,29337
33,8831;-0,04511834;1,64588;4,294498;11,24289;293,7909;3,245641;0,4355263;0,5866734;19,86979
33,90136;-0,04511834;1,64588;4,294498;11,24289;293,7909;3,245641;0;0,5863575;19,86979
33,92402;-0,06815455;1,646397;4,306601;11,48539;296,5568;3,300993;1,148409;0,586733;19,89581
33,94249;-0,06815455;1,646397;4,306601;11,48539;296,5568;3,300993;0;0,5864134;19,89581
33,95612;-0,08455627;1,645565;4,316669;11,76439;298,7317;3,431887;1,412364;0,586745;19,91506
33,97037;-0,09533602;1,644829;4,323704;11,89179;300,1457;3,581003;0,9034572;0,5868779;19,92793
33,9876;-0,1060235;1,64413;4,331117;11,79597;301,4414;3,698919;0,7548407;0,5869631;19,94094
34,00148;-0,1060235;1,64413;4,331117;11,79597;301,4414;3,698919;0;0,5867234;19,94094
34,01753;-0,1219639;1,643137;4,343094;12,13379;303,3582;3,828338;1,242128;0,5870329;19,96088
34,02787;-0,1272377;1,642773;4,347304;12,30449;303,9589;3,869374;0,6522786;0,5870527;19,96763
34,04013;-0,1272377;1,642773;4,347304;12,30449;303,9589;3,869374;0;0,5868412;19,96763
34,05141;-0,1375819;1,642104;4,356;12,58751;305,0978;3,879319;1,198032;0,5870438;19,98114
34,07547;-0,1474841;1,641383;4,365291;12,93394;306,2488;3,814132;0,5643672;0,5870277;19,99472
34,0872;-0,1568938;1,640308;4,374999;13,54185;307,6692;3,89899;1,153292;0,5872225;20,00824
34,10105;-0,1568938;1,640308;4,374999;13,54185;307,6692;3,89899;0;0,5869839;20,00824
34,11202;-0,1660331;1,639819;4,384401;13,44718;308,6315;3,741567;1,194746;0,5871795;20,02135
34,12329;-0,1705878;1,639492;4,389366;13,37771;309,1971;3,722142;0,5979351;0,5871831;20,02809
34,13731;-0,1705878;1,639492;4,389366;13,37771;309,1971;3,722142;0;0,5869418;20,02809
34,15902;-0,1883011;1,637841;4,40908;13,36722;311,2703;3,695287;1,220992;0,5873449;20,05459
34,17085;-0,1926908;1,637362;4,414123;13,26777;311,6665;3,624061;0,5653794;0,5873373;20,06128
34,18779;-0,2015225;1,636225;4,424417;13,12865;312,5465;3,611329;0,8006408;0,587443;20,07484
34,19978;-0,2015225;1,636225;4,424417;13,12865;312,5465;3,611329;0;0,5872369;20,07484
34,21354;-0,2104418;1,63472;4,434952;13,11988;313,2884;3,525351;1,003465;0,5874043;20,08864
34,24013;-0,2237592;1,631543;4,451469;13,03718;314,3299;3,425112;0,7978868;0,5875679;20,10986
34,25628;-0,2325387;1,628795;4,462812;13,1439;314,9531;3,375606;0,8880796;0,5877096;20,1242
34,26886;-0,2368767;1,627337;4,468598;13,25121;315,2409;3,342194;0,5748032;0,5877048;20,13144
34,28195;-0,2368767;1,627337;4,468598;13,25121;315,2409;3,342194;0;0,5874803;20,13144
34,29288;-0,2455189;1,624251;4,480202;13,59029;315,8002;3,296786;1,323351;0,587715;20,1459
34,30946;-0,2539271;1,620947;4,492269;13,80061;316,346;3,385195;0,8875344;0,5878599;20,16061
34,3198;-0,2539271;1,620947;4,492269;13,80061;316,346;3,385195;0;0,5876825;20,16061
34,32963;-0,2618406;1,618005;4,504422;13,90352;316,6754;3,436723;1,47583;0,5879369;20,17511
34,34945;-0,2697835;1,615686;4,516645;13,74277;316,7493;3,187503;0,7352986;0,588022;20,18969
34,37115;-0,2774091;1,61408;4,52931;13,71507;316,9951;2,984618;0,6812223;0,5880808;20,20447
34,39885;-0,2893272;1,613791;4,548882;13,68731;316,984;2,565026;0,8273981;0,5882736;20,22739
34,43004;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0,7492173;0,5884195;20,25076
34,44263;-0,3013799;1,615441;4,568904;13,6222;316,8558;1,989297;0;0,5882043;20,25076
34,45334;-0,3090556;1,616939;4,582253;13,75941;316,8338;1,627597;1,438095;0,5884686;20,26616
34,47144;-0,3164434;1,618848;4,595175;14,02439;316,8977;1,218304;0,8224957;0,5885915;20,28104
34,48259;-0,3164434;1,618848;4,595175;14,02439;316,8977;1,218304;0;0,5884011;20,28104
34,49179;-0,3234969;1,62101;4,607577;14,01174;316,8632;0,9539217;1,549313;0,5886577;20,29531
34,50666;-0,3270223;1,622136;4,613531;14,00182;316,7462;0,7152746;0,4653547;0,5886046;20,30223
34,51919;-0,3270223;1,622136;4,613531;14,00182;316,7462;0,7152746;0;0,5883909;20,30223
34,52858;-0,3373117;1,625388;4,630902;13,83271;316,642;0,1310212;2,150564;0,5888158;20,32242
34,55252;-0,3438397;1,627445;4,642065;13,53401;316,7343;359,7877;0,5402225;0,5887821;20,33535
34,56644;-0,347335;1,628546;4,647371;13,34908;316,7614;359,5976;0,456375;0,5887288;20,34171
34,58118;-0,347335;1,628546;4,647371;13,34908;316,7614;359,5976;0;0,5884777;20,34171
34,59567;-0,3577857;1,630848;4,663671;13,19015;317,0172;359,3989;1,336414;0,588791;20,36107
34,60991;-0,3647459;1,631925;4,674407;13,40915;317,2227;359,2491;0,8987024;0,5889186;20,37386
34,62463;-0,3682256;1,63239;4,679669;13,52841;317,3369;359,1759;0,4286718;0,5888504;20,38017
34,64635;-0,3752274;1,632999;4,690215;13,98142;317,6797;359,2003;0,5825942;0,5888465;20,39283
34,67403;-0,3852059;1,634511;4,705414;14,2241;318,0464;359,2071;0,6569685;0,5889009;20,41101
34,69275;-0,3915469;1,635602;4,715472;14,43713;318,3892;359,2434;0,6351881;0,588926;20,4229
34,71379;-0,3975293;1,636918;4,725561;14,69577;318,7402;359,2012;0,5575076;0,5889069;20,43463
34,7298;-0,403225;1,638322;4,735703;14,81844;319,1477;359,2263;0,7263958;0,5889703;20,44626
34,75445;-0,4088449;1,639401;4,746034;15,13339;319,6488;359,3003;0,4770831;0,5888909;20,45802
34,76943;-0,4141228;1,640658;4,756701;14,74213;320,2595;359,5005;0,7946857;0,5889796;20,46993
34,78955;-0,4198374;1,641705;4,767238;14,56485;320,5235;359,4079;0,5957924;0,5889835;20,48191
34,8038;-0,4226599;1,642073;4,772617;14,58638;320,6927;359,361;0,4261301;0,5889168;20,48799
34,81824;-0,4226599;1,642073;4,772617;14,58638;320,6927;359,361;0;0,5886725;20,48799
34,82909;-0,4312869;1,64251;4,788978;14,342;321,1254;359,4474;1,705454;0,5890204;20,50648
34,84335;-0,4343333;1,642434;4,79457;14,38951;321,2659;359,3866;0,4466024;0,5889621;20,51285
