Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
33,7711;-0,02196838;0,05703023;4,157126;1,811903;118,3541;359,519;0,4295123;0,5904372;21;0,9678382;-1,147897;1,018585
34,08195;-0,02364942;0,05502236;4,158838;0,3049443;118,3298;359,4831;0,001058633;0,5851201;21;0,9678382;-1,147897;1,018585
34,09724;-0,02375598;0,05496072;4,158908;0,1655265;118,3364;359,5403;0,131606;0,5848615;21;0,8105218;0,5078698;1,018585
34,1093;-0,02375598;0,05496072;4,158908;0,1655265;118,3364;359,5403;1,571495E-09;0,5846547;21;0,8105218;0,5078698;1,018585
34,12185;-0,02382683;0,05487857;4,158886;0,1043006;118,3879;359,3774;0,08743513;0,5844417;21;0,8105218;0,5078698;1,018585
34,13617;-0,02405485;0,05481423;4,158861;0,05053343;118,4995;359,4065;0,02684445;0,5842031;21;0,8105218;0,5078698;1,018585
34,14851;-0,02405485;0,05481423;4,158861;0,05053343;118,4995;359,4065;2,15399E-10;0,5839919;21;0,8105218;0,5078698;1,018585
34,15944;-0,02396598;0,05491273;4,15938;359,7191;118,1621;359,1762;0,04222445;0,5838204;21;0,8105218;0,5078698;1,018585
34,16986;-0,02382611;0,0548619;4,159391;359,6648;118,0817;358,8316;0,04546544;0,5836465;21;0,8105218;0,5078698;1,018585
34,18263;-0,02382611;0,0548619;4,159391;359,6648;118,0817;358,8316;2,012468E-10;0,5834284;21;0,8105218;0,5078698;1,018585
34,19662;-0,02410511;0,05502998;4,159538;359,3411;118,0579;358,6714;0,01199704;0,5831987;21;0,8105218;0,5078698;1,018585
34,20656;-0,02410511;0,05502998;4,159538;359,3411;118,0579;358,6714;1,943468E-10;0,5830292;21;0,8105218;0,5078698;1,018585
34,21835;-0,02481855;0,05571297;4,159523;358,4926;118,1598;358,2037;0,01862015;0,5828492;21;0,8105218;0,5078698;1,018585
34,23033;-0,02510008;0,05615691;4,159572;358,0404;118,1281;357,9875;0,008786726;0,5826535;21;0,8105218;0,5078698;1,018585
34,24149;-0,02510008;0,05615691;4,159572;358,0404;118,1281;357,9875;0;0,5824634;21;0,8105218;0,5078698;1,018585
34,25745;-0,02662028;0,05815743;4,160037;356,0677;118,0959;357,1226;0,02420138;0,5822384;21;0,8105218;0,5078698;1,018585
34,27006;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,01170308;0,5820464;21;0,8105218;0,5078698;1,018585
34,28526;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5817881;21;0,8105218;0,5078698;1,018585
34,29694;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,006814728;0,5815901;21;0,8105218;0,5078698;1,018585
34,31108;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,001035435;0,5813501;21;0,8105218;0,5078698;1,018585
34,32644;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,002102304;0,58109;21;0,8105218;0,5078698;1,018585
34,33778;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,580898;21;0,8105218;0,5078698;1,018585
34,34797;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,00205205;0,5807256;21;0,8105218;0,5078698;1,018585
34,35762;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,003919723;0,5805625;21;0,8105218;0,5078698;1,018585
34,36801;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5803868;21;0,8105218;0,5078698;1,018585
34,37761;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,01187736;0,5802247;21;0,8105218;0,5078698;1,018585
34,39021;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,003450571;0,580012;21;0,8105218;0,5078698;1,018585
34,40381;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5797826;21;0,8105218;0,5078698;1,018585
34,42057;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,005962163;0,5795003;21;0,8105218;0,5078698;1,018585
34,43555;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,579248;21;0,8105218;0,5078698;1,018585
34,44673;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,01939067;0,57906;21;0,8105218;0,5078698;1,018585
34,45728;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,01024445;0,5788826;21;0,8105218;0,5078698;1,018585
34,46877;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5786896;21;0,8105218;0,5078698;1,018585
34,47802;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,03761358;0,5785343;21;0,8105218;0,5078698;1,018585
34,4883;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0,02436781;0,5783617;21;0,8105218;0,5078698;1,018585
34,49869;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5781875;21;0,8105218;0,5078698;1,018585
34,51075;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5779853;21;0,8105218;0,5078698;1,018585
34,52152;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,577805;21;0,8105218;0,5078698;1,018585
34,5327;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5776178;21;0,8105218;0,5078698;1,018585
34,54625;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5773912;21;0,8105218;0,5078698;1,018585
34,55736;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5772055;21;0,8105218;0,5078698;1,018585
34,57037;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5769882;21;0,8105218;0,5078698;1,018585
34,58535;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5767382;21;0,8105218;0,5078698;1,018585
34,59718;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5765408;21;0,8105218;0,5078698;1,018585
34,60788;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5763626;21;0,8105218;0,5078698;1,018585
34,61986;-0,0272511;0,05918218;4,160463;355,1216;117,8142;356,6129;0;0,5761631;21;0,8105218;0,5078698;1,018585
34,63303;-0,400504;0,1091946;4,4049;329,1891;129,2964;9,610147;8,258357;0,5888315;21;0,8105218;0,5078698;1,018585
