Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
33,7711;0,3389609;0,05543931;4,228082;357,117;88,09892;3,348367;0,007641961;0,5937827;22;0,8700017;0,6356966;0,8350962
34,08195;-0,1746311;0,0714331;4,450994;4,391637;114,2833;4,304812;0,189528;0,6047987;22;0,8700017;0,6356966;0,8350962
34,09724;-0,2149688;0,07563546;4,480711;9,172334;115,4703;3,722661;0,3399384;0,6059973;22;0,8700017;0,6356966;0,8350962
34,1093;-0,2149688;0,07563546;4,480711;9,172334;115,4703;3,722661;0;0,605783;22;0,8700017;0,6356966;0,8350962
34,12185;-0,2511504;0,08211649;4,51068;13,27266;116,0824;2,63505;0,3924159;0,6069375;22;0,8700017;0,6356966;0,8350962
34,13617;-0,2663897;0,08604871;4,525727;15,06823;116,592;1,885559;0,1569479;0,6073104;22;0,8700017;0,6356966;0,8350962
34,14851;-0,2663897;0,08604871;4,525727;15,06823;116,592;1,885559;0;0,607091;22;0,8700017;0,6356966;0,8350962
34,15944;-0,3003239;0,09747548;4,567808;20,22158;118,5506;0,250522;0,523714;0,6084797;22;0,8700017;0,6356966;0,8350962
34,16986;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;0,1328797;0,60868;22;0,8700017;0,6356966;0,8350962
34,18263;-0,3075378;0,09974574;4,578835;21,24008;120,036;359,1851;6,236166E-09;0,6084524;22;0,8700017;0,6356966;0,8350962
34,19662;-0,3157847;0,09876916;4,593961;22,35643;124,8033;0,3881901;0,1267767;0,6087074;22;0,8700017;0,6356966;0,8350962
34,20656;-0,3157847;0,09876916;4,593961;22,35643;124,8033;0,3881901;6,219099E-09;0,6085304;22;0,8700017;0,6356966;0,8350962
34,21835;-0,3211622;0,08491577;4,603333;15,98015;128,986;358,8459;0,1623582;0,6086367;22;0,8700017;0,6356966;0,8350962
34,23033;-0,322366;0,08077931;4,605431;14,41344;129,6665;358,9129;0,0483615;0,6084942;22;0,8700017;0,6356966;0,8350962
34,24149;-0,322366;0,08077931;4,605431;14,41344;129,6665;358,9129;8,372066E-09;0,6082957;22;0,8700017;0,6356966;0,8350962
34,25745;-0,3295286;0,06723965;4,612585;7,857058;130,2259;359,8587;0,1113395;0,6083079;22;0,8700017;0,6356966;0,8350962
34,27006;-0,3315851;0,06389473;4,614265;6,630983;129,9886;0,7495348;0,03539946;0,6081615;22;0,8700017;0,6356966;0,8350962
34,28526;-0,3315851;0,06389473;4,614265;6,630983;129,9886;0,7495348;6,376466E-09;0,6078917;22;0,8700017;0,6356966;0,8350962
34,29694;-0,3350857;0,0599741;4,615595;3,96415;129,3731;0,1405007;0,04821235;0,6077939;22;0,8700017;0,6356966;0,8350962
34,31108;-0,3354641;0,05935775;4,615822;3,090569;129,2853;359,3913;0,1823802;0,607556;22;0,8700017;0,6356966;0,8350962
34,32644;-0,3354641;0,05935775;4,615822;3,090569;129,2853;359,3913;0,7474335;0,6072842;22;0,8700017;0,6356966;0,8350962
34,33778;-0,3375697;0,0573621;4,616579;1,728465;128,924;358,9489;0,06110086;0,6071488;22;0,8700017;0,6356966;0,8350962
34,34797;-0,3375697;0,0573621;4,616579;1,728465;128,924;358,9489;0,8793209;0,6069685;22;0,8700017;0,6356966;0,8350962
34,35762;-0,3383788;0,05653371;4,616697;1,269777;128,754;358,8127;0,3470603;0,6068219;23;1,033432;-0,9288108;0,8341303
34,36801;-0,3383788;0,05653371;4,616697;1,269777;128,754;358,8127;1,472269E-08;0,6066383;23;1,033432;-0,9288108;0,8341303
34,37761;-0,3387764;0,05594239;4,616827;0,9524463;128,6805;358,6747;1,220079;0,606481;23;1,033432;-0,9288108;0,8341303
34,39021;-0,3389873;0,05579345;4,616847;0,8226728;128,7088;358,596;0,3071137;0,6062648;23;1,033432;-0,9288108;0,8341303
34,40381;-0,3389873;0,05579345;4,616847;0,8226728;128,7088;358,596;1,054431E-08;0,606025;23;1,033432;-0,9288108;0,8341303
34,42057;-0,3391159;0,05537887;4,617025;0,6422191;128,6794;358,5609;0,2846365;0,6057363;23;1,033432;-0,9288108;0,8341303
34,43555;-0,3391526;0,05529346;4,61704;0,6036969;128,6469;358,5473;0,001458787;0,6054738;23;1,033432;-0,9288108;0,8341303
34,44673;-0,3391526;0,05529346;4,61704;0,6036969;128,6469;358,5473;0,344895;0,6052773;23;1,033432;-0,9288108;0,8341303
34,45728;-0,3392323;0,05511084;4,617131;0,5345752;128,6345;358,5929;0,08818075;0,6050954;23;1,033432;-0,9288108;0,8341303
34,46877;-0,3392323;0,05511084;4,617131;0,5345752;128,6345;358,5929;7,377764E-09;0,6048937;23;1,033432;-0,9288108;0,8341303
34,47802;-0,3391848;0,05506375;4,617156;0,4956159;128,6509;358,5924;0,2481437;0,6047329;23;1,033432;-0,9288108;0,8341303
34,4883;-0,3391848;0,05506375;4,617156;0,4956159;128,6509;358,5924;0,08152266;0,6045524;23;1,033432;-0,9288108;0,8341303
34,49869;-0,3391486;0,05503295;4,617221;0,4823108;128,6717;358,6121;0,001881318;0,6043725;23;1,033432;-0,9288108;0,8341303
34,51075;-0,3391514;0,05500256;4,617256;0,4982934;128,678;358,6602;0,1137323;0,6041623;23;1,033432;-0,9288108;0,8341303
34,52152;-0,3391514;0,05500256;4,617256;0,4982934;128,678;358,6602;0,01325355;0,6039737;23;1,033432;-0,9288108;0,8341303
34,5327;-0,3390845;0,05497662;4,617292;0,5098499;128,6848;358,7028;0,001801219;0,6037802;23;1,033432;-0,9288108;0,8341303
34,54625;-0,3390845;0,05497662;4,617292;0,5098499;128,6848;358,7028;0,06686187;0,6035434;23;1,033432;-0,9288108;0,8341303
34,55736;-0,3390739;0,05499781;4,61738;0,5160518;128,6915;358,697;0,002070531;0,6033518;23;1,033432;-0,9288108;0,8341303
34,57037;-0,3389482;0,05495271;4,617373;0,5139754;128,6806;358,7117;0,03131695;0,6031284;23;1,033432;-0,9288108;0,8341303
34,58535;-0,3389482;0,05495271;4,617373;0,5139754;128,6806;358,7117;4,543918E-10;0,6028671;23;1,033432;-0,9288108;0,8341303
34,59718;-0,3390462;0,05495995;4,617376;0,5286466;128,8596;358,7599;0,01738605;0,6026635;23;1,033432;-0,9288108;0,8341303
34,60788;-0,3390462;0,05495995;4,617376;0,5286466;128,8596;358,7599;0,004955801;0,6024773;23;1,033432;-0,9288108;0,8341303
34,61986;-0,3389769;0,05510144;4,617519;0,5151503;128,7548;358,8711;0,004297815;0,6022732;23;1,033432;-0,9288108;0,8341303
34,63303;-0,3388972;0,05509577;4,617517;0,5018723;128,7875;358,8435;0,00725405;0,6020463;23;1,033432;-0,9288108;0,8341303
34,64645;-0,3388972;0,05509577;4,617517;0,5018723;128,7875;358,8435;0,00154311;0,6018131;23;1,033432;-0,9288108;0,8341303
34,65808;-0,3388361;0,05520666;4,617451;0,5331818;128,8241;358,9274;0,00307096;0,6016137;23;1,033432;-0,9288108;0,8341303
34,67245;-0,3386685;0,05525725;4,617474;0,4903705;128,7099;358,8873;0,007188217;0,601369;23;1,033432;-0,9288108;0,8341303
34,68511;-0,3386685;0,05525725;4,617474;0,4903705;128,7099;358,8873;8,516138E-11;0,6011495;23;1,033432;-0,9288108;0,8341303
34,69999;-0,3386924;0,05510664;4,617214;0,5467604;128,7576;358,9391;0,005238995;0,6008993;23;1,033432;-0,9288108;0,8341303
34,72247;-0,3391365;0,0552066;4,617563;0,7092095;128,8334;359,1357;0,005797352;0,6005262;23;1,033432;-0,9288108;0,8341303
34,74003;-0,3394282;0,05517479;4,617935;0,7384973;128,7184;359,1199;0,005533622;0,6002362;23;0,832256;0,6151347;0,8341303
34,75533;-0,3390857;0,05498129;4,617805;0,6153627;128,7267;359,0319;0,005911661;0,5999824;23;0,832256;0,6151347;0,8341303
34,76715;-0,3390857;0,05498129;4,617805;0,6153627;128,7267;359,0319;7,55032E-10;0,5997783;23;0,832256;0,6151347;0,8341303
34,78149;-0,3390218;0,05479469;4,617525;0,4614376;128,7588;359,0317;0,005377234;0,5995392;23;0,832256;0,6151347;0,8341303
34,79446;-0,3389247;0,05473902;4,61772;0,4012773;128,8206;359,0045;0,00367371;0,5993219;23;0,832256;0,6151347;0,8341303
34,80724;-0,3389247;0,05473902;4,61772;0,4012773;128,8206;359,0045;0,001742048;0,5991018;23;0,832256;0,6151347;0,8341303
34,81878;-0,3394063;0,0544746;4,617252;0,2231459;128,6405;359,0918;0,01442889;0,5989224;23;0,832256;0,6151347;0,8341303
34,8451;-0,3396215;0,05427621;4,617332;0,08389201;128,6195;359,1365;0,002331224;0,5984764;23;0,832256;0,6151347;0,8341303
34,85664;-0,3397637;0,05417981;4,617414;359,9882;128,6247;359,1224;0,002447788;0,598283;23;0,832256;0,6151347;0,8341303
34,8737;-0,3398316;0,05390796;4,617922;359,717;128,6306;359,0938;0,006824407;0,5980048;23;0,832256;0,6151347;0,8341303
34,89127;-0,3402433;0,05378282;4,61804;359,4884;128,5698;359,0818;0,006901261;0,5977159;23;0,832256;0,6151347;0,8341303
34,91763;-0,3407135;0,05377441;4,618135;359,0794;128,5189;358,9791;0,004513492;0,5972783;23;0,832256;0,6151347;0,8341303
34,92925;-0,3407135;0,05377441;4,618135;359,0794;128,5189;358,9791;7,063298E-10;0,5970795;23;0,832256;0,6151347;0,8341303
34,93866;-0,3408057;0,05372635;4,618421;358,8917;128,4898;359,0946;0,007931482;0,5969272;23;0,832256;0,6151347;0,8341303
34,95228;-0,3409505;0,05383959;4,618518;358,8247;128,4841;359,2083;0,004431429;0,5966994;23;0,832256;0,6151347;0,8341303
34,96695;-0,3409505;0,05383959;4,618518;358,8247;128,4841;359,2083;6,39526E-10;0,5964489;23;0,832256;0,6151347;0,8341303
34,97817;-0,3412429;0,05417;4,61903;358,2516;128,593;359,5767;0,0148628;0,5962744;23;0,832256;0,6151347;0,8341303
34,99164;-0,3413764;0,05448169;4,619308;357,9522;128,5713;359,8402;0,004140351;0,5960536;23;0,832256;0,6151347;0,8341303
35,00285;-0,3413764;0,05448169;4,619308;357,9522;128,5713;359,8402;0,005347632;0,5958627;23;0,832256;0,6151347;0,8341303
35,01398;-0,3417178;0,05545828;4,619927;357,3071;128,504;0,7403824;0,02645652;0,5956934;23;0,832256;0,6151347;0,8341303
35,02888;-0,3417178;0,05545828;4,619927;357,3071;128,504;0,7403824;8,45892E-10;0,5954399;23;0,832256;0,6151347;0,8341303
35,04072;-0,3424186;0,05787085;4,621508;355,4844;128,5257;2,49973;0,05538733;0,595288;23;0,832256;0,6151347;0,8341303
35,05459;-0,3427575;0,05896311;4,622202;354,6192;128,5156;3,163816;0,01945214;0,5950743;23;0,832256;0,6151347;0,8341303
35,07652;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,05211858;0,5948148;23;0,832256;0,6151347;0,8341303
35,09003;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,01227558;0,5945857;23;0,832256;0,6151347;0,8341303
35,10433;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,002242994;0,5943434;23;0,832256;0,6151347;0,8341303
35,11629;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,003381393;0,5941409;23;0,832256;0,6151347;0,8341303
35,12798;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,006954892;0,5939432;23;0,832256;0,6151347;0,8341303
35,13872;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,005324472;0,5937614;23;0,832256;0,6151347;0,8341303
35,15242;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;0,003873996;0,5935299;23;0,832256;0,6151347;0,8341303
35,16372;-0,3439158;0,06321439;4,625977;350,4736;128,664;5,102961;8,409957E-10;0,5933391;23;0,832256;0,6151347;0,8341303
