Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
22,17648;-0,8046267;1,598088;5,48705;20,26369;338,8218;359,8768;1,746806;0,6218545;13,78173
22,47273;-0,8827048;1,628221;5,709053;19,15952;336,0934;0,1030715;0,7943702;0,6241302;14,01706
22,49676;-0,8874522;1,630754;5,721477;19,22116;335,7385;0,1319494;0,5536223;0,6240548;14,03036
22,51179;-0,8923189;1,63286;5,733214;18,68233;335,8057;0,2645912;0,8454294;0,6242027;14,04307
22,52452;-0,8923189;1,63286;5,733214;18,68233;335,8057;0,2645912;0;0,6238496;14,04307
22,53636;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;1,108119;0,6241043;14,05619
22,54965;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;0;0,6237363;14,05619
22,57148;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;1,236387;0,6243292;14,08318
22,58314;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;0;0,6240068;14,08318
22,59277;-0,9099782;1,636455;5,784646;18,20108;335,3715;0,1132347;1,481302;0,6243726;14,09745
22,60513;-0,9099782;1,636455;5,784646;18,20108;335,3715;0,1132347;0;0,6240309;14,09745
22,61555;-0,9145544;1,636052;5,79797;18,16813;335,3536;0,05640782;1,35226;0,6243666;14,11154
22,62732;-0,9145544;1,636052;5,79797;18,16813;335,3536;0,05640782;0;0,6240416;14,11154
22,64225;-0,9218624;1,634526;5,818325;18,06041;335,3368;359,9496;1,449038;0,6245857;14,13317
22,65441;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;0,5890428;0,6245667;14,14033
22,66699;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;0;0,6242198;14,14033
22,67934;-0,9293489;1,632086;5,838895;18,01297;335,4685;359,8553;1,193843;0,6245303;14,15508
22,69451;-0,934718;1,630204;5,852675;18,05087;335,5831;359,8003;0,9751005;0,6247647;14,16987
22,70375;-0,934718;1,630204;5,852675;18,05087;335,5831;359,8003;0;0,6245101;14,16987
22,71396;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;1,460463;0,6248862;14,18478
22,72778;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;0;0,6245061;14,18478
22,73762;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;1,496577;0,6248838;14,19951
22,74774;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;0;0,6246056;14,19951
22,75788;-0,9532588;1,624241;5,893927;17,71545;336,0773;359,8296;1,537814;0,6250129;14,21511
22,77141;-0,9571412;1,623246;5,900345;17,33395;336,348;359,988;0,5546108;0,624971;14,22261
22,78465;-0,9571412;1,623246;5,900345;17,33395;336,348;359,988;0;0,6246075;14,22261
22,80039;-0,9691721;1,619957;5,920839;17,52585;336,0372;0,1468936;1,510228;0,6252191;14,24637
22,81351;-0,9780537;1,617872;5,933633;17,26002;336,091;0,3046982;1,187382;0,6255425;14,26195
22,82632;-0,9780537;1,617872;5,933633;17,26002;336,091;0,3046982;0;0,6251912;14,26195
22,83482;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;1,937824;0,6256803;14,27843
22,84735;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;0;0,6253369;14,27843
22,85823;-0,9955393;1,616213;5,961425;17,25059;335,8411;0,4414114;1,503123;0,6257551;14,29479
