Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
18,48416;-0,8046267;1,598088;5,48705;20,26369;338,8218;359,8768;2,005526;0,6093835;11,25569
18,77781;-0,8800678;1,626836;5,703011;19,23599;336,1938;359,9816;0,7790238;0,6120383;11,48445
18,7999;-0,8851851;1,629522;5,715034;19,08969;336,0584;0,1429591;0,5915362;0,6120141;11,49752
18,81116;-0,8874522;1,630754;5,721477;19,22116;335,7385;0,1319494;0,6067718;0,612011;11,50435
18,82099;-0,8899653;1,631843;5,727133;18,84847;335,8726;0,2383637;0,6297787;0,6120203;11,51054
18,83583;-0,8899653;1,631843;5,727133;18,84847;335,8726;0,2383637;0;0,6115376;11,51054
18,84644;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;1,851481;0,6122362;11,53018
18,8564;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;0;0,6119127;11,53018
18,86729;-0,9012869;1,635638;5,758155;18,32083;335,6002;0,2902457;1,227862;0,6122687;11,54356
18,88065;-0,9012869;1,635638;5,758155;18,32083;335,6002;0,2902457;0;0,6118354;11,54356
18,89043;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;1,39101;0,6122392;11,55717
18,8999;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;0;0,6119324;11,55717
18,90962;-0,9099782;1,636455;5,784646;18,20108;335,3715;0,1132347;1,468221;0,6123728;11,57144
18,91969;-0,9099782;1,636455;5,784646;18,20108;335,3715;0,1132347;0;0,6120465;11,57144
18,93064;-0,9145544;1,636052;5,79797;18,16813;335,3536;0,05640782;1,287664;0,6124372;11,58553
18,94457;-0,9195127;1,63512;5,811094;17,9352;335,5542;0,03602628;1,006907;0,6127275;11,59956
18,95642;-0,9195127;1,63512;5,811094;17,9352;335,5542;0,03602628;0;0,6123441;11,59956
18,96605;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;1,533014;0,612812;11,61433
18,98018;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;0;0,6123555;11,61433
18,98959;-0,9293489;1,632086;5,838895;18,01297;335,4685;359,8553;1,567902;0,6128291;11,62907
19,00242;-0,9320076;1,631175;5,845788;18,00147;335,5025;359,8185;0,5756075;0,612804;11,63646
19,01663;-0,9320076;1,631175;5,845788;18,00147;335,5025;359,8185;0;0,6123459;11,63646
19,02638;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;2,287967;0,6132054;11,65878
19,0371;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;0;0,6128598;11,65878
19,04739;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;1,431122;0,6133022;11,6735
19,06016;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;0;0,6128911;11,6735
19,07031;-0,9532588;1,624241;5,893927;17,71545;336,0773;359,8296;1,536369;0,6133831;11,6891
19,08549;-0,9610078;1,622213;5,907075;17,30865;336,3463;0,03567086;1,005583;0,6136952;11,70436
19,10279;-0,9650165;1,621083;5,913752;17,26499;336,3397;0,1505271;0,450286;0,6135471;11,71215
19,11427;-0,9650165;1,621083;5,913752;17,26499;336,3397;0,1505271;0;0,6131784;11,71215
19,12455;-0,9780537;1,617872;5,933633;17,26002;336,091;0,3046982;2,311712;0,6140925;11,73593
19,13576;-0,9780537;1,617872;5,933633;17,26002;336,091;0,3046982;0;0,6137324;11,73593
19,14508;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;1,768076;0,6142947;11,75241
19,15478;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;0;0,6139834;11,75241
19,16499;-0,9955393;1,616213;5,961425;17,25059;335,8411;0,4414114;1,603144;0,6145105;11,76876
19,17505;-0,9955393;1,616213;5,961425;17,25059;335,8411;0,4414114;0;0,6141877;11,76876
19,18392;-1,00015;1,616386;5,96791;16,88897;336,1272;0,5844626;0,8969551;0,6143185;11,77672
19,19822;-1,00015;1,616386;5,96791;16,88897;336,1272;0,5844626;0;0,6138607;11,77672
19,20708;-1,013647;1,618225;5,989563;16,9864;336,1237;0,7802162;2,880503;0,6149067;11,80224
19,21667;-1,013647;1,618225;5,989563;16,9864;336,1237;0,7802162;0;0,6145995;11,80224
19,22646;-1,0231;1,619823;6,002924;16,78922;336,5097;1,14585;1,672778;0,6151384;11,8186
19,24128;-1,02771;1,620749;6,009731;16,84321;336,5319;1,296196;0,5544561;0,6150917;11,82682
19,25549;-1,02771;1,620749;6,009731;16,84321;336,5319;1,296196;0;0,6146377;11,82682
19,26666;-1,040705;1,623706;6,029326;16,28302;337,2008;1,445286;2,103325;0,6155021;11,85034
19,27922;-1,040705;1,623706;6,029326;16,28302;337,2008;1,445286;0;0,6151008;11,85034
19,28832;-1,048368;1,626481;6,043114;16,62085;336,8905;1,988149;1,734508;0,6156289;11,86611
19,30261;-1,051951;1,6274;6,049661;17,05156;336,9567;2,076723;0,5223634;0,6155598;11,87357
19,31338;-1,051951;1,6274;6,049661;17,05156;336,9567;2,076723;0;0,6152162;11,87357
19,32204;-1,058476;1,62963;6,062444;15,61285;337,784;2,040824;1,657395;0,6156836;11,88793
19,33237;-1,058476;1,62963;6,062444;15,61285;337,784;2,040824;0;0,6153545;11,88793
19,34278;-1,066726;1,631479;6,082526;15,92993;338,3388;1,815454;2,08545;0,6161463;11,90964
19,3522;-1,066726;1,631479;6,082526;15,92993;338,3388;1,815454;0;0,6158459;11,90964
19,36242;-1,069475;1,632192;6,089859;16,55079;337,9141;2,093143;0,7666307;0,6159256;11,91747
19,37558;-1,069475;1,632192;6,089859;16,55079;337,9141;2,093143;0;0,6155069;11,91747
19,38455;-1,078137;1,633191;6,110528;16,25169;338,0146;2,422549;2,498827;0,6163788;11,93988
19,39832;-1,078137;1,633191;6,110528;16,25169;338,0146;2,422549;0;0,6159407;11,93988
19,40963;-1,082456;1,632809;6,123576;16,52706;338,9121;1,72576;1,21555;0,6162903;11,95362
19,41849;-1,082456;1,632809;6,123576;16,52706;338,9121;1,72576;0;0,6160089;11,95362
19,42687;-1,086899;1,632976;6,137265;16,80903;339,0232;1,824716;1,717702;0,6164845;11,96802
19,43862;-1,086899;1,632976;6,137265;16,80903;339,0232;1,824716;0;0,6161116;11,96802
