Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
12,77176;-0,8046267;1,598088;5,48705;20,26369;338,8218;359,8768;0,8231631;0,601445;7,672772
13,03926;-0,871922;1,622762;5,684711;19,41489;336,4662;359,6951;0,7805821;0,605124;7,881576
13,05513;-0,8774062;1,625473;5,696965;19,33238;336,2957;359,8943;0,8460357;0,6054171;7,895
13,06834;-0,8774062;1,625473;5,696965;19,33238;336,2957;359,8943;0;0,6048044;7,895
13,07798;-0,8827048;1,628221;5,709053;19,15952;336,0934;0,1030715;1,369678;0,6053686;7,908198
13,09283;-0,8874522;1,630754;5,721477;19,22116;335,7385;0,1319494;0,895508;0,605698;7,921498
13,10562;-0,8874522;1,630754;5,721477;19,22116;335,7385;0,1319494;0;0,6051062;7,921498
13,11617;-0,8923189;1,63286;5,733214;18,68233;335,8057;0,2645912;1,204808;0,605589;7,934205
13,12933;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;0,9968012;0,6059818;7,94733
13,14157;-0,8968441;1,634486;5,745535;18,56111;335,6624;0,2645102;0;0,6054169;7,94733
13,15118;-0,9012869;1,635638;5,758155;18,32083;335,6002;0,2902457;1,391959;0,6059924;7,96071
13,1637;-0,9012869;1,635638;5,758155;18,32083;335,6002;0,2902457;0;0,6054153;7,96071
13,17547;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;1,156826;0,6059083;7,97432
13,18498;-0,9056671;1,636258;5,771042;18,09382;335,5826;0,2356313;0;0,6054707;7,97432
13,19695;-0,9099782;1,636455;5,784646;18,20108;335,3715;0,1132347;1,192074;0,6060034;7,988591
13,21588;-0,9145544;1,636052;5,79797;18,16813;335,3536;0,05640782;0,7444481;0,6062019;8,002679
13,22867;-0,9169568;1,635624;5,804751;18,16742;335,3324;0,0244963;0,5625252;0,6061596;8,009873
13,23807;-0,9169568;1,635624;5,804751;18,16742;335,3324;0,0244963;0;0,6057286;8,009873
13,25028;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;1,768386;0,6068009;8,031462
13,26152;-0,9238884;1,633287;5,825197;18,93546;335,5635;0,1015953;0;0,6062859;8,031462
13,27389;-0,9293489;1,632086;5,838895;18,01297;335,4685;359,8553;1,192186;0,6068324;8,046208
13,28702;-0,9293489;1,632086;5,838895;18,01297;335,4685;359,8553;0;0,6062322;8,046208
13,30118;-0,9376664;1,629186;5,85913;17,74799;335,8708;359,8591;1,544715;0,6072326;8,068087
13,31479;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;0,5751709;0,6071998;8,075912
13,32417;-0,9403757;1,628148;5,866472;17,98664;335,7268;359,7746;0;0,6067716;8,075912
13,33445;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;1,433247;0,6074093;8,090642
13,34745;-0,9466395;1,626179;5,879803;17,63633;336,1205;359,8259;0;0,606817;8,090642
13,35867;-0,9532588;1,624241;5,893927;17,71545;336,0773;359,8296;1,390832;0,6074759;8,10624
13,37455;-0,9610078;1,622213;5,907075;17,30865;336,3463;0,03567086;0,9608438;0,607896;8,121502
13,38721;-0,9610078;1,622213;5,907075;17,30865;336,3463;0,03567086;0;0,6073206;8,121502
13,40069;-0,9735065;1,61888;5,927482;17,41881;335,9391;0,2316979;1,774831;0,6084966;8,145432
13,41155;-0,9780537;1,617872;5,933633;17,26002;336,091;0,3046982;0,7043173;0,6085743;8,153082
13,43281;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;0,7750255;0,608838;8,169559
13,44826;-0,986709;1,616697;5,947654;17,30091;335,7788;0,3485763;0;0,6081381;8,169559
13,45855;-1,00015;1,616386;5,96791;16,88897;336,1272;0,5844626;2,361998;0,6094809;8,19387
13,46828;-1,00015;1,616386;5,96791;16,88897;336,1272;0,5844626;0;0,60904;8,19387
13,4801;-1,009216;1,617509;5,982021;16,7001;336,2889;0,7632496;1,419005;0,609751;8,210642
13,48976;-1,013647;1,618225;5,989563;16,9864;336,1237;0,7802162;0,9050465;0,6099628;8,219389
13,50773;-1,013647;1,618225;5,989563;16,9864;336,1237;0,7802162;0;0,6091506;8,219389
13,52304;-1,02771;1,620749;6,009731;16,84321;336,5319;1,296196;1,606098;0,6102804;8,243976
13,53901;-1,036583;1,622856;6,023212;16,88015;336,588;1,57812;1,010238;0,6107529;8,260116
13,5514;-1,040705;1,623706;6,029326;16,28302;337,2008;1,445286;0,5954564;0,6107389;8,267489
13,56056;-1,040705;1,623706;6,029326;16,28302;337,2008;1,445286;0;0,6103256;8,267489
13,57076;-1,048368;1,626481;6,043114;16,62085;336,8905;1,988149;1,546398;0,6110299;8,283263
13,58291;-1,048368;1,626481;6,043114;16,62085;336,8905;1,988149;0;0,6104831;8,283263
13,59214;-1,055308;1,628914;6,056361;16,37608;337,1006;2,188355;1,620633;0,6111695;8,298218
13,60618;-1,055308;1,628914;6,056361;16,37608;337,1006;2,188355;0;0,6105382;8,298218
13,61946;-1,064492;1,631236;6,07586;15,3327;338,0337;2,154286;1,622925;0,6115265;8,319772
13,63088;-1,066726;1,631479;6,082526;15,92993;338,3388;1,815454;0,6155174;0,6115298;8,326801
13,64083;-1,066726;1,631479;6,082526;15,92993;338,3388;1,815454;0;0,611083;8,326801
13,65206;-1,072848;1,63282;6,096801;15,95119;337,8493;2,455443;1,383819;0,611719;8,342335
13,66663;-1,072848;1,63282;6,096801;15,95119;337,8493;2,455443;0;0,611066;8,342335
13,6797;-1,080037;1,632816;6,116761;16,19382;338,7776;1,822694;1,623758;0,6120342;8,363549
13,69368;-1,082456;1,632809;6,123576;16,52706;338,9121;1,72576;0,517346;0,6119375;8,37078
13,70763;-1,082456;1,632809;6,123576;16,52706;338,9121;1,72576;0;0,6113141;8,37078
13,71822;-1,089088;1,6331;6,143934;17,01194;339,1422;1,735323;2,020321;0,6124038;8,392192
13,72916;-1,091182;1,63335;6,1505;17,22084;339,2565;1,714805;0,6301783;0,6124179;8,399083
13,74338;-1,091182;1,63335;6,1505;17,22084;339,2565;1,714805;0;0,6117834;8,399083
13,75237;-1,094985;1,633955;6,163551;17,55779;339,4548;1,45911;1,512058;0,6123725;8,412677
13,76416;-1,094985;1,633955;6,163551;17,55779;339,4548;1,45911;0;0,6118475;8,412677
13,77671;-1,099002;1,634954;6,175927;17,23507;339,5133;1,613936;1,036836;0,612235;8,425689
13,78761;-1,099002;1,634954;6,175927;17,23507;339,5133;1,613936;0;0,6117507;8,425689
13,79722;-1,102858;1,636221;6,188471;17,19898;339,6925;1,657923;1,36533;0,6122762;8,438812
13,81584;-1,106746;1,637178;6,200878;16,68579;340,0009;1,644863;0,6981845;0,6123921;8,451814
13,83185;-1,110884;1,638025;6,213139;16,33543;340,4371;1,837339;0,8086643;0,6126194;8,464754
13,84763;-1,110884;1,638025;6,213139;16,33543;340,4371;1,837339;0;0,6119204;8,464754
13,85819;-1,116569;1,638508;6,232659;16,71409;340,2798;2,000607;1,925129;0,6129222;8,485085
13,87196;-1,118197;1,638299;6,239505;16,40856;340,4215;2,182399;0,5111393;0,6128211;8,492122
13,88933;-1,121617;1,637569;6,252957;16,29732;340,6013;2,138986;0,7988667;0,6130541;8,506002
13,90537;-1,121617;1,637569;6,252957;16,29732;340,6013;2,138986;0;0,6123462;8,506002
13,9166;-1,124725;1,636259;6,266726;16,66183;340,6078;2,187918;1,256817;0,6128668;8,520117
13,92795;-1,124725;1,636259;6,266726;16,66183;340,6078;2,187918;0;0,612367;8,520117
13,93705;-1,12774;1,635087;6,280662;16,53047;340,4141;1,991591;1,566772;0,6129909;8,534376
13,95637;-1,130395;1,633441;6,294928;16,52817;340,2787;1,944846;0,7509288;0,6131821;8,548886
13,96928;-1,131641;1,632547;6,302118;16,66855;340,2474;1,882445;0,565331;0,6131378;8,556184
13,98824;-1,131641;1,632547;6,302118;16,66855;340,2474;1,882445;0;0,6123058;8,556184
14,00489;-1,136029;1,628732;6,331193;16,85939;339,8674;1,612106;1,766846;0,6136792;8,585588
14,02408;-1,137829;1,626942;6,345954;16,87815;339,5309;1,523751;0,7745766;0,6138996;8,600458
14,03834;-1,138632;1,625895;6,353348;16,80595;339,4464;1,425614;0,5217503;0,613806;8,607896
14,05342;-1,139876;1,623978;6,36834;16,69997;339,2535;1,311058;0,9972802;0,6142181;8,62294
14,06537;-1,139876;1,623978;6,36834;16,69997;339,2535;1,311058;0;0,6136959;8,62294
14,07726;-1,140676;1,621889;6,383683;16,63511;339,1;1,120059;1,291333;0,6142692;8,638303
14,08745;-1,140676;1,621889;6,383683;16,63511;339,1;1,120059;0;0,6138248;8,638303
14,09929;-1,14135;1,618633;6,406938;16,65409;338,9597;0,8269896;1,964349;0,6149604;8,661568
14,12082;-1,141776;1,617102;6,42276;16,72248;338,8586;0,5970851;0,7350841;0,6151437;8,677395
14,13713;-1,14203;1,616653;6,430826;16,65276;338,7479;0,5496294;0,4947205;0,6150047;8,685466
14,14841;-1,14203;1,616653;6,430826;16,65276;338,7479;0,5496294;0;0,6145142;8,685466
14,16165;-1,142746;1,616506;6,455546;16,51859;338,4331;0,3819344;1,866946;0,615687;8,710196
14,17167;-1,143013;1,616802;6,463931;16,41632;338,331;0,3122393;0,8371205;0,6158437;8,718585
14,18265;-1,143013;1,616802;6,463931;16,41632;338,331;0,3122393;0;0,6153663;8,718585
14,19187;-1,143491;1,617646;6,480883;16,27882;338,0992;0,2004147;1,83927;0,6161623;8,735543
14,21387;-1,144197;1,619025;6,49804;16,3104;337,676;0,3637384;0,7806049;0,6164171;8,752715
14,22537;-1,144197;1,619025;6,49804;16,3104;337,676;0,3637384;0;0,6159183;8,752715
14,23661;-1,144649;1,619723;6,514756;16,0346;337,5983;359,9064;1,487816;0,6166074;8,769437
14,24825;-1,144649;1,619723;6,514756;16,0346;337,5983;359,9064;0;0,6161032;8,769437
14,25675;-1,145287;1,620925;6,531557;16,46211;337,1832;359,9215;1,976701;0,6169158;8,78625
14,2666;-1,145287;1,620925;6,531557;16,46211;337,1832;359,9215;0;0,6164897;8,78625
14,27685;-1,146327;1,622246;6,547875;16,39804;336,7529;-2,914667E-05;1,594063;0,6171928;8,802602
14,288;-1,146327;1,622246;6,547875;16,39804;336,7529;-2,914667E-05;0;0,6167107;8,802602
14,29746;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;1,676452;0,6174126;8,818461
14,30802;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6169565;8,818461
14,3203;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6164268;8,818461
14,33362;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6158536;8,818461
14,34399;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6154079;8,818461
14,35366;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,614993;8,818461
14,36836;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6143629;8,818461
14,37771;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6139629;8,818461
14,39252;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6133307;8,818461
14,40638;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6127402;8,818461
14,41711;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6122837;8,818461
14,44084;-1,147397;1,62347;6,563699;16,34939;336,3464;359,9063;0;0,6112764;8,818461
14,45872;-1,174374;1,631296;6,678309;17,66092;330,576;358,3194;6,58568;0,6186714;8,936204
14,47122;-1,177436;1,631969;6,683814;17,73084;329,8924;358,1957;0,5038416;0,6185721;8,942502
