Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
12,77176;-0,7118806;0,06058853;4,996462;357,9354;154,2018;356,7814;0;0,5942311;12;0,5792795;0,3796235;0,6514281
13,03926;-0,7118806;0,06058853;4,996462;357,9354;154,2018;356,7814;0;0,582027;12;0,5792795;0,3796235;0,6514281
13,05513;-0,8884357;0,1300647;5,298658;320,6842;153,1606;8,672146;2,477931;0,6081573;12;0,5792795;0,3796235;0,6514281
13,06834;-0,8884357;0,1300647;5,298658;320,6842;153,1606;8,672146;0,0059377;0,6075419;13;0,9229441;-0,7307421;0,6167086
13,07798;-0,9086646;0,1233544;5,34584;325,5307;154,9805;5,182848;0,5921371;0,6110234;13;0,9229441;-0,7307421;0,6167086
13,09283;-0,9287634;0,1155818;5,393925;329,0864;157,1843;5,341308;0,3935044;0,6143145;13;0,9229441;-0,7307421;0,6167086
13,10562;-0,9287634;0,1155818;5,393925;329,0864;157,1843;5,341308;0;0,6137142;13;0,9229441;-0,7307421;0,6167086
13,11617;-0,9484633;0,1066712;5,442873;332,6108;158,9;6,961318;0,551484;0,6172475;13;0,9229441;-0,7307421;0,6167086
13,12933;-0,9681684;0,09778371;5,493202;337,1172;160,529;6,157624;0,4641157;0,620749;13;0,9229441;-0,7307421;0,6167086
13,14157;-0,9681684;0,09778371;5,493202;337,1172;160,529;6,157624;0,004147955;0,6201704;13;0,9229441;-0,7307421;0,6167086
13,15118;-0,9883072;0,08927114;5,544899;341,9543;161,7462;6,567163;0,6470826;0,62394;13;0,9229441;-0,7307421;0,6167086
13,1637;-0,9883072;0,08927114;5,544899;341,9543;161,7462;6,567163;0,002694228;0,6233459;13;0,9229441;-0,7307421;0,6167086
13,17547;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0,5441716;0,6271528;13;0,9229441;-0,7307421;0,6167086
13,18498;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6266999;13;0,9229441;-0,7307421;0,6167086
13,19695;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0,01286006;0,6261307;13;0,9229441;-0,7307421;0,6167086
13,21588;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6252332;13;0,9229441;-0,7307421;0,6167086
13,22867;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,624628;13;0,9229441;-0,7307421;0,6167086
13,23807;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6241838;13;0,9229441;-0,7307421;0,6167086
13,25028;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6236081;13;0,9229441;-0,7307421;0,6167086
13,26152;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6230788;13;0,9229441;-0,7307421;0,6167086
13,27389;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;5,324069;0,6224976;13;0,9229441;-0,7307421;0,6167086
13,28702;-1,006182;0,08245511;5,599483;346,6112;162,998;6,639562;0;0,6218818;13;0,9229441;-0,7307421;0,6167086
13,30118;-1,091614;0,1173708;5,935695;20,94813;171,1803;1,838431;4,653782;0,6473275;13;0,9229441;-0,7307421;0,6167086
13,31479;-1,096059;0,1212761;5,951464;22,32821;170,5714;1,538285;0,57616;0,6478971;13;0,9229441;-0,7307421;0,6167086
13,32417;-1,096059;0,1212761;5,951464;22,32821;170,5714;1,538285;6,789538E-08;0,6474402;13;0,9229441;-0,7307421;0,6167086
13,33445;-1,096059;0,1212761;5,951464;22,32821;170,5714;1,538285;1,231801;0,6469407;13;0,9229441;-0,7307421;0,6167086
13,34745;-1,096059;0,1212761;5,951464;22,32821;170,5714;1,538285;0,9992974;0,6463099;13;0,9229441;-0,7307421;0,6167086
13,35867;-1,096059;0,1212761;5,951464;22,32821;170,5714;1,538285;6,849055E-08;0,6457666;13;0,9229441;-0,7307421;0,6167086
13,37455;-1,111866;0,1066939;5,992652;19,62785;159,629;356,56;0,7140967;0,6483011;13;0,9229441;-0,7307421;0,6167086
13,38721;-1,111866;0,1066939;5,992652;19,62785;159,629;356,56;7,153738E-08;0,6476874;13;0,9229441;-0,7307421;0,6167086
13,40069;-1,10783;0,09242158;6,001295;14,57441;159,6752;1,104923;1,035806;0,6477476;13;0,9229441;-0,7307421;0,6167086
13,41155;-1,10783;0,09242158;6,001295;14,57441;159,6752;1,104923;7,553328E-08;0,6472225;13;0,9229441;-0,7307421;0,6167086
13,43281;-1,10783;0,09242158;6,001295;14,57441;159,6752;1,104923;7,195241E-08;0,646197;13;0,9229441;-0,7307421;0,6167086
13,44826;-1,10783;0,09242158;6,001295;14,57441;159,6752;1,104923;7,095905E-08;0,6454542;13;0,9229441;-0,7307421;0,6167086
13,45855;-1,107052;0,06590465;6,025023;3,254329;163,0586;0,6335856;0,7916812;0,6467259;13;0,9229441;-0,7307421;0,6167086
13,46828;-1,107052;0,06590465;6,025023;3,254329;163,0586;0,6335856;6,909785E-08;0,6462581;13;0,9229441;-0,7307421;0,6167086
