Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
29,56141;2,450252;0,05118214;3,82478;2,60068;95,81483;359,9394;0,01443722;0,5868863;18;1,025368;-1,200636;1,060468
29,88881;2,448961;0,05064944;3,823124;0,4010587;96,70754;358,9213;0,2044975;0,580525;18;1,025368;-1,200636;1,060468
29,90726;2,44897;0,05055074;3,822947;0,4015779;96,6121;358,6774;0,001139568;0,5801726;18;1,025368;-1,200636;1,060468
29,9178;2,447689;0,05055776;3,822948;0,6761242;96,5804;358,6093;0,09705573;0,580011;18;1,025368;-1,200636;1,060468
29,92786;2,447689;0,05055776;3,822948;0,6761242;96,5804;358,6093;3,057334E-09;0,579816;18;1,025368;-1,200636;1,060468
29,93989;2,44711;0,05032261;3,823231;0,6788835;96,57374;358,6952;0,1084338;0,5796044;18;1,025368;-1,200636;1,060468
29,95201;2,447149;0,05066837;3,823149;0,3395052;96,64388;358,5766;0,003049297;0,5793728;18;1,025368;-1,200636;1,060468
29,96282;2,447149;0,05066837;3,823149;0,3395052;96,64388;358,5766;0,1156721;0,5791637;18;1,025368;-1,200636;1,060468
29,97228;2,447229;0,05046729;3,823034;0,3603508;96,48492;359,1158;0,002673374;0,5789854;18;1,025368;-1,200636;1,060468
29,98579;2,447229;0,05046729;3,823034;0,3603508;96,48492;359,1158;0,1269309;0,5787244;18;1,025368;-1,200636;1,060468
29,99691;2,448042;0,05058037;3,823263;0,05157151;96,62999;358,5992;0,1091544;0,578538;18;1,025368;-1,200636;1,060468
30,00673;2,448042;0,05058037;3,823263;0,05157151;96,62999;358,5992;1,926957E-10;0,5783488;18;1,025368;-1,200636;1,060468
30,01949;2,447891;0,0505596;3,823244;359,9796;96,63117;358,5613;0,001242735;0,5781078;18;1,025368;-1,200636;1,060468
30,03205;2,447848;0,05053646;3,823221;359,9236;96,61507;358,5919;0,02411995;0,5778674;18;1,025368;-1,200636;1,060468
30,04252;2,447848;0,05053646;3,823221;359,9236;96,61507;358,5919;0,005392699;0,5776659;18;1,025368;-1,200636;1,060468
30,05762;2,447655;0,05050712;3,823261;359,7596;96,60195;358,5526;0,001346086;0,5773822;18;1,025368;-1,200636;1,060468
30,07219;2,44734;0,05051414;3,82308;359,6771;96,47193;358,586;0,01442899;0,5771145;18;1,025368;-1,200636;1,060468
30,08489;2,44734;0,05051414;3,82308;359,6771;96,47193;358,586;1,974298E-10;0,5768707;18;1,025368;-1,200636;1,060468
30,09603;2,446944;0,050623;3,823166;359,4968;96,46364;358,6187;0,005808359;0,5766706;18;1,025368;-1,200636;1,060468
30,10693;2,446944;0,050623;3,823166;359,4968;96,46364;358,6187;0,0006737397;0,5764617;18;1,025368;-1,200636;1,060468
30,11675;2,446798;0,05060417;3,823072;359,4149;96,4506;358,5804;0,003832273;0,5762795;18;1,025368;-1,200636;1,060468
30,12928;2,446798;0,05060417;3,823072;359,4149;96,4506;358,5804;0,03041976;0,5760398;18;1,025368;-1,200636;1,060468
30,1429;2,446146;0,05078308;3,82291;358,9947;96,35282;358,472;0,01259852;0,5758016;18;1,025368;-1,200636;1,060468
30,15728;2,445762;0,05097331;3,823;358,7819;96,32101;358,1694;0,01035727;0,5755399;18;1,025368;-1,200636;1,060468
30,17142;2,445086;0,05169041;3,822908;357,7687;96,23335;358,2962;0,01334309;0,5752928;18;1,025368;-1,200636;1,060468
30,18512;2,445086;0,05169041;3,822908;357,7687;96,23335;358,2962;0;0,5750315;18;1,025368;-1,200636;1,060468
30,19589;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,03644137;0,5748499;18;1,025368;-1,200636;1,060468
30,20891;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,574602;18;1,025368;-1,200636;1,060468
30,22151;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,01805629;0,5743622;18;0,8076829;0,5214147;1,060468
30,23335;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,5741373;18;0,8076829;0,5214147;1,060468
30,24369;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,002828602;0,5739408;18;0,8076829;0,5214147;1,060468
30,2536;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,001017086;0,5737527;18;0,8076829;0,5214147;1,060468
30,27446;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,5733573;18;0,8076829;0,5214147;1,060468
30,28584;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,003002281;0,5731418;18;0,8076829;0,5214147;1,060468
30,29604;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,005814547;0,5729486;18;0,8076829;0,5214147;1,060468
30,30887;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,572706;18;0,8076829;0,5214147;1,060468
30,31898;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,008947361;0,572515;18;0,8076829;0,5214147;1,060468
30,33422;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,5722274;18;0,8076829;0,5214147;1,060468
30,35475;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,003980996;0,5718401;18;0,8076829;0,5214147;1,060468
30,37405;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,5714765;18;0,8076829;0,5214147;1,060468
30,39057;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,01085338;0,5711658;18;0,8076829;0,5214147;1,060468
30,40272;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,00650747;0,5709373;18;0,8076829;0,5214147;1,060468
30,41289;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,01521028;0,5707464;18;0,8076829;0,5214147;1,060468
30,42527;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,570514;18;0,8076829;0,5214147;1,060468
30,43595;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0,0284561;0,5703139;18;0,8076829;0,5214147;1,060468
30,44688;2,444404;0,05287834;3,823101;356,5034;96,2341;357,8433;0;0,570109;18;0,8076829;0,5214147;1,060468
