Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
29,56141;2,976089;0,05536902;3,831316;352,3623;106,4512;3,266514;0,005272491;0,5865464;19;0,8678406;0,6389884;0,8478984
29,88881;2,976089;0,05536902;3,831316;352,3623;106,4512;3,266514;0,0009864981;0,5801184;19;0,8678406;0,6389884;0,8478984
29,90726;2,413689;0,06976872;4,01552;348,1143;93,48098;0,01192941;3,320114;0,599557;19;0,8678406;0,6389884;0,8478984
29,9178;2,388108;0,06718425;4,018759;350,3332;93,11769;359,8787;0,2534538;0,600208;20;1,067019;-0,9383242;0,8409694
29,92786;2,388108;0,06718425;4,018759;350,3332;93,11769;359,8787;5,091311E-08;0,6000062;20;1,067019;-0,9383242;0,8409694
29,93989;2,338296;0,06348585;4,024656;354,4139;92,24588;359,4612;0,4315835;0,6014411;20;1,067019;-0,9383242;0,8409694
29,95201;2,313464;0,06238805;4,026791;356,3054;91,49681;359,1003;0,2128062;0,6020301;20;1,067019;-0,9383242;0,8409694
29,96282;2,313464;0,06238805;4,026791;356,3054;91,49681;359,1003;0,009037809;0,6018127;20;1,067019;-0,9383242;0,8409694
29,97228;2,264507;0,06251817;4,029121;0,2720502;89,80553;358,8032;0,5353122;0,6032587;20;1,067019;-0,9383242;0,8409694
29,98579;2,264507;0,06251817;4,029121;0,2720502;89,80553;358,8032;0,01434291;0,6029868;20;1,067019;-0,9383242;0,8409694
29,99691;2,195322;0,06724699;4,029329;6,315128;86,64333;358,3131;0,6320869;0,6050705;20;1,067019;-0,9383242;0,8409694
30,00673;2,195322;0,06724699;4,029329;6,315128;86,64333;358,3131;5,094169E-08;0,6048726;20;1,067019;-0,9383242;0,8409694
30,01949;2,153308;0,0722724;4,029486;10,90376;84,88442;359,5033;0,341456;0,6060154;20;1,067019;-0,9383242;0,8409694
30,03205;2,134451;0,07494041;4,030096;12,62617;84,27456;-0,001184658;0,1356127;0,6063904;20;1,067019;-0,9383242;0,8409694
30,04252;2,134451;0,07494041;4,030096;12,62617;84,27456;-0,001184658;0,01827066;0,6061789;20;1,067019;-0,9383242;0,8409694
30,05762;2,086913;0,08184581;4,032482;16,51028;83,10393;1,585031;0,3261887;0,6074586;20;1,067019;-0,9383242;0,8409694
30,07219;2,074848;0,08343836;4,032673;17,38361;83,3435;1,520663;0,08481489;0,6075656;20;1,067019;-0,9383242;0,8409694
30,08489;2,074848;0,08343836;4,032673;17,38361;83,3435;1,520663;5,568602E-08;0,607309;20;1,067019;-0,9383242;0,8409694
30,09603;2,052363;0,08363082;4,03006;18,14991;85,02845;1,514681;0,2065045;0,6078366;20;1,067019;-0,9383242;0,8409694
30,10693;2,052363;0,08363082;4,03006;18,14991;85,02845;1,514681;5,019894E-08;0,6076163;20;1,067019;-0,9383242;0,8409694
30,11675;2,048746;0,08110123;4,027834;16,59555;84,71982;0,3443134;7,753607;0,6075593;20;1,067019;-0,9383242;0,8409694
30,12928;2,048746;0,08110123;4,027834;16,59555;84,71982;0,3443134;0,6152591;0,6073065;20;1,067019;-0,9383242;0,8409694
30,1429;2,042671;0,06956111;4,018925;12,54022;81,48595;0,3188496;0,2860714;0,6073898;20;1,067019;-0,9383242;0,8409694
30,15728;2,039996;0,06640855;4,016102;11,22532;80,41634;0,4582966;0,9723539;0,607229;20;1,067019;-0,9383242;0,8409694
30,17142;2,033464;0,05857227;4,013262;7,96604;79,29809;2,075932;0,4067506;0,6071805;20;1,067019;-0,9383242;0,8409694
30,18512;2,033464;0,05857227;4,013262;7,96604;79,29809;2,075932;0;0,6069049;20;1,067019;-0,9383242;0,8409694
30,19589;2,029416;0,05242367;4,014297;3,949096;79,49757;1,275077;1,153437;0,6068268;20;1,067019;-0,9383242;0,8409694
30,20891;2,029416;0,05242367;4,014297;3,949096;79,49757;1,275077;0;0,6065651;20;1,067019;-0,9383242;0,8409694
30,22151;2,026409;0,04872091;4,01231;0,8493651;78,79456;359,4057;1,420928;0,6064314;20;1,067019;-0,9383242;0,8409694
30,23335;2,025202;0,04784936;4,011826;0,3254075;78,67188;359,3457;0,03110439;0,6062369;20;1,067019;-0,9383242;0,8409694
