Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
23,12157;-5,341696;0,1168633;-5,891275;17,99115;254,9428;359,8647;0,1851144;0,6210178;19;1,827886;-0,8157166;0,7155888
23,41599;-5,341696;0,1168633;-5,891275;17,99115;254,9428;359,8647;0,2717624;0,613205;19;1,827886;-0,8157166;0,7155888
23,43819;-5,341696;0,1168633;-5,891275;17,99115;254,9428;359,8647;0,1679973;0,6126237;19;1,827886;-0,8157166;0,7155888
23,45185;-5,265621;0,07460447;-5,886463;0,8962749;264,3138;359,9244;0,4181049;0,615519;19;1,827886;-0,8157166;0,7155888
23,474;-5,2655;0,07438505;-5,886477;0,7203018;264,2764;359,7426;0,2870701;0,614943;19;1,827886;-0,8157166;0,7155888
23,48748;-5,265727;0,07420056;-5,8866;0,6516992;264,2672;359,7623;0,002396089;0,6146008;19;1,827886;-0,8157166;0,7155888
23,5008;-5,265727;0,07420056;-5,8866;0,6516992;264,2672;359,7623;5,032018E-09;0,6142524;19;1,827886;-0,8157166;0,7155888
23,51068;-5,265804;0,07354284;-5,887508;0,2034203;264,6574;359,5923;0,610078;0,6140329;19;1,827886;-0,8157166;0,7155888
23,5218;-5,265008;0,07332489;-5,887209;0,213447;264,4944;359,7852;0,008112429;0,6137787;19;1,827886;-0,8157166;0,7155888
23,53421;-5,265008;0,07332489;-5,887209;0,213447;264,4944;359,7852;0,3260984;0,6134549;19;1,827886;-0,8157166;0,7155888
23,54518;-5,264412;0,07336391;-5,886784;0,3925073;264,4416;0,0592487;0,2970469;0,6131999;19;1,827886;-0,8157166;0,7155888
23,55743;-5,264412;0,07336391;-5,886784;0,3925073;264,4416;0,0592487;0,2336206;0,6128808;19;1,827886;-0,8157166;0,7155888
23,56972;-5,264952;0,07311403;-5,886862;0,3036602;264,8043;359,7695;0,005148019;0,6125841;19;1,827886;-0,8157166;0,7155888
23,58219;-5,265138;0,07297844;-5,886572;359,829;264,0805;359,4614;0,4193003;0,6122746;19;1,827886;-0,8157166;0,7155888
23,59418;-5,265138;0,07297844;-5,886572;359,829;264,0805;359,4614;4,827537E-09;0,6119633;19;1,827886;-0,8157166;0,7155888
23,60354;-5,264236;0,0734367;-5,887657;359,81;264,1261;359,6243;0,3558081;0,6117805;19;1,827886;-0,8157166;0,7155888
23,61533;-5,264236;0,0734367;-5,887657;359,81;264,1261;359,6243;4,827292E-09;0,6114746;19;1,827886;-0,8157166;0,7155888
23,62629;-5,264328;0,07291742;-5,887377;359,6924;264,3919;359,1944;0,417793;0,6112034;19;1,827886;-0,8157166;0,7155888
23,63709;-5,264328;0,07291742;-5,887377;359,6924;264,3919;359,1944;0,1154204;0,6109241;19;1,827886;-0,8157166;0,7155888
23,6469;-5,264997;0,07267479;-5,886681;359,4417;264,0723;359,0574;0,01072857;0,6107112;19;1,827886;-0,8157166;0,7155888
23,66046;-5,264997;0,07267479;-5,886681;359,4417;264,0723;359,0574;1,043709E-08;0,610361;19;1,827886;-0,8157166;0,7155888
23,67021;-5,264407;0,07315041;-5,887138;359,6378;264,014;359,3826;1,52217;0,610141;19;1,827886;-0,8157166;0,7155888
23,67982;-5,264407;0,07315041;-5,887138;359,6378;264,014;359,3826;0,002758832;0,6098934;19;1,827886;-0,8157166;0,7155888
23,69117;-5,264169;0,07253467;-5,886738;359,262;263,9537;359,1317;0,01817079;0,6096205;19;1,827886;-0,8157166;0,7155888
23,70306;-5,263411;0,07280056;-5,887066;359,2307;264,2898;359,1243;0,01880867;0,6093494;19;1,827886;-0,8157166;0,7155888
23,71586;-5,263411;0,07280056;-5,887066;359,2307;264,2898;359,1243;0,02938091;0,6090204;19;1,827886;-0,8157166;0,7155888
23,72833;-5,262816;0,07187684;-5,885937;358,5152;263,7673;358,8369;0,02222515;0,6087539;19;1,827886;-0,8157166;0,7155888
23,74523;-5,262683;0,07175988;-5,885931;358,4213;263,7642;358,9012;0,002602338;0,608326;19;1,827886;-0,8157166;0,7155888
23,75681;-5,262683;0,07175988;-5,885931;358,4213;263,7642;358,9012;0,01666852;0,6080292;19;1,827886;-0,8157166;0,7155888
23,76698;-5,262531;0,07164548;-5,885918;358,3612;263,757;358,9569;0,004712966;0,6077756;19;1,827886;-0,8157166;0,7155888
23,78111;-5,26248;0,07163839;-5,8859;358,2929;263,7462;358,9267;0,01292143;0,6074165;19;1,827886;-0,8157166;0,7155888
23,79203;-5,26248;0,07163839;-5,8859;358,2929;263,7462;358,9267;0,007420119;0,6071374;19;1,827886;-0,8157166;0,7155888
23,80129;-5,2625;0,07201882;-5,886086;358,5869;263,9402;359,152;0,0116012;0,606909;19;1,827886;-0,8157166;0,7155888
23,8134;-5,2625;0,07201882;-5,886086;358,5869;263,9402;359,152;0,04020247;0,6066002;19;1,827886;-0,8157166;0,7155888
23,82406;-5,262856;0,0721375;-5,886013;358,5962;263,9863;359,219;0,009038027;0,6063439;19;1,827886;-0,8157166;0,7155888
23,8367;-5,262856;0,0721375;-5,886013;358,5962;263,9863;359,219;0,01367729;0,6060221;19;1,827886;-0,8157166;0,7155888
23,84566;-5,262697;0,07200713;-5,886127;358,5402;264,0305;359,2746;0,006656938;0,6058025;19;1,827886;-0,8157166;0,7155888
23,85732;-5,262697;0,07200713;-5,886127;358,5402;264,0305;359,2746;0,02559059;0,6055063;19;1,827886;-0,8157166;0,7155888
23,86979;-5,262434;0,07188381;-5,886032;358,4785;264,0305;359,4387;0,006103332;0,6052014;19;1,827886;-0,8157166;0,7155888
23,88045;-5,262434;0,07188381;-5,886032;358,4785;264,0305;359,4387;0,02292825;0,6049312;19;1,827886;-0,8157166;0,7155888
