Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
4,790878;-0,7987562;0,06353087;5,559147;4,279186;152,704;1,249068;7,050005;0,7481522;4;1,660787;-0,9381925;0,5382361
5,124212;-0,8025479;0,05750843;5,56275;358,7947;151,7644;357,9236;0,002497521;0,7003633;4;1,660787;-0,9381925;0,5382361
5,147898;-0,802719;0,05735777;5,562729;358,6446;151,7448;357,9252;0,640866;0,6971649;4;0,7618554;0,5095271;0,5382361
5,163859;-0,802719;0,05735777;5,562729;358,6446;151,7448;357,9252;0,2190385;0,6950037;4;0,7618554;0,5095271;0,5382361
5,175415;-0,8030528;0,05741305;5,563004;358,7069;151,8004;358,2224;0,003813043;0,6935313;4;0,7618554;0,5095271;0,5382361
5,189974;-0,8032271;0,05731539;5,563142;358,6093;151,7977;358,2972;0,00166621;0,6916229;4;0,7618554;0,5095271;0,5382361
5,205046;-0,8032263;0,05732106;5,563305;358,5388;151,8664;358,2506;0,3492821;0,6896457;4;0,7618554;0,5095271;0,5382361
5,217547;-0,8032263;0,05732106;5,563305;358,5388;151,8664;358,2506;0,123193;0,6879885;4;0,7618554;0,5095271;0,5382361
5,229457;-0,8030965;0,05733858;5,563778;358,5803;151,9169;358,705;0,004065096;0,6865112;4;0,7618554;0,5095271;0,5382361
5,241341;-0,8030965;0,05733858;5,563778;358,5803;151,9169;358,705;0,1505599;0,6849501;4;0,7618554;0,5095271;0,5382361
5,251372;-0,8034444;0,05747718;5,564602;358,2007;152,2426;358,7962;0,008850659;0,6838087;4;0,7618554;0,5095271;0,5382361
5,266037;-0,8037431;0,0576182;5,56445;358,1524;152,1861;358,8857;0,08085886;0,6819626;4;0,7618554;0,5095271;0,5382361
5,276005;-0,8037431;0,0576182;5,56445;358,1524;152,1861;358,8857;2,675349E-09;0,6806706;4;0,7618554;0,5095271;0,5382361
5,291187;-0,8038476;0,05811709;5,564838;357,717;151,9505;359,5701;0,1553522;0,678788;4;0,7618554;0,5095271;0,5382361
5,305871;-0,8039901;0,05862103;5,565214;357,2862;152,0356;359,8716;0,07792986;0,6769801;4;0,7618554;0,5095271;0,5382361
5,320191;-0,8039901;0,05862103;5,565214;357,2862;152,0356;359,8716;8,855643E-10;0,6751526;4;0,7618554;0,5095271;0,5382361
5,333539;-0,8044814;0,06111117;5,566833;355,2702;152,2589;0,9724449;0,09540519;0,6737762;4;0,7618554;0,5095271;0,5382361
5,34757;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,009530442;0,6721616;4;0,7618554;0,5095271;0,5382361
5,36418;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,03694089;0,6700745;4;0,7618554;0,5095271;0,5382361
5,377541;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,00226613;0,6684049;4;0,7618554;0,5095271;0,5382361
5,389386;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,002024735;0,6669317;4;0,7618554;0,5095271;0,5382361
5,4013;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;8,16726E-10;0,6654564;4;0,7618554;0,5095271;0,5382361
5,413579;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,008402148;0,6639428;4;0,7618554;0,5095271;0,5382361
5,424699;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,003710866;0,6625779;4;0,7618554;0,5095271;0,5382361
5,437385;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,002431023;0,6610277;4;0,7618554;0,5095271;0,5382361
5,456398;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;8,233868E-10;0,658718;4;0,7618554;0,5095271;0,5382361
5,473989;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,00892798;0,6565952;4;0,7618554;0,5095271;0,5382361
5,491037;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;7,911899E-10;0,654551;4;0,7618554;0,5095271;0,5382361
5,503523;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,01911975;0,6530619;4;0,7618554;0,5095271;0,5382361
5,515978;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,005203818;0,6515833;4;0,7618554;0,5095271;0,5382361
5,53393;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;7,725499E-10;0,6494637;4;0,7618554;0,5095271;0,5382361
5,54647;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,008667668;0,6479912;4;0,7618554;0,5095271;0,5382361
5,559079;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;0,009103175;0,6465175;4;0,7618554;0,5095271;0,5382361
5,572433;-0,8047149;0,06222375;5,567644;354,394;152,4062;1,522166;7,764042E-10;0,6449639;4;0,7618554;0,5095271;0,5382361
5,589466;-0,849894;0,1301595;5,782292;318,9821;160,464;10,67946;2,745394;0,6823438;4;0,7618554;0,5095271;0,5382361
5,605189;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;0,2549188;0,6840475;5;1,734584;-0,9102715;0,5904965
5,621356;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,704469E-08;0,6820748;5;1,734584;-0,9102715;0,5904965
5,632634;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,758175E-08;0,6807055;5;1,734584;-0,9102715;0,5904965
5,643377;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,785336E-08;0,6794062;5;1,734584;-0,9102715;0,5904965
5,656246;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,774646E-08;0,6778562;5;1,734584;-0,9102715;0,5904965
5,669247;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,763402E-08;0,6762975;5;1,734584;-0,9102715;0,5904965
5,678854;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,791234E-08;0,6751503;5;1,734584;-0,9102715;0,5904965
5,688458;-0,8540413;0,1280469;5,802115;320,4457;160,0144;10,4795;2,807286E-08;0,6740075;5;1,734584;-0,9102715;0,5904965
