Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
5,710504;-2,884696;1,68461;-5,622453;7,717093;78,97178;6,321138;1,369526;0,5587882;3,182834
6,009326;-2,658758;1,660666;-5,598173;11,13498;74,69723;3,073958;0,7604523;0,5688405;3,410073
6,025634;-2,651263;1,661575;-5,598327;11,08842;74,63916;2,782227;0,4596602;0,5685443;3,417569
6,037374;-2,651263;1,661575;-5,598327;11,08842;74,63916;2,782227;0;0,567436;3,417569
6,048964;-2,629421;1,664511;-5,598536;10,80704;74,37536;1,989706;1,884796;0,569966;3,439412
6,060963;-2,629421;1,664511;-5,598536;10,80704;74,37536;1,989706;0;0,5688348;3,439412
6,073539;-2,615484;1,666476;-5,598214;10,43663;74,16743;1,572873;1,108568;0,5699551;3,453353
6,083658;-2,608673;1,667513;-5,59788;10,23074;73,98115;1,350537;0,6738463;0,5701283;3,460172
6,098208;-2,608673;1,667513;-5,59788;10,23074;73,98115;1,350537;0;0,5687647;3,460172
6,108076;-2,588163;1,670283;-5,596443;9,928627;73,79626;0,802974;2,083695;0,5712178;3,480732
6,12081;-2,588163;1,670283;-5,596443;9,928627;73,79626;0,802974;0;0,5700265;3,480732
6,132406;-2,574622;1,671827;-5,595154;9,794072;73,64568;0,3769348;1,173031;0,5711695;3,494335
6,141231;-2,574622;1,671827;-5,595154;9,794072;73,64568;0,3769348;0;0,5703468;3,494335
6,149083;-2,561164;1,673055;-5,593178;9,721427;73,50037;0,3111185;1,732386;0,5718341;3,507937
6,161835;-2,561164;1,673055;-5,593178;9,721427;73,50037;0,3111185;0;0,5706478;3,507937
6,174623;-2,547828;1,673922;-5,590869;9,826612;73,30157;0,1232062;1,058423;0,5716603;3,521471
6,205078;-2,528464;1,674747;-5,586621;10,0322;73,1455;0,1940223;0,65095;0,5720505;3,541296
6,217686;-2,528464;1,674747;-5,586621;10,0322;73,1455;0,1940223;0;0,5708877;3,541296
6,228811;-2,509545;1,675776;-5,581582;10,77289;72,68151;0,07350945;1,759882;0,5730163;3,560875
6,238426;-2,509545;1,675776;-5,581582;10,77289;72,68151;0,07350945;0;0,5721311;3,560875
6,249259;-2,497257;1,676512;-5,577925;10,91034;72,44933;0,2168622;1,183413;0,5731933;3,573695
6,259022;-2,497257;1,676512;-5,577925;10,91034;72,44933;0,2168622;0;0,5722971;3,573695
6,266996;-2,491283;1,676883;-5,57619;11,03938;72,2261;0,3139876;0,7801058;0,5725622;3,579916
6,279078;-2,491283;1,676883;-5,57619;11,03938;72,2261;0,3139876;0;0,5714579;3,579916
6,286836;-2,479418;1,677511;-5,572503;11,10394;71,67294;0,3920437;1,601717;0,572732;3,592341
6,298385;-2,479418;1,677511;-5,572503;11,10394;71,67294;0,3920437;0;0,5716794;3,592341
6,306685;-2,46739;1,678006;-5,568791;10,94247;71,4694;0,6624905;1,516599;0,5729258;3,604928
6,319068;-2,46739;1,678006;-5,568791;10,94247;71,4694;0,6624905;0;0,5718005;3,604928
6,341407;-2,443507;1,678151;-5,561123;10,63389;70,78283;1,065336;1,122887;0,5737463;3,630013
6,351124;-2,437347;1,678153;-5,559088;10,70926;70,5129;0,98086;0,6675504;0,5738901;3,636499
6,363787;-2,431166;1,678006;-5,557007;10,85081;70,41768;1,003482;0,5150945;0,5737729;3,643022
6,375746;-2,431166;1,678006;-5,557007;10,85081;70,41768;1,003482;0;0,5726941;3,643022
6,385695;-2,418687;1,677312;-5,552638;10,81442;70,08388;1,090526;1,328977;0,5738751;3,656244
6,39802;-2,418687;1,677312;-5,552638;10,81442;70,08388;1,090526;0;0,5727671;3,656244
6,409571;-2,39994;1,675819;-5,545497;10,94572;69,47517;1,078395;1,736701;0,5748695;3,676304
6,420927;-2,39994;1,675819;-5,545497;10,94572;69,47517;1,078395;0;0,5738505;3,676304
6,430498;-2,387209;1,674388;-5,540668;10,70019;69,24828;1,270925;1,422662;0,5751167;3,68992
6,45595;-2,374429;1,672611;-5,535492;10,70383;69,08149;1,302071;0,5417454;0,5749848;3,703709
6,466588;-2,368303;1,671575;-5,53299;11,28177;68,85087;1,222265;0,6219921;0,5750623;3,710326
6,479867;-2,368303;1,671575;-5,53299;11,28177;68,85087;1,222265;0;0,5738812;3,710326
6,494025;-2,349518;1,6684;-5,525028;11,39717;68,60633;1,177979;1,441055;0,5757761;3,730729
