Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
5,710504;-3,107646;0,07497299;-5,681953;0,1193817;264,9911;359,7876;0,01313892;0,5369757;3;0,8694845;0,4799531;0,5359906
6,009326;-3,100108;0,07207578;-5,684948;358,2619;259,9633;0,4031897;0,003296747;0,511562;3;0,8694845;0,4799531;0,5359906
6,025634;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,01539047;0,5106998;3;0,8694845;0,4799531;0,5359906
6,037374;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;8,382022E-10;0,5097042;3;0,8694845;0,4799531;0,5359906
6,048964;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;8,357102E-10;0,5087253;3;0,8694845;0,4799531;0,5359906
6,060963;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,01207236;0,5077158;3;0,8694845;0,4799531;0,5359906
6,073539;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;8,235477E-10;0,506662;3;0,8694845;0,4799531;0,5359906
6,083658;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,001824221;0,5058172;3;0,8694845;0,4799531;0,5359906
6,098208;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;8,203288E-10;0,5046074;3;0,8694845;0,4799531;0,5359906
6,108076;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,008511408;0,5037903;3;0,8694845;0,4799531;0,5359906
6,12081;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;8,114003E-10;0,5027397;3;0,8694845;0,4799531;0,5359906
6,132406;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,003858078;0,5017868;3;0,8694845;0,4799531;0,5359906
6,141231;-3,097405;0,07312049;-5,686584;357,2896;258,0679;359,693;0,004092632;0,501064;3;0,8694845;0,4799531;0,5359906
6,149083;-2,999226;0,130342;-5,644072;319,351;256,7227;1,014356;1,713341;0,5178629;3;0,8694845;0,4799531;0,5359906
6,161835;-2,999226;0,130342;-5,644072;319,351;256,7227;1,014356;0,007090141;0,5167887;4;2,27097;-1,427306;0,7257654
6,174623;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0,2848553;0,5210735;4;2,27097;-1,427306;0,7257654
6,205078;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0,00222786;0,51851;4;2,27097;-1,427306;0,7257654
6,217686;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5174561;4;2,27097;-1,427306;0,7257654
6,228811;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0,003322402;0,5165297;4;2,27097;-1,427306;0,7257654
6,238426;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0,003033165;0,5157318;4;2,27097;-1,427306;0,7257654
6,249259;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0,04724931;0,5148357;4;2,27097;-1,427306;0,7257654
6,259022;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5140308;4;2,27097;-1,427306;0,7257654
6,266996;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5133752;4;2,27097;-1,427306;0,7257654
6,279078;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5123851;4;2,27097;-1,427306;0,7257654
6,286836;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5117514;4;2,27097;-1,427306;0,7257654
6,298385;-2,968678;0,1330691;-5,63158;323,4363;254,2064;5,162249;0;0,5108108;4;2,27097;-1,427306;0,7257654
6,306685;-2,693699;0,1117513;-5,552898;338,8305;256,2445;5,254702;8,606758;0,5555928;4;2,27097;-1,427306;0,7257654
6,319068;-2,693699;0,1117513;-5,552898;338,8305;256,2445;5,254702;0;0,5545015;4;2,27097;-1,427306;0,7257654
6,341407;-2,693699;0,1117513;-5,552898;338,8305;256,2445;5,254702;0;0,5525437;4;2,27097;-1,427306;0,7257654
6,351124;-2,693699;0,1117513;-5,552898;338,8305;256,2445;5,254702;0;0,5516964;4;2,27097;-1,427306;0,7257654
6,363787;-2,540959;0,09701417;-5,513573;344,2161;261,3338;3,993601;3,003603;0,5754371;4;2,27097;-1,427306;0,7257654
6,375746;-2,540959;0,09701417;-5,513573;344,2161;261,3338;3,993601;3,661121;0,5743552;4;2,27097;-1,427306;0,7257654
6,385695;-2,490428;0,09214888;-5,501289;348,8925;261,1614;3,657064;1,232631;0,5816205;4;2,27097;-1,427306;0,7257654
6,39802;-2,490428;0,09214888;-5,501289;348,8925;261,1614;3,657064;0,6090884;0,5804975;4;2,27097;-1,427306;0,7257654
6,409571;-2,415115;0,08800657;-5,482948;355,4289;260,6346;3,449209;1,589058;0,59157;4;2,27097;-1,427306;0,7257654
6,420927;-2,415115;0,08800657;-5,482948;355,4289;260,6346;3,449209;0;0,5905215;4;2,27097;-1,427306;0,7257654
6,430498;-2,366095;0,08889152;-5,47131;359,6005;260,0923;3,71769;1,374418;0,5974932;4;2,27097;-1,427306;0,7257654
6,45595;-2,32006;0,09381773;-5,459076;4,514281;259,3538;3,491937;0,4601543;0,6025272;4;2,27097;-1,427306;0,7257654
6,466588;-2,298144;0,09778759;-5,45315;7,205294;258,6145;3,081116;0,5275642;0,6050525;4;2,27097;-1,427306;0,7257654
6,479867;-2,298144;0,09778759;-5,45315;7,205294;258,6145;3,081116;0;0,6038098;4;2,27097;-1,427306;0,7257654
6,494025;-2,241164;0,1114126;-5,432867;14,26164;255,8195;1,518396;1,035183;0,6118248;4;2,27097;-1,427306;0,7257654
6,507594;-2,211522;0,1194523;-5,418549;17,25245;252,4194;0,9720905;0,5766599;0,6156162;4;2,27097;-1,427306;0,7257654
6,516178;-2,211522;0,1194523;-5,418549;17,25245;252,4194;0,9720905;0;0,6148034;4;2,27097;-1,427306;0,7257654
6,52496;-2,199769;0,1223298;-5,411901;18,40481;250,3345;0,8109239;0,3667879;0,616048;4;2,27097;-1,427306;0,7257654
6,536685;-2,199769;0,1223298;-5,411901;18,40481;250,3345;0,8109239;8,055171;0,6149405;4;2,27097;-1,427306;0,7257654
6,545307;-2,183927;0,1235466;-5,401253;20,07487;245,0646;357,7872;0,5165443;0,6170515;4;2,27097;-1,427306;0,7257654
6,554242;-2,183927;0,1235466;-5,401253;20,07487;245,0646;357,7872;0;0,6162085;4;2,27097;-1,427306;0,7257654
6,564098;-2,175436;0,1181266;-5,395327;18,90087;240,2573;356,2196;0,2957797;0,6168621;4;2,27097;-1,427306;0,7257654
6,574049;-2,175436;0,1181266;-5,395327;18,90087;240,2573;356,2196;3,117579;0,6159262;4;2,27097;-1,427306;0,7257654
6,583809;-2,171541;0,1078063;-5,392296;16,28647;236,4316;354,4165;0,2959633;0,6157625;4;2,27097;-1,427306;0,7257654
6,594721;-2,171541;0,1078063;-5,392296;16,28647;236,4316;354,4165;1,331935;0,6147413;4;2,27097;-1,427306;0,7257654
6,603242;-2,171541;0,1078063;-5,392296;16,28647;236,4316;354,4165;0;0,6139463;4;2,27097;-1,427306;0,7257654
6,612908;-2,16593;0,09630053;-5,393593;12,23573;235,9797;358,6921;1,613211;0,6139197;4;2,27097;-1,427306;0,7257654
6,624674;-2,161927;0,09231444;-5,394016;10,66235;236,4143;358,9113;0,124349;0,613436;4;2,27097;-1,427306;0,7257654
6,633958;-2,161927;0,09231444;-5,394016;10,66235;236,4143;358,9113;1,373015;0,6125757;4;2,27097;-1,427306;0,7257654
6,644248;-2,161927;0,09231444;-5,394016;10,66235;236,4143;358,9113;0,4889832;0,6116249;4;2,27097;-1,427306;0,7257654
6,654323;-2,161927;0,09231444;-5,394016;10,66235;236,4143;358,9113;0,6067922;0,6106968;4;2,27097;-1,427306;0,7257654
6,666867;-2,148257;0,07481081;-5,391846;3,10595;238,6911;359,549;0,4935076;0,6116259;4;2,27097;-1,427306;0,7257654
6,677151;-2,148257;0,07481081;-5,391846;3,10595;238,6911;359,549;1,233117;0,6106818;4;2,27097;-1,427306;0,7257654
6,685756;-2,146756;0,07318754;-5,392488;2,436483;239,0582;359,1453;0,7054777;0,6101388;4;2,27097;-1,427306;0,7257654
6,698067;-2,146756;0,07318754;-5,392488;2,436483;239,0582;359,1453;0;0,6090149;4;2,27097;-1,427306;0,7257654
6,709037;-2,145085;0,07147689;-5,392591;1,548749;239,2825;359,2793;0,4299591;0,6082671;4;2,27097;-1,427306;0,7257654
6,717628;-2,145085;0,07147689;-5,392591;1,548749;239,2825;359,2793;0;0,6074875;4;2,27097;-1,427306;0,7257654
6,726419;-2,144897;0,07112578;-5,392534;1,415342;239,2617;359,211;0,6442543;0,6067211;4;2,27097;-1,427306;0,7257654
6,737028;-2,144897;0,07112578;-5,392534;1,415342;239,2617;359,211;0;0,6057636;4;2,27097;-1,427306;0,7257654
6,747016;-2,144217;0,07046387;-5,392555;1,210108;239,3321;358,8721;0,3192374;0,604966;4;2,27097;-1,427306;0,7257654
6,762293;-2,144217;0,07046387;-5,392555;1,210108;239,3321;358,8721;0;0,6035963;4;2,27097;-1,427306;0,7257654
6,772704;-2,144014;0,07020254;-5,392529;1,087411;239,3251;358,9875;0,3194289;0,6026968;4;2,27097;-1,427306;0,7257654
6,797047;-2,143739;0,06973618;-5,392416;0,901985;239,3644;358,9575;0,00591934;0,6005774;4;2,27097;-1,427306;0,7257654
6,812156;-2,143694;0,06968085;-5,392424;0,8539276;239,3885;358,9679;0,00121085;0,5992492;4;2,27097;-1,427306;0,7257654
