Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
5,710504;-2,886503;0,08414254;-5,789461;357,7714;246,9451;359,1683;1,500314;0,5926889;4;2,370133;-1,235106;0,7044908
6,009326;-2,610723;0,07334514;-5,671656;2,452301;242,5615;0,5917575;0,1148635;0,61317;4;2,370133;-1,235106;0,7044908
6,025634;-2,610415;0,07279744;-5,671131;2,144369;242,4202;0,503976;0,005653557;0,6116077;4;2,370133;-1,235106;0,7044908
6,037374;-2,610415;0,07279744;-5,671131;2,144369;242,4202;0,503976;6,940521E-09;0,6104154;4;2,370133;-1,235106;0,7044908
6,048964;-2,609775;0,07146958;-5,670021;1,331467;242,1593;0,06889296;0,0178597;0,6094554;4;2,370133;-1,235106;0,7044908
6,060963;-2,609775;0,07146958;-5,670021;1,331467;242,1593;0,06889296;7,101823E-09;0,6082459;4;2,370133;-1,235106;0,7044908
6,073539;-2,609456;0,07093909;-5,669682;0,9929631;242,0398;359,8556;0,006202983;0,6070603;4;2,370133;-1,235106;0,7044908
6,083658;-2,609415;0,07074632;-5,669664;0,8731885;241,9848;359,8394;0,002158068;0,6060556;4;2,370133;-1,235106;0,7044908
6,098208;-2,609415;0,07074632;-5,669664;0,8731885;241,9848;359,8394;7,02866E-09;0,604606;4;2,370133;-1,235106;0,7044908
6,108076;-2,609318;0,0702309;-5,66958;0,4668198;241,9479;359,4984;5,841775;0,603648;4;2,370133;-1,235106;0,7044908
6,12081;-2,609318;0,0702309;-5,66958;0,4668198;241,9479;359,4984;6,957048E-09;0,6023891;4;2,370133;-1,235106;0,7044908
6,132406;-2,609191;0,0700523;-5,669357;0,4167409;241,8852;359,5989;0,4147556;0,6012892;4;2,370133;-1,235106;0,7044908
6,141231;-2,609191;0,0700523;-5,669357;0,4167409;241,8852;359,5989;0,4424637;0,6004232;4;2,370133;-1,235106;0,7044908
6,149083;-2,609094;0,06992973;-5,669302;0,3455156;241,8516;359,6143;0,002343704;0,5996729;4;2,370133;-1,235106;0,7044908
6,161835;-2,609094;0,06992973;-5,669302;0,3455156;241,8516;359,6143;0,6761951;0,5984288;4;2,370133;-1,235106;0,7044908
6,174623;-2,609112;0,06974022;-5,669079;0,15927;241,7897;359,5066;0,002523127;0,597223;4;2,370133;-1,235106;0,7044908
6,205078;-2,608767;0,06941167;-5,668827;359,9565;242,034;359,2896;0,5891728;0,5943539;4;2,370133;-1,235106;0,7044908
6,217686;-2,608767;0,06941167;-5,668827;359,9565;242,034;359,2896;6,71035E-09;0,5931458;4;2,370133;-1,235106;0,7044908
6,228811;-2,608818;0,06948379;-5,669132;359,8194;241,795;359,466;0,5555055;0,5921338;4;2,370133;-1,235106;0,7044908
6,238426;-2,608818;0,06948379;-5,669132;359,8194;241,795;359,466;0,1056789;0,591219;4;2,370133;-1,235106;0,7044908
6,249259;-2,608764;0,06939296;-5,669075;359,71;241,7769;359,4313;0,009123656;0,5902043;4;2,370133;-1,235106;0,7044908
6,259022;-2,608764;0,06939296;-5,669075;359,71;241,7769;359,4313;4,433814E-10;0,5892816;4;2,370133;-1,235106;0,7044908
6,266996;-2,608689;0,06933056;-5,669006;359,7007;241,7804;359,4637;0,0351344;0,5885463;4;2,370133;-1,235106;0,7044908
6,279078;-2,608689;0,06933056;-5,669006;359,7007;241,7804;359,4637;4,496877E-10;0,5874112;4;2,370133;-1,235106;0,7044908
6,286836;-2,608591;0,06913676;-5,668812;359,7381;241,9031;359,4264;0,005278247;0,5867195;4;2,370133;-1,235106;0,7044908
6,298385;-2,608591;0,06913676;-5,668812;359,7381;241,9031;359,4264;0,004831979;0,5856411;4;2,370133;-1,235106;0,7044908
6,306685;-2,608376;0,06911081;-5,668833;359,6776;241,9439;359,5706;0,006516597;0,5849028;4;2,370133;-1,235106;0,7044908
6,319068;-2,608376;0,06911081;-5,668833;359,6776;241,9439;359,5706;0,01353826;0,583754;4;2,370133;-1,235106;0,7044908
