Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
1,23099;-5,422828;1,669899;-5,800591;10,84928;90,92043;1,311604;1,518937;0,4778371;0,5812615
1,555865;-5,217862;1,674351;-5,826839;9,351748;89,06343;358,5605;0,6360585;0,5111866;0,7879015
1,57108;-5,205518;1,676517;-5,827757;8,841395;88,89813;358,6057;0,8135597;0,5141423;0,8002799
1,580052;-5,205518;1,676517;-5,827757;8,841395;88,89813;358,6057;0;0,5111959;0,8002799
1,58785;-5,193238;1,678127;-5,828727;8,627831;88,71262;358,4525;1,579553;0,5164916;0,8125982
1,597629;-5,193238;1,678127;-5,828727;8,627831;88,71262;358,4525;0;0,5133011;0,8125982
1,608031;-5,180747;1,679034;-5,829803;8,39189;88,68128;358,378;1,205307;0,5178183;0,8251356
1,617045;-5,180747;1,679034;-5,829803;8,39189;88,68128;358,378;0;0,5149057;0,8251356
1,626429;-5,174433;1,679237;-5,830223;8,482731;88,62927;358,279;0,6742554;0,5158334;0,8314629
1,636337;-5,174433;1,679237;-5,830223;8,482731;88,62927;358,279;0;0,5126821;0,8314629
1,644924;-5,161596;1,67942;-5,830896;8,386342;88,66389;358,1407;1,49696;0,5178663;0,8443175
1,654488;-5,161596;1,67942;-5,830896;8,386342;88,66389;358,1407;0;0,514846;0,8443175
1,663456;-5,148615;1,679259;-5,831334;8,769679;88,66734;358,0081;1,448335;0,5199229;0,8573058
1,672405;-5,148615;1,679259;-5,831334;8,769679;88,66734;358,0081;0;0,5171165;0,8573058
1,680041;-5,148615;1,679259;-5,831334;8,769679;88,66734;358,0081;0;0,5147455;0,8573058
1,690212;-5,129154;1,678735;-5,831172;9,470348;88,65533;357,9922;1,913567;0,5232358;0,8767681
1,701392;-5,129154;1,678735;-5,831172;9,470348;88,65533;357,9922;0;0,5197681;0,8767681
1,710186;-5,116307;1,678315;-5,8309;9,85191;88,64392;358,1489;1,461019;0,52465;0,8896174
1,727387;-5,109964;1,678133;-5,830625;9,928819;88,65956;358,3163;0,3691144;0,5230882;0,8959663
1,740989;-5,109964;1,678133;-5,830625;9,928819;88,65956;358,3163;0;0,5189669;0,8959663
1,751672;-5,091666;1,678203;-5,829879;10,3071;88,29006;358,5341;1,714182;0,5263176;0,9142796
1,762246;-5,091666;1,678203;-5,829879;10,3071;88,29006;358,5341;0;0,5231332;0,9142796
1,77518;-5,079782;1,678749;-5,829308;10,62074;88,03066;358,4021;0,9199083;0,5260479;0,9261776
1,788692;-5,067948;1,679256;-5,828934;10,52132;87,84824;358,6015;0,8762177;0,5287149;0,9380172
1,800429;-5,067948;1,679256;-5,828934;10,52132;87,84824;358,6015;0;0,5252402;0,9380172
1,811359;-5,056171;1,679945;-5,829032;10,44739;87,59348;358,5502;1,077541;0,5285998;0,9497945
1,825682;-5,050261;1,680266;-5,829025;10,41898;87,50848;358,5351;0,4126914;0,5276831;0,9557054
1,835406;-5,050261;1,680266;-5,829025;10,41898;87,50848;358,5351;0;0,5248649;0,9557054
1,844403;-5,038238;1,680764;-5,829033;10,56424;87,45661;358,4407;1,336355;0,5288547;0,9677284
1,852966;-5,038238;1,680764;-5,829033;10,56424;87,45661;358,4407;0;0,5263915;0,9677284
1,862638;-5,038238;1,680764;-5,829033;10,56424;87,45661;358,4407;0;0,5236367;0,9677284
1,875861;-5,019631;1,680878;-5,829371;10,38961;87,41215;358,3749;1,407306;0,5299147;0,9863381
1,885537;-5,013227;1,680713;-5,829473;10,34163;87,35587;358,3271;0,6618719;0,5305972;0,9927424
1,895236;-5,013227;1,680713;-5,829473;10,34163;87,35587;358,3271;0;0,5278608;0,9927424
1,904043;-5,000201;1,679977;-5,82967;10,08886;87,26481;358,4756;1,479331;0,5322955;1,005771
1,913671;-5,000201;1,679977;-5,82967;10,08886;87,26481;358,4756;0;0,5295969;1,005771
1,922267;-5,000201;1,679977;-5,82967;10,08886;87,26481;358,4756;0;0,5272106;1,005771
1,930321;-4,979917;1,678319;-5,829354;10,1735;87,14154;358,2962;2,518972;0,5355836;1,026057
1,944051;-4,972991;1,677669;-5,828955;10,00799;87,15095;358,319;0,5052173;0,5353675;1,032994
1,956349;-4,972991;1,677669;-5,828955;10,00799;87,15095;358,319;0;0,5319769;1,032994
