Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
1,23099;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,008938604;0,3363952;0;-1;-1;0
1,555865;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;3,720133E-10;0,2654906;0;-1;-1;0
1,57108;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,002792884;0,2628954;0;-1;-1;0
1,580052;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;3,729403E-10;0,2613888;0;-1;-1;0
1,58785;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,007958759;0,2600932;0;-1;-1;0
1,597629;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;3,745874E-10;0,2584865;0;-1;-1;0
1,608031;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,000974635;0,2567992;0;-1;-1;0
1,617045;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,00196159;0,2553547;0;-1;-1;0
1,626429;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;3,767776E-10;0,2538681;0;-1;-1;0
1,636337;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,003538579;0,2523172;0;-1;-1;0
1,644924;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,006207149;0,2509882;0;-1;-1;0
1,654488;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,003780238;0,2495244;0;-1;-1;0
1,663456;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,001167137;0,2481674;0;-1;-1;0
1,672405;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,00214318;0,2468278;0;-1;-1;0
1,680041;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,001051901;0,2456961;0;-1;-1;0
1,690212;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,001461772;0,2442048;0;-1;-1;0
1,701392;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,001626433;0,2425863;0;-1;-1;0
1,710186;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0;0,2413281;0;-1;-1;0
1,727387;-5,720268;0,07855264;-5,771233;0,155609;271,1422;359,5869;0,002519411;0,2389047;0;-1;-1;0
