Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
1,23099;-5,331923;0,1182031;-5,891397;18,6307;256,1735;0,1730665;0,2077072;0,7399661;1;8,583678;-1,829216;-1
1,555865;-5,265621;0,07460447;-5,886463;0,8962749;264,3138;359,9244;0,02304109;0,627133;1;8,583678;-1,829216;-1
1,57108;-5,2655;0,07438505;-5,886477;0,7203018;264,2764;359,7426;0,3845479;0,6210807;1;0,9448892;0,4017737;-1
1,580052;-5,2655;0,07438505;-5,886477;0,7203018;264,2764;359,7426;5,894738E-09;0,6175215;1;0,9448892;0,4017737;-1
1,58785;-5,265657;0,07413514;-5,886698;0,5225542;264,2941;359,5745;0,4590203;0,6146329;1;0,9448892;0,4017737;-1
1,597629;-5,265657;0,07413514;-5,886698;0,5225542;264,2941;359,5745;5,920115E-09;0,6108362;1;0,9448892;0,4017737;-1
1,608031;-5,265804;0,07354284;-5,887508;0,2034203;264,6574;359,5923;0,5146397;0,6073658;1;0,9448892;0,4017737;-1
1,617045;-5,265804;0,07354284;-5,887508;0,2034203;264,6574;359,5923;0,1610707;0,6039495;1;0,9448892;0,4017737;-1
1,626429;-5,265008;0,07332489;-5,887209;0,213447;264,4944;359,7852;0,00891971;0,6009609;1;0,9448892;0,4017737;-1
1,636337;-5,265008;0,07332489;-5,887209;0,213447;264,4944;359,7852;0,4170391;0,5972895;1;0,9448892;0,4017737;-1
1,644924;-5,264412;0,07336391;-5,886784;0,3925073;264,4416;0,0592487;0,2477843;0,5945925;1;0,9448892;0,4017737;-1
1,654488;-5,264412;0,07336391;-5,886784;0,3925073;264,4416;0,0592487;0,2931623;0,5911248;1;0,9448892;0,4017737;-1
1,663456;-5,264952;0,07311403;-5,886862;0,3036602;264,8043;359,7695;0,2153691;0,5882404;1;0,9448892;0,4017737;-1
1,672405;-5,264952;0,07311403;-5,886862;0,3036602;264,8043;359,7695;0,2245075;0,5850653;1;0,9448892;0,4017737;-1
1,680041;-5,264952;0,07311403;-5,886862;0,3036602;264,8043;359,7695;0,1366767;0,5823827;1;0,9448892;0,4017737;-1
1,690212;-5,264356;0,07365061;-5,888054;359,8795;263,8461;359,9561;0,2113755;0,5796432;1;0,9448892;0,4017737;-1
1,701392;-5,264356;0,07365061;-5,888054;359,8795;263,8461;359,9561;0,1805588;0,5758016;1;0,9448892;0,4017737;-1
1,710186;-5,26462;0,07285654;-5,886715;359,6371;264,1373;359,1475;0,02001333;0,57362;1;0,9448892;0,4017737;-1
1,727387;-5,264328;0,07291742;-5,887377;359,6924;264,3919;359,1944;0,3096521;0,5682821;1;0,9448892;0,4017737;-1
1,740989;-5,264328;0,07291742;-5,887377;359,6924;264,3919;359,1944;0,02665874;0,5638049;1;0,9448892;0,4017737;-1
1,751672;-5,264498;0,07279632;-5,887348;359,5345;264,3544;359,106;0,006913691;0,5604371;1;0,9448892;0,4017737;-1
1,762246;-5,264498;0,07279632;-5,887348;359,5345;264,3544;359,106;7,655299E-10;0,5570462;1;0,9448892;0,4017737;-1
1,77518;-5,263928;0,07294942;-5,88714;359,4392;263,8746;359,334;0,02549528;0,5532986;1;0,9448892;0,4017737;-1
1,788692;-5,262924;0,0722696;-5,886314;358,8537;263,8186;358,9355;0,0300393;0,5498177;1;0,9448892;0,4017737;-1
1,800429;-5,262924;0,0722696;-5,886314;358,8537;263,8186;358,9355;0,02672447;0,5462043;1;0,9448892;0,4017737;-1
1,811359;-5,262893;0,07223225;-5,886351;358,6474;263,8408;358,8388;0,001508376;0,5429081;1;0,9448892;0,4017737;-1
1,825682;-5,262816;0,07187684;-5,885937;358,5152;263,7673;358,8369;0,0211657;0,5388472;1;0,9448892;0,4017737;-1
1,835406;-5,262816;0,07187684;-5,885937;358,5152;263,7673;358,8369;7,002847E-10;0,5359693;1;0,9448892;0,4017737;-1
1,844403;-5,262683;0,07175988;-5,885931;358,4213;263,7642;358,9012;0,02012797;0,5334067;1;0,9448892;0,4017737;-1
1,852966;-5,262683;0,07175988;-5,885931;358,4213;263,7642;358,9012;7,034307E-10;0,5309222;1;0,9448892;0,4017737;-1
1,862638;-5,262683;0,07175988;-5,885931;358,4213;263,7642;358,9012;0,01784147;0,5281437;1;0,9448892;0,4017737;-1
1,875861;-5,26248;0,07163839;-5,8859;358,2929;263,7462;358,9267;0,004728383;0,5245022;1;0,9448892;0,4017737;-1
1,885537;-5,262422;0,07161043;-5,885904;358,239;263,7594;358,9489;0,00174184;0,5218208;1;0,9448892;0,4017737;-1
1,895236;-5,262422;0,07161043;-5,885904;358,239;263,7594;358,9489;0,0364648;0,5191296;1;0,9448892;0,4017737;-1
1,904043;-5,2625;0,07201882;-5,886086;358,5869;263,9402;359,152;0,01338202;0,5168145;1;0,9448892;0,4017737;-1
1,913671;-5,2625;0,07201882;-5,886086;358,5869;263,9402;359,152;0,04698572;0,5141944;1;0,9448892;0,4017737;-1
1,922267;-5,2625;0,07201882;-5,886086;358,5869;263,9402;359,152;0,01105778;0,5118775;1;0,9448892;0,4017737;-1
1,930321;-5,262726;0,07198934;-5,886047;358,7098;264,0056;359,5591;0,007872447;0,5098456;1;0,9448892;0,4017737;-1
1,944051;-5,262697;0,07200713;-5,886127;358,5402;264,0305;359,2746;0,006479082;0,5062618;1;0,9448892;0,4017737;-1
1,956349;-5,262697;0,07200713;-5,886127;358,5402;264,0305;359,2746;1,139741E-09;0,5030556;1;0,9448892;0,4017737;-1
1,964866;-5,262434;0,07188381;-5,886032;358,4785;264,0305;359,4387;0,00818367;0,501002;1;0,9448892;0,4017737;-1
1,975647;-5,262434;0,07188381;-5,886032;358,4785;264,0305;359,4387;0,03009533;0,4982477;1;0,9448892;0,4017737;-1
1,98566;-5,262395;0,07173735;-5,8859;358,2149;263,9872;359,2394;0,005655546;0,4957865;1;0,9448892;0,4017737;-1
1,997994;-5,262395;0,07173735;-5,8859;358,2149;263,9872;359,2394;0,001552369;0,4927033;1;0,9448892;0,4017737;-1
2,006141;-5,261278;0,07158362;-5,885284;358,0007;263,6677;359,3737;0,03990821;0,4913285;1;0,9448892;0,4017737;-1
2,014944;-5,261278;0,07158362;-5,885284;358,0007;263,6677;359,3737;0;0,4891664;1;0,9448892;0,4017737;-1
2,027805;-5,261832;0,07195009;-5,885872;358,3031;264,281;359,8445;0,02451702;0,4864425;1;0,9448892;0,4017737;-1
2,038462;-5,261832;0,07195009;-5,885872;358,3031;264,281;359,8445;0;0,483881;1;0,9448892;0,4017737;-1
2,046989;-5,261691;0,07200041;-5,885899;358,2875;264,3144;359,9931;0,005095765;0,4819216;1;0,9448892;0,4017737;-1
2,056196;-5,261691;0,07200041;-5,885899;358,2875;264,3144;359,9931;0,005188729;0,4797482;1;0,9448892;0,4017737;-1
2,064776;-5,261124;0,07229475;-5,885647;358,1477;264,2779;0,2721868;0,02255712;0,4780433;1;0,9448892;0,4017737;-1
2,076372;-5,261124;0,07229475;-5,885647;358,1477;264,2779;0,2721868;0;0,4753547;1;0,9448892;0,4017737;-1
2,084602;-5,260534;0,07274322;-5,885563;357,6697;264,3632;0,4900424;0,02540886;0,4737527;1;0,9448892;0,4017737;-1
2,094512;-5,260534;0,07274322;-5,885563;357,6697;264,3632;0,4900424;0;0,4714954;1;0,9448892;0,4017737;-1
2,102957;-5,260534;0,07274322;-5,885563;357,6697;264,3632;0,4900424;0;0,4695889;1;0,9448892;0,4017737;-1
2,113003;-5,259144;0,07434078;-5,885502;355,7386;264,7343;0,9033505;0,06780215;0,4680037;1;0,9448892;0,4017737;-1
2,12732;-5,257757;0,07684262;-5,886116;354,3972;265,4364;1,746251;0,05670811;0,4655505;1;0,9448892;0,4017737;-1
2,137673;-5,257757;0,07684262;-5,886116;354,3972;265,4364;1,746251;0;0,4632802;1;0,9448892;0,4017737;-1
2,146456;-5,256754;0,07811666;-5,886158;353,4348;265,6268;2,366842;0,0528069;0,4618421;1;0,9448892;0,4017737;-1
2,161729;-5,256754;0,07811666;-5,886158;353,4348;265,6268;2,366842;0;0,4585571;1;0,9448892;0,4017737;-1
2,171486;-5,256754;0,07811666;-5,886158;353,4348;265,6268;2,366842;0,005688098;0,4564829;1;0,9448892;0,4017737;-1
