Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
5,513544;-1,566363;0,07378151;-4,661114;2,028939;201,627;0,07047754;0,02289677;0,6560098;4;2,10646;-1,169315;0,6056997
5,846878;-1,564338;0,07018752;-4,658997;0,1115679;201,6731;359,6013;0,001269682;0,6190158;4;2,10646;-1,169315;0,6056997
5,875382;-1,563997;0,07034584;-4,6584;0,2905189;201,6965;359,188;0,002205878;0,6161222;4;0,8893045;0,4418364;0,6056997
5,891448;-1,564282;0,0703619;-4,658621;0,2444835;201,6638;359,1982;0,001994825;0,6144993;4;0,8893045;0,4418364;0,6056997
5,902835;-1,564486;0,07055771;-4,658813;0,05250047;201,5833;0,04815648;0,002666594;0,6133583;4;0,8893045;0,4418364;0,6056997
5,917231;-1,56451;0,07042828;-4,658684;0,2260146;201,6596;359,53;0,001157173;0,6118847;4;0,8893045;0,4418364;0,6056997
5,932125;-1,56451;0,07042828;-4,658684;0,2260146;201,6596;359,53;5,51593;0,6103445;4;0,8893045;0,4418364;0,6056997
5,944466;-1,56443;0,0701815;-4,658714;0,04348462;201,6561;359,6256;0,001912571;0,6090885;5;1,694317;-1,032956;0,7725785
5,95499;-1,56443;0,0701815;-4,658714;0,04348462;201,6561;359,6256;7,498666E-10;0,6080093;5;1,694317;-1,032956;0,7725785
5,966433;-1,564387;0,07020065;-4,65855;359,9303;201,6177;359,5931;0,001380493;0,6068689;5;1,694317;-1,032956;0,7725785
5,978414;-1,564401;0,07015377;-4,658482;359,9013;201,5971;359,6329;0,0006514846;0,6056613;5;1,694317;-1,032956;0,7725785
5,993699;-1,564401;0,07015377;-4,658482;359,9013;201,5971;359,6329;7,133433E-10;0,6041129;5;1,694317;-1,032956;0,7725785
6,004889;-1,564313;0,07016263;-4,658333;359,7503;201,5865;359,6255;0,250483;0,6030131;5;1,694317;-1,032956;0,7725785
6,021341;-1,56433;0,0701436;-4,65831;359,681;201,5522;359,6253;0,0001926767;0,6013661;5;1,694317;-1,032956;0,7725785
6,04046;-1,564296;0,07017576;-4,65814;359,5782;201,557;359,6027;0,0958828;0,5994866;5;1,694317;-1,032956;0,7725785
6,053058;-1,564296;0,07017576;-4,65814;359,5782;201,557;359,6027;0,04064004;0,5982359;5;1,694317;-1,032956;0,7725785
6,064397;-1,564166;0,07011975;-4,657875;359,3434;201,5187;359,6727;0,01849443;0,5971634;5;1,694317;-1,032956;0,7725785
6,08426;-1,564098;0,07028078;-4,657677;359,1744;201,4811;359,5304;0,001218744;0,5952435;5;1,694317;-1,032956;0,7725785
6,102649;-1,563998;0,07053374;-4,657335;358,7588;201,4287;359,4702;0,01146292;0,5935039;5;1,694317;-1,032956;0,7725785
6,115497;-1,563998;0,07053374;-4,657335;358,7588;201,4287;359,4702;0,001283745;0,5922539;5;1,694317;-1,032956;0,7725785
6,127785;-1,563921;0,07113279;-4,656933;358,1249;201,374;359,1364;0,008928172;0,5911303;5;1,694317;-1,032956;0,7725785
6,142775;-1,563998;0,07189169;-4,656265;357,3113;201,3588;358,8553;0,01612246;0,5897939;5;1,694317;-1,032956;0,7725785
6,156747;-1,56402;0,07236483;-4,655926;356,8135;201,3234;358,6319;0,009915439;0,5885076;5;1,694317;-1,032956;0,7725785
6,175437;-1,56402;0,07236483;-4,655926;356,8135;201,3234;358,6319;0,002617193;0,5867221;5;1,694317;-1,032956;0,7725785
6,190781;-1,563905;0,07462374;-4,654383;354,5632;201,1012;358,3625;0,03623889;0,5855149;5;1,694317;-1,032956;0,7725785
6,206269;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,03684704;0,5843081;5;1,694317;-1,032956;0,7725785
6,222034;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,582824;5;0,7126309;0,3680219;0,7725785
6,235672;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,00295373;0,5815462;5;0,7126309;0,3680219;0,7725785
6,248451;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,001387391;0,580354;5;0,7126309;0,3680219;0,7725785
6,258484;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5794213;5;0,7126309;0,3680219;0,7725785
6,271432;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,0030947;0,5782222;5;0,7126309;0,3680219;0,7725785
6,284781;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,0004131739;0,5769911;5;0,7126309;0,3680219;0,7725785
6,297716;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,001850904;0,5758032;5;0,7126309;0,3680219;0,7725785
6,311558;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5745373;5;0,7126309;0,3680219;0,7725785
6,33067;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,00530731;0,5727987;5;0,7126309;0,3680219;0,7725785
6,352651;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,002564959;0,570812;5;0,7126309;0,3680219;0,7725785
6,363146;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,004729595;0,5698683;5;0,7126309;0,3680219;0,7725785
6,376036;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5687135;5;0,7126309;0,3680219;0,7725785
6,387981;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,01204063;0,5676475;5;0,7126309;0,3680219;0,7725785
6,4001;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,01379644;0,5665701;5;0,7126309;0,3680219;0,7725785
6,417078;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,008447898;0,5650675;5;0,7126309;0,3680219;0,7725785
6,43529;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5634646;5;0,7126309;0,3680219;0,7725785
6,447511;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,03643552;0,5623941;5;0,7126309;0,3680219;0,7725785
6,465456;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0,03338416;0,5608295;5;0,7126309;0,3680219;0,7725785
6,486034;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,559046;5;0,7126309;0,3680219;0,7725785
6,51351;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5566823;5;0,7126309;0,3680219;0,7725785
6,526724;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5555526;5;0,7126309;0,3680219;0,7725785
6,543288;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5541431;5;0,7126309;0,3680219;0,7725785
6,559243;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,552792;5;0,7126309;0,3680219;0,7725785
6,57227;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5516938;5;0,7126309;0,3680219;0,7725785
6,587997;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5503737;5;0,7126309;0,3680219;0,7725785
6,601552;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5492411;5;0,7126309;0,3680219;0,7725785
6,614453;-1,563565;0,07661998;-4,652822;352,704;200,9698;357,2961;0;0,5481673;5;0,7126309;0,3680219;0,7725785
6,628806;-1,474816;0,08906774;-4,138132;346,4974;186,3479;5,071487;6,78277;0,625948;5;0,7126309;0,3680219;0,7725785
6,652172;-1,474816;0,08906774;-4,138132;346,4974;186,3479;5,071487;0;0,6237444;6;1,411944;-0,9647828;0,7155669
6,66978;-1,474816;0,08906774;-4,138132;346,4974;186,3479;5,071487;0;0,6220939;6;1,411944;-0,9647828;0,7155669
6,679941;-1,474816;0,08906774;-4,138132;346,4974;186,3479;5,071487;0;0,6211455;6;1,411944;-0,9647828;0,7155669
6,690758;-1,474816;0,08906774;-4,138132;346,4974;186,3479;5,071487;0;0,6201391;6;1,411944;-0,9647828;0,7155669
6,703426;-1,435161;0,08638063;-3,952162;2,335423;187,8108;3,801264;2,749559;0,6473948;6;1,411944;-0,9647828;0,7155669
6,713456;-1,435161;0,08638063;-3,952162;2,335423;187,8108;3,801264;0;0,6464254;6;1,411944;-0,9647828;0,7155669
6,724549;-1,426138;0,09131217;-3,908087;6,189371;188,5954;3,470846;0,7835861;0,6520619;6;1,411944;-0,9647828;0,7155669
6,734946;-1,426138;0,09131217;-3,908087;6,189371;188,5954;3,470846;0;0,6510531;6;1,411944;-0,9647828;0,7155669
6,747153;-1,418345;0,09826487;-3,867437;9,939664;189,4895;2,795012;0,6780619;0,6560207;6;1,411944;-0,9647828;0,7155669
6,759817;-1,415167;0,102252;-3,848459;11,81253;189,9834;1,874849;0,3148769;0,6576419;6;1,411944;-0,9647828;0,7155669
6,770827;-1,415167;0,102252;-3,848459;11,81253;189,9834;1,874849;0;0,6565701;6;1,411944;-0,9647828;0,7155669
6,783287;-1,40779;0,1137715;-3,802197;16,49438;190,7635;0,9799581;0,8384079;0,6622831;6;1,411944;-0,9647828;0,7155669
6,802363;-1,404826;0,1185593;-3,781418;18,79301;189,4464;1,184236;0,2419982;0,6635141;6;1,411944;-0,9647828;0,7155669
6,818875;-1,404505;0,118318;-3,774279;19,40912;187,8823;359,6386;0,09266286;0,6629542;6;1,411944;-0,9647828;0,7155669
6,832843;-1,404505;0,118318;-3,774279;19,40912;187,8823;359,6386;2,016064E-08;0,6615959;6;1,411944;-0,9647828;0,7155669
6,844387;-1,404505;0,118318;-3,774279;19,40912;187,8823;359,6386;2,04897E-08;0,6604776;6;1,411944;-0,9647828;0,7155669
6,854923;-1,404505;0,118318;-3,774279;19,40912;187,8823;359,6386;2,073371E-08;0,6594602;6;1,411944;-0,9647828;0,7155669
6,865307;-1,397143;0,1006292;-3,758854;14,10373;185,1743;359,4017;7,729708;0,6609555;6;1,411944;-0,9647828;0,7155669
6,877711;-1,394516;0,09703968;-3,757645;12,81321;185,79;0,1113494;0,08295729;0,6601824;6;1,411944;-0,9647828;0,7155669
