Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
54,57742;-3,877918;1,03278;0,8458986;2,362307;139,6718;3,246543;0,3955832;0,2045242;11,15961
54,86224;-3,885484;1,037143;0,9117512;1,104841;127,1403;1,726115;0,2327249;0,2046707;11,2259
54,88132;-3,884861;1,037013;0,9156542;1,070554;126,6153;1,682512;0,2071852;0,2046715;11,22985
54,89793;-3,884437;1,037195;0,9192963;0,9656421;126,1804;1,575715;0,2207074;0,2046764;11,23352
54,91093;-3,883891;1,036908;0,9214613;0,9818164;126,0061;1,554132;0,171743;0,2046686;11,23575
54,92384;-3,883891;1,036908;0,9214613;0,9818164;126,0061;1,554132;0;0,2046205;11,23575
54,93846;-3,882662;1,036918;0,9269832;0,9416272;125,7631;1,435286;0,3870931;0,204669;11,24141
54,95066;-3,882235;1,036892;0,9289438;0,8864666;125,6804;1,319118;0,1643755;0,2046601;11,24341
54,96365;-3,882235;1,036892;0,9289438;0,8864666;125,6804;1,319118;0;0,2046117;11,24341
54,97635;-3,880595;1,036734;0,934395;0,876276;125,8524;1,192568;0,4484056;0,204668;11,24911
54,98856;-3,880595;1,036734;0,934395;0,876276;125,8524;1,192568;0;0,2046226;11,24911
55,0006;-3,879298;1,036494;0,9380835;0,964003;126,1709;1,118284;0,3246684;0,2046488;11,25302
55,01315;-3,879107;1,036501;0,9398801;0,8674241;126,2906;1,044927;0,1440456;0,204635;11,25482
55,03193;-3,877003;1,03618;0,9441294;0,8444473;126,8852;0,9122301;0,2524309;0,2046513;11,25956
55,04674;-3,877003;1,03618;0,9441294;0,8444473;126,8852;0,9122301;0;0,2045963;11,25956
55,07048;-3,87334;1,035934;0,9523228;0,6207996;128,3372;0,6798943;0,378124;0,2046711;11,26854
55,0821;-3,87334;1,035934;0,9523228;0,6207996;128,3372;0,6798943;0;0,2046278;11,26854
55,09368;-3,871338;1,035935;0,9573647;0,7472947;129,3277;0,5452577;0,46858;0,2046833;11,27396
55,10791;-3,871338;1,035935;0,9573647;0,7472947;129,3277;0,5452577;0;0,2046305;11,27396
