Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
54,57742;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,02339892;0,1884678;10;0,879148;-4,812985;4,156297
54,86224;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,004037083;0,1874891;10;0,879148;-4,812985;4,156297
54,88132;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,001862668;0,1874239;10;0,5570369;0,733879;4,156297
54,89793;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,00520209;0,1873672;10;0,5570369;0,733879;4,156297
54,91093;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;4,833702E-11;0,1873228;10;0,5570369;0,733879;4,156297
54,92384;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,002683919;0,1872788;10;0,5570369;0,733879;4,156297
54,93846;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,001510845;0,187229;10;0,5570369;0,733879;4,156297
54,95066;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,004507022;0,1871874;10;0,5570369;0,733879;4,156297
54,96365;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;4,84728E-11;0,1871431;10;0,5570369;0,733879;4,156297
54,97635;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;0,001625928;0,1870999;10;0,5570369;0,733879;4,156297
54,98856;-3,886506;0,06297017;1,000887;357,1953;330,1638;4,557529;4,851302E-11;0,1870583;10;0,5570369;0,733879;4,156297
55,0006;-3,887426;0,06279562;1,000778;357,0297;329,6118;4,624247;0,007694248;0,1870342;10;0,5570369;0,733879;4,156297
55,01315;-3,887198;0,06255025;1,000801;357,0459;329,741;4,444613;0,003440508;0,1869957;10;0,5570369;0,733879;4,156297
55,03193;-3,88744;0,06300082;1,000631;356,9403;329,7109;4,590314;0,002965033;0,1869373;10;0,5570369;0,733879;4,156297
55,04674;-3,88744;0,06300082;1,000631;356,9403;329,7109;4,590314;0,001125121;0,1868869;10;0,5570369;0,733879;4,156297
55,07048;-3,887297;0,06291033;1,000559;356,8894;329,6624;4,615695;0,001280843;0,1868093;10;0,5570369;0,733879;4,156297
55,0821;-3,887297;0,06291033;1,000559;356,8894;329,6624;4,615695;2,809527E-10;0,1867698;10;0,5570369;0,733879;4,156297
55,09368;-3,887379;0,06353879;1,000273;357,5212;329,6132;5,545804;0,005499784;0,186736;10;0,5570369;0,733879;4,156297
55,10791;-3,887379;0,06353879;1,000273;357,5212;329,6132;5,545804;0,002822981;0,1866877;10;0,5570369;0,733879;4,156297
55,11969;-3,886682;0,06306203;1,000267;357,182;329,8293;5,012421;0,007348019;0,1866605;10;0,5570369;0,733879;4,156297
55,13012;-3,886836;0,06293878;1,000465;356,9277;329,8423;4,60075;0,005555866;0,1866297;10;0,5570369;0,733879;4,156297
55,14739;-3,886836;0,06293878;1,000465;356,9277;329,8423;4,60075;1,944652E-10;0,1865713;10;0,5570369;0,733879;4,156297
55,15982;-3,886639;0,06325645;1,00017;357,485;329,8353;5,409118;0,008126724;0,1865356;10;0,5570369;0,733879;4,156297
55,17692;-3,887479;0,06397003;1,00042;358,3116;329,456;6,694094;0,01379946;0,1864937;10;0,5570369;0,733879;4,156297
55,19564;-3,886474;0,06321044;1,000254;357,4604;329,8286;5,369203;0,01387362;0,1864489;10;0,5570369;0,733879;4,156297
55,21227;-3,886397;0,06312767;1,000267;357,5046;329,8925;5,330898;0,00138918;0,1863941;10;0,5570369;0,733879;4,156297
55,23198;-3,886323;0,06306534;1,00033;357,3459;329,9497;5,07829;0,001158731;0,1863294;10;0,5570369;0,733879;4,156297
55,24616;-3,886323;0,06306534;1,00033;357,3459;329,9497;5,07829;7,03392E-10;0,1862815;10;0,5570369;0,733879;4,156297
55,25737;-3,886186;0,0626902;1,00028;357,1288;330,0906;4,394971;0,007099052;0,1862464;10;0,5570369;0,733879;4,156297
55,27526;-3,886315;0,06310926;1,000212;356,96;329,9324;4,591734;0,01532279;0,1861887;10;0,5570369;0,733879;4,156297
55,28926;-3,885924;0,06252524;1,000597;357,4689;330,0181;4,720388;0,006789484;0,1861514;10;0,5570369;0,733879;4,156297
55,31305;-3,886165;0,06295969;1,000422;357,0695;329,9629;4,461306;0,001214721;0,1860768;10;0,5570369;0,733879;4,156297
55,32586;-3,886165;0,06295969;1,000422;357,0695;329,9629;4,461306;7,258135E-10;0,1860337;10;0,5570369;0,733879;4,156297
55,3392;-3,885521;0,0620779;1,000954;357,5464;330,2427;4,24733;0,01646736;0,1860039;10;0,5570369;0,733879;4,156297
55,35461;-3,885834;0,06227677;1,001139;357,7354;330,0443;4,531412;0,005253903;0,1859587;10;0,5570369;0,733879;4,156297
55,36913;-3,885834;0,06227677;1,001139;357,7354;330,0443;4,531412;0,01163017;0,1859099;10;0,5570369;0,733879;4,156297
55,3815;-3,885926;0,06232565;1,001276;357,5063;330,1412;4,000132;0,002693221;0,1858714;10;0,5570369;0,733879;4,156297
55,39447;-3,885677;0,06220356;1,001516;357,8723;330,183;4,215118;0,01047957;0,1858341;10;0,5570369;0,733879;4,156297
55,40665;-3,885677;0,06220356;1,001516;357,8723;330,183;4,215118;0,005186215;0,1857933;10;0,5570369;0,733879;4,156297
55,419;-3,886881;0,06326906;1,00209;358,9727;329,9248;5,146128;0,02658812;0,1857759;10;0,5570369;0,733879;4,156297
55,43352;-3,886667;0,06310464;1,002235;358,8603;330,1497;4,40008;0,009710144;0,1857319;10;0,5570369;0,733879;4,156297
55,44767;-3,886667;0,06310464;1,002235;358,8603;330,1497;4,40008;0,01275103;0,1856845;10;0,5570369;0,733879;4,156297
55,4599;-3,886772;0,06381322;1,003334;359,8256;330,4881;3,590347;0,02998731;0,1856635;10;0,5570369;0,733879;4,156297
55,47342;-3,886815;0,06419885;1,003757;0,3283036;330,5576;3,254247;0,009197596;0,1856259;10;0,5570369;0,733879;4,156297
55,4853;-3,886815;0,06419885;1,003757;0,3283036;330,5576;3,254247;0,001193846;0,1855861;10;0,5570369;0,733879;4,156297
55,4961;-3,887291;0,06630575;1,005564;2,26081;330,9524;2,58508;0,05484347;0,1855837;10;0,5570369;0,733879;4,156297
55,51055;-3,886821;0,06720879;1,00613;3,163597;330,8581;1,767151;0,02255882;0,1855486;10;0,5570369;0,733879;4,156297
55,52684;-3,886821;0,06720879;1,00613;3,163597;330,8581;1,767151;0,00511249;0,1854941;10;0,5570369;0,733879;4,156297
55,54058;-3,886921;0,07001149;1,008806;5,839693;330,6532;359,776;0,06266436;0,1854964;10;0,5570369;0,733879;4,156297
55,55245;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,03081485;0,1854748;10;0,5570369;0,733879;4,156297
55,56711;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;3,643077E-09;0,1854259;10;0,5570369;0,733879;4,156297
55,57777;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,02008636;0,1853903;10;0,5570369;0,733879;4,156297
55,5933;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,005874465;0,1853385;10;0,5570369;0,733879;4,156297
55,60664;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;3,67219E-09;0,185294;10;0,5570369;0,733879;4,156297
55,61909;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,003101009;0,1852526;10;0,5570369;0,733879;4,156297
55,63422;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,006229919;0,1852022;10;0,5570369;0,733879;4,156297
55,64719;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;3,662489E-09;0,185159;10;0,5570369;0,733879;4,156297
55,66127;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,03016518;0,1851121;10;0,5570369;0,733879;4,156297
55,67495;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,004580866;0,1850667;10;0,5570369;0,733879;4,156297
55,68943;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;3,334468E-09;0,1850185;10;0,5570369;0,733879;4,156297
55,70201;-3,886543;0,0715411;1,009733;6,88351;330,5844;358,6483;0,02343138;0,1849767;10;0,5570369;0,733879;4,156297
