Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,0145466;-5,989476;1,679852;-5,895602;10,325;84,20815;358,2965;-1;0;0
0,3478799;-5,880383;1,668244;-5,886324;10,7159;83,3569;358,6202;0,3284582;0,3284582;0,1094861
0,3779671;-5,866774;1,667023;-5,882197;10,38863;83,25203;358,8518;0,4726743;0,3403977;0,1237075
0,3880708;-5,862306;1,666375;-5,880509;9,789154;83,07792;359,3745;0,472745;0,3439777;0,128484
0,4008089;-5,862306;1,666375;-5,880509;9,789154;83,07792;359,3745;0;0,332634;0,128484
0,4124192;-5,852651;1,665343;-5,87727;9,979198;83,07452;359,3487;0,8771407;0,3485232;0,1386678
0,4234389;-5,847433;1,664933;-5,875634;10,36557;83,18019;359,2214;0,4962597;0,3525048;0,1441365
0,4341526;-5,847433;1,664933;-5,875634;10,36557;83,18019;359,2214;0;0,3435043;0,1441365
0,444296;-5,837598;1,663595;-5,871815;11,17279;82,99265;359,2432;1,040047;0,3599449;0,1546861
0,4593314;-5,837598;1,663595;-5,871815;11,17279;82,99265;359,2432;0;0,3477774;0,1546861
0,4685946;-5,821826;1,662014;-5,86637;9,584303;83,17473;0,06266313;1,801267;0,3774305;0,1713715
0,4791301;-5,821826;1,662014;-5,86637;9,584303;83,17473;0,06266313;0;0,3688713;0,1713715
0,4904768;-5,810757;1,661395;-5,862534;9,121735;83,35703;0,4946603;1,032514;0,3846933;0,1830872
0,5026523;-5,810757;1,661395;-5,862534;9,121735;83,35703;0,4946603;0;0,3750974;0,1830872
0,5139365;-5,798841;1,661582;-5,858794;9,821446;83,70611;0,1462928;1,106718;0,391629;0,1955755
0,5287426;-5,786804;1,661462;-5,854563;9,092258;83,77937;0,6749492;0,8617838;0,4051669;0,2083352
0,5435898;-5,780568;1,661658;-5,852469;8,937922;83,8908;0,8940885;0,4430487;0,40623;0,2149132
0,5521941;-5,780568;1,661658;-5,852469;8,937922;83,8908;0,8940885;0;0,3997289;0,2149132
0,5599661;-5,780568;1,661658;-5,852469;8,937922;83,8908;0,8940885;0;0,3940329;0,2149132
0,5683648;-5,761122;1,662629;-5,845729;9,570371;84,36993;0,8573965;2,450443;0,4252186;0,2354938
0,5776547;-5,761122;1,662629;-5,845729;9,570371;84,36993;0,8573965;0;0,4182035;0,2354938
0,5858413;-5,754957;1,662651;-5,84325;8,825524;84,22319;1,467552;0,8116484;0,4238415;0,2421384
0,6001755;-5,754957;1,662651;-5,84325;8,825524;84,22319;1,467552;0;0,4134673;0,2421384
0,6114411;-5,735411;1,663594;-5,836555;9,767107;84,67667;1,442143;1,834002;0,4402779;0,2627995
0,6224995;-5,735411;1,663594;-5,836555;9,767107;84,67667;1,442143;0;0,4322695;0,2627995
0,6327639;-5,722817;1,664273;-5,832029;10,03228;84,81769;1,70161;1,303796;0,4467396;0,2761821
0,6428875;-5,722817;1,664273;-5,832029;10,03228;84,81769;1,70161;0;0,4395419;0,2761821
0,6503951;-5,710936;1,665062;-5,827489;10,92245;84,7864;1,615713;1,694148;0,4543553;0,2889012
0,663648;-5,705322;1,665497;-5,82536;10,06804;84,65282;2,065412;0,4529972;0,4543276;0,2949047
0,6775926;-5,705322;1,665497;-5,82536;10,06804;84,65282;2,065412;0;0,4447725;0,2949047
0,6892712;-5,688029;1,667437;-5,819344;10,09985;84,9229;2,211251;1,567848;0,4642115;0,3132149
0,7019208;-5,688029;1,667437;-5,819344;10,09985;84,9229;2,211251;0;0,4556687;0,3132149
0,7114271;-5,67702;1,668701;-5,815547;9,812979;85,01407;2,337281;1,22498;0,466163;0,3248599
0,7229971;-5,67702;1,668701;-5,815547;9,812979;85,01407;2,337281;0;0,4585499;0,3248599
0,7305453;-5,666284;1,669877;-5,812007;10,11856;85,06978;2,220238;1,497697;0,469505;0,336165
0,743498;-5,660978;1,670291;-5,810319;9,793772;85,17115;2,351132;0,4298576;0,4688005;0,3417328
0,7523722;-5,660978;1,670291;-5,810319;9,793772;85,17115;2,351132;0;0,463162;0,3417328
0,7602279;-5,660978;1,670291;-5,810319;9,793772;85,17115;2,351132;0;0,4582826;0,3417328
0,7709727;-5,645466;1,670956;-5,805714;9,915896;85,31138;2,491452;1,50594;0,4731643;0,3579138
0,7819175;-5,645466;1,670956;-5,805714;9,915896;85,31138;2,491452;0;0,4664157;0,3579138
0,7934399;-5,635357;1,670951;-5,803222;10,21853;85,4688;2,568141;0,9036022;0,4728832;0,3683255
0,8036913;-5,630326;1,670997;-5,802291;10,13938;85,59071;2,625432;0,499101;0,4732237;0,373442
0,8166375;-5,630326;1,670997;-5,802291;10,13938;85,59071;2,625432;0;0,4655856;0,373442
0,8292159;-5,615561;1,670843;-5,800137;10,45218;85,98226;2,620023;1,186248;0,4767126;0,3883631
0,8425347;-5,615561;1,670843;-5,800137;10,45218;85,98226;2,620023;0;0,4690444;0,3883631
0,852042;-5,606043;1,670871;-5,799451;10,65364;86,41682;2,540766;1,003732;0,4751142;0,3979059
0,8651159;-5,601426;1,670976;-5,799372;10,86221;86,60506;2,386868;0,3532124;0,4732404;0,4025238
0,8756405;-5,601426;1,670976;-5,799372;10,86221;86,60506;2,386868;0;0,4674563;0,4025238
0,8832613;-5,601426;1,670976;-5,799372;10,86221;86,60506;2,386868;0;0,4633556;0,4025238
0,8932729;-5,587769;1,671736;-5,799458;12,25537;87,69159;1,622624;1,364104;0,4736181;0,4161807
0,9050117;-5,583882;1,67173;-5,799209;11,56066;87,66162;2,102022;0,3318171;0,4717488;0,4200758
0,9190984;-5,583882;1,67173;-5,799209;11,56066;87,66162;2,102022;0;0,4644022;0,4200758
0,9299739;-5,570613;1,673173;-5,799195;11,80554;88,87561;1,68497;1,220075;0,4733798;0,4333448
0,9396138;-5,570613;1,673173;-5,799195;11,80554;88,87561;1,68497;0;0,4684468;0,4333448
0,9473495;-5,562307;1,673981;-5,799054;11,9582;89,39416;1,624373;1,073816;0,4734671;0,4416515
0,9576417;-5,562307;1,673981;-5,799054;11,9582;89,39416;1,624373;0;0,4683001;0,4416515
0,9657919;-5,55814;1,674335;-5,798908;11,94168;89,65121;1,675052;0,5116525;0,4686715;0,4458216
0,9762272;-5,55814;1,674335;-5,798908;11,94168;89,65121;1,675052;0;0,4635859;0,4458216
0,9914463;-5,545393;1,675627;-5,798109;11,61781;90,18062;1,902335;0,8391985;0,4694376;0,4585935
1,002656;-5,545393;1,675627;-5,798109;11,61781;90,18062;1,902335;0;0,4641119;0,4585935
1,011613;-5,53672;1,67636;-5,797767;11,30991;90,37373;1,989569;0,9690637;0,4686479;0,4672729
1,022332;-5,53672;1,67636;-5,797767;11,30991;90,37373;1,989569;0;0,4636633;0,4672729
1,030559;-5,527784;1,676936;-5,797504;11,09129;90,55759;2,033529;1,08664;0,4687077;0,4762127
