Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,0145466;-6,105128;0,1081659;-5,688217;352,3429;264,5373;5,331992;0;0;0;-1;-1;0
0,3478799;-5,777283;0,1287946;-5,742607;14,86434;269,0812;359,0176;0;0,9969798;0;-1;-1;0
0,3779671;-5,761709;0,1276584;-5,74754;15,70511;268,0617;357,9371;0;0,9593917;0;-1;-1;0
0,3880708;-5,757411;0,1264263;-5,749283;15,77904;267,8242;357,8037;0;0,9458581;0;-1;-1;0
0,4008089;-5,757411;0,1264263;-5,749283;15,77904;267,8242;357,8037;0;0,9146657;0;-1;-1;0
0,4124192;-5,750496;0,1237174;-5,753296;15,88327;267,5805;357,3523;0;0,9080697;0;-1;-1;0
0,4234389;-5,747331;0,121415;-5,75589;15,27194;267,8519;359,0654;0;0,8936056;0;-1;-1;0
0,4341526;-5,747331;0,121415;-5,75589;15,27194;267,8519;359,0654;0;0,8707893;0;-1;-1;0
0,444296;-5,743855;0,117207;-5,760223;15,56979;268,0174;357,3349;0;0,8631625;0;-1;-1;0
0,4593314;-5,743855;0,117207;-5,760223;15,56979;268,0174;357,3349;0;0,8339844;0;-1;-1;0
0,4685946;-5,739584;0,1084641;-5,767815;12,87531;269,9153;359,8544;0;0,8361536;0;-1;-1;0
0,4791301;-5,739584;0,1084641;-5,767815;12,87531;269,9153;359,8544;0;0,8171917;0;-1;-1;0
0,4904768;-5,734332;0,101516;-5,770718;10,12528;270,8102;0,2099766;0;0,8103184;0;-1;-1;0
0,5026523;-5,734332;0,101516;-5,770718;10,12528;270,8102;0,2099766;0;0,7901055;0;-1;-1;0
0,5139365;-5,729704;0,09460366;-5,77104;7,288184;271,1477;0,36964;0;0,7815415;0;-1;-1;0
0,5287426;-5,727303;0,09018138;-5,769329;5,416139;270,832;359,9939;0;0,7647707;0;-1;-1;0
0,5435898;-5,72631;0,08808243;-5,769012;4,557557;270,7762;359,9747;0;0,7452777;0;-1;-1;0
0,5521941;-5,72631;0,08808243;-5,769012;4,557557;270,7762;359,9747;0;0,7333506;0;-1;-1;0
0,5599661;-5,72631;0,08808243;-5,769012;4,557557;270,7762;359,9747;0;0,7229006;0;-1;-1;0
0,5683648;-5,724331;0,0845758;-5,769073;3,136796;270,8537;359,7049;0,09047282;0,7155135;0;-1;-1;0
0,5776547;-5,724331;0,0845758;-5,769073;3,136796;270,8537;359,7049;0,1315968;0,7037092;0;-1;-1;0
0,5858413;-5,723861;0,08385856;-5,76919;2,707204;270,9858;359,7326;0,1074499;0,6944721;0;-1;-1;0
0,6001755;-5,723861;0,08385856;-5,76919;2,707204;270,9858;359,7326;1,951494E-09;0,6774738;0;-1;-1;0
0,6114411;-5,722594;0,08207189;-5,770189;1,92706;270,9832;359,9506;0,1456698;0,6673909;0;-1;-1;0
0,6224995;-5,722594;0,08207189;-5,770189;1,92706;270,9832;359,9506;0,1126738;0,6552514;0;-1;-1;0
0,6327639;-5,722041;0,08128141;-5,770771;1,365017;271,1675;0,1676848;0,02913318;0,6456705;0;-1;-1;0
0,6428875;-5,722041;0,08128141;-5,770771;1,365017;271,1675;0,1676848;0,1828634;0,6352677;0;-1;-1;0
0,6503951;-5,721748;0,0804231;-5,771433;1,156642;271,0655;0,1407739;0,04031616;0,6289054;0;-1;-1;0
0,663648;-5,721585;0,08035479;-5,77153;0,9484576;271,1744;0,3169654;0,3589404;0,6163568;0;-1;-1;0
0,6775926;-5,721585;0,08035479;-5,77153;0,9484576;271,1744;0,3169654;2,860399E-09;0,6033941;0;-1;-1;0
0,6892712;-5,721076;0,08003955;-5,771574;0,8333552;271,2287;0,3739292;0,2016828;0,5937077;0;-1;-1;0
0,7019208;-5,721076;0,08003955;-5,771574;0,8333552;271,2287;0,3739292;2,814053E-09;0,5827819;0;-1;-1;0
0,7114271;-5,720906;0,07978477;-5,77162;0,7783858;271,2743;0,3319099;0,1877001;0,5750849;0;-1;-1;0
0,7229971;-5,720906;0,07978477;-5,77162;0,7783858;271,2743;0,3319099;0,09538685;0,565693;0;-1;-1;0
0,7305453;-5,720693;0,07959458;-5,771732;0,7427321;271,343;0,1884486;0,03515093;0,560066;0;-1;-1;0
0,743498;-5,720486;0,0796615;-5,771694;0,8378083;271,2969;359,7326;0,004737639;0,5504029;0;-1;-1;0
0,7523722;-5,720486;0,0796615;-5,771694;0,8378083;271,2969;359,7326;9,408379E-10;0,5437829;0;-1;-1;0
0,7602279;-5,720486;0,0796615;-5,771694;0,8378083;271,2969;359,7326;0,1329996;0,5380542;0;-1;-1;0
0,7709727;-5,72052;0,07936044;-5,771635;0,5463506;271,3695;0,2801644;0,007878915;0,530502;0;-1;-1;0
0,7819175;-5,72052;0,07936044;-5,771635;0,5463506;271,3695;0,2801644;0,02874524;0,5229356;0;-1;-1;0
0,7934399;-5,720247;0,07934156;-5,771646;0,6777633;271,3096;359,688;0,006366487;0,5155508;0;-1;-1;0
0,8036913;-5,720205;0,0792633;-5,771673;0,6360173;271,3289;359,7065;0,05591388;0,5089166;0;-1;-1;0
0,8166375;-5,720205;0,0792633;-5,771673;0,6360173;271,3289;359,7065;8,825229E-10;0,5007023;0;-1;-1;0
0,8292159;-5,72038;0,07908414;-5,771545;0,4495257;271,3242;0,02498848;0,03064968;0,4932375;0;-1;-1;0
0,8425347;-5,72038;0,07908414;-5,771545;0,4495257;271,3242;0,02498848;9,865971E-10;0,4853034;0;-1;-1;0
0,852042;-5,720261;0,07915797;-5,771622;0,5152049;271,3532;359,8699;0,03942442;0,4799637;0;-1;-1;0
0,8651159;-5,720324;0,07906708;-5,771519;0,3634108;271,3082;0,139599;0,005937678;0,4727282;0;-1;-1;0
0,8756405;-5,720324;0,07906708;-5,771519;0,3634108;271,3082;0,139599;2,44064E-10;0,4669504;0;-1;-1;0
0,8832613;-5,720324;0,07906708;-5,771519;0,3634108;271,3082;0,139599;0,01389012;0,462854;0;-1;-1;0
0,8932729;-5,71975;0,07908789;-5,772108;0,6273293;270,8725;359,7678;0,02236947;0,4585162;0;-1;-1;0
0,9050117;-5,720365;0,07945646;-5,771097;0,06310093;271,6642;0,05512327;0,03523444;0,4538003;0;-1;-1;0
0,9190984;-5,720365;0,07945646;-5,771097;0,06310093;271,6642;0,05512327;0;0,4467332;0;-1;-1;0
0,9299739;-5,720353;0,07954973;-5,770988;0,1248458;271,6393;359,81;0,01340623;0,4415455;0;-1;-1;0
0,9396138;-5,720353;0,07954973;-5,770988;0,1248458;271,6393;359,81;0,004530087;0,4369442;0;-1;-1;0
0,9473495;-5,720204;0,07954783;-5,771057;0,1263758;271,6416;359,8018;0,005757369;0,4334958;0;-1;-1;0
0,9576417;-5,720204;0,07954783;-5,771057;0,1263758;271,6416;359,8018;0;0,4287651;0;-1;-1;0
0,9657919;-5,720392;0,07951934;-5,771013;0,09533942;271,5856;359,9051;0,008519655;0,4252942;0;-1;-1;0
0,9762272;-5,720392;0,07951934;-5,771013;0,09533942;271,5856;359,9051;0;0,4206793;0;-1;-1;0
0,9914463;-5,719958;0,07965506;-5,771013;0,4949874;271,5435;358,7636;0,003089399;0,4145702;0;-1;-1;0
1,002656;-5,719958;0,07965506;-5,771013;0,4949874;271,5435;358,7636;0,002402261;0,409867;0;-1;-1;0
1,011613;-5,720499;0,07913519;-5,770979;0,616401;271,17;359,391;0,0223999;0,4067287;0;-1;-1;0
1,022332;-5,720499;0,07913519;-5,770979;0,616401;271,17;359,391;0,006036969;0,4024026;0;-1;-1;0
1,030559;-5,720497;0,07921892;-5,77099;0,7188264;271,1314;359,1033;0,002835194;0,3991556;0;-1;-1;0
1,043819;-5,720279;0,0793796;-5,771036;0,8910565;271,0931;358,6754;0,002039872;0,3942296;0;-1;-1;0
1,061459;-5,720279;0,0793796;-5,771036;0,8910565;271,0931;358,6754;0,003065774;0,3875869;0;-1;-1;0
1,076793;-5,719758;0,07917486;-5,77107;1,027141;271,0504;358,0774;0,009610238;0,3824843;0;-1;-1;0
1,093926;-5,720692;0,07866123;-5,771286;0,2796999;271,2808;0,1503088;0,01615543;0,3773011;0;-1;-1;0
1,108716;-5,720582;0,07836772;-5,771755;0,4271228;271,3769;0,02799374;0,01499702;0,3726416;0;-1;-1;0
1,129315;-5,720724;0,07847167;-5,771919;0,481573;271,2469;359,8341;0,02536505;0,3659498;0;-1;-1;0
1,147837;-5,720985;0,0785858;-5,771656;0,4334339;271,194;359,8268;0,004793345;0,3602961;0;-1;-1;0
1,176157;-5,720843;0,07876071;-5,771481;0,5702835;271,15;359,443;0,001280572;0,3517062;0;-1;-1;0
1,184835;-5,720727;0,07876829;-5,771494;0,4871737;271,1602;359,5739;0,002948409;0,3491983;0;-1;-1;0
1,211811;-5,720426;0,07862799;-5,771257;0,2749188;271,1302;359,6088;0,004080935;0,3416504;0;-1;-1;0
1,223263;-5,720426;0,07862799;-5,771257;0,2749188;271,1302;359,6088;6,003673E-10;0,3384133;0;-1;-1;0
0,0133806;-6,141324;0,105878;-5,689775;350,3222;265,9565;4,387212;0;0;0;-1;-1;0
0,0363426;-6,127868;0,1070111;-5,688564;351,2931;265,2107;4,911361;0;0,5883543;0;-1;-1;0
0,0541974;-6,113045;0,1078622;-5,688194;351,9719;264,7865;5,179268;0;0,6942692;0;-1;-1;0
0,0715897;-6,096907;0,1081732;-5,688435;353,014;264,4189;5,18782;0;0,7640942;0;-1;-1;0
0,0835452;-6,096907;0,1081732;-5,688435;353,014;264,4189;5,18782;0;0,6338985;0;-1;-1;0
0,09226;-6,079736;0,1080979;-5,689056;354,1204;264,755;4,625039;0;0,781698;0;-1;-1;0
0,1022888;-6,079736;0,1080979;-5,689056;354,1204;264,755;4,625039;0;0,6935229;0;-1;-1;0
0,1114913;-6,060675;0,1077005;-5,691011;354,9989;264,319;4,31932;0;0,8237683;0;-1;-1;0
0,1206776;-6,060675;0,1077005;-5,691011;354,9989;264,319;4,31932;0;0,7532408;0;-1;-1;0
0,1283355;-6,060675;0,1077005;-5,691011;354,9989;264,319;4,31932;0;0,7030625;0;-1;-1;0
0,1364582;-6,041479;0,1072845;-5,692928;356,2642;264,8087;3,826754;0;0,8134093;0;-1;-1;0
0,155121;-6,041479;0,1072845;-5,692928;356,2642;264,8087;3,826754;0;0,7063087;0;-1;-1;0
