Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,0145466;-6,223016;0,07701704;-5,920923;0,2397843;270,0624;359,8632;0;0;0;-1;-1;0
0,3478799;-6,221458;0,07663076;-5,921024;359,5203;270,0315;359,9686;0;0,00468331;0;-1;-1;0
0,3779671;-6,221341;0,07663544;-5,921066;359,2103;269,7648;0,5828783;0;0,004638387;0;-1;-1;0
0,3880708;-6,221351;0,07611499;-5,920603;359,1302;270,0241;359,893;0;0,005754055;0;-1;-1;0
0,4008089;-6,221351;0,07611499;-5,920603;359,1302;270,0241;359,893;0;0,005564299;0;-1;-1;0
0,4124192;-6,22042;0,07649627;-5,920525;359,4668;270,0381;0,1351458;0;0,007748383;0;-1;-1;0
0,4234389;-6,220342;0,07669396;-5,920549;359,3008;269,9474;0,1301734;0;0,007740198;0;-1;-1;0
0,4341526;-6,220342;0,07669396;-5,920549;359,3008;269,9474;0,1301734;0;0,00754257;0;-1;-1;0
0,444296;-6,220412;0,07643811;-5,920597;358,8198;269,8848;0,3483297;0;0,007561811;0;-1;-1;0
0,4593314;-6,220412;0,07643811;-5,920597;358,8198;269,8848;0,3483297;0;0,007306194;0;-1;-1;0
0,4685946;-6,22105;0,07633139;-5,920578;357,937;270,0266;359,9483;0;0,008561871;0;-1;-1;0
0,4791301;-6,22105;0,07633139;-5,920578;357,937;270,0266;359,9483;0;0,00836771;0;-1;-1;0
0,4904768;-6,220439;0,07703204;-5,920757;357,4732;269,9593;0,55064;0;0,009504838;0;-1;-1;0
0,5026523;-6,220439;0,07703204;-5,920757;357,4732;269,9593;0,55064;0;0,009267746;0;-1;-1;0
0,5139365;-6,220046;0,07803046;-5,921082;356,5524;270,0476;0,7090998;0;0,01007991;0;-1;-1;0
0,5287426;-6,218719;0,07940804;-5,921492;355,4996;269,9197;1,556754;0;0,01248999;0;-1;-1;0
0,5435898;-6,218722;0,08002721;-5,921757;354,95;270,0601;1,801493;0;0,01264065;0;-1;-1;0
0,5521941;-6,218722;0,08002721;-5,921757;354,95;270,0601;1,801493;0;0,01243835;0;-1;-1;0
