Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Distance travelled (m)
0,9497437;2,186077;1,660728;-1,118147;8,757523;79,21088;359,8991;1,964967;0,6955898;0,6512132
1,283077;2,450954;1,65193;-1,113403;10,10766;73,18979;357,9122;0,794758;0,7216278;0,9161326
1,301597;2,463912;1,65188;-1,110443;9,962914;72,67312;358,0352;0,7176969;0,7215713;0,9294242
1,317401;2,463912;1,65188;-1,110443;9,962914;72,67312;358,0352;0;0,7128249;0,9294242
1,326108;2,483432;1,651188;-1,104891;10,43332;71,84095;358,0818;2,33083;0,7235578;0,9497181
1,338004;2,483432;1,651188;-1,104891;10,43332;71,84095;358,0818;0;0,7170587;0,9497181
1,349416;2,49613;1,650347;-1,100524;10,59842;71,30341;358,2196;1,176655;0,720985;0,9631463
1,360139;2,49613;1,650347;-1,100524;10,59842;71,30341;358,2196;0;0,7152443;0,9631463
1,381199;2,514793;1,64895;-1,092954;11,51637;70,1836;358,6213;0,9563098;0,7189564;0,9832863
1,391954;2,514793;1,64895;-1,092954;11,51637;70,1836;358,6213;0;0,7133464;0,9832863
1,403543;2,526372;1,647814;-1,087119;11,97509;69,60699;358,64;1,118895;0,7167275;0,9962527
1,420772;2,526372;1,647814;-1,087119;11,97509;69,60699;358,64;0;0,7079522;0,9962527
1,432363;2,542838;1,647218;-1,078064;12,73469;68,26103;358,9546;1,621284;0,715413;1,015044
1,443939;2,553026;1,647205;-1,071957;13,53822;67,38893;359,0974;1,026092;0,7179274;1,026922
1,46277;2,557997;1,64735;-1,068747;13,36689;66,89529;359,3247;0,3142282;0,7126818;1,032839
1,477819;2,557997;1,64735;-1,068747;13,36689;66,89529;359,3247;0;0,7053573;1,032839
1,486629;2,572504;1,648087;-1,058559;13,37907;65,58153;359,8358;2,012235;0,7131729;1,050566
1,498095;2,572504;1,648087;-1,058559;13,37907;65,58153;359,8358;0;0,7076644;1,050566
1,508273;2,582329;1,648566;-1,051852;13,70752;64,58212;0,04157225;1,168761;0,7108042;1,062462
1,521386;2,587141;1,648842;-1,04847;13,33386;64,08354;0,2089943;0,4485703;0,7085238;1,068344
1,531967;2,587141;1,648842;-1,04847;13,33386;64,08354;0,2089943;0;0,7035863;1,068344
1,540714;2,587141;1,648842;-1,04847;13,33386;64,08354;0,2089943;0;0,6995566;1,068344
1,549418;2,602428;1,649402;-1,037955;13,1016;62,63848;0,9161373;2,131641;0,7076728;1,086899
1,559903;2,602428;1,649402;-1,037955;13,1016;62,63848;0,9161373;0;0,7028746;1,086899
1,568678;2,612675;1,649218;-1,031006;13,08767;61,86594;1,18052;1,411012;0,7068701;1,09928
1,580453;2,612675;1,649218;-1,031006;13,08767;61,86594;1,18052;0;0,701558;1,09928
1,590474;2,622988;1,6486;-1,023857;13,14581;61,06587;1,403894;1,252216;0,7050573;1,111828
1,601173;2,628188;1,648118;-1,020215;13,10784;60,74968;1,572326;0,5933313;0,7043044;1,118176
1,616117;2,628188;1,648118;-1,020215;13,10784;60,74968;1,572326;0;0,6977366;1,118176
1,628258;2,64386;1,646098;-1,009251;13,47202;59,66971;1,789527;1,575376;0,7043354;1,137303
1,639822;2,64386;1,646098;-1,009251;13,47202;59,66971;1,789527;0;0,6993272;1,137303
1,648468;2,654687;1,64429;-1,001925;13,35408;59,2145;2,092842;1,511989;0,7036247;1,150375
1,657816;2,654687;1,64429;-1,001925;13,35408;59,2145;2,092842;0;0,6996242;1,150375
1,665965;2,665519;1,642282;-0,9947698;13,78189;58,72771;2,115546;1,593147;0,7040305;1,163357
1,67538;2,665519;1,642282;-0,9947698;13,78189;58,72771;2,115546;0;0,7000421;1,163357
1,684001;2,676205;1,640012;-0,9873242;13,70058;58,39417;2,43069;1,510659;0,704226;1,176382
1,698095;2,676205;1,640012;-0,9873242;13,70058;58,39417;2,43069;0;0,6983343;1,176382
1,710022;2,68695;1,637725;-0,9800555;13,7193;58,07048;2,458776;1,087601;0,7010711;1,189354
1,724007;2,697725;1,635259;-0,9724653;13,51647;57,80401;2,7725;0,9424416;0,7030445;1,202534
1,734539;2,697725;1,635259;-0,9724653;13,51647;57,80401;2,7725;0;0,6987423;1,202534
1,743006;2,703123;1,634336;-0,9685908;13,78839;57,45683;2,713269;0,7847149;0,6991633;1,209179
1,753757;2,703123;1,634336;-0,9685908;13,78839;57,45683;2,713269;0;0,694844;1,209179
1,76719;2,719117;1,630483;-0,9571491;13,53243;57,20194;2,754223;1,46394;0,7007353;1,228844
1,779778;2,719117;1,630483;-0,9571491;13,53243;57,20194;2,754223;0;0,6957411;1,228844
1,788184;2,729773;1,627927;-0,9490867;13,50505;57,01154;2,907902;1,589671;0,6999753;1,242206
1,803931;2,740429;1,625931;-0,9408851;13,66479;56,74853;2,910033;0,853903;0,7013292;1,255653
1,818206;2,740429;1,625931;-0,9408851;13,66479;56,74853;2,910033;0;0,6957816;1,255653
1,827811;2,751275;1,624714;-0,932085;13,33255;56,48122;3,132915;1,454175;0,6997964;1,26962
1,840584;2,751275;1,624714;-0,932085;13,33255;56,48122;3,132915;0;0,694904;1,26962
1,851076;2,762531;1,624516;-0,9230627;13,25354;56,19914;3,202529;1,374929;0,6987869;1,284046
1,861065;2,768314;1,624758;-0,9184149;13,18417;56,16213;3,187612;0,7428169;0,6990249;1,291465
1,870612;2,768314;1,624758;-0,9184149;13,18417;56,16213;3,187612;0;0,6954311;1,291465
1,882089;2,780139;1,625556;-0,9087242;12,89736;56,03728;3,510325;1,332056;0,6993415;1,306754
1,892285;2,780139;1,625556;-0,9087242;12,89736;56,03728;3,510325;0;0,6955463;1,306754
1,900993;2,792254;1,626669;-0,8990471;13,13715;55,88881;3,593489;1,78046;0,7005519;1,322258
1,916177;2,792254;1,626669;-0,8990471;13,13715;55,88881;3,593489;0;0,6949612;1,322258
1,930471;2,810076;1,628406;-0,8847795;13,46989;55,76311;4,033873;1,597168;0,7016885;1,345088
1,94425;2,821738;1,630149;-0,8760125;13,66526;55,64771;4,045402;1,058887;0,7042376;1,359678
1,952893;2,821738;1,630149;-0,8760125;13,66526;55,64771;4,045402;0;0,7010988;1,359678
1,961371;2,827625;1,631162;-0,8716592;13,66198;55,58643;4,266699;0,8636205;0,7018061;1,366999
1,975086;2,827625;1,631162;-0,8716592;13,66198;55,58643;4,266699;0;0,6968993;1,366999
1,984443;2,844553;1,634227;-0,8598379;13,56196;55,65953;4,199819;2,206472;0,7040665;1,387646
1,99502;2,844553;1,634227;-0,8598379;13,56196;55,65953;4,199819;0;0,7003083;1,387646
2,003142;2,850078;1,635062;-0,8559543;13,34681;55,69138;4,277955;0,831606;0,7008442;1,3944
2,015498;2,850078;1,635062;-0,8559543;13,34681;55,69138;4,277955;0;0,6965184;1,3944
2,026558;2,866649;1,636949;-0,8442358;12,96604;55,66576;4,520865;1,835019;0,7027736;1,414696
2,036184;2,866649;1,636949;-0,8442358;12,96604;55,66576;4,520865;0;0,6994292;1,414696
2,04787;2,877581;1,637663;-0,836431;12,9724;55,61992;4,610149;1,149436;0,7020141;1,428128
2,061138;2,883291;1,637854;-0,8326421;12,94639;55,72218;4,786203;0,5164928;0,700812;1,434981
2,071371;2,883291;1,637854;-0,8326421;12,94639;55,72218;4,786203;0;0,6973269;1,434981
2,083209;2,894268;1,638463;-0,8249638;13,22644;55,29997;4,733939;1,13165;0,6998111;1,448377
2,095342;2,894268;1,638463;-0,8249638;13,22644;55,29997;4,733939;0;0,6957324;1,448377
2,103593;2,910462;1,638876;-0,814045;13,93806;55,33158;4,61952;2,36717;0,7023306;1,467908
2,117428;2,910462;1,638876;-0,814045;13,93806;55,33158;4,61952;0;0,6977121;1,467908
2,127615;2,920872;1,639234;-0,8070716;14,22818;55,35914;4,612937;1,230059;0,7002773;1,480438
2,138014;2,920872;1,639234;-0,8070716;14,22818;55,35914;4,612937;0;0,6968496;1,480438
2,149386;2,930972;1,639669;-0,8006938;14,67916;55,49234;4,487177;1,050305;0,6987316;1,492383
2,159576;2,930972;1,639669;-0,8006938;14,67916;55,49234;4,487177;0;0,6954139;1,492383
2,168086;2,940673;1,64053;-0,7933724;14,60996;55,28395;4,557229;1,428132;0,6983081;1,504536
2,176794;2,940673;1,64053;-0,7933724;14,60996;55,28395;4,557229;0;0,695497;1,504536
2,185386;2,950223;1,64112;-0,786792;14,77536;55,24598;4,419477;1,349848;0,6980858;1,516135
2,208811;2,959601;1,641741;-0,779564;14,83292;54,94528;4,31738;0,5054417;0,6960301;1,527974
2,226169;2,968884;1,642055;-0,7720196;14,84032;54,60924;4,193671;0,6891614;0,6959763;1,539937
2,241452;2,97351;1,642083;-0,7681322;14,9206;54,38611;4,149167;0,3953515;0,6939139;1,545979
2,263655;2,987293;1,641633;-0,7560938;15,09599;53,69662;4,009612;0,8242339;0,6951998;1,564279
2,280788;2,987293;1,641633;-0,7560938;15,09599;53,69662;4,009612;0;0,6899464;1,564279
2,290267;2,996824;1,641035;-0,7478994;15,1941;53,19212;3,912461;1,325946;0,6925945;1,576848
2,307107;3,006659;1,640239;-0,7397452;15,30237;52,71532;3,80681;0,7586938;0,6930798;1,589624
