Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,9497437;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0167993;1,115845;1;0,09183855;0,3605515;-1
1,283077;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0;0,8228654;1;0,09183855;0,3605515;-1
1,301597;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,001273771;0,8110341;1;0,09183855;0,3605515;-1
1,317401;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0;0,8012034;1;0,09183855;0,3605515;-1
1,326108;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0006863743;0,7958887;1;0,09183855;0,3605515;-1
1,338004;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;9,579489E-05;0,78874;1;0,09183855;0,3605515;-1
1,349416;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0;0,7820019;1;0,09183855;0,3605515;-1
1,360139;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0009108935;0,7757754;1;0,09183855;0,3605515;-1
1,381199;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0004026364;0,7638295;1;0,09183855;0,3605515;-1
1,391954;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0003618207;0,7578694;1;0,09183855;0,3605515;-1
1,403543;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0;0,7515509;1;0,09183855;0,3605515;-1
1,420772;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,00112839;0,7423493;1;0,09183855;0,3605515;-1
1,432363;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0005712554;0,7362852;1;0,09183855;0,3605515;-1
1,443939;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0,0008270319;0,7303263;1;0,09183855;0,3605515;-1
1,46277;1,954843;0,05747747;-1,113041;0,1921369;268,7909;358,4225;0;0,7208365;1;0,09183855;0,3605515;-1
