Simulation time (s);Position vector;;;Euler rotation vector;;;Magnitude (m/s²);Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0,9497437;2,232917;0,0698804;-1,215919;4,777734;250,6777;359,6581;0,4831326;0,8513792;1;1,952139;-1,629012;-1
1,283077;2,404102;0,05591308;-1,189821;0,1942405;251,881;358,4544;0,05041796;0,7642369;1;1,952139;-1,629012;-1
1,301597;2,404426;0,05534638;-1,18948;359,8968;251,8458;358,3009;0,2154986;0,7536141;1;0,9572304;0,3207316;-1
1,317401;2,404426;0,05534638;-1,18948;359,8968;251,8458;358,3009;4,850801E-09;0,7444794;1;0,9572304;0,3207316;-1
1,326108;2,404793;0,05481447;-1,189079;359,593;251,7306;358,2504;0,5994132;0,7399551;1;0,9572304;0,3207316;-1
1,338004;2,404793;0,05481447;-1,189079;359,593;251,7306;358,2504;0,1123109;0,7333088;1;0,9572304;0,3207316;-1
1,349416;2,404998;0,05439645;-1,188778;359,2703;251,6703;358,0599;0,004633921;0,7273172;1;0,9572304;0,3207316;-1
1,360139;2,404998;0,05439645;-1,188778;359,2703;251,6703;358,0599;0,4942526;0,7215261;1;0,9572304;0,3207316;-1
1,381199;2,405405;0,05421494;-1,188354;359,0034;251,8325;358,0927;0,2791981;0,7108447;1;0,9572304;0,3207316;-1
1,391954;2,405405;0,05421494;-1,188354;359,0034;251,8325;358,0927;0,1826615;0,7052981;1;0,9572304;0,3207316;-1
1,403543;2,405325;0,0539932;-1,188705;359,0019;251,3837;358,0284;0,003485534;0,6996768;1;0,9572304;0,3207316;-1
1,420772;2,405325;0,0539932;-1,188705;359,0019;251,3837;358,0284;0,5155794;0,6911103;1;0,9572304;0,3207316;-1
1,432363;2,405497;0,0538454;-1,188648;358,9033;251,3447;358,1043;0,1821159;0,6855922;1;0,9572304;0,3207316;-1
1,443939;2,405758;0,05372529;-1,188627;358,8751;251,3529;358,0049;0,1740235;0,6802266;1;0,9572304;0,3207316;-1
1,46277;2,405752;0,05379828;-1,188623;358,8163;251,3278;358,2268;0,000374588;0,6713924;1;0,9572304;0,3207316;-1
1,477819;2,405752;0,05379828;-1,188623;358,8163;251,3278;358,2268;0,5721034;0,6644922;1;0,9572304;0,3207316;-1
1,486629;2,40554;0,05381191;-1,188465;358,667;251,3348;358,3753;0,1586272;0,660698;1;0,9572304;0,3207316;-1
1,498095;2,40554;0,05381191;-1,188465;358,667;251,3348;358,3753;3,346197E-09;0,6555948;1;0,9572304;0,3207316;-1
1,508273;2,405694;0,05379405;-1,188477;358,6893;251,3043;358,3943;0,6506876;0,6512341;1;0,9572304;0,3207316;-1
1,521386;2,405807;0,05373914;-1,188635;358,627;251,1916;358,401;0,0499886;0,6456997;1;0,9572304;0,3207316;-1
1,531967;2,405807;0,05373914;-1,188635;358,627;251,1916;358,401;0,008878898;0,6412001;1;0,9572304;0,3207316;-1
1,540714;2,405807;0,05373914;-1,188635;358,627;251,1916;358,401;1,0819E-10;0,6375278;1;0,9572304;0,3207316;-1
1,549418;2,406146;0,05356325;-1,188713;358,6194;251,1695;358,4046;0,01642666;0,6341409;1;0,9572304;0,3207316;-1
1,559903;2,406146;0,05356325;-1,188713;358,6194;251,1695;358,4046;0;0,6298413;1;0,9572304;0,3207316;-1
1,568678;2,406143;0,05357925;-1,188644;358,5985;251,2201;358,4695;0,01119085;0,6263317;1;0,9572304;0,3207316;-1
1,580453;2,406143;0,05357925;-1,188644;358,5985;251,2201;358,4695;0;0,6216249;1;0,9572304;0,3207316;-1
1,590474;2,405939;0,05334533;-1,188612;359,0119;251,2923;359,3076;0,01098171;0,6178055;1;0,9572304;0,3207316;-1
1,601173;2,406059;0,05339086;-1,188635;358,8734;251,299;359,0613;0,003075948;0,613719;1;0,9572304;0,3207316;-1
1,616117;2,406059;0,05339086;-1,188635;358,8734;251,299;359,0613;0,009038998;0,6079959;1;0,9572304;0,3207316;-1
1,628258;2,405936;0,05345608;-1,188478;359,2993;251,2786;359,8526;0,0042585;0,6035475;1;0,9572304;0,3207316;-1
1,639822;2,405936;0,05345608;-1,188478;359,2993;251,2786;359,8526;0,005112649;0,599256;1;0,9572304;0,3207316;-1
1,648468;2,406044;0,05305611;-1,188398;358,5421;251,3373;358,9105;0,009774975;0,5961689;1;0,9572304;0,3207316;-1
1,657816;2,406044;0,05305611;-1,188398;358,5421;251,3373;358,9105;0,001011037;0,5927793;1;0,9572304;0,3207316;-1
1,665965;2,406327;0,05357774;-1,188347;358,7915;251,2675;359,2277;0,01999445;0,5900305;1;0,9572304;0,3207316;-1
1,67538;2,406327;0,05357774;-1,188347;358,7915;251,2675;359,2277;0,008461918;0,5866879;1;0,9572304;0,3207316;-1
1,684001;2,406687;0,05339146;-1,188454;358,2329;251,3234;358,5895;0,01366535;0,5838842;1;0,9572304;0,3207316;-1
1,698095;2,406687;0,05339146;-1,188454;358,2329;251,3234;358,5895;0,004249565;0,5789993;1;0,9572304;0,3207316;-1
1,710022;2,406847;0,05328872;-1,18832;358,1965;251,3145;358,7551;0,006655335;0,5750515;1;0,9572304;0,3207316;-1
1,724007;2,406853;0,05318134;-1,18811;358,0656;251,3301;358,9006;0,004622673;0,5704725;1;0,9572304;0,3207316;-1
1,734539;2,406853;0,05318134;-1,18811;358,0656;251,3301;358,9006;1,037633E-10;0,5669814;1;0,9572304;0,3207316;-1
1,743006;2,406889;0,05318395;-1,187908;357,9434;251,2576;358,8436;0,0142777;0,5643241;1;0,9572304;0,3207316;-1
1,753757;2,406889;0,05318395;-1,187908;357,9434;251,2576;358,8436;1,26604E-10;0,5608379;1;0,9572304;0,3207316;-1
1,76719;2,407489;0,0534853;-1,187708;357,5705;251,2054;359,1096;0,01339614;0,5569025;1;0,9572304;0,3207316;-1
1,779778;2,407489;0,0534853;-1,187708;357,5705;251,2054;359,1096;0;0,5529334;1;0,9572304;0,3207316;-1
