Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;-6,162899;1,647598;-5,780833;9,531984;83,82389;356,2798;-1;0;-1;0
0,3333333;-6,162487;1,647526;-5,781124;9,52786;83,8109;356,2919;0,001513307;0,001513307;-1;0,0005044356
0,3690979;-6,167709;1,642787;-5,768041;8,717715;68,34533;351,4595;0,3938572;0,03953039;1,06298;0,01459058
0,3931777;-6,169105;1,643594;-5,763992;8,614224;67,61897;351,6931;0,1778582;0,04800214;-3,609343;0,01887337
0,4098021;-6,170099;1,643943;-5,761094;8,482757;66,62801;351,8487;0,1843254;0,05353235;0,158882;0,02193767
0,4267077;-6,17061;1,644021;-5,759727;8,368969;65,95966;351,9246;0,08633424;0,05483192;-2,922493;0,02339721
0,4430268;-6,170802;1,644013;-5,759157;8,28602;65,65443;351,9616;0,0368127;0,05416818;-1,490508;0,02399795
0,4600505;-6,17107;1,643907;-5,758296;8,218456;65,10783;352,0002;0,05296067;0,05412349;0,4843028;0,02489954
0,4765356;-6,171332;1,643789;-5,757616;8,174634;64,57987;351,9758;0,0442632;0,05378239;-0,2595578;0,02562922
0,4936832;-6,171332;1,643789;-5,757616;8,174634;64,57987;351,9758;0;0,05191431;-1,316076;0,02562922
0,5286866;-6,171699;1,64359;-5,756936;8,1136;63,91813;351,8724;0,02206396;0,04993797;0,4230782;0,02640154
0,5435941;-6,172138;1,643322;-5,756479;8,052129;63,26553;351,6424;0,04250714;0,04973419;0,4095934;0,02703521
0,5600259;-6,172138;1,643322;-5,756479;8,052129;63,26553;351,6424;0;0,04827493;-1,356353;0,02703521
0,5767023;-6,172382;1,643134;-5,756387;8,027537;63,00005;351,4866;0,01563538;0,0473311;0,4722506;0,02729595
0,5935181;-6,172382;1,643134;-5,756387;8,027537;63,00005;351,4866;0;0,04599009;-0,4668364;0,02729595
0,6098128;-6,172519;1,643037;-5,756384;8,005793;62,88757;351,3965;0,008429659;0,04498645;0,2545917;0,02743331
0,6266825;-6,172665;1,642917;-5,756412;7,977871;62,79388;351,3058;0,008803351;0,04401243;0,01126786;0,02758182
0,643956;-6,172701;1,642884;-5,756423;7,970384;62,76981;351,2772;0,002157621;0,04288972;-0,1946428;0,02761909
0,6625535;-6,172753;1,642831;-5,756435;7,947462;62,71664;351,2062;0,002904105;0,04176735;0,02081025;0,0276731
0,6933182;-6,172782;1,642779;-5,756446;7,923008;62,66813;351,132;0,0009905132;0,03995795;-0,03876635;0,02770357
0,7100349;-6,172784;1,642708;-5,756454;7,89069;62,6033;351,0138;0,0004781589;0,03902846;-0,01079063;0,02771157
0,7268124;-6,172733;1,642638;-5,756472;7,889596;62,57711;350,9423;0,003263492;0,03820287;0,08315857;0,02776632
0,7432978;-6,172608;1,642547;-5,756505;7,902738;62,56171;350,8605;0,007844123;0,03752955;0,1377099;0,02789563
0,7602041;-6,172509;1,642495;-5,756535;7,909842;62,56098;350,8221;0,00611365;0,03683089;-0,05182342;0,02799899
0,7767857;-6,17222;1,642392;-5,756602;7,927791;62,57195;350,7471;0,01789879;0,03642676;0,3519221;0,02829578
0,7942357;-6,17222;1,642392;-5,756602;7,927791;62,57195;350,7471;0;0,03562643;-0,5259466;0,02829578
0,8119458;-6,171551;1,642282;-5,756762;7,948555;62,6258;350,6459;0,03883713;0,03569646;1,104581;0,02898359
0,8433058;-6,171044;1,642271;-5,756845;7,953745;62,66812;350,585;0,01637829;0,03497808;-0,4576889;0,02949722
0,8619956;-6,170204;1,642259;-5,756879;7,960248;62,73982;350,4914;0,0449918;0,03519519;0,5717003;0,0303381
0,8980995;-6,169586;1,642214;-5,756813;7,969618;62,78485;350,4391;0,0172149;0,03447238;-0,5069358;0,03095963
0,9101396;-6,168106;1,642002;-5,756475;8,006995;62,8904;350,3562;0,126098;0,03568447;2,261617;0,03247785
0,9267998;-6,168106;1,642002;-5,756475;8,006995;62,8904;350,3562;0;0,035043;-4,393615;0,03247785
0,9607794;-6,167325;1,641898;-5,756106;8,023388;62,91848;350,3208;0,02541045;0,03470233;0,5017874;0,03334129
0,9790235;-6,16564;1,641687;-5,75495;8,055624;62,94677;350,257;0,1120211;0,03614317;1,658456;0,03538501
1,010366;-6,165193;1,641625;-5,754576;8,062892;62,94737;350,2415;0,01858735;0,03559858;-1,88427;0,03596758
1,0268;-6,163293;1,641192;-5,752858;8,118871;62,92788;350,1667;0,1558516;0,03752331;2,873033;0,03852895
1,060098;-6,162858;1,641075;-5,752448;8,136058;62,9194;350,1465;0,01796205;0,03690889;-2,77262;0,03912704
1,077495;-6,161263;1,640634;-5,751087;8,214384;62,88446;350,0535;0,1205242;0,03825888;2,023147;0,04122374
1,093889;-6,161263;1,640634;-5,751087;8,214384;62,88446;350,0535;0;0,03768548;-3,566746;0,04122374
1,110312;-6,161263;1,640634;-5,751087;8,214384;62,88446;350,0535;0;0,03712806;0;0,04122374
1,127385;-6,159924;1,64029;-5,750214;8,297277;62,87201;349,9532;0,0936018;0,03798329;2,794415;0,04282181
1,145799;-6,159058;1,640121;-5,749761;8,355415;62,8698;349,8832;0,05307154;0,03822578;-1,14211;0,04379907
1,160215;-6,158778;1,640071;-5,749642;8,371316;62,87148;349,8604;0,02110411;0,03801304;-0,9737297;0,04410331
1,177072;-6,158228;1,639987;-5,749454;8,402706;62,87753;349,8172;0,03448415;0,0379625;0,4278477;0,04468461
1,19371;-6,158228;1,639987;-5,749454;8,402706;62,87753;349,8172;0;0,03743338;-1,029525;0,04468461
1,210232;-6,157386;1,639855;-5,749238;8,451202;62,89194;349,7537;0,05262708;0,0376408;1,587089;0,04555409
1,226943;-6,156751;1,639739;-5,749152;8,489833;62,90802;349,7118;0,03835375;0,03765051;-0,4295029;0,04619501
1,243715;-6,15644;1,639683;-5,74911;8,508985;62,91523;349,6889;0,01870436;0,037395;-0,5868441;0,04650873
1,260695;-6,155803;1,639556;-5,749023;8,547179;62,92665;349,6407;0,03786461;0,03740133;0,567672;0,04715166
1,279227;-6,155137;1,639392;-5,748942;8,587504;62,93555;349,5889;0,03618572;0,03738372;-0,04727704;0,04782224
1,314092;-6,154439;1,639177;-5,748855;8,633104;62,94376;349,5331;0,02017797;0,03692721;-0,2997844;0,04852577
1,328345;-6,153379;1,638786;-5,748752;8,710068;62,95288;349,443;0,07469291;0,03733242;1,109865;0,04959034
