Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;0;0;0;0;0;0;0;0;-1;-1;0
0,3333333;0;0;0;0;0;0;0;0;-1;-1;0
0,3690979;0;0;0;0;0;0;0;0;-1;-1;0
0,3931777;0;0;0;0;0;0;0;0;-1;-1;0
0,4098021;0;0;0;0;0;0;0;0;-1;-1;0
0,4267077;0;0;0;0;0;0;0;0;-1;-1;0
0,4430268;0;0;0;0;0;0;0;0;-1;-1;0
0,4600505;0;0;0;0;0;0;0;0;-1;-1;0
0,4765356;0;0;0;0;0;0;0;0;-1;-1;0
0,4936832;0;0;0;0;0;0;0;0;-1;-1;0
0,5286866;0;0;0;0;0;0;0;0;-1;-1;0
0,5435941;0;0;0;0;0;0;0;0;-1;-1;0
0,5600259;0;0;0;0;0;0;0;0;-1;-1;0
0,5767023;0;0;0;0;0;0;0;0;-1;-1;0
0,5935181;0;0;0;0;0;0;0;0;-1;-1;0
0,6098128;0;0;0;0;0;0;0;0;-1;-1;0
0,6266825;0;0;0;0;0;0;0;0;-1;-1;0
0,643956;0;0;0;0;0;0;0;0;-1;-1;0
0,6625535;0;0;0;0;0;0;0;0;-1;-1;0
0,6933182;0;0;0;0;0;0;0;0;-1;-1;0
0,7100349;0;0;0;0;0;0;0;0;-1;-1;0
0,7268124;0;0;0;0;0;0;0;0;-1;-1;0
0,7432978;0;0;0;0;0;0;0;0;-1;-1;0
0,7602041;0;0;0;0;0;0;0;0;-1;-1;0
0,7767857;0;0;0;0;0;0;0;0;-1;-1;0
0,7942357;0;0;0;0;0;0;0;0;-1;-1;0
0,8119458;0;0;0;0;0;0;0;0;-1;-1;0
0,8433058;0;0;0;0;0;0;0;0;-1;-1;0
0,8619956;0;0;0;0;0;0;0;0;-1;-1;0
0,8980995;0;0;0;0;0;0;0;0;-1;-1;0
0,9101396;0;0;0;0;0;0;0;0;-1;-1;0
0,9267998;0;0;0;0;0;0;0;0;-1;-1;0
0,9607794;0;0;0;0;0;0;0;0;-1;-1;0
0,9790235;0;0;0;0;0;0;0;0;-1;-1;0
1,010366;0;0;0;0;0;0;0;0;-1;-1;0
1,0268;0;0;0;0;0;0;0;0;-1;-1;0
1,060098;0;0;0;0;0;0;0;0;-1;-1;0
1,077495;0;0;0;0;0;0;0;0;-1;-1;0
1,093889;0;0;0;0;0;0;0;0;-1;-1;0
1,110312;0;0;0;0;0;0;0;0;-1;-1;0
1,127385;0;0;0;0;0;0;0;0;-1;-1;0
1,145799;0;0;0;0;0;0;0;0;-1;-1;0
1,160215;0;0;0;0;0;0;0;0;-1;-1;0
1,177072;0;0;0;0;0;0;0;0;-1;-1;0
1,19371;0;0;0;0;0;0;0;0;-1;-1;0
1,210232;0;0;0;0;0;0;0;0;-1;-1;0
1,226943;0;0;0;0;0;0;0;0;-1;-1;0
1,243715;0;0;0;0;0;0;0;0;-1;-1;0
1,260695;0;0;0;0;0;0;0;0;-1;-1;0
1,279227;0;0;0;0;0;0;0;0;-1;-1;0
1,314092;0;0;0;0;0;0;0;0;-1;-1;0
1,328345;0;0;0;0;0;0;0;0;-1;-1;0
1,344565;0;0;0;0;0;0;0;0;-1;-1;0
1,362254;0;0;0;0;0;0;0;0;-1;-1;0
1,378621;0;0;0;0;0;0;0;0;-1;-1;0
1,395472;0;0;0;0;0;0;0;0;-1;-1;0
1,411263;0;0;0;0;0;0;0;0;-1;-1;0
1,427358;0;0;0;0;0;0;0;0;-1;-1;0
1,444709;0;0;0;0;0;0;0;0;-1;-1;0
1,46243;0;0;0;0;0;0;0;0;-1;-1;0
1,478056;0;0;0;0;0;0;0;0;-1;-1;0
1,494344;0;0;0;0;0;0;0;0;-1;-1;0
1,511011;0;0;0;0;0;0;0;0;-1;-1;0
1,527241;0;0;0;0;0;0;0;0;-1;-1;0
1,543973;0;0;0;0;0;0;0;0;-1;-1;0
1,561584;0;0;0;0;0;0;0;0;-1;-1;0
1,579057;0;0;0;0;0;0;0;0;-1;-1;0
1,596351;0;0;0;0;0;0;0;0;-1;-1;0
1,614954;0;0;0;0;0;0;0;0;-1;-1;0
1,646457;0;0;0;0;0;0;0;0;-1;-1;0
1,661702;0;0;0;0;0;0;0;0;-1;-1;0
1,679093;0;0;0;0;0;0;0;0;-1;-1;0
1,696376;0;0;0;0;0;0;0;0;-1;-1;0
1,711849;0;0;0;0;0;0;0;0;-1;-1;0
