Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;2,586478;1,700001;-9,253416;21,40001;21,79999;-4,584976E-07;-1;0;-1;0
0,3014855;2,596281;1,700001;-9,249622;21,00001;3,899991;0;0,03486652;0,03486652;-1;0,01051175
0,3337423;3,138839;1,700001;-9,037485;21,20001;2,499992;0;-1;1,777023;-1;0,5930678
0,3494041;3,187248;1,700001;-8,998098;21,30001;1,899992;-2,863655E-08;3,984719;1,875982;-1;0,6554757
0,3631713;3,210277;1,700001;-8,978434;21,40001;1,299992;0;2,199611;1,88825;-60,65808;0,6857582
0,3804243;3,239448;1,700001;-8,952746;21,70001;0,7999918;0;2,252869;1,904786;1,716868;0,7246268
0,394843;3,239448;1,700001;-8,952746;21,80001;0,1999918;3,591927E-09;0;1,835228;-71,13212;0,7246268
0,4131297;3,275778;1,700001;-8,920027;22,00001;359,4;1,438788E-08;2,67365;1,87234;81,74928;0,7735193
0,4252025;3,301653;1,700001;-8,896039;22,10001;358,9;-2,879612E-08;2,92257;1,902159;8,19907;0,8088029
0,4368878;3,301653;1,700001;-8,896039;22,10001;358,6;0;0;1,851283;-123,0137;0,8088029
0,448282;3,33473;1,700001;-8,86435;22,10001;358,3;0;4,020183;1,906411;174,1886;0,8546097
0,4595032;3,359498;1,700001;-8,840159;22,10001;358,1;-2,879612E-08;3,085349;1,935201;-41,33617;0,889231
0,47647;3,359498;1,700001;-8,840159;22,30001;357,5;-5,767434E-08;0;1,866289;-109,4561;0,889231
0,4886089;3,389059;1,700001;-8,81077;22,40001;357,1;5,771574E-08;3,433967;1,905236;117,9827;0,9309155
0,4998221;3,413973;1,700001;-8,785451;22,50001;356,8;0;3,167789;1,933561;-11,39844;0,9664366
0,5116946;3,413973;1,700001;-8,785451;22,60001;356,4;0;0;1,888698;-137,2188;0,9664366
0,5249004;3,436462;1,700001;-8,762235;22,60001;355,8;0;2,447617;1,90276;97,59888;0,9987594
0,5415377;3,462805;1,700001;-8,734385;22,80001;355,4;0;2,304149;1,915091;-4,807392;1,037094
0,5534615;3,462805;1,700001;-8,734385;22,80001;355;0;0;1,873832;-80,67451;1,037094
0,5650346;3,49138;1,700001;-8,703558;23,00002;354,6;0;3,632039;1,909844;154,5755;1,079128
0,5767071;3,49138;1,700001;-8,703558;23,10001;354,4;-1,160244E-07;0;1,871189;-156,2465;1,079128
0,5890431;3,521335;1,700001;-8,670389;23,20001;353,8;0;3,62297;1,907876;150,9035;1,123821
0,602159;3,546633;1,700001;-8,641869;23,50001;353,2;0;2,906647;1,92963;-28,14413;1,161944
0,621614;3,565896;1,700001;-8,619513;23,80002;352;-2,332818E-07;1,516859;1,916712;-42,6696;1,191455
