Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3014855;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3337423;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3494041;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3631713;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3804243;18,3;0;0;0;350;0;0;0;-1;-1;0
0,394843;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4131297;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4252025;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4368878;18,3;0;0;0;350;0;0;0;-1;-1;0
0,448282;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4595032;18,3;0;0;0;350;0;0;0;-1;-1;0
0,47647;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4886089;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4998221;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5116946;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5249004;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5415377;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5534615;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5650346;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5767071;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5890431;18,3;0;0;0;350;0;0;0;-1;-1;0
0,602159;18,3;0;0;0;350;0;0;0;-1;-1;0
0,621614;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6356631;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6523416;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6638445;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6753123;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6871349;18,3;0;0;0;350;0;0;0;-1;-1;0
0,698383;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7143036;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7277319;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7453338;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7558609;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7697651;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7802722;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7915459;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8036717;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8146386;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8254181;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8363116;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8469642;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8572829;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8676178;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8778431;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8889659;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8996048;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9101926;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9218155;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9329625;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9439738;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9551903;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9675654;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9782504;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9894491;18,3;0;0;0;350;0;0;0;-1;-1;0
1,000097;18,3;0;0;0;350;0;0;0;-1;-1;0
1,010854;18,3;0;0;0;350;0;0;0;-1;-1;0
1,0222;18,3;0;0;0;350;0;0;0;-1;-1;0
1,033035;18,3;0;0;0;350;0;0;0;-1;-1;0
1,043674;18,3;0;0;0;350;0;0;0;-1;-1;0
1,054967;18,3;0;0;0;350;0;0;0;-1;-1;0
1,065709;18,3;0;0;0;350;0;0;0;-1;-1;0
1,076685;18,3;0;0;0;350;0;0;0;-1;-1;0
1,088104;18,3;0;0;0;350;0;0;0;-1;-1;0
1,098588;18,3;0;0;0;350;0;0;0;-1;-1;0
1,109121;18,3;0;0;0;350;0;0;0;-1;-1;0
1,120118;18,3;0;0;0;350;0;0;0;-1;-1;0
1,130344;18,3;0;0;0;350;0;0;0;-1;-1;0
1,141367;18,3;0;0;0;350;0;0;0;-1;-1;0
1,152565;18,3;0;0;0;350;0;0;0;-1;-1;0
1,163472;18,3;0;0;0;350;0;0;0;-1;-1;0
1,175843;18,3;0;0;0;350;0;0;0;-1;-1;0
1,187222;18,3;0;0;0;350;0;0;0;-1;-1;0
1,197856;18,3;0;0;0;350;0;0;0;-1;-1;0
1,21058;18,3;0;0;0;350;0;0;0;-1;-1;0
1,222849;18,3;0;0;0;350;0;0;0;-1;-1;0
1,234396;18,3;0;0;0;350;0;0;0;-1;-1;0
