Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;3,406306;1,700001;-9,265068;22,70002;8,500055;0;-1;0;-1;0
0,2755428;3,417025;1,700001;-9,257786;23,50001;358,9001;-1,454672E-08;0,04702923;0,04702923;-1;0,01295857
0,294135;3,580805;1,700001;-8,775123;23,60002;358,5001;-2,911557E-08;-1;1,776913;-1;0,5226523
0,3088888;3,584497;1,700001;-8,741179;23,70002;358,2;-2,913784E-08;2,314274;1,802579;-1;0,5567966
0,3217157;3,586547;1,700001;-8,700982;23,70002;357,9;0;3,137827;1,855816;29,85974;0,5970452
0,3335689;3,586547;1,700001;-8,700982;23,80002;357,6;0;0;1,789871;-127,1399;0,5970452
0,3467943;3,585966;1,700001;-8,668996;23,80002;357,4;0;2,41895;1,813861;96,45487;0,6290367
0,3680198;3,584952;1,700001;-8,644816;23,80002;357,1;0;1,14017;1,775006;-37,11892;0,6532374
0,3812772;3,582444;1,700001;-8,59129;23,80002;356,8;0;4,041934;1,85383;84,15076;0,706823
0,3940789;3,582444;1,700001;-8,59129;24,00002;356,7;5,841073E-08;0;1,793608;-155,1063;0,706823
0,4180325;3,580607;1,700001;-8,558406;24,00002;356,3;0;1,374945;1,769618;37,40805;0,7397579
0,429412;3,577974;1,700001;-8,51472;24,00002;356,2;0;3,845966;1,824642;69,93497;0,7835231
0,4403482;3,575828;1,700001;-8,482125;24,00002;356,2;0;2,986892;1,853507;-38,49638;0,8161883
0,4928666;3,574457;1,700001;-8,461489;24,00002;356,0999;-1,168215E-07;0,3938054;1,697965;-40,86523;0,8368704
0,50687;3,568931;1,700001;-8,37829;24,00002;355,9999;-5,841073E-08;5,954429;1,815559;83,59107;0,9202523
0,6056701;3,566243;1,700001;-8,339212;24,00002;355,8999;0;0,3964579;1,584068;-49,27128;0,9594223
0,629193;3,560421;1,700001;-8,25595;24,00002;355,8999;0;3,548275;1,657501;25,76634;1,042888
0,6420456;3,558363;1,700001;-8,227246;24,00002;355,8999;0;2,239038;1,669142;-35,99233;1,071666
0,6542714;3,558363;1,700001;-8,227246;24,00002;355,8999;0;0;1,637953;-89,28146;1,071666
0,6663797;3,557247;1,700001;-8,211664;24,00002;355,8999;0;1,290191;1,631634;53,01967;1,087288
0,6773283;3,557247;1,700001;-8,211664;24,00002;355,8999;0;0;1,605259;-55,95676;1,087288
0,7132856;3,555297;1,700001;-8,184461;24,00002;355,8999;0;0,7584943;1,562573;16,17058;1,114561
0,729094;3,553392;1,700001;-8,15789;24,00002;355,7999;-5,841073E-08;1,685085;1,565229;17,89973;1,141199
0,7402951;3,551922;1,700001;-8,137521;24,00002;355,7999;-5,841073E-08;1,823265;1,569134;5,115981;1,161622
0,751686;3,551922;1,700001;-8,137521;24,00002;355,7999;-5,841073E-08;0;1,545355;-80,70377;1,161622
0,7651249;3,550435;1,700001;-8,117272;24,00002;355,7999;-5,841073E-08;1,510767;1,544748;60,84489;1,181925
0,7784105;3,550435;1,700001;-8,117272;24,00002;355,7999;-5,841073E-08;0;1,518382;-56,53125;1,181925
0,7898011;3,54906;1,700001;-8,098555;24,00002;355,7999;-5,841073E-08;1,647685;1,520247;66,77206;1,200693
0,8004121;3,547866;1,700001;-8,08229;24,00002;355,7999;-5,841073E-08;1,536964;1,520469;-5,032417;1,217002
0,8114665;3,547866;1,700001;-8,08229;24,00002;355,7999;-5,841073E-08;0;1,499756;-70,94095;1,217002
0,8229049;3,546396;1,700001;-8,062284;24,00002;355,7999;-5,841073E-08;1,753743;1,503286;77,96899;1,237062
0,8343236;3,546396;1,700001;-8,062284;24,00002;355,7999;-5,841073E-08;0;1,482712;-76,7263;1,237062
0,8450989;3,545319;1,700001;-8,047611;24,00002;355,7999;-5,841073E-08;1,365338;1,481216;61,5186;1,251774
0,8558422;3,545319;1,700001;-8,047611;24,00002;355,7999;-5,841073E-08;0;1,462622;-63,44924;1,251774
0,8666188;3,543879;1,700001;-8,028006;24,00002;355,7999;-5,841073E-08;1,82418;1,467118;84,76688;1,271432
0,8780453;3,543879;1,700001;-8,028006;24,00002;355,7999;-5,841073E-08;0;1,448026;-82,15883;1,271432
0,8890747;3,542393;1,700001;-8,007777;24,00002;355,7999;-5,841073E-08;1,838979;1,452875;81,89282;1,291715
0,9029543;3,54099;1,700001;-7,988663;24,00002;355,7999;-5,841073E-08;1,380838;1,451768;-18,39258;1,31088
0,9146968;3,54099;1,700001;-7,988663;24,00002;355,7999;-5,841073E-08;0;1,433131;-53,89254;1,31088
0,9262993;3,539941;1,700001;-7,974384;24,00002;355,7999;-5,841073E-08;1,233993;1,430637;52,85913;1,325198
0,9403087;3,538504;1,700001;-7,954814;24,00002;355,7999;-5,841073E-08;1,400698;1,430191;6,508898;1,344821
0,950538;3,538504;1,700001;-7,954814;24,00002;355,7999;-5,841073E-08;0;1,4148;-57,78753;1,344821
0,9619114;3,537037;1,700001;-7,934835;24,00002;355,7999;-5,841073E-08;1,761341;1,418897;81,53362;1,364853
0,9745825;3,537037;1,700001;-7,934835;24,00002;355,7999;-5,841073E-08;0;1,400449;-73,25351;1,364853
0,9867643;3,536076;1,700001;-7,919814;24,00002;355,7999;-5,841073E-08;1,235614;1,398414;49,71702;1,379905
0,9970523;3,536076;1,700001;-7,919814;24,00002;355,7999;-5,841073E-08;0;1,383985;-54,98993;1,379905
1,008204;3,535993;1,700001;-7,899282;24,00002;355,7999;-5,841073E-08;1,841248;1,389042;85,88091;1,400438
1,018391;3,535993;1,700001;-7,899282;24,00002;355,7999;-5,841073E-08;0;1,375147;-86,28487;1,400438
1,029283;3,537287;1,700001;-7,879802;24,00002;355,7999;-5,841073E-08;1,792482;1,379563;85,03614;1,419961
1,040231;3,539357;1,700001;-7,863837;24,00002;355,7999;-5,841073E-08;1,470451;1,38052;-14,74538;1,436059
1,051367;3,539357;1,700001;-7,863837;24,20002;355,7999;-5,8502E-08;0;1,365897;-66,58372;1,436059
1,063074;3,543096;1,700001;-7,844357;24,30002;355,6999;5,854802E-08;1,694343;1,369514;74,17262;1,455895
1,074468;3,543096;1,700001;-7,844357;24,50002;355,6999;-5,86408E-08;0;1,354992;-73,34661;1,455895
1,085102;3,546885;1,700001;-7,82929;24,50002;355,6999;-5,86408E-08;1,460876;1,35603;66,32021;1,47143
1,097298;3,546885;1,700001;-7,82929;24,60002;355,4999;0;0;1,340957;-63,98727;1,47143
1,113102;3,55318;1,700001;-7,809237;24,80002;355,4999;-1,175638E-07;1,32999;1,340802;47,49984;1,492449
1,123972;3,560158;1,700001;-7,791003;24,90002;355,4999;0;1,796058;1,345204;17,47312;1,511972
1,137656;3,560158;1,700001;-7,791003;25,10002;355,3999;0;0;1,329024;-73,14758;1,511972
1,153402;3,567472;1,700001;-7,77477;25,20003;355,2999;1,179471E-07;1,130781;1,326318;38,42286;1,529777
1,168197;3,576411;1,700001;-7,757085;25,30003;355,2999;0;1,339315;1,326483;6,827915;1,549593
1,179376;3,576411;1,700001;-7,757085;25,40003;355,2999;0;0;1,313909;-51,56313;1,549593
1,191113;3,585726;1,700001;-7,740553;25,50002;355,1999;0;1,616729;1,316893;70,55034;1,568568
1,207004;3,591447;1,700001;-7,731208;25,50002;355,0999;0;0,6895106;1,308633;-33,56102;1,579525
1,219756;3,602705;1,700001;-7,711188;25,60002;355,0999;0;1,801166;1,313782;38,81055;1,602494
1,230094;3,602705;1,700001;-7,711188;25,60002;355,0999;0;0;1,302741;-78,00511;1,602494
1,240309;3,611191;1,700001;-7,694413;25,60002;355,0999;0;1,84027;1,307168;89,53573;1,621293
1,250749;3,611191;1,700001;-7,694413;25,60002;355,0999;0;0;1,296257;-89,09443;1,621293
1,262852;3,619664;1,700001;-7,675096;25,60002;355,0999;0;1,742987;1,300538;77,32137;1,642387
1,273279;3,619664;1,700001;-7,675096;25,60002;355,0999;0;0;1,289888;-77,36555;1,642387
1,284166;3,624363;1,700001;-7,662852;25,60002;355,0999;0;1,204599;1,289165;56,51548;1,655502
1,29537;3,624363;1,700001;-7,662852;25,70003;355,0999;0;0;1,278015;-54,5283;1,655502
1,306376;3,630625;1,700001;-7,643641;25,70003;355,0999;0;1,835965;1,282715;82,66566;1,675708
1,320441;3,63541;1,700001;-7,62517;25,70003;355,0999;0;1,356567;1,283502;-19,12161;1,694788
1,332623;3,63541;1,700001;-7,62517;25,70003;355,0999;0;0;1,271768;-51,68341;1,694788
1,34411;3,638294;1,700001;-7,610664;25,70003;355,0999;0;1,287528;1,271903;54,3975;1,709578
1,355223;3,638294;1,700001;-7,610664;25,70003;355,0999;0;0;1,261473;-56,97014;1,709578
1,367283;3,641064;1,700001;-7,5904;25,70003;355,0999;0;1,695964;1,265305;73,18638;1,730031
1,377897;3,641064;1,700001;-7,5904;25,70003;355,0999;0;0;1,255558;-74,79823;1,730031
1,388139;3,642352;1,700001;-7,569972;25,70003;355,0999;0;1,998536;1,26104;95,82703;1,750499
1,398645;3,642352;1,700001;-7,569972;25,70003;355,0999;0;0;1,251567;-96,3242;1,750499
1,409551;3,64222;1,700001;-7,55127;25,70003;355,0999;0;1,715003;1,255153;80,0958;1,769202
1,420026;3,641135;1,700001;-7,535728;25,70003;355,0999;0;1,487344;1,256866;-10,64802;1,784782
1,430826;3,641135;1,700001;-7,535728;25,70003;355,0999;0;0;1,247378;-69,9087;1,784782
1,441127;3,639555;1,700001;-7,517297;25,70003;355,0999;0;1,79576;1,251298;85,10021;1,80328
1,45155;3,639555;1,700001;-7,517297;25,70003;355,0999;0;0;1,242313;-86,65;1,80328
