Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;18,3;0;0;0;350;0;0;0;-1;-1;0
0,2755428;18,3;0;0;0;350;0;0;0;-1;-1;0
0,294135;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3088888;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3217157;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3335689;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3467943;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3680198;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3812772;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3940789;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4180325;18,3;0;0;0;350;0;0;0;-1;-1;0
0,429412;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4403482;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4928666;18,3;0;0;0;350;0;0;0;-1;-1;0
0,50687;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6056701;18,3;0;0;0;350;0;0;0;-1;-1;0
0,629193;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6420456;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6542714;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6663797;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6773283;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7132856;18,3;0;0;0;350;0;0;0;-1;-1;0
0,729094;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7402951;18,3;0;0;0;350;0;0;0;-1;-1;0
0,751686;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7651249;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7784105;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7898011;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8004121;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8114665;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8229049;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8343236;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8450989;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8558422;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8666188;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8780453;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8890747;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9029543;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9146968;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9262993;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9403087;18,3;0;0;0;350;0;0;0;-1;-1;0
0,950538;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9619114;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9745825;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9867643;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9970523;18,3;0;0;0;350;0;0;0;-1;-1;0
1,008204;18,3;0;0;0;350;0;0;0;-1;-1;0
1,018391;18,3;0;0;0;350;0;0;0;-1;-1;0
1,029283;18,3;0;0;0;350;0;0;0;-1;-1;0
1,040231;18,3;0;0;0;350;0;0;0;-1;-1;0
1,051367;18,3;0;0;0;350;0;0;0;-1;-1;0
1,063074;18,3;0;0;0;350;0;0;0;-1;-1;0
1,074468;18,3;0;0;0;350;0;0;0;-1;-1;0
1,085102;18,3;0;0;0;350;0;0;0;-1;-1;0
1,097298;18,3;0;0;0;350;0;0;0;-1;-1;0
1,113102;18,3;0;0;0;350;0;0;0;-1;-1;0
1,123972;18,3;0;0;0;350;0;0;0;-1;-1;0
1,137656;18,3;0;0;0;350;0;0;0;-1;-1;0
1,153402;18,3;0;0;0;350;0;0;0;-1;-1;0
1,168197;18,3;0;0;0;350;0;0;0;-1;-1;0
1,179376;18,3;0;0;0;350;0;0;0;-1;-1;0
1,191113;18,3;0;0;0;350;0;0;0;-1;-1;0
1,207004;18,3;0;0;0;350;0;0;0;-1;-1;0
1,219756;18,3;0;0;0;350;0;0;0;-1;-1;0
1,230094;18,3;0;0;0;350;0;0;0;-1;-1;0
1,240309;18,3;0;0;0;350;0;0;0;-1;-1;0
1,250749;18,3;0;0;0;350;0;0;0;-1;-1;0
1,262852;18,3;0;0;0;350;0;0;0;-1;-1;0
1,273279;18,3;0;0;0;350;0;0;0;-1;-1;0
1,284166;18,3;0;0;0;350;0;0;0;-1;-1;0
1,29537;18,3;0;0;0;350;0;0;0;-1;-1;0
1,306376;18,3;0;0;0;350;0;0;0;-1;-1;0
1,320441;18,3;0;0;0;350;0;0;0;-1;-1;0
1,332623;18,3;0;0;0;350;0;0;0;-1;-1;0
1,34411;18,3;0;0;0;350;0;0;0;-1;-1;0
1,355223;18,3;0;0;0;350;0;0;0;-1;-1;0
1,367283;18,3;0;0;0;350;0;0;0;-1;-1;0
1,377897;18,3;0;0;0;350;0;0;0;-1;-1;0
1,388139;18,3;0;0;0;350;0;0;0;-1;-1;0
1,398645;18,3;0;0;0;350;0;0;0;-1;-1;0
1,409551;18,3;0;0;0;350;0;0;0;-1;-1;0
1,420026;18,3;0;0;0;350;0;0;0;-1;-1;0
1,430826;18,3;0;0;0;350;0;0;0;-1;-1;0
1,441127;18,3;0;0;0;350;0;0;0;-1;-1;0
1,45155;18,3;0;0;0;350;0;0;0;-1;-1;0
1,463954;18,3;0;0;0;350;0;0;0;-1;-1;0
1,475178;18,3;0;0;0;350;0;0;0;-1;-1;0
1,485648;18,3;0;0;0;350;0;0;0;-1;-1;0
1,497869;18,3;0;0;0;350;0;0;0;-1;-1;0
1,5114;18,3;0;0;0;350;0;0;0;-1;-1;0
1,522356;18,3;0;0;0;350;0;0;0;-1;-1;0
1,534225;18,3;0;0;0;350;0;0;0;-1;-1;0
1,545626;18,3;0;0;0;350;0;0;0;-1;-1;0
1,556503;18,3;0;0;0;350;0;0;0;-1;-1;0
1,568186;18,3;0;0;0;350;0;0;0;-1;-1;0
1,578944;18,3;0;0;0;350;0;0;0;-1;-1;0
1,589929;18,3;0;0;0;350;0;0;0;-1;-1;0
1,600937;18,3;0;0;0;350;0;0;0;-1;-1;0
1,611905;18,3;0;0;0;350;0;0;0;-1;-1;0
1,622387;18,3;0;0;0;350;0;0;0;-1;-1;0
1,633769;18,3;0;0;0;350;0;0;0;-1;-1;0
1,645199;18,3;0;0;0;350;0;0;0;-1;-1;0
1,655856;18,3;0;0;0;350;0;0;0;-1;-1;0
1,667958;18,3;0;0;0;350;0;0;0;-1;-1;0
1,679332;18,3;0;0;0;350;0;0;0;-1;-1;0
1,690714;18,3;0;0;0;350;0;0;0;-1;-1;0
1,701222;18,3;0;0;0;350;0;0;0;-1;-1;0
1,712426;18,3;0;0;0;350;0;0;0;-1;-1;0
1,723652;18,3;0;0;0;350;0;0;0;-1;-1;0
1,734286;18,3;0;0;0;350;0;0;0;-1;-1;0
1,745672;18,3;0;0;0;350;0;0;0;-1;-1;0
1,756153;18,3;0;0;0;350;0;0;0;-1;-1;0
1,766728;18,3;0;0;0;350;0;0;0;-1;-1;0
1,78062;18,3;0;0;0;350;0;0;0;-1;-1;0
1,791875;18,3;0;0;0;350;0;0;0;-1;-1;0
1,803409;18,3;0;0;0;350;0;0;0;-1;-1;0
1,813914;18,3;0;0;0;350;0;0;0;-1;-1;0
1,825053;18,3;0;0;0;350;0;0;0;-1;-1;0
1,836019;18,3;0;0;0;350;0;0;0;-1;-1;0
1,846592;18,3;0;0;0;350;0;0;0;-1;-1;0
1,857525;18,3;0;0;0;350;0;0;0;-1;-1;0
1,868044;18,3;0;0;0;350;0;0;0;-1;-1;0
1,87917;18,3;0;0;0;350;0;0;0;-1;-1;0
1,890217;18,3;0;0;0;350;0;0;0;-1;-1;0
1,900947;18,3;0;0;0;350;0;0;0;-1;-1;0
1,911868;18,3;0;0;0;350;0;0;0;-1;-1;0
1,92255;18,3;0;0;0;350;0;0;0;-1;-1;0
1,933606;18,3;0;0;0;350;0;0;0;-1;-1;0
1,945283;18,3;0;0;0;350;0;0;0;-1;-1;0
1,955963;18,3;0;0;0;350;0;0;0;-1;-1;0
1,967044;18,3;0;0;0;350;0;0;0;-1;-1;0
1,978048;18,3;0;0;0;350;0;0;0;-1;-1;0
1,989451;18,3;0;0;0;350;0;0;0;-1;-1;0
2,000204;18,3;0;0;0;350;0;0;0;-1;-1;0
2,011087;18,3;0;0;0;350;0;0;0;-1;-1;0
2,021595;18,3;0;0;0;350;0;0;0;-1;-1;0
2,033701;18,3;0;0;0;350;0;0;0;-1;-1;0
2,04515;18,3;0;0;0;350;0;0;0;-1;-1;0
2,056077;18,3;0;0;0;350;0;0;0;-1;-1;0
2,066688;18,3;0;0;0;350;0;0;0;-1;-1;0
2,077997;18,3;0;0;0;350;0;0;0;-1;-1;0
2,088953;18,3;0;0;0;350;0;0;0;-1;-1;0
2,099967;18,3;0;0;0;350;0;0;0;-1;-1;0
2,111987;18,3;0;0;0;350;0;0;0;-1;-1;0
2,122759;18,3;0;0;0;350;0;0;0;-1;-1;0
2,13312;18,3;0;0;0;350;0;0;0;-1;-1;0
2,144873;18,3;0;0;0;350;0;0;0;-1;-1;0
2,156121;18,3;0;0;0;350;0;0;0;-1;-1;0
2,170479;18,3;0;0;0;350;0;0;0;-1;-1;0
2,182244;18,3;0;0;0;350;0;0;0;-1;-1;0
2,196383;18,3;0;0;0;350;0;0;0;-1;-1;0
2,208561;18,3;0;0;0;350;0;0;0;-1;-1;0
2,221999;18,3;0;0;0;350;0;0;0;-1;-1;0
2,232409;18,3;0;0;0;350;0;0;0;-1;-1;0
2,243793;18,3;0;0;0;350;0;0;0;-1;-1;0
2,257591;18,3;0;0;0;350;0;0;0;-1;-1;0
2,27089;18,3;0;0;0;350;0;0;0;-1;-1;0
2,281208;18,3;0;0;0;350;0;0;0;-1;-1;0
