Simulation time (s);Position vector;;;Euler rotation vector;;;Instant speed (m/s);Mean speed (m/s);Instant acceleration (m/s^2);Distance travelled (m)
0;5,989178;1,654006;4,007371;16,71458;261,2039;359,729;-1;0;-1;0
0,3333333;5,949702;1,658851;4,068467;13,92762;261,3988;359,1125;0,2182173;0,2182173;-1;0,07273909
0,357365;5,946356;1,658269;4,070241;16,17153;260,9951;357,6206;0,1575786;0,2141395;-0,1696826;0,07652598
0,371818;5,946356;1,658269;4,070241;16,17153;260,9951;357,6206;0;0,2058157;-4,09458;0,07652598
0,4043355;5,941797;1,655455;4,072076;15,72303;260,2246;358,0737;0,1511318;0,2014179;3,21759;0,0814404
0,4210385;5,940694;1,654926;4,072228;15,9625;260,1283;357,8613;0,06668869;0,196073;-1,715608;0,0825543
0,4375492;5,940694;1,654926;4,072228;15,9625;260,1283;357,8613;0;0,1886743;-2,007867;0,0825543
0,4567949;5,936059;1,65276;4,072249;16,92025;260,0936;357,5001;0,2408031;0,1908706;6,734544;0,08718873
0,4734407;5,933802;1,652332;4,071907;17,61344;260,2206;357,5468;0,1371616;0,1889822;-2,887634;0,08947189
0,4907163;5,932727;1,65206;4,071671;17,84329;260,22;357,5364;0,06369697;0,1845716;-2,165731;0,0905723
0,5096033;5,930624;1,651904;4,070957;18,30061;260,2772;357,4702;0,1176349;0,1820908;1,491542;0,09279406
0,5237513;5,929552;1,651817;4,070532;18,50669;260,2773;357,4123;0,0814997;0,1793735;-1,093849;0,09394712
0,5569643;5,925541;1,651708;4,068231;18,82694;260,4739;357,7612;0,1392019;0,176978;1,218346;0,09857044
0,5901662;5,922757;1,651429;4,066455;19,23446;260,5353;357,9312;0,09947415;0,1726178;-0,5981748;0,1018732
0,6069452;5,92184;1,651229;4,065722;19,32371;260,5222;357,9608;0,06999567;0,1697808;-0,5897959;0,1030476
0,6213239;5,92005;1,650602;4,064311;19,5949;260,4928;358,0263;0,1584909;0,1695195;2,840233;0,1053265
0,6378425;5,92005;1,650602;4,064311;19,5949;260,4928;358,0263;0;0,1651294;-5,1296;0,1053265
