Simulation time (s);Position vector;;;Euler rotation vector;;;Mean speed (m/s);Nb Steps;Mean step length (m);Mean step time (s);Mean step pause (s)
0;18,3;0;0;0;350;0;0;0;-1;-1;0
0,3333333;18,3;0;0;0;350;0;0;0;-1;-1;0
0,357365;18,3;0;0;0;350;0;0;0;-1;-1;0
0,371818;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4043355;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4210385;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4375492;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4567949;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4734407;18,3;0;0;0;350;0;0;0;-1;-1;0
0,4907163;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5096033;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5237513;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5569643;18,3;0;0;0;350;0;0;0;-1;-1;0
0,5901662;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6069452;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6213239;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6378425;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6548544;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6734139;18,3;0;0;0;350;0;0;0;-1;-1;0
0,6881813;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7046034;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7214305;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7377247;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7566754;18,3;0;0;0;350;0;0;0;-1;-1;0
0,7898656;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8060287;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8238693;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8544974;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8710631;18,3;0;0;0;350;0;0;0;-1;-1;0
0,8880097;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9215465;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9378739;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9545771;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9718881;18,3;0;0;0;350;0;0;0;-1;-1;0
0,9906558;18,3;0;0;0;350;0;0;0;-1;-1;0
1,021481;18,3;0;0;0;350;0;0;0;-1;-1;0
1,037901;18,3;0;0;0;350;0;0;0;-1;-1;0
1,054587;18,3;0;0;0;350;0;0;0;-1;-1;0
1,071303;18,3;0;0;0;350;0;0;0;-1;-1;0
1,088064;18,3;0;0;0;350;0;0;0;-1;-1;0
1,121975;18,3;0;0;0;350;0;0;0;-1;-1;0
1,156861;18,3;0;0;0;350;0;0;0;-1;-1;0
1,172686;18,3;0;0;0;350;0;0;0;-1;-1;0
1,188126;18,3;0;0;0;350;0;0;0;-1;-1;0
1,204636;18,3;0;0;0;350;0;0;0;-1;-1;0
1,221524;18,3;0;0;0;350;0;0;0;-1;-1;0
1,237961;18,3;0;0;0;350;0;0;0;-1;-1;0
1,254676;18,3;0;0;0;350;0;0;0;-1;-1;0
1,272053;18,3;0;0;0;350;0;0;0;-1;-1;0
1,290641;18,3;0;0;0;350;0;0;0;-1;-1;0
1,305057;18,3;0;0;0;350;0;0;0;-1;-1;0
1,324034;18,3;0;0;0;350;0;0;0;-1;-1;0
1,354807;18,3;0;0;0;350;0;0;0;-1;-1;0
1,371866;18,3;0;0;0;350;0;0;0;-1;-1;0
1,388293;18,3;0;0;0;350;0;0;0;-1;-1;0
1,404782;18,3;0;0;0;350;0;0;0;-1;-1;0
1,42158;18,3;0;0;0;350;0;0;0;-1;-1;0
1,438361;18,3;0;0;0;350;0;0;0;-1;-1;0
1,457107;18,3;0;0;0;350;0;0;0;-1;-1;0
1,471705;18,3;0;0;0;350;0;0;0;-1;-1;0
1,488382;18,3;0;0;0;350;0;0;0;-1;-1;0
1,504924;18,3;0;0;0;350;0;0;0;-1;-1;0
1,521999;18,3;0;0;0;350;0;0;0;-1;-1;0
1,538286;18,3;0;0;0;350;0;0;0;-1;-1;0
1,554869;18,3;0;0;0;350;0;0;0;-1;-1;0
1,571736;18,3;0;0;0;350;0;0;0;-1;-1;0
1,588666;18,3;0;0;0;350;0;0;0;-1;-1;0
1,606956;18,3;0;0;0;350;0;0;0;-1;-1;0
1,622049;18,3;0;0;0;350;0;0;0;-1;-1;0
1,638277;18,3;0;0;0;350;0;0;0;-1;-1;0
1,655157;18,3;0;0;0;350;0;0;0;-1;-1;0
1,671997;18,3;0;0;0;350;0;0;0;-1;-1;0
1,688352;18,3;0;0;0;350;0;0;0;-1;-1;0
1,705496;18,3;0;0;0;350;0;0;0;-1;-1;0
1,722318;18,3;0;0;0;350;0;0;0;-1;-1;0
1,738883;18,3;0;0;0;350;0;0;0;-1;-1;0
1,757226;18,3;0;0;0;350;0;0;0;-1;-1;0
1,771976;18,3;0;0;0;350;0;0;0;-1;-1;0
1,788634;18,3;0;0;0;350;0;0;0;-1;-1;0
1,80493;18,3;0;0;0;350;0;0;0;-1;-1;0
1,821975;18,3;0;0;0;350;0;0;0;-1;-1;0
1,838503;18,3;0;0;0;350;0;0;0;-1;-1;0
1,855326;18,3;0;0;0;350;0;0;0;-1;-1;0
1,872023;18,3;0;0;0;350;0;0;0;-1;-1;0
1,888454;18,3;0;0;0;350;0;0;0;-1;-1;0
1,907894;18,3;0;0;0;350;0;0;0;-1;-1;0
1,924431;18,3;0;0;0;350;0;0;0;-1;-1;0
1,955685;18,3;0;0;0;350;0;0;0;-1;-1;0
1,972178;18,3;0;0;0;350;0;0;0;-1;-1;0
1,988995;18,3;0;0;0;350;0;0;0;-1;-1;0
2,005243;18,3;0;0;0;350;0;0;0;-1;-1;0
2,022403;18,3;0;0;0;350;0;0;0;-1;-1;0
2,038476;18,3;0;0;0;350;0;0;0;-1;-1;0
2,05524;18,3;0;0;0;350;0;0;0;-1;-1;0
2,072338;18,3;0;0;0;350;0;0;0;-1;-1;0
2,090391;18,3;0;0;0;350;0;0;0;-1;-1;0
2,105245;18,3;0;0;0;350;0;0;0;-1;-1;0
2,138885;18,3;0;0;0;350;0;0;0;-1;-1;0
2,155862;18,3;0;0;0;350;0;0;0;-1;-1;0
2,17208;18,3;0;0;0;350;0;0;0;-1;-1;0
2,188743;18,3;0;0;0;350;0;0;0;-1;-1;0
2,205302;18,3;0;0;0;350;0;0;0;-1;-1;0
2,224325;18,3;0;0;0;350;0;0;0;-1;-1;0
2,241045;18,3;0;0;0;350;0;0;0;-1;-1;0
2,272298;18,3;0;0;0;350;0;0;0;-1;-1;0
